sample,chemical,dose
BPA_0ugL_A.csv,BPA,0
BPA_0ugL_B.csv,BPA,0
BPA_0ugL_C.csv,BPA,0
BPA_0.1ugL_A.csv,BPA,0.1
BPA_0.1ugL_B.csv,BPA,0.1
BPA_0.1ugL_C.csv,BPA,0.1
BPA_1ugL_A.csv,BPA,1
BPA_1ugL_B.csv,BPA,1
BPA_1ugL_C.csv,BPA,1
BPA_10ugL_A.csv,BPA,10
BPA_10ugL_B.csv,BPA,10
BPA_10ugL_C.csv,BPA,10
BPA_100ugL_A.csv,BPA,100
BPA_100ugL_B.csv,BPA,100
BPA_100ugL_C.csv,BPA,100
BPA_1000ugL_A.csv,BPA,1000
BPA_1000ugL_B.csv,BPA,1000
BPA_1000ugL_C.csv,BPA,1000
BPAF_0ugL_A.csv,BPAF,0
BPAF_0ugL_B.csv,BPAF,0
BPAF_0ugL_C.csv,BPAF,0
BPAF_0.1ugL_A.csv,BPAF,0.1
BPAF_0.1ugL_B.csv,BPAF,0.1
BPAF_0.1ugL_C.csv,BPAF,0.1
BPAF_1ugL_A.csv,BPAF,1
BPAF_1ugL_B.csv,BPAF,1
BPAF_1ugL_C.csv,BPAF,1
BPAF_10ugL_A.csv,BPAF,10
BPAF_10ugL_B.csv,BPAF,10
BPAF_10ugL_C.csv,BPAF,10
BPAF_100ugL_A.csv,BPAF,100
BPAF_100ugL_B.csv,BPAF,100
BPAF_100ugL_C.csv,BPAF,100
BPAF_1000ugL_A.csv,BPAF,1000
BPAF_1000ugL_B.csv,BPAF,1000
BPAF_1000ugL_C.csv,BPAF,1000
DES_0ugL_A.csv,DES,0
DES_0ugL_B.csv,DES,0
DES_0ugL_C.csv,DES,0
DES_0.01ugL_A.csv,DES,0.01
DES_0.01ugL_B.csv,DES,0.01
DES_0.01ugL_C.csv,DES,0.01
DES_0.1ugL_A.csv,DES,0.1
DES_0.1ugL_B.csv,DES,0.1
DES_0.1ugL_C.csv,DES,0.1
DES_1ugL_A.csv,DES,1
DES_1ugL_B.csv,DES,1
DES_1ugL_C.csv,DES,1
DES_10ugL_A.csv,DES,10
DES_10ugL_B.csv,DES,10
DES_10ugL_C.csv,DES,10
DES_100ugL_A.csv,DES,100
DES_100ugL_B.csv,DES,100
DES_100ugL_C.csv,DES,100
EE2_0ugL_A.csv,EE2,0
EE2_0ugL_B.csv,EE2,0
EE2_0ugL_C.csv,EE2,0
EE2_0.0001ugL_A.csv,EE2,0.0001
EE2_0.0001ugL_B.csv,EE2,0.0001
EE2_0.0001ugL_C.csv,EE2,0.0001
EE2_0.001ugL_A.csv,EE2,0.001
EE2_0.001ugL_B.csv,EE2,0.001
EE2_0.001ugL_C.csv,EE2,0.001
EE2_0.01ugL_A.csv,EE2,0.01
EE2_0.01ugL_B.csv,EE2,0.01
EE2_0.01ugL_C.csv,EE2,0.01
EE2_0.1ugL_A.csv,EE2,0.1
EE2_0.1ugL_B.csv,EE2,0.1
EE2_0.1ugL_C.csv,EE2,0.1
EE2_1ugL_A.csv,EE2,1
EE2_1ugL_B.csv,EE2,1
EE2_1ugL_C.csv,EE2,1
TGSH_0ugL_A.csv,TGSH,0
TGSH_0ugL_B.csv,TGSH,0
TGSH_0ugL_C.csv,TGSH,0
TGSH_0.1ugL_A.csv,TGSH,0.1
TGSH_0.1ugL_B.csv,TGSH,0.1
TGSH_0.1ugL_C.csv,TGSH,0.1
TGSH_1ugL_A.csv,TGSH,1
TGSH_1ugL_B.csv,TGSH,1
TGSH_1ugL_C.csv,TGSH,1
TGSH_10ugL_A.csv,TGSH,10
TGSH_10ugL_B.csv,TGSH,10
TGSH_10ugL_C.csv,TGSH,10
TGSH_100ugL_A.csv,TGSH,100
TGSH_100ugL_B.csv,TGSH,100
TGSH_100ugL_C.csv,TGSH,100
TGSH_1000ugL_A.csv,TGSH,1000
TGSH_1000ugL_B.csv,TGSH,1000
TGSH_1000ugL_C.csv,TGSH,1000
