B12,Counts
ENSDARG00000000001,7
ENSDARG00000000002,58
ENSDARG00000000018,70
ENSDARG00000000019,189
ENSDARG00000000068,10
ENSDARG00000000069,175
ENSDARG00000000086,413
ENSDARG00000000103,372
ENSDARG00000000142,0
ENSDARG00000000151,64
ENSDARG00000000161,56
ENSDARG00000000175,16
ENSDARG00000000183,146
ENSDARG00000000189,145
ENSDARG00000000212,352
ENSDARG00000000229,71
ENSDARG00000000241,82
ENSDARG00000000349,0
ENSDARG00000000369,10
ENSDARG00000000370,419
ENSDARG00000000380,37
ENSDARG00000000394,162
ENSDARG00000000423,18
ENSDARG00000000442,8
ENSDARG00000000460,0
ENSDARG00000000472,132
ENSDARG00000000474,0
ENSDARG00000000476,11
ENSDARG00000000489,20
ENSDARG00000000503,865
ENSDARG00000000516,0
ENSDARG00000000529,38
ENSDARG00000000540,58
ENSDARG00000000542,32
ENSDARG00000000551,46
ENSDARG00000000563,56543
ENSDARG00000000567,95
ENSDARG00000000568,68
ENSDARG00000000588,8
ENSDARG00000000606,20
ENSDARG00000000631,247
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,53
ENSDARG00000000690,0
ENSDARG00000000729,80
ENSDARG00000000730,23
ENSDARG00000000747,5
ENSDARG00000000760,28
ENSDARG00000000767,9
ENSDARG00000000779,162
ENSDARG00000000796,20
ENSDARG00000000804,0
ENSDARG00000000830,0
ENSDARG00000000837,163
ENSDARG00000000853,69
ENSDARG00000000857,23
ENSDARG00000000861,252
ENSDARG00000000887,0
ENSDARG00000000906,4
ENSDARG00000000935,158
ENSDARG00000000943,100
ENSDARG00000000966,790
ENSDARG00000001014,473
ENSDARG00000001015,45
ENSDARG00000001057,64
ENSDARG00000001127,130
ENSDARG00000001129,289
ENSDARG00000001154,73
ENSDARG00000001162,147
ENSDARG00000001169,0
ENSDARG00000001210,49
ENSDARG00000001220,352
ENSDARG00000001234,124
ENSDARG00000001241,97
ENSDARG00000001244,436
ENSDARG00000001249,11
ENSDARG00000001259,20
ENSDARG00000001303,0
ENSDARG00000001313,9
ENSDARG00000001354,20
ENSDARG00000001414,0
ENSDARG00000001431,1209
ENSDARG00000001437,73
ENSDARG00000001442,37
ENSDARG00000001447,17
ENSDARG00000001452,8
ENSDARG00000001463,102
ENSDARG00000001470,83
ENSDARG00000001498,0
ENSDARG00000001549,91
ENSDARG00000001557,12
ENSDARG00000001558,53
ENSDARG00000001559,471
ENSDARG00000001572,0
ENSDARG00000001578,59
ENSDARG00000001621,28
ENSDARG00000001634,178
ENSDARG00000001656,0
ENSDARG00000001676,129
ENSDARG00000001686,0
ENSDARG00000001710,131
ENSDARG00000001712,3
ENSDARG00000001721,0
ENSDARG00000001729,263
ENSDARG00000001733,15
ENSDARG00000001734,5
ENSDARG00000001754,33
ENSDARG00000001760,60
ENSDARG00000001767,0
ENSDARG00000001769,95
ENSDARG00000001771,0
ENSDARG00000001776,24
ENSDARG00000001777,125
ENSDARG00000001781,3
ENSDARG00000001782,20
ENSDARG00000001785,27
ENSDARG00000001788,126
ENSDARG00000001803,46
ENSDARG00000001804,0
ENSDARG00000001807,40
ENSDARG00000001817,35
ENSDARG00000001818,76
ENSDARG00000001825,0
ENSDARG00000001829,256
ENSDARG00000001835,96
ENSDARG00000001857,701
ENSDARG00000001859,6
ENSDARG00000001870,955
ENSDARG00000001873,4
ENSDARG00000001879,100
ENSDARG00000001880,26
ENSDARG00000001881,20
ENSDARG00000001882,11
ENSDARG00000001888,70
ENSDARG00000001889,170
ENSDARG00000001890,154
ENSDARG00000001891,11
ENSDARG00000001897,11
ENSDARG00000001898,10
ENSDARG00000001906,1
ENSDARG00000001909,10
ENSDARG00000001910,247
ENSDARG00000001912,14
ENSDARG00000001913,28
ENSDARG00000001929,27
ENSDARG00000001930,15
ENSDARG00000001933,19
ENSDARG00000001937,37
ENSDARG00000001939,47
ENSDARG00000001940,26
ENSDARG00000001950,901
ENSDARG00000001953,33
ENSDARG00000001968,169
ENSDARG00000001969,21
ENSDARG00000001971,2
ENSDARG00000001975,23
ENSDARG00000001976,32
ENSDARG00000001993,113
ENSDARG00000001994,389
ENSDARG00000001999,154
ENSDARG00000002002,3
ENSDARG00000002006,98
ENSDARG00000002013,44
ENSDARG00000002016,3
ENSDARG00000002020,113
ENSDARG00000002021,4
ENSDARG00000002026,145
ENSDARG00000002031,0
ENSDARG00000002037,18
ENSDARG00000002060,14
ENSDARG00000002071,154
ENSDARG00000002077,14
ENSDARG00000002082,133
ENSDARG00000002084,109
ENSDARG00000002097,0
ENSDARG00000002127,82
ENSDARG00000002128,41
ENSDARG00000002131,295
ENSDARG00000002165,7
ENSDARG00000002167,134
ENSDARG00000002168,57
ENSDARG00000002172,1
ENSDARG00000002174,4
ENSDARG00000002184,30
ENSDARG00000002190,172
ENSDARG00000002192,26
ENSDARG00000002193,1708
ENSDARG00000002194,1
ENSDARG00000002196,26
ENSDARG00000002197,27
ENSDARG00000002204,15
ENSDARG00000002210,76
ENSDARG00000002213,8
ENSDARG00000002215,26
ENSDARG00000002216,68
ENSDARG00000002217,185
ENSDARG00000002219,2
ENSDARG00000002220,0
ENSDARG00000002230,126
ENSDARG00000002231,16
ENSDARG00000002235,174
ENSDARG00000002240,48
ENSDARG00000002241,6
ENSDARG00000002249,41
ENSDARG00000002255,85
ENSDARG00000002259,0
ENSDARG00000002264,13
ENSDARG00000002267,27
ENSDARG00000002271,91
ENSDARG00000002285,61
ENSDARG00000002293,0
ENSDARG00000002295,10
ENSDARG00000002298,4
ENSDARG00000002299,1
ENSDARG00000002300,18
ENSDARG00000002304,0
ENSDARG00000002305,82
ENSDARG00000002311,10
ENSDARG00000002330,0
ENSDARG00000002332,35
ENSDARG00000002333,49
ENSDARG00000002336,56
ENSDARG00000002339,44
ENSDARG00000002344,573
ENSDARG00000002347,0
ENSDARG00000002353,6
ENSDARG00000002355,0
ENSDARG00000002362,25
ENSDARG00000002365,7
