C2,Counts
ENSDARG00000002467,21
ENSDARG00000002479,9
ENSDARG00000002483,19
ENSDARG00000002487,36
ENSDARG00000002494,11
ENSDARG00000002506,27
ENSDARG00000002507,26
ENSDARG00000002508,28
ENSDARG00000002509,0
ENSDARG00000002510,8
ENSDARG00000002523,146
ENSDARG00000002533,23
ENSDARG00000002536,55
ENSDARG00000002538,21
ENSDARG00000002546,21
ENSDARG00000002549,3
ENSDARG00000002552,105
ENSDARG00000002564,36
ENSDARG00000002571,47
ENSDARG00000002576,19
ENSDARG00000002582,17
ENSDARG00000002587,426
ENSDARG00000002589,305
ENSDARG00000002591,115
ENSDARG00000002593,1
ENSDARG00000002597,0
ENSDARG00000002600,126
ENSDARG00000002601,0
ENSDARG00000002607,60
ENSDARG00000002609,35
ENSDARG00000002613,0
ENSDARG00000002632,55
ENSDARG00000002634,6
ENSDARG00000002635,147
ENSDARG00000002642,23
ENSDARG00000002644,37
ENSDARG00000002656,67
ENSDARG00000002659,85
ENSDARG00000002663,25
ENSDARG00000002666,0
ENSDARG00000002670,104
ENSDARG00000002682,69
ENSDARG00000002685,0
ENSDARG00000002690,24
ENSDARG00000002696,617
ENSDARG00000002701,1
ENSDARG00000002707,0
ENSDARG00000002710,776
ENSDARG00000002720,4
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,104
ENSDARG00000002732,5
ENSDARG00000002745,138
ENSDARG00000002748,73
ENSDARG00000002750,39
ENSDARG00000002754,6
ENSDARG00000002758,847
ENSDARG00000002760,6
ENSDARG00000002764,0
ENSDARG00000002768,1934
ENSDARG00000002771,22
ENSDARG00000002779,0
ENSDARG00000002787,78
ENSDARG00000002790,163
ENSDARG00000002791,1228
ENSDARG00000002792,67
ENSDARG00000002795,30
ENSDARG00000002797,0
ENSDARG00000002798,7
ENSDARG00000002816,72
ENSDARG00000002826,5
ENSDARG00000002830,12
ENSDARG00000002831,17
ENSDARG00000002840,98
ENSDARG00000002847,6
ENSDARG00000002872,9
ENSDARG00000002877,134
ENSDARG00000002880,118
ENSDARG00000002894,14
ENSDARG00000002897,46
ENSDARG00000002909,31
ENSDARG00000002912,21
ENSDARG00000002916,103
ENSDARG00000002917,36
ENSDARG00000002933,11
ENSDARG00000002937,79
ENSDARG00000002945,27
ENSDARG00000002947,29
ENSDARG00000002949,89
ENSDARG00000002952,65
ENSDARG00000002956,2
ENSDARG00000002959,0
ENSDARG00000002967,86
ENSDARG00000002968,95
ENSDARG00000002970,61
ENSDARG00000002971,41
ENSDARG00000002986,10
ENSDARG00000002988,67
ENSDARG00000002991,22
ENSDARG00000002994,34
ENSDARG00000003008,143
ENSDARG00000003017,45
ENSDARG00000003020,90
ENSDARG00000003021,3
ENSDARG00000003022,7
ENSDARG00000003027,10
ENSDARG00000003032,561
ENSDARG00000003035,391
ENSDARG00000003041,1
ENSDARG00000003046,70
ENSDARG00000003054,5
ENSDARG00000003058,50
ENSDARG00000003061,12
ENSDARG00000003068,80
ENSDARG00000003069,15
ENSDARG00000003077,10
ENSDARG00000003081,4858
ENSDARG00000003084,24
ENSDARG00000003085,29
ENSDARG00000003087,69
ENSDARG00000003090,0
ENSDARG00000003091,20
ENSDARG00000003098,238
ENSDARG00000003109,17
ENSDARG00000003113,71
ENSDARG00000003127,101
ENSDARG00000003132,14
ENSDARG00000003142,43
ENSDARG00000003144,0
ENSDARG00000003146,26
ENSDARG00000003151,271
ENSDARG00000003153,21
ENSDARG00000003157,0
ENSDARG00000003165,35
ENSDARG00000003167,9
ENSDARG00000003169,529
ENSDARG00000003175,23
ENSDARG00000003181,4
ENSDARG00000003189,261
ENSDARG00000003193,0
ENSDARG00000003197,1
ENSDARG00000003200,26
ENSDARG00000003203,1
ENSDARG00000003205,22
ENSDARG00000003206,76
ENSDARG00000003207,38
ENSDARG00000003208,18
ENSDARG00000003210,30
ENSDARG00000003213,168
ENSDARG00000003216,72
ENSDARG00000003217,46
ENSDARG00000003219,39
ENSDARG00000003229,0
ENSDARG00000003235,32
ENSDARG00000003244,8
ENSDARG00000003250,19
ENSDARG00000003251,20
ENSDARG00000003257,0
ENSDARG00000003259,2
ENSDARG00000003269,286
ENSDARG00000003270,44
ENSDARG00000003281,50
ENSDARG00000003287,5
ENSDARG00000003290,29
ENSDARG00000003293,123
ENSDARG00000003303,4
ENSDARG00000003307,78
ENSDARG00000003308,64
ENSDARG00000003311,58
ENSDARG00000003313,1
ENSDARG00000003320,72
ENSDARG00000003326,0
ENSDARG00000003328,75
ENSDARG00000003344,0
ENSDARG00000003373,6
ENSDARG00000003375,0
ENSDARG00000003380,3
ENSDARG00000003381,4
ENSDARG00000003382,38
ENSDARG00000003383,78
ENSDARG00000003395,7
ENSDARG00000003398,17
ENSDARG00000003399,7
ENSDARG00000003403,162
ENSDARG00000003411,27
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,106
ENSDARG00000003429,66
ENSDARG00000003444,8
ENSDARG00000003446,27
ENSDARG00000003449,33
ENSDARG00000003462,118
ENSDARG00000003469,42
ENSDARG00000003475,0
ENSDARG00000003486,178
ENSDARG00000003487,109
ENSDARG00000003495,98
ENSDARG00000003512,157
ENSDARG00000003517,11
ENSDARG00000003519,8
ENSDARG00000003520,57
ENSDARG00000003523,0
ENSDARG00000003526,95
ENSDARG00000003527,40
ENSDARG00000003531,103
ENSDARG00000003533,14
ENSDARG00000003544,26
ENSDARG00000003553,0
ENSDARG00000003564,11
ENSDARG00000003570,141
ENSDARG00000003573,30
ENSDARG00000003576,20
ENSDARG00000003584,37
ENSDARG00000003592,18
ENSDARG00000003599,2143
ENSDARG00000003607,85
ENSDARG00000003615,8
ENSDARG00000003616,47
ENSDARG00000003631,240
ENSDARG00000003632,0
ENSDARG00000003635,2
ENSDARG00000003641,10
ENSDARG00000003642,16
ENSDARG00000003655,357
ENSDARG00000003675,1
ENSDARG00000003680,210
ENSDARG00000003681,246
ENSDARG00000003684,53
ENSDARG00000003693,33
ENSDARG00000003695,421
ENSDARG00000003697,1
ENSDARG00000003699,89
ENSDARG00000003701,0
ENSDARG00000003705,212
ENSDARG00000003706,15
ENSDARG00000003732,15
ENSDARG00000003749,16
ENSDARG00000003750,24
ENSDARG00000003751,60
ENSDARG00000003754,56
ENSDARG00000003757,17
ENSDARG00000003769,15
ENSDARG00000003776,64
ENSDARG00000003779,311
ENSDARG00000003789,142
ENSDARG00000003795,738
ENSDARG00000003797,37
ENSDARG00000003803,9
ENSDARG00000003808,42
ENSDARG00000003811,339
ENSDARG00000003818,68
ENSDARG00000003820,118
ENSDARG00000003822,21
ENSDARG00000003827,15
ENSDARG00000003829,134
ENSDARG00000003835,213
ENSDARG00000003841,5
ENSDARG00000003845,18
ENSDARG00000003846,2
ENSDARG00000003854,74
ENSDARG00000003860,101
ENSDARG00000003865,13
ENSDARG00000003866,97
ENSDARG00000003867,18
ENSDARG00000003869,17
ENSDARG00000003872,73
ENSDARG00000003877,160
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,150
ENSDARG00000003903,0
ENSDARG00000003904,7
ENSDARG00000003909,0
ENSDARG00000003910,128
ENSDARG00000003920,136
ENSDARG00000003925,0
ENSDARG00000003927,40
ENSDARG00000003931,32
ENSDARG00000003934,0
ENSDARG00000003938,56
ENSDARG00000003940,53
ENSDARG00000003941,10
ENSDARG00000003944,0
ENSDARG00000003952,229
ENSDARG00000003961,27
ENSDARG00000003963,12
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,1
ENSDARG00000003971,34
ENSDARG00000003973,7
ENSDARG00000003974,85
ENSDARG00000003977,0
ENSDARG00000003984,38
ENSDARG00000003989,131
ENSDARG00000003991,44
ENSDARG00000003994,16
ENSDARG00000003998,47
ENSDARG00000004015,0
ENSDARG00000004017,42
ENSDARG00000004018,1
ENSDARG00000004023,324
ENSDARG00000004034,34
ENSDARG00000004037,37
ENSDARG00000004046,9
ENSDARG00000004049,56
ENSDARG00000004051,0
ENSDARG00000004055,91
ENSDARG00000004059,1
ENSDARG00000004060,724
ENSDARG00000004074,261
ENSDARG00000004078,39
ENSDARG00000004082,35
ENSDARG00000004094,164
ENSDARG00000004105,26
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,20
ENSDARG00000004115,40
ENSDARG00000004130,2
ENSDARG00000004131,112
ENSDARG00000004132,291
ENSDARG00000004150,36
ENSDARG00000004151,7
ENSDARG00000004154,3
ENSDARG00000004158,8
ENSDARG00000004160,47
ENSDARG00000004161,71
ENSDARG00000004167,15
ENSDARG00000004169,50
ENSDARG00000004171,6
ENSDARG00000004173,314
ENSDARG00000004174,496
ENSDARG00000004176,43
ENSDARG00000004177,75
ENSDARG00000004184,149
ENSDARG00000004187,15
ENSDARG00000004189,57
ENSDARG00000004196,53
ENSDARG00000004199,1
ENSDARG00000004204,3
ENSDARG00000004211,14
ENSDARG00000004218,48
ENSDARG00000004219,3
ENSDARG00000004227,60
ENSDARG00000004232,10
ENSDARG00000004243,11
ENSDARG00000004246,209
ENSDARG00000004251,17
ENSDARG00000004256,2
ENSDARG00000004260,3
ENSDARG00000004261,96
ENSDARG00000004262,26
ENSDARG00000004270,82
ENSDARG00000004274,9
ENSDARG00000004280,7
ENSDARG00000004282,54
ENSDARG00000004291,89
ENSDARG00000004296,27
ENSDARG00000004297,132
ENSDARG00000004301,0
ENSDARG00000004302,27
ENSDARG00000004305,50
ENSDARG00000004306,3
ENSDARG00000004307,16
ENSDARG00000004308,8
ENSDARG00000004311,0
ENSDARG00000004318,6
ENSDARG00000004322,7
ENSDARG00000004325,5
ENSDARG00000004328,0
ENSDARG00000004336,148
ENSDARG00000004343,6
ENSDARG00000004358,34
ENSDARG00000004363,17
ENSDARG00000004372,34
ENSDARG00000004377,46
ENSDARG00000004378,14
ENSDARG00000004386,102
ENSDARG00000004392,0
ENSDARG00000004396,1
ENSDARG00000004402,24
ENSDARG00000004405,2
ENSDARG00000004406,5
ENSDARG00000004415,187
ENSDARG00000004427,1
ENSDARG00000004433,0
ENSDARG00000004436,0
ENSDARG00000004445,33
ENSDARG00000004447,0
ENSDARG00000004451,45
ENSDARG00000004452,382
ENSDARG00000004455,0
ENSDARG00000004459,7
ENSDARG00000004460,6
ENSDARG00000004470,92
ENSDARG00000004472,16
ENSDARG00000004473,7
ENSDARG00000004492,8
ENSDARG00000004497,0
ENSDARG00000004498,0
ENSDARG00000004502,33
ENSDARG00000004517,14
ENSDARG00000004525,58
ENSDARG00000004527,17
ENSDARG00000004529,0
ENSDARG00000004537,661
ENSDARG00000004539,13
ENSDARG00000004561,0
ENSDARG00000004574,29
ENSDARG00000004576,16
ENSDARG00000004580,75
ENSDARG00000004581,34
ENSDARG00000004586,10
ENSDARG00000004587,5
ENSDARG00000004588,550
ENSDARG00000004592,17
ENSDARG00000004594,33
ENSDARG00000004597,60
ENSDARG00000004598,0
ENSDARG00000004616,18
ENSDARG00000004618,9
ENSDARG00000004621,283
ENSDARG00000004627,0
ENSDARG00000004632,11
ENSDARG00000004633,36
ENSDARG00000004634,425
ENSDARG00000004635,183
ENSDARG00000004636,34
ENSDARG00000004643,59
ENSDARG00000004647,12
ENSDARG00000004648,13
ENSDARG00000004658,22
ENSDARG00000004672,206
ENSDARG00000004680,14
ENSDARG00000004687,23
ENSDARG00000004692,99
ENSDARG00000004695,16
ENSDARG00000004696,8
ENSDARG00000004697,19
ENSDARG00000004702,113
ENSDARG00000004706,51
ENSDARG00000004712,63
ENSDARG00000004713,1
ENSDARG00000004714,158
ENSDARG00000004721,0
ENSDARG00000004724,52
ENSDARG00000004726,35
ENSDARG00000004735,282
ENSDARG00000004745,2
ENSDARG00000004748,18
ENSDARG00000004753,41
ENSDARG00000004754,191
ENSDARG00000004757,1531
ENSDARG00000004763,4
ENSDARG00000004771,13
ENSDARG00000004774,83
ENSDARG00000004782,329
ENSDARG00000004785,101
ENSDARG00000004789,53
ENSDARG00000004794,0
ENSDARG00000004796,150
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,56
ENSDARG00000004836,106
ENSDARG00000004840,40
ENSDARG00000004843,40
ENSDARG00000004851,13
ENSDARG00000004861,87
ENSDARG00000004864,0
ENSDARG00000004866,32
ENSDARG00000004869,7
ENSDARG00000004870,19
ENSDARG00000004871,14
ENSDARG00000004874,0
ENSDARG00000004875,56
ENSDARG00000004877,293
ENSDARG00000004880,22
ENSDARG00000004889,0
ENSDARG00000004891,70
ENSDARG00000004898,0
ENSDARG00000004904,3
ENSDARG00000004906,96
ENSDARG00000004925,6
ENSDARG00000004930,174
ENSDARG00000004931,31
ENSDARG00000004932,1
ENSDARG00000004937,3
ENSDARG00000004939,23
ENSDARG00000004948,107
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,2
ENSDARG00000004956,58
ENSDARG00000004964,29
ENSDARG00000004979,12
ENSDARG00000004988,94
ENSDARG00000005002,7
ENSDARG00000005004,0
ENSDARG00000005010,0
ENSDARG00000005015,203
ENSDARG00000005023,19
ENSDARG00000005026,229
ENSDARG00000005034,4
ENSDARG00000005049,5
ENSDARG00000005050,6
ENSDARG00000005057,4
ENSDARG00000005058,63
ENSDARG00000005078,14
ENSDARG00000005085,48
ENSDARG00000005092,15
ENSDARG00000005095,6
ENSDARG00000005098,16
ENSDARG00000005104,155
ENSDARG00000005108,13
ENSDARG00000005112,143
ENSDARG00000005115,14
ENSDARG00000005122,150
ENSDARG00000005126,75
ENSDARG00000005128,32
ENSDARG00000005134,22
ENSDARG00000005139,58
ENSDARG00000005141,66
ENSDARG00000005150,41
ENSDARG00000005154,46
ENSDARG00000005159,23
ENSDARG00000005162,198
ENSDARG00000005163,25
ENSDARG00000005172,15
ENSDARG00000005176,0
ENSDARG00000005179,10
ENSDARG00000005185,118
ENSDARG00000005186,124
ENSDARG00000005191,472
ENSDARG00000005210,32
ENSDARG00000005216,12
ENSDARG00000005218,0
ENSDARG00000005220,0
ENSDARG00000005221,40
ENSDARG00000005230,72
ENSDARG00000005232,78
ENSDARG00000005236,779
ENSDARG00000005246,2
ENSDARG00000005251,12
ENSDARG00000005254,27
ENSDARG00000005271,0
ENSDARG00000005274,0
