F9,Counts
ENSDARG00000002467,19
ENSDARG00000002479,38
ENSDARG00000002483,12
ENSDARG00000002487,56
ENSDARG00000002494,45
ENSDARG00000002506,44
ENSDARG00000002507,21
ENSDARG00000002508,48
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,121
ENSDARG00000002533,5
ENSDARG00000002536,38
ENSDARG00000002538,57
ENSDARG00000002546,7
ENSDARG00000002549,61
ENSDARG00000002552,119
ENSDARG00000002564,55
ENSDARG00000002571,87
ENSDARG00000002576,15
ENSDARG00000002582,46
ENSDARG00000002587,351
ENSDARG00000002589,739
ENSDARG00000002591,74
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,152
ENSDARG00000002601,1
ENSDARG00000002607,40
ENSDARG00000002609,15
ENSDARG00000002613,15
ENSDARG00000002632,111
ENSDARG00000002634,16
ENSDARG00000002635,112
ENSDARG00000002642,23
ENSDARG00000002644,20
ENSDARG00000002656,111
ENSDARG00000002659,80
ENSDARG00000002663,23
ENSDARG00000002666,5
ENSDARG00000002670,60
ENSDARG00000002682,35
ENSDARG00000002685,0
ENSDARG00000002690,34
ENSDARG00000002696,527
ENSDARG00000002701,2
ENSDARG00000002707,0
ENSDARG00000002710,747
ENSDARG00000002720,18
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,190
ENSDARG00000002732,12
ENSDARG00000002745,313
ENSDARG00000002748,20
ENSDARG00000002750,61
ENSDARG00000002754,16
ENSDARG00000002758,1022
ENSDARG00000002760,1
ENSDARG00000002764,1
ENSDARG00000002768,3486
ENSDARG00000002771,25
ENSDARG00000002779,14
ENSDARG00000002787,127
ENSDARG00000002790,254
ENSDARG00000002791,1178
ENSDARG00000002792,94
ENSDARG00000002795,17
ENSDARG00000002797,0
ENSDARG00000002798,11
ENSDARG00000002816,55
ENSDARG00000002826,2
ENSDARG00000002830,50
ENSDARG00000002831,18
ENSDARG00000002840,131
ENSDARG00000002847,29
ENSDARG00000002872,26
ENSDARG00000002877,122
ENSDARG00000002880,165
ENSDARG00000002894,23
ENSDARG00000002897,64
ENSDARG00000002909,35
ENSDARG00000002912,75
ENSDARG00000002916,110
ENSDARG00000002917,7
ENSDARG00000002933,26
ENSDARG00000002937,84
ENSDARG00000002945,11
ENSDARG00000002947,22
ENSDARG00000002949,120
ENSDARG00000002952,59
ENSDARG00000002956,15
ENSDARG00000002959,0
ENSDARG00000002967,47
ENSDARG00000002968,188
ENSDARG00000002970,74
ENSDARG00000002971,27
ENSDARG00000002986,32
ENSDARG00000002988,241
ENSDARG00000002991,25
ENSDARG00000002994,78
ENSDARG00000003008,120
ENSDARG00000003017,51
ENSDARG00000003020,33
ENSDARG00000003021,10
ENSDARG00000003022,28
ENSDARG00000003027,5
ENSDARG00000003032,1093
ENSDARG00000003035,415
ENSDARG00000003041,16
ENSDARG00000003046,55
ENSDARG00000003054,13
ENSDARG00000003058,77
ENSDARG00000003061,14
ENSDARG00000003068,53
ENSDARG00000003069,13
ENSDARG00000003077,25
ENSDARG00000003081,7108
ENSDARG00000003084,24
ENSDARG00000003085,23
ENSDARG00000003087,19
ENSDARG00000003090,0
ENSDARG00000003091,39
ENSDARG00000003098,382
ENSDARG00000003109,34
ENSDARG00000003113,254
ENSDARG00000003127,63
ENSDARG00000003132,26
ENSDARG00000003142,40
ENSDARG00000003144,29
ENSDARG00000003146,38
ENSDARG00000003151,342
ENSDARG00000003153,10
ENSDARG00000003157,33
ENSDARG00000003165,63
ENSDARG00000003167,22
ENSDARG00000003169,229
ENSDARG00000003175,41
ENSDARG00000003181,8
ENSDARG00000003189,204
ENSDARG00000003193,6
ENSDARG00000003197,0
ENSDARG00000003200,15
ENSDARG00000003203,125
ENSDARG00000003205,24
ENSDARG00000003206,54
ENSDARG00000003207,34
ENSDARG00000003208,12
ENSDARG00000003210,19
ENSDARG00000003213,254
ENSDARG00000003216,88
ENSDARG00000003217,58
ENSDARG00000003219,129
ENSDARG00000003229,0
ENSDARG00000003235,30
ENSDARG00000003244,3
ENSDARG00000003250,24
ENSDARG00000003251,15
ENSDARG00000003257,3
ENSDARG00000003259,17
ENSDARG00000003269,121
ENSDARG00000003270,11
ENSDARG00000003281,67
ENSDARG00000003287,45
ENSDARG00000003290,74
ENSDARG00000003293,161
ENSDARG00000003303,0
ENSDARG00000003307,94
ENSDARG00000003308,175
ENSDARG00000003311,58
ENSDARG00000003313,7
ENSDARG00000003320,78
ENSDARG00000003326,0
ENSDARG00000003328,194
ENSDARG00000003344,0
ENSDARG00000003373,30
ENSDARG00000003375,9
ENSDARG00000003380,3
ENSDARG00000003381,33
ENSDARG00000003382,42
ENSDARG00000003383,86
ENSDARG00000003395,279
ENSDARG00000003398,20
ENSDARG00000003399,6
ENSDARG00000003403,131
ENSDARG00000003411,30
ENSDARG00000003414,0
ENSDARG00000003420,12
ENSDARG00000003421,65
ENSDARG00000003429,87
ENSDARG00000003444,22
ENSDARG00000003446,41
ENSDARG00000003449,45
ENSDARG00000003462,166
ENSDARG00000003469,19
ENSDARG00000003475,0
ENSDARG00000003486,218
ENSDARG00000003487,67
ENSDARG00000003495,82
ENSDARG00000003512,224
ENSDARG00000003517,12
ENSDARG00000003519,11
ENSDARG00000003520,77
ENSDARG00000003523,15
ENSDARG00000003526,172
ENSDARG00000003527,31
ENSDARG00000003531,47
ENSDARG00000003533,3
ENSDARG00000003544,80
ENSDARG00000003553,0
ENSDARG00000003564,28
ENSDARG00000003570,310
ENSDARG00000003573,67
ENSDARG00000003576,11
ENSDARG00000003584,33
ENSDARG00000003592,0
ENSDARG00000003599,3565
ENSDARG00000003607,113
ENSDARG00000003615,25
ENSDARG00000003616,46
ENSDARG00000003631,106
ENSDARG00000003632,0
ENSDARG00000003635,14
ENSDARG00000003641,65
ENSDARG00000003642,11
ENSDARG00000003655,368
ENSDARG00000003675,2
ENSDARG00000003680,281
ENSDARG00000003681,378
ENSDARG00000003684,76
ENSDARG00000003693,84
ENSDARG00000003695,703
ENSDARG00000003697,4
ENSDARG00000003699,104
ENSDARG00000003701,0
ENSDARG00000003705,193
ENSDARG00000003706,27
ENSDARG00000003732,18
ENSDARG00000003749,41
ENSDARG00000003750,60
ENSDARG00000003751,144
ENSDARG00000003754,96
ENSDARG00000003757,6
ENSDARG00000003769,20
ENSDARG00000003776,86
ENSDARG00000003779,154
ENSDARG00000003789,263
ENSDARG00000003795,1074
ENSDARG00000003797,22
ENSDARG00000003803,11
ENSDARG00000003808,66
ENSDARG00000003811,458
ENSDARG00000003818,64
ENSDARG00000003820,125
ENSDARG00000003822,18
ENSDARG00000003827,8
ENSDARG00000003829,99
ENSDARG00000003835,313
ENSDARG00000003841,2
ENSDARG00000003845,48
ENSDARG00000003846,7
ENSDARG00000003854,316
ENSDARG00000003860,72
ENSDARG00000003865,24
ENSDARG00000003866,70
ENSDARG00000003867,57
ENSDARG00000003869,35
ENSDARG00000003872,79
ENSDARG00000003877,165
ENSDARG00000003899,0
ENSDARG00000003900,10
ENSDARG00000003902,373
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,7
ENSDARG00000003910,92
ENSDARG00000003920,218
ENSDARG00000003925,2
ENSDARG00000003927,36
ENSDARG00000003931,96
ENSDARG00000003934,7
ENSDARG00000003938,168
ENSDARG00000003940,24
ENSDARG00000003941,27
ENSDARG00000003944,0
ENSDARG00000003952,472
ENSDARG00000003961,27
ENSDARG00000003963,109
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,30
ENSDARG00000003971,22
ENSDARG00000003973,9
ENSDARG00000003974,71
ENSDARG00000003977,7
ENSDARG00000003984,62
ENSDARG00000003989,85
ENSDARG00000003991,40
ENSDARG00000003994,28
ENSDARG00000003998,16
ENSDARG00000004015,6
ENSDARG00000004017,46
ENSDARG00000004018,8
ENSDARG00000004023,327
ENSDARG00000004034,99
ENSDARG00000004037,30
ENSDARG00000004046,16
ENSDARG00000004049,56
ENSDARG00000004051,2
ENSDARG00000004055,120
ENSDARG00000004059,1
ENSDARG00000004060,652
ENSDARG00000004074,173
ENSDARG00000004078,75
ENSDARG00000004082,22
ENSDARG00000004094,314
ENSDARG00000004105,57
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,34
ENSDARG00000004115,29
ENSDARG00000004130,0
ENSDARG00000004131,21
ENSDARG00000004132,417
ENSDARG00000004150,49
ENSDARG00000004151,32
ENSDARG00000004154,11
ENSDARG00000004158,45
ENSDARG00000004160,78
ENSDARG00000004161,112
ENSDARG00000004167,2
ENSDARG00000004169,94
ENSDARG00000004171,19
ENSDARG00000004173,290
ENSDARG00000004174,709
ENSDARG00000004176,11
ENSDARG00000004177,40
ENSDARG00000004184,193
ENSDARG00000004187,22
ENSDARG00000004189,112
ENSDARG00000004196,123
ENSDARG00000004199,2
ENSDARG00000004204,5
ENSDARG00000004211,38
ENSDARG00000004218,20
ENSDARG00000004219,20
ENSDARG00000004227,50
ENSDARG00000004232,52
ENSDARG00000004243,6
ENSDARG00000004246,241
ENSDARG00000004251,7
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,132
ENSDARG00000004262,7
ENSDARG00000004270,17
ENSDARG00000004274,0
ENSDARG00000004280,20
ENSDARG00000004282,75
ENSDARG00000004291,102
ENSDARG00000004296,56
ENSDARG00000004297,219
ENSDARG00000004301,8
ENSDARG00000004302,20
ENSDARG00000004305,54
ENSDARG00000004306,7
ENSDARG00000004307,9
ENSDARG00000004308,18
ENSDARG00000004311,10
ENSDARG00000004318,21
ENSDARG00000004322,25
ENSDARG00000004325,35
ENSDARG00000004328,1
ENSDARG00000004336,210
ENSDARG00000004343,26
ENSDARG00000004358,48
ENSDARG00000004363,6
