F11,Counts
ENSDARG00000000001,17
ENSDARG00000000002,22
ENSDARG00000000018,40
ENSDARG00000000019,109
ENSDARG00000000068,26
ENSDARG00000000069,78
ENSDARG00000000086,135
ENSDARG00000000103,244
ENSDARG00000000142,4
ENSDARG00000000151,10
ENSDARG00000000161,20
ENSDARG00000000175,21
ENSDARG00000000183,93
ENSDARG00000000189,103
ENSDARG00000000212,178
ENSDARG00000000229,9
ENSDARG00000000241,32
ENSDARG00000000349,0
ENSDARG00000000369,5
ENSDARG00000000370,128
ENSDARG00000000380,16
ENSDARG00000000394,129
ENSDARG00000000423,4
ENSDARG00000000442,7
ENSDARG00000000460,0
ENSDARG00000000472,37
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,17
ENSDARG00000000503,486
ENSDARG00000000516,0
ENSDARG00000000529,11
ENSDARG00000000540,30
ENSDARG00000000542,5
ENSDARG00000000551,21
ENSDARG00000000563,27694
ENSDARG00000000567,34
ENSDARG00000000568,21
ENSDARG00000000588,1
ENSDARG00000000606,2
ENSDARG00000000631,44
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,7
ENSDARG00000000690,10
ENSDARG00000000729,52
ENSDARG00000000730,8
ENSDARG00000000747,3
ENSDARG00000000760,6
ENSDARG00000000767,6
ENSDARG00000000779,54
ENSDARG00000000796,40
ENSDARG00000000804,21
ENSDARG00000000830,0
ENSDARG00000000837,38
ENSDARG00000000853,43
ENSDARG00000000857,9
ENSDARG00000000861,325
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,138
ENSDARG00000000943,50
ENSDARG00000000966,386
ENSDARG00000001014,232
ENSDARG00000001015,43
ENSDARG00000001057,29
ENSDARG00000001127,43
ENSDARG00000001129,147
ENSDARG00000001154,34
ENSDARG00000001162,79
ENSDARG00000001169,2
ENSDARG00000001210,10
ENSDARG00000001220,235
ENSDARG00000001234,37
ENSDARG00000001241,67
ENSDARG00000001244,89
ENSDARG00000001249,0
ENSDARG00000001259,1
ENSDARG00000001303,0
ENSDARG00000001313,49
ENSDARG00000001354,5
ENSDARG00000001414,0
ENSDARG00000001431,812
ENSDARG00000001437,39
ENSDARG00000001442,28
ENSDARG00000001447,1
ENSDARG00000001452,18
ENSDARG00000001463,12
ENSDARG00000001470,46
ENSDARG00000001498,0
ENSDARG00000001549,58
ENSDARG00000001557,3
ENSDARG00000001558,32
ENSDARG00000001559,41
ENSDARG00000001572,0
ENSDARG00000001578,23
ENSDARG00000001621,5
ENSDARG00000001634,34
ENSDARG00000001656,0
ENSDARG00000001676,74
ENSDARG00000001686,6
ENSDARG00000001710,66
ENSDARG00000001712,8
ENSDARG00000001721,0
ENSDARG00000001729,156
ENSDARG00000001733,13
ENSDARG00000001734,13
ENSDARG00000001754,0
ENSDARG00000001760,20
ENSDARG00000001767,4
ENSDARG00000001769,26
ENSDARG00000001771,0
ENSDARG00000001776,2
ENSDARG00000001777,42
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,16
ENSDARG00000001788,101
ENSDARG00000001803,5
ENSDARG00000001804,0
ENSDARG00000001807,43
ENSDARG00000001817,9
ENSDARG00000001818,110
ENSDARG00000001825,0
ENSDARG00000001829,125
ENSDARG00000001835,32
ENSDARG00000001857,307
ENSDARG00000001859,3
ENSDARG00000001870,288
ENSDARG00000001873,8
ENSDARG00000001879,51
ENSDARG00000001880,23
ENSDARG00000001881,10
ENSDARG00000001882,10
ENSDARG00000001888,117
ENSDARG00000001889,82
ENSDARG00000001890,85
ENSDARG00000001891,9
ENSDARG00000001897,42
ENSDARG00000001898,2
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,118
ENSDARG00000001912,0
ENSDARG00000001913,23
ENSDARG00000001929,1
ENSDARG00000001930,10
ENSDARG00000001933,4
ENSDARG00000001937,5
ENSDARG00000001939,19
ENSDARG00000001940,11
ENSDARG00000001950,527
ENSDARG00000001953,19
ENSDARG00000001968,77
ENSDARG00000001969,16
ENSDARG00000001971,5
ENSDARG00000001975,10
ENSDARG00000001976,19
ENSDARG00000001993,16
ENSDARG00000001994,223
ENSDARG00000001999,3
ENSDARG00000002002,4
ENSDARG00000002006,41
ENSDARG00000002013,22
ENSDARG00000002016,0
ENSDARG00000002020,23
ENSDARG00000002021,36
ENSDARG00000002026,62
ENSDARG00000002031,14
ENSDARG00000002037,22
ENSDARG00000002060,11
ENSDARG00000002071,39
ENSDARG00000002077,14
ENSDARG00000002082,17
ENSDARG00000002084,52
ENSDARG00000002097,12
ENSDARG00000002127,71
ENSDARG00000002128,8
ENSDARG00000002131,79
ENSDARG00000002165,0
ENSDARG00000002167,71
ENSDARG00000002168,7
ENSDARG00000002172,0
ENSDARG00000002174,0
ENSDARG00000002184,11
ENSDARG00000002190,58
ENSDARG00000002192,8
ENSDARG00000002193,911
ENSDARG00000002194,0
ENSDARG00000002196,22
ENSDARG00000002197,31
ENSDARG00000002204,31
ENSDARG00000002210,17
ENSDARG00000002213,12
ENSDARG00000002215,19
ENSDARG00000002216,19
ENSDARG00000002217,54
ENSDARG00000002219,2
ENSDARG00000002220,21
ENSDARG00000002230,53
ENSDARG00000002231,12
ENSDARG00000002235,36
ENSDARG00000002240,30
ENSDARG00000002241,6
ENSDARG00000002249,38
ENSDARG00000002255,42
ENSDARG00000002259,0
ENSDARG00000002264,7
ENSDARG00000002267,35
ENSDARG00000002271,67
ENSDARG00000002285,10
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,0
ENSDARG00000002299,1
ENSDARG00000002300,0
ENSDARG00000002304,0
ENSDARG00000002305,66
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,42
ENSDARG00000002333,43
ENSDARG00000002336,87
ENSDARG00000002339,0
ENSDARG00000002344,262
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,19
ENSDARG00000002365,13
ENSDARG00000002369,60
ENSDARG00000002377,6
ENSDARG00000002385,33
ENSDARG00000002391,0
ENSDARG00000002394,5
ENSDARG00000002396,69
ENSDARG00000002401,1
ENSDARG00000002402,13
ENSDARG00000002403,38
ENSDARG00000002405,17
ENSDARG00000002406,0
ENSDARG00000002411,5
ENSDARG00000002445,17
ENSDARG00000002463,0
ENSDARG00000002467,0
ENSDARG00000002479,1
ENSDARG00000002483,0
ENSDARG00000002487,32
ENSDARG00000002494,24
ENSDARG00000002506,0
ENSDARG00000002507,35
ENSDARG00000002508,41
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,84
ENSDARG00000002533,1
ENSDARG00000002536,27
ENSDARG00000002538,14
ENSDARG00000002546,40
ENSDARG00000002549,12
ENSDARG00000002552,77
ENSDARG00000002564,23
ENSDARG00000002571,40
ENSDARG00000002576,9
ENSDARG00000002582,1
ENSDARG00000002587,245
ENSDARG00000002589,362
ENSDARG00000002591,40
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,57
ENSDARG00000002601,3
ENSDARG00000002607,15
ENSDARG00000002609,2
ENSDARG00000002613,2
