F8,Counts
ENSDARG00000000001,0
ENSDARG00000000002,9
ENSDARG00000000018,6
ENSDARG00000000019,78
ENSDARG00000000068,2
ENSDARG00000000069,66
ENSDARG00000000086,98
ENSDARG00000000103,209
ENSDARG00000000142,1
ENSDARG00000000151,10
ENSDARG00000000161,31
ENSDARG00000000175,7
ENSDARG00000000183,30
ENSDARG00000000189,83
ENSDARG00000000212,204
ENSDARG00000000229,28
ENSDARG00000000241,37
ENSDARG00000000349,0
ENSDARG00000000369,4
ENSDARG00000000370,104
ENSDARG00000000380,54
ENSDARG00000000394,60
ENSDARG00000000423,3
ENSDARG00000000442,10
ENSDARG00000000460,0
ENSDARG00000000472,58
ENSDARG00000000474,0
ENSDARG00000000476,9
ENSDARG00000000489,34
ENSDARG00000000503,265
ENSDARG00000000516,0
ENSDARG00000000529,29
ENSDARG00000000540,17
ENSDARG00000000542,9
ENSDARG00000000551,0
ENSDARG00000000563,23994
ENSDARG00000000567,30
ENSDARG00000000568,38
ENSDARG00000000588,0
ENSDARG00000000606,14
ENSDARG00000000631,42
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,3
ENSDARG00000000666,27
ENSDARG00000000690,4
ENSDARG00000000729,39
ENSDARG00000000730,11
ENSDARG00000000747,0
ENSDARG00000000760,14
ENSDARG00000000767,8
ENSDARG00000000779,34
ENSDARG00000000796,11
ENSDARG00000000804,1
ENSDARG00000000830,0
ENSDARG00000000837,37
ENSDARG00000000853,25
ENSDARG00000000857,1
ENSDARG00000000861,190
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,10
ENSDARG00000000943,29
ENSDARG00000000966,326
ENSDARG00000001014,201
ENSDARG00000001015,52
ENSDARG00000001057,34
ENSDARG00000001127,50
ENSDARG00000001129,143
ENSDARG00000001154,74
ENSDARG00000001162,43
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,78
ENSDARG00000001234,36
ENSDARG00000001241,31
ENSDARG00000001244,173
ENSDARG00000001249,0
ENSDARG00000001259,8
ENSDARG00000001303,0
ENSDARG00000001313,14
ENSDARG00000001354,2
ENSDARG00000001414,19
ENSDARG00000001431,573
ENSDARG00000001437,11
ENSDARG00000001442,18
ENSDARG00000001447,3
ENSDARG00000001452,12
ENSDARG00000001463,20
ENSDARG00000001470,36
ENSDARG00000001498,0
ENSDARG00000001549,48
ENSDARG00000001557,4
ENSDARG00000001558,28
ENSDARG00000001559,45
ENSDARG00000001572,0
ENSDARG00000001578,13
ENSDARG00000001621,0
ENSDARG00000001634,89
ENSDARG00000001656,0
ENSDARG00000001676,32
ENSDARG00000001686,0
ENSDARG00000001710,83
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,76
ENSDARG00000001733,8
ENSDARG00000001734,12
ENSDARG00000001754,28
ENSDARG00000001760,41
ENSDARG00000001767,4
ENSDARG00000001769,22
ENSDARG00000001771,0
ENSDARG00000001776,5
ENSDARG00000001777,90
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,18
ENSDARG00000001788,67
ENSDARG00000001803,3
ENSDARG00000001804,0
ENSDARG00000001807,16
ENSDARG00000001817,16
ENSDARG00000001818,139
ENSDARG00000001825,0
ENSDARG00000001829,66
ENSDARG00000001835,3
ENSDARG00000001857,61
ENSDARG00000001859,10
ENSDARG00000001870,485
ENSDARG00000001873,4
ENSDARG00000001879,46
ENSDARG00000001880,37
ENSDARG00000001881,20
ENSDARG00000001882,47
ENSDARG00000001888,13
ENSDARG00000001889,66
ENSDARG00000001890,71
ENSDARG00000001891,2
ENSDARG00000001897,63
ENSDARG00000001898,7
ENSDARG00000001906,0
ENSDARG00000001909,8
ENSDARG00000001910,72
ENSDARG00000001912,1
ENSDARG00000001913,5
ENSDARG00000001929,10
ENSDARG00000001930,20
ENSDARG00000001933,0
ENSDARG00000001937,3
ENSDARG00000001939,8
ENSDARG00000001940,12
ENSDARG00000001950,554
ENSDARG00000001953,36
ENSDARG00000001968,32
ENSDARG00000001969,8
ENSDARG00000001971,5
ENSDARG00000001975,9
ENSDARG00000001976,7
ENSDARG00000001993,37
ENSDARG00000001994,174
ENSDARG00000001999,21
ENSDARG00000002002,2
ENSDARG00000002006,9
ENSDARG00000002013,24
ENSDARG00000002016,0
ENSDARG00000002020,23
ENSDARG00000002021,36
ENSDARG00000002026,17
ENSDARG00000002031,10
ENSDARG00000002037,4
ENSDARG00000002060,0
ENSDARG00000002071,56
ENSDARG00000002077,3
ENSDARG00000002082,36
ENSDARG00000002084,70
ENSDARG00000002097,0
ENSDARG00000002127,38
ENSDARG00000002128,10
ENSDARG00000002131,91
ENSDARG00000002165,2
ENSDARG00000002167,44
ENSDARG00000002168,4
ENSDARG00000002172,14
ENSDARG00000002174,0
ENSDARG00000002184,0
ENSDARG00000002190,66
ENSDARG00000002192,6
ENSDARG00000002193,730
ENSDARG00000002194,0
ENSDARG00000002196,6
ENSDARG00000002197,37
ENSDARG00000002204,0
ENSDARG00000002210,2
ENSDARG00000002213,2
ENSDARG00000002215,23
ENSDARG00000002216,10
ENSDARG00000002217,52
ENSDARG00000002219,5
ENSDARG00000002220,0
ENSDARG00000002230,35
ENSDARG00000002231,6
ENSDARG00000002235,57
