E10,Counts
ENSDARG00000002467,0
ENSDARG00000002479,2
ENSDARG00000002483,0
ENSDARG00000002487,0
ENSDARG00000002494,0
ENSDARG00000002506,0
ENSDARG00000002507,2
ENSDARG00000002508,1
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,0
ENSDARG00000002533,0
ENSDARG00000002536,3
ENSDARG00000002538,1
ENSDARG00000002546,0
ENSDARG00000002549,0
ENSDARG00000002552,5
ENSDARG00000002564,4
ENSDARG00000002571,0
ENSDARG00000002576,0
ENSDARG00000002582,0
ENSDARG00000002587,5
ENSDARG00000002589,30
ENSDARG00000002591,3
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,3
ENSDARG00000002601,0
ENSDARG00000002607,0
ENSDARG00000002609,0
ENSDARG00000002613,0
ENSDARG00000002632,35
ENSDARG00000002634,0
ENSDARG00000002635,7
ENSDARG00000002642,0
ENSDARG00000002644,0
ENSDARG00000002656,0
ENSDARG00000002659,9
ENSDARG00000002663,0
ENSDARG00000002666,0
ENSDARG00000002670,0
ENSDARG00000002682,0
ENSDARG00000002685,0
ENSDARG00000002690,0
ENSDARG00000002696,12
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,37
ENSDARG00000002720,0
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,5
ENSDARG00000002732,0
ENSDARG00000002745,4
ENSDARG00000002748,4
ENSDARG00000002750,0
ENSDARG00000002754,0
ENSDARG00000002758,17
ENSDARG00000002760,0
ENSDARG00000002764,0
ENSDARG00000002768,63
ENSDARG00000002771,5
ENSDARG00000002779,0
ENSDARG00000002787,17
ENSDARG00000002790,32
ENSDARG00000002791,20
ENSDARG00000002792,0
ENSDARG00000002795,0
ENSDARG00000002797,0
ENSDARG00000002798,0
ENSDARG00000002816,0
ENSDARG00000002826,0
ENSDARG00000002830,0
ENSDARG00000002831,0
ENSDARG00000002840,0
ENSDARG00000002847,0
ENSDARG00000002872,0
ENSDARG00000002877,3
ENSDARG00000002880,6
ENSDARG00000002894,0
ENSDARG00000002897,0
ENSDARG00000002909,0
ENSDARG00000002912,0
ENSDARG00000002916,0
ENSDARG00000002917,0
ENSDARG00000002933,0
ENSDARG00000002937,4
ENSDARG00000002945,0
ENSDARG00000002947,0
ENSDARG00000002949,20
ENSDARG00000002952,0
ENSDARG00000002956,4
ENSDARG00000002959,0
ENSDARG00000002967,3
ENSDARG00000002968,4
ENSDARG00000002970,1
ENSDARG00000002971,0
ENSDARG00000002986,0
ENSDARG00000002988,0
ENSDARG00000002991,2
ENSDARG00000002994,0
ENSDARG00000003008,6
ENSDARG00000003017,5
ENSDARG00000003020,0
ENSDARG00000003021,2
ENSDARG00000003022,0
ENSDARG00000003027,0
ENSDARG00000003032,20
ENSDARG00000003035,7
ENSDARG00000003041,0
ENSDARG00000003046,7
ENSDARG00000003054,0
ENSDARG00000003058,0
ENSDARG00000003061,0
ENSDARG00000003068,1
ENSDARG00000003069,6
ENSDARG00000003077,0
ENSDARG00000003081,179
ENSDARG00000003084,0
ENSDARG00000003085,2
ENSDARG00000003087,0
ENSDARG00000003090,0
ENSDARG00000003091,0
ENSDARG00000003098,4
ENSDARG00000003109,1
ENSDARG00000003113,40
ENSDARG00000003127,0
ENSDARG00000003132,0
ENSDARG00000003142,0
ENSDARG00000003144,0
ENSDARG00000003146,0
ENSDARG00000003151,21
ENSDARG00000003153,0
ENSDARG00000003157,0
ENSDARG00000003165,38
ENSDARG00000003167,2
ENSDARG00000003169,13
ENSDARG00000003175,4
ENSDARG00000003181,0
ENSDARG00000003189,4
ENSDARG00000003193,0
ENSDARG00000003197,0
ENSDARG00000003200,0
ENSDARG00000003203,0
ENSDARG00000003205,0
ENSDARG00000003206,0
ENSDARG00000003207,0
ENSDARG00000003208,0
ENSDARG00000003210,0
ENSDARG00000003213,23
ENSDARG00000003216,1
ENSDARG00000003217,2
ENSDARG00000003219,0
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,0
ENSDARG00000003250,0
ENSDARG00000003251,0
ENSDARG00000003257,0
ENSDARG00000003259,0
ENSDARG00000003269,3
ENSDARG00000003270,4
ENSDARG00000003281,0
ENSDARG00000003287,0
ENSDARG00000003290,0
ENSDARG00000003293,7
ENSDARG00000003303,0
ENSDARG00000003307,1
ENSDARG00000003308,0
ENSDARG00000003311,0
ENSDARG00000003313,0
ENSDARG00000003320,11
ENSDARG00000003326,0
ENSDARG00000003328,0
ENSDARG00000003344,0
ENSDARG00000003373,0
ENSDARG00000003375,0
ENSDARG00000003380,5
ENSDARG00000003381,0
ENSDARG00000003382,0
ENSDARG00000003383,2
ENSDARG00000003395,0
ENSDARG00000003398,0
ENSDARG00000003399,0
ENSDARG00000003403,4
ENSDARG00000003411,0
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,0
ENSDARG00000003429,0
ENSDARG00000003444,0
ENSDARG00000003446,0
ENSDARG00000003449,4
ENSDARG00000003462,15
ENSDARG00000003469,0
ENSDARG00000003475,3
ENSDARG00000003486,2
ENSDARG00000003487,16
ENSDARG00000003495,2
ENSDARG00000003512,4
ENSDARG00000003517,0
ENSDARG00000003519,0
ENSDARG00000003520,1
ENSDARG00000003523,0
ENSDARG00000003526,0
ENSDARG00000003527,0
ENSDARG00000003531,5
ENSDARG00000003533,0
ENSDARG00000003544,0
ENSDARG00000003553,0
ENSDARG00000003564,0
ENSDARG00000003570,14
ENSDARG00000003573,2
ENSDARG00000003576,0
ENSDARG00000003584,0
ENSDARG00000003592,0
ENSDARG00000003599,125
ENSDARG00000003607,1
ENSDARG00000003615,0
ENSDARG00000003616,0
ENSDARG00000003631,0
ENSDARG00000003632,0
ENSDARG00000003635,3
ENSDARG00000003641,0
ENSDARG00000003642,1
ENSDARG00000003655,12
ENSDARG00000003675,0
ENSDARG00000003680,7
ENSDARG00000003681,27
ENSDARG00000003684,0
ENSDARG00000003693,1
ENSDARG00000003695,6
ENSDARG00000003697,0
ENSDARG00000003699,5
ENSDARG00000003701,0
ENSDARG00000003705,5
ENSDARG00000003706,0
ENSDARG00000003732,0
ENSDARG00000003749,0
ENSDARG00000003750,10
ENSDARG00000003751,5
ENSDARG00000003754,2
ENSDARG00000003757,0
ENSDARG00000003769,0
ENSDARG00000003776,0
ENSDARG00000003779,13
ENSDARG00000003789,3
ENSDARG00000003795,11
ENSDARG00000003797,0
ENSDARG00000003803,0
ENSDARG00000003808,0
ENSDARG00000003811,5
ENSDARG00000003818,0
ENSDARG00000003820,0
ENSDARG00000003822,0
ENSDARG00000003827,0
ENSDARG00000003829,0
ENSDARG00000003835,2
ENSDARG00000003841,0
ENSDARG00000003845,2
ENSDARG00000003846,0
ENSDARG00000003854,5
ENSDARG00000003860,0
ENSDARG00000003865,0
ENSDARG00000003866,2
ENSDARG00000003867,0
ENSDARG00000003869,0
ENSDARG00000003872,0
ENSDARG00000003877,2
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,18
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,0
ENSDARG00000003920,3
ENSDARG00000003925,0
ENSDARG00000003927,5
ENSDARG00000003931,2
ENSDARG00000003934,0
ENSDARG00000003938,6
ENSDARG00000003940,3
ENSDARG00000003941,0
ENSDARG00000003944,0
ENSDARG00000003952,4
ENSDARG00000003961,0
ENSDARG00000003963,0
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,7
ENSDARG00000003971,0
ENSDARG00000003973,0
ENSDARG00000003974,0
ENSDARG00000003977,0
ENSDARG00000003984,0
ENSDARG00000003989,0
ENSDARG00000003991,0
ENSDARG00000003994,0
ENSDARG00000003998,0
ENSDARG00000004015,0
ENSDARG00000004017,1
ENSDARG00000004018,0
ENSDARG00000004023,2
ENSDARG00000004034,1
ENSDARG00000004037,0
ENSDARG00000004046,3
ENSDARG00000004049,0
ENSDARG00000004051,0
ENSDARG00000004055,0
ENSDARG00000004059,0
ENSDARG00000004060,13
ENSDARG00000004074,1
ENSDARG00000004078,1
ENSDARG00000004082,0
ENSDARG00000004094,6
ENSDARG00000004105,15
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,0
ENSDARG00000004115,4
ENSDARG00000004130,0
ENSDARG00000004131,0
ENSDARG00000004132,0
ENSDARG00000004150,0
ENSDARG00000004151,0
ENSDARG00000004154,0
ENSDARG00000004158,0
ENSDARG00000004160,0
ENSDARG00000004161,9
ENSDARG00000004167,0
ENSDARG00000004169,3
ENSDARG00000004171,0
ENSDARG00000004173,8
ENSDARG00000004174,2
ENSDARG00000004176,0
ENSDARG00000004177,0
ENSDARG00000004184,0
ENSDARG00000004187,0
ENSDARG00000004189,0
ENSDARG00000004196,3
ENSDARG00000004199,0
ENSDARG00000004204,0
ENSDARG00000004211,0
ENSDARG00000004218,0
ENSDARG00000004219,0
ENSDARG00000004227,0
ENSDARG00000004232,2
ENSDARG00000004243,0
ENSDARG00000004246,20
ENSDARG00000004251,0
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,1
ENSDARG00000004262,3
ENSDARG00000004270,0
ENSDARG00000004274,0
ENSDARG00000004280,17
ENSDARG00000004282,0
ENSDARG00000004291,2
ENSDARG00000004296,0
ENSDARG00000004297,5
ENSDARG00000004301,0
ENSDARG00000004302,0
ENSDARG00000004305,0
ENSDARG00000004306,5
ENSDARG00000004307,0
ENSDARG00000004308,0
ENSDARG00000004311,0
ENSDARG00000004318,0
ENSDARG00000004322,0
ENSDARG00000004325,0
ENSDARG00000004328,0
ENSDARG00000004336,3
ENSDARG00000004343,0
ENSDARG00000004358,0
ENSDARG00000004363,0
ENSDARG00000004372,0
ENSDARG00000004377,1
ENSDARG00000004378,0
ENSDARG00000004386,0
ENSDARG00000004392,0
ENSDARG00000004396,5
ENSDARG00000004402,5
ENSDARG00000004405,0
ENSDARG00000004406,0
ENSDARG00000004415,2
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,0
ENSDARG00000004445,0
ENSDARG00000004447,0
ENSDARG00000004451,0
ENSDARG00000004452,14
ENSDARG00000004455,0
ENSDARG00000004459,4
ENSDARG00000004460,0
ENSDARG00000004470,0
ENSDARG00000004472,0
ENSDARG00000004473,0
ENSDARG00000004492,0
ENSDARG00000004497,0
ENSDARG00000004498,0
ENSDARG00000004502,0
ENSDARG00000004517,0
ENSDARG00000004525,0
ENSDARG00000004527,0
ENSDARG00000004529,0
ENSDARG00000004537,23
ENSDARG00000004539,0
ENSDARG00000004561,0
ENSDARG00000004574,3
ENSDARG00000004576,0
ENSDARG00000004580,1
ENSDARG00000004581,0
ENSDARG00000004586,0
ENSDARG00000004587,1
ENSDARG00000004588,10
ENSDARG00000004592,0
ENSDARG00000004594,0
ENSDARG00000004597,6
ENSDARG00000004598,0
ENSDARG00000004616,0
ENSDARG00000004618,0
ENSDARG00000004621,28
ENSDARG00000004627,0
ENSDARG00000004632,0
ENSDARG00000004633,0
ENSDARG00000004634,0
ENSDARG00000004635,5
ENSDARG00000004636,0
ENSDARG00000004643,0
ENSDARG00000004647,0
ENSDARG00000004648,0
ENSDARG00000004658,1
ENSDARG00000004672,0
ENSDARG00000004680,0
ENSDARG00000004687,0
ENSDARG00000004692,2
ENSDARG00000004695,0
ENSDARG00000004696,0
ENSDARG00000004697,0
ENSDARG00000004702,1
ENSDARG00000004706,0
ENSDARG00000004712,0
ENSDARG00000004713,0
ENSDARG00000004714,0
ENSDARG00000004721,0
ENSDARG00000004724,0
ENSDARG00000004726,0
ENSDARG00000004735,3
ENSDARG00000004745,0
ENSDARG00000004748,0
ENSDARG00000004753,9
ENSDARG00000004754,0
ENSDARG00000004757,54
ENSDARG00000004763,0
ENSDARG00000004771,0
ENSDARG00000004774,0
ENSDARG00000004782,5
ENSDARG00000004785,11
ENSDARG00000004789,0
ENSDARG00000004794,0
ENSDARG00000004796,2
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,5
ENSDARG00000004836,1
ENSDARG00000004840,0
ENSDARG00000004843,0
ENSDARG00000004851,0
ENSDARG00000004861,6
ENSDARG00000004864,0
ENSDARG00000004866,0
ENSDARG00000004869,0
ENSDARG00000004870,0
ENSDARG00000004871,0
ENSDARG00000004874,0
ENSDARG00000004875,0
ENSDARG00000004877,0
ENSDARG00000004880,0
ENSDARG00000004889,0
ENSDARG00000004891,0
ENSDARG00000004898,0
ENSDARG00000004904,0
ENSDARG00000004906,1
ENSDARG00000004925,0
ENSDARG00000004930,20
ENSDARG00000004931,0
ENSDARG00000004932,0
ENSDARG00000004937,0
ENSDARG00000004939,0
ENSDARG00000004948,1
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,0
ENSDARG00000004956,0
ENSDARG00000004964,3
ENSDARG00000004979,0
ENSDARG00000004988,0
ENSDARG00000005002,1
ENSDARG00000005004,3
ENSDARG00000005010,0
ENSDARG00000005015,0
ENSDARG00000005023,0
ENSDARG00000005026,25
ENSDARG00000005034,0
ENSDARG00000005049,0
ENSDARG00000005050,0
ENSDARG00000005057,0
ENSDARG00000005058,0
ENSDARG00000005078,0
ENSDARG00000005085,0
ENSDARG00000005092,6
ENSDARG00000005095,4
ENSDARG00000005098,0
ENSDARG00000005104,2
ENSDARG00000005108,0
ENSDARG00000005112,6
ENSDARG00000005115,0
ENSDARG00000005122,10
ENSDARG00000005126,0
ENSDARG00000005128,0
ENSDARG00000005134,3
ENSDARG00000005139,4
ENSDARG00000005141,0
