.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
pearson_fitted,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
pearson_fitted,1decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,1octanol,10,10,10,10,10,0,0.001,10.0000000
pearson_fitted,24DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,24DNP,10,10,10,10,10,0,0.001,10.0000000
pearson_fitted,34DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,4C3MP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
pearson_fitted,4TPP,0.8911011755212506,0.9842863982515114,0.6704913781279447,0.8476845270559743,0.96801891617782,0.5,9.999999999999999e-5,1.0000000
pearson_fitted,Aniline,10,10,10,10,10,0,0.001,10.0000000
pearson_fitted,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,ClofibricAcid,10,10,10,10,10,0,0.001,10.0000000
pearson_fitted,DES,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
pearson_fitted,Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
pearson_fitted,DMSO,10,10,10,10,10,0,0.001,10.0000000
pearson_fitted,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
pearson_fitted,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,Fenitrothion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.4,9.999999999999999e-6,0.1000000
pearson_fitted,Flutamide,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,Malathion,1,1,1,1,1,0.2,9.999999999999999e-5,1.0000000
pearson_fitted,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
pearson_fitted,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
pearson_fitted,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
pearson_fitted,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
pearson_fitted,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
