.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
z_score_pos_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,24-DNP,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,34-DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,4-TPP,0.02432506038216201,0.02434077659594013,0.010959407096489423,0.02895319539642779,0.12519925270127283,1,9.999999999999999e-5,1.0000000
z_score_pos_dir,4C3MP,0.8837712192751059,1,0.2083744348282902,0.718180475165768,0.9257648688153788,0.15,9.999999999999999e-5,1.0000000
z_score_pos_dir,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Aniline,10,10,1.4744295404092465,5.815797793819745,10,0.15,0.001,10.0000000
z_score_pos_dir,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,DES,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,DMSO,10,10,10,10,10,0,0.001,10.0000000
z_score_pos_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
z_score_pos_dir,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Fenitrothione,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,Flutamide,0.003655916063764463,0.004941487522024009,9.518445990870555e-4,0.006427964856289287,0.2896695725821427,0.94,9.999999999999999e-5,1.0000000
z_score_pos_dir,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
z_score_pos_dir,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_pos_dir,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
z_score_pos_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_pos_dir,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.06,9.999999999999999e-6,0.1000000
z_score_pos_dir,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
