F7,Counts
ENSDARG00000002467,0
ENSDARG00000002479,0
ENSDARG00000002483,0
ENSDARG00000002487,4
ENSDARG00000002494,5
ENSDARG00000002506,3
ENSDARG00000002507,1
ENSDARG00000002508,0
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,3
ENSDARG00000002533,2
ENSDARG00000002536,21
ENSDARG00000002538,8
ENSDARG00000002546,0
ENSDARG00000002549,28
ENSDARG00000002552,26
ENSDARG00000002564,17
ENSDARG00000002571,0
ENSDARG00000002576,2
ENSDARG00000002582,0
ENSDARG00000002587,60
ENSDARG00000002589,70
ENSDARG00000002591,6
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,38
ENSDARG00000002601,0
ENSDARG00000002607,1
ENSDARG00000002609,0
ENSDARG00000002613,0
ENSDARG00000002632,9
ENSDARG00000002634,8
ENSDARG00000002635,8
ENSDARG00000002642,0
ENSDARG00000002644,11
ENSDARG00000002656,17
ENSDARG00000002659,36
ENSDARG00000002663,0
ENSDARG00000002666,0
ENSDARG00000002670,21
ENSDARG00000002682,4
ENSDARG00000002685,0
ENSDARG00000002690,0
ENSDARG00000002696,113
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,152
ENSDARG00000002720,4
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,10
ENSDARG00000002732,4
ENSDARG00000002745,50
ENSDARG00000002748,3
ENSDARG00000002750,3
ENSDARG00000002754,1
ENSDARG00000002758,159
ENSDARG00000002760,0
ENSDARG00000002764,0
ENSDARG00000002768,353
ENSDARG00000002771,31
ENSDARG00000002779,0
ENSDARG00000002787,12
ENSDARG00000002790,52
ENSDARG00000002791,132
ENSDARG00000002792,28
ENSDARG00000002795,4
ENSDARG00000002797,0
ENSDARG00000002798,1
ENSDARG00000002816,0
ENSDARG00000002826,1
ENSDARG00000002830,0
ENSDARG00000002831,0
ENSDARG00000002840,30
ENSDARG00000002847,1
ENSDARG00000002872,7
ENSDARG00000002877,26
ENSDARG00000002880,16
ENSDARG00000002894,4
ENSDARG00000002897,13
ENSDARG00000002909,2
ENSDARG00000002912,5
ENSDARG00000002916,19
ENSDARG00000002917,0
ENSDARG00000002933,17
ENSDARG00000002937,7
ENSDARG00000002945,0
ENSDARG00000002947,0
ENSDARG00000002949,14
ENSDARG00000002952,22
ENSDARG00000002956,0
ENSDARG00000002959,0
ENSDARG00000002967,3
ENSDARG00000002968,10
ENSDARG00000002970,31
ENSDARG00000002971,1
ENSDARG00000002986,0
ENSDARG00000002988,9
ENSDARG00000002991,3
ENSDARG00000002994,1
ENSDARG00000003008,17
ENSDARG00000003017,5
ENSDARG00000003020,16
ENSDARG00000003021,2
ENSDARG00000003022,1
ENSDARG00000003027,0
ENSDARG00000003032,129
ENSDARG00000003035,92
ENSDARG00000003041,3
ENSDARG00000003046,22
ENSDARG00000003054,0
ENSDARG00000003058,0
ENSDARG00000003061,0
ENSDARG00000003068,14
ENSDARG00000003069,9
ENSDARG00000003077,2
ENSDARG00000003081,867
ENSDARG00000003084,23
ENSDARG00000003085,0
ENSDARG00000003087,10
ENSDARG00000003090,0
ENSDARG00000003091,0
ENSDARG00000003098,91
ENSDARG00000003109,4
ENSDARG00000003113,10
ENSDARG00000003127,10
ENSDARG00000003132,13
ENSDARG00000003142,22
ENSDARG00000003144,0
ENSDARG00000003146,26
ENSDARG00000003151,14
ENSDARG00000003153,2
ENSDARG00000003157,0
ENSDARG00000003165,1
ENSDARG00000003167,3
ENSDARG00000003169,55
ENSDARG00000003175,1
ENSDARG00000003181,1
ENSDARG00000003189,14
ENSDARG00000003193,0
ENSDARG00000003197,0
ENSDARG00000003200,3
ENSDARG00000003203,40
ENSDARG00000003205,2
ENSDARG00000003206,3
ENSDARG00000003207,14
ENSDARG00000003208,0
ENSDARG00000003210,1
ENSDARG00000003213,29
ENSDARG00000003216,39
ENSDARG00000003217,27
ENSDARG00000003219,7
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,0
ENSDARG00000003250,0
ENSDARG00000003251,8
ENSDARG00000003257,0
ENSDARG00000003259,0
ENSDARG00000003269,24
ENSDARG00000003270,35
ENSDARG00000003281,20
ENSDARG00000003287,0
ENSDARG00000003290,1
ENSDARG00000003293,24
ENSDARG00000003303,0
ENSDARG00000003307,7
ENSDARG00000003308,24
ENSDARG00000003311,5
ENSDARG00000003313,1
ENSDARG00000003320,17
ENSDARG00000003326,0
ENSDARG00000003328,9
ENSDARG00000003344,0
ENSDARG00000003373,0
ENSDARG00000003375,6
ENSDARG00000003380,0
ENSDARG00000003381,7
ENSDARG00000003382,3
ENSDARG00000003383,8
ENSDARG00000003395,26
ENSDARG00000003398,5
ENSDARG00000003399,6
ENSDARG00000003403,12
ENSDARG00000003411,6
ENSDARG00000003414,0
ENSDARG00000003420,8
ENSDARG00000003421,13
ENSDARG00000003429,25
ENSDARG00000003444,4
ENSDARG00000003446,2
ENSDARG00000003449,1
ENSDARG00000003462,22
ENSDARG00000003469,0
ENSDARG00000003475,0
ENSDARG00000003486,49
ENSDARG00000003487,14
ENSDARG00000003495,147
ENSDARG00000003512,60
ENSDARG00000003517,0
ENSDARG00000003519,0
ENSDARG00000003520,6
ENSDARG00000003523,0
ENSDARG00000003526,26
ENSDARG00000003527,8
ENSDARG00000003531,5
ENSDARG00000003533,0
ENSDARG00000003544,12
ENSDARG00000003553,0
ENSDARG00000003564,0
ENSDARG00000003570,17
ENSDARG00000003573,2
ENSDARG00000003576,3
ENSDARG00000003584,3
ENSDARG00000003592,0
ENSDARG00000003599,758
ENSDARG00000003607,19
ENSDARG00000003615,0
ENSDARG00000003616,17
ENSDARG00000003631,32
ENSDARG00000003632,2
ENSDARG00000003635,0
ENSDARG00000003641,23
ENSDARG00000003642,2
ENSDARG00000003655,80
ENSDARG00000003675,0
ENSDARG00000003680,36
ENSDARG00000003681,34
ENSDARG00000003684,19
ENSDARG00000003693,8
ENSDARG00000003695,44
ENSDARG00000003697,0
ENSDARG00000003699,9
ENSDARG00000003701,0
ENSDARG00000003705,26
ENSDARG00000003706,0
ENSDARG00000003732,19
ENSDARG00000003749,6
ENSDARG00000003750,6
ENSDARG00000003751,16
ENSDARG00000003754,8
ENSDARG00000003757,0
ENSDARG00000003769,9
ENSDARG00000003776,13
ENSDARG00000003779,44
ENSDARG00000003789,8
ENSDARG00000003795,87
ENSDARG00000003797,0
ENSDARG00000003803,6
ENSDARG00000003808,2
ENSDARG00000003811,22
ENSDARG00000003818,16
ENSDARG00000003820,26
ENSDARG00000003822,0
ENSDARG00000003827,5
ENSDARG00000003829,22
ENSDARG00000003835,37
ENSDARG00000003841,2
ENSDARG00000003845,5
ENSDARG00000003846,0
ENSDARG00000003854,51
ENSDARG00000003860,17
