D5,Counts
ENSDARG00000002463,4
ENSDARG00000002467,24
ENSDARG00000002479,77
ENSDARG00000002483,6
ENSDARG00000002487,152
ENSDARG00000002494,64
ENSDARG00000002506,15
ENSDARG00000002507,86
ENSDARG00000002508,85
ENSDARG00000002509,0
ENSDARG00000002510,8
ENSDARG00000002523,353
ENSDARG00000002533,2
ENSDARG00000002536,157
ENSDARG00000002538,106
ENSDARG00000002546,43
ENSDARG00000002549,16
ENSDARG00000002552,329
ENSDARG00000002564,81
ENSDARG00000002571,134
ENSDARG00000002576,60
ENSDARG00000002582,80
ENSDARG00000002587,525
ENSDARG00000002589,1619
ENSDARG00000002591,104
ENSDARG00000002593,16
ENSDARG00000002597,0
ENSDARG00000002600,149
ENSDARG00000002601,6
ENSDARG00000002607,27
ENSDARG00000002609,38
ENSDARG00000002613,9
ENSDARG00000002632,225
ENSDARG00000002634,33
ENSDARG00000002635,176
ENSDARG00000002642,99
ENSDARG00000002644,123
ENSDARG00000002656,124
ENSDARG00000002659,172
ENSDARG00000002663,43
ENSDARG00000002666,10
ENSDARG00000002670,109
ENSDARG00000002682,105
ENSDARG00000002685,0
ENSDARG00000002690,97
ENSDARG00000002696,724
ENSDARG00000002701,7
ENSDARG00000002707,0
ENSDARG00000002710,2165
ENSDARG00000002720,55
ENSDARG00000002722,1
ENSDARG00000002728,0
ENSDARG00000002731,497
ENSDARG00000002732,70
ENSDARG00000002745,737
ENSDARG00000002748,91
ENSDARG00000002750,35
ENSDARG00000002754,15
ENSDARG00000002758,1231
ENSDARG00000002760,30
ENSDARG00000002764,105
ENSDARG00000002768,9429
ENSDARG00000002771,52
ENSDARG00000002779,6
ENSDARG00000002787,116
ENSDARG00000002790,623
ENSDARG00000002791,2337
ENSDARG00000002792,232
ENSDARG00000002795,47
ENSDARG00000002797,0
ENSDARG00000002798,38
ENSDARG00000002816,63
ENSDARG00000002826,22
ENSDARG00000002830,8
ENSDARG00000002831,37
ENSDARG00000002840,167
ENSDARG00000002847,93
ENSDARG00000002872,40
ENSDARG00000002877,237
ENSDARG00000002880,206
ENSDARG00000002894,17
ENSDARG00000002897,93
ENSDARG00000002909,164
ENSDARG00000002912,78
ENSDARG00000002916,272
ENSDARG00000002917,5
ENSDARG00000002933,31
ENSDARG00000002937,215
ENSDARG00000002945,48
ENSDARG00000002947,115
ENSDARG00000002949,309
ENSDARG00000002952,149
ENSDARG00000002956,32
ENSDARG00000002959,0
ENSDARG00000002967,239
ENSDARG00000002968,489
ENSDARG00000002970,114
ENSDARG00000002971,101
ENSDARG00000002986,75
ENSDARG00000002988,436
ENSDARG00000002991,103
ENSDARG00000002994,120
ENSDARG00000003008,188
ENSDARG00000003017,77
ENSDARG00000003020,82
ENSDARG00000003021,15
ENSDARG00000003022,78
ENSDARG00000003027,18
ENSDARG00000003032,2634
ENSDARG00000003035,1145
ENSDARG00000003041,19
ENSDARG00000003046,59
ENSDARG00000003054,7
ENSDARG00000003058,119
ENSDARG00000003061,63
ENSDARG00000003068,208
ENSDARG00000003069,46
ENSDARG00000003077,9
ENSDARG00000003081,13825
ENSDARG00000003084,20
ENSDARG00000003085,36
ENSDARG00000003087,303
ENSDARG00000003090,0
ENSDARG00000003091,120
ENSDARG00000003098,598
ENSDARG00000003109,89
ENSDARG00000003113,526
ENSDARG00000003127,116
ENSDARG00000003132,73
ENSDARG00000003142,27
ENSDARG00000003144,32
ENSDARG00000003146,27
ENSDARG00000003151,661
ENSDARG00000003153,47
ENSDARG00000003157,50
ENSDARG00000003165,132
ENSDARG00000003167,70
ENSDARG00000003169,473
ENSDARG00000003175,124
ENSDARG00000003181,14
ENSDARG00000003189,401
ENSDARG00000003193,32
ENSDARG00000003197,2
ENSDARG00000003200,66
ENSDARG00000003203,359
