B9,Counts
ENSDARG00000002467,18
ENSDARG00000002479,47
ENSDARG00000002483,11
ENSDARG00000002487,51
ENSDARG00000002494,75
ENSDARG00000002506,24
ENSDARG00000002507,33
ENSDARG00000002508,26
ENSDARG00000002509,0
ENSDARG00000002510,19
ENSDARG00000002523,177
ENSDARG00000002533,19
ENSDARG00000002536,73
ENSDARG00000002538,67
ENSDARG00000002546,16
ENSDARG00000002549,24
ENSDARG00000002552,146
ENSDARG00000002564,47
ENSDARG00000002571,90
ENSDARG00000002576,17
ENSDARG00000002582,47
ENSDARG00000002587,497
ENSDARG00000002589,395
ENSDARG00000002591,66
ENSDARG00000002593,18
ENSDARG00000002597,0
ENSDARG00000002600,158
ENSDARG00000002601,8
ENSDARG00000002607,31
ENSDARG00000002609,59
ENSDARG00000002613,10
ENSDARG00000002632,54
ENSDARG00000002634,20
ENSDARG00000002635,194
ENSDARG00000002642,25
ENSDARG00000002644,69
ENSDARG00000002656,229
ENSDARG00000002659,189
ENSDARG00000002663,21
ENSDARG00000002666,10
ENSDARG00000002670,125
ENSDARG00000002682,80
ENSDARG00000002685,6
ENSDARG00000002690,36
ENSDARG00000002696,788
ENSDARG00000002701,1
ENSDARG00000002707,0
ENSDARG00000002710,702
ENSDARG00000002720,59
ENSDARG00000002722,0
ENSDARG00000002728,2
ENSDARG00000002731,128
ENSDARG00000002732,19
ENSDARG00000002745,232
ENSDARG00000002748,81
ENSDARG00000002750,72
ENSDARG00000002754,7
ENSDARG00000002758,1199
ENSDARG00000002760,20
ENSDARG00000002764,2
ENSDARG00000002768,2407
ENSDARG00000002771,15
ENSDARG00000002779,7
ENSDARG00000002787,100
ENSDARG00000002790,314
ENSDARG00000002791,1433
ENSDARG00000002792,104
ENSDARG00000002795,26
ENSDARG00000002797,0
ENSDARG00000002798,36
ENSDARG00000002816,58
ENSDARG00000002826,10
ENSDARG00000002830,0
ENSDARG00000002831,2
ENSDARG00000002840,167
ENSDARG00000002847,31
ENSDARG00000002872,38
ENSDARG00000002877,129
ENSDARG00000002880,94
ENSDARG00000002894,9
ENSDARG00000002897,72
ENSDARG00000002909,44
ENSDARG00000002912,24
ENSDARG00000002916,138
ENSDARG00000002917,3
ENSDARG00000002933,69
ENSDARG00000002937,105
ENSDARG00000002945,12
ENSDARG00000002947,30
ENSDARG00000002949,100
ENSDARG00000002952,80
ENSDARG00000002956,10
ENSDARG00000002959,0
ENSDARG00000002967,65
ENSDARG00000002968,86
ENSDARG00000002970,117
ENSDARG00000002971,29
ENSDARG00000002986,23
ENSDARG00000002988,145
ENSDARG00000002991,112
ENSDARG00000002994,55
ENSDARG00000003008,239
ENSDARG00000003017,39
ENSDARG00000003020,62
ENSDARG00000003021,30
ENSDARG00000003022,16
ENSDARG00000003027,8
ENSDARG00000003032,1519
ENSDARG00000003035,615
ENSDARG00000003041,38
ENSDARG00000003046,77
ENSDARG00000003054,39
ENSDARG00000003058,40
ENSDARG00000003061,61
ENSDARG00000003068,110
ENSDARG00000003069,32
ENSDARG00000003077,32
ENSDARG00000003081,6355
ENSDARG00000003084,17
ENSDARG00000003085,27
ENSDARG00000003087,163
ENSDARG00000003090,0
ENSDARG00000003091,76
