G8,Counts
ENSDARG00000000001,28
ENSDARG00000000002,71
ENSDARG00000000018,48
ENSDARG00000000019,344
ENSDARG00000000068,12
ENSDARG00000000069,120
ENSDARG00000000086,533
ENSDARG00000000103,733
ENSDARG00000000142,1
ENSDARG00000000151,86
ENSDARG00000000161,143
ENSDARG00000000175,12
ENSDARG00000000183,367
ENSDARG00000000189,406
ENSDARG00000000212,309
ENSDARG00000000229,93
ENSDARG00000000241,158
ENSDARG00000000349,0
ENSDARG00000000369,4
ENSDARG00000000370,718
ENSDARG00000000380,105
ENSDARG00000000394,343
ENSDARG00000000423,63
ENSDARG00000000442,50
ENSDARG00000000460,0
ENSDARG00000000472,101
ENSDARG00000000474,0
ENSDARG00000000476,16
ENSDARG00000000489,68
ENSDARG00000000503,1494
ENSDARG00000000516,1
ENSDARG00000000529,48
ENSDARG00000000540,89
ENSDARG00000000542,55
ENSDARG00000000551,56
ENSDARG00000000563,37384
ENSDARG00000000567,191
ENSDARG00000000568,135
ENSDARG00000000588,34
ENSDARG00000000606,0
ENSDARG00000000631,99
ENSDARG00000000638,0
ENSDARG00000000651,23
ENSDARG00000000656,0
ENSDARG00000000666,57
ENSDARG00000000690,9
ENSDARG00000000729,89
ENSDARG00000000730,13
ENSDARG00000000747,0
ENSDARG00000000760,41
ENSDARG00000000767,14
ENSDARG00000000779,164
ENSDARG00000000796,23
ENSDARG00000000804,2
ENSDARG00000000830,20
ENSDARG00000000837,103
ENSDARG00000000853,141
ENSDARG00000000857,11
ENSDARG00000000861,1019
ENSDARG00000000887,3
ENSDARG00000000906,0
ENSDARG00000000935,86
ENSDARG00000000943,132
ENSDARG00000000966,1560
ENSDARG00000001014,553
ENSDARG00000001015,288
ENSDARG00000001057,140
ENSDARG00000001127,265
ENSDARG00000001129,355
ENSDARG00000001154,295
ENSDARG00000001162,332
ENSDARG00000001169,16
ENSDARG00000001210,11
ENSDARG00000001220,1050
ENSDARG00000001234,139
ENSDARG00000001241,283
ENSDARG00000001244,798
ENSDARG00000001249,5
ENSDARG00000001259,9
ENSDARG00000001303,0
ENSDARG00000001313,7
ENSDARG00000001354,1
ENSDARG00000001414,11
ENSDARG00000001431,878
ENSDARG00000001437,136
ENSDARG00000001442,38
ENSDARG00000001447,65
ENSDARG00000001452,12
ENSDARG00000001463,195
ENSDARG00000001470,45
ENSDARG00000001498,2
ENSDARG00000001549,169
ENSDARG00000001557,7
ENSDARG00000001558,69
ENSDARG00000001559,551
ENSDARG00000001572,0
ENSDARG00000001578,71
ENSDARG00000001621,36
ENSDARG00000001634,216
ENSDARG00000001656,0
ENSDARG00000001676,257
ENSDARG00000001686,0
ENSDARG00000001710,216
ENSDARG00000001712,2
ENSDARG00000001721,0
ENSDARG00000001729,240
ENSDARG00000001733,92
ENSDARG00000001734,47
ENSDARG00000001754,83
ENSDARG00000001760,43
ENSDARG00000001767,22
ENSDARG00000001769,132
ENSDARG00000001771,0
ENSDARG00000001776,10
ENSDARG00000001777,106
ENSDARG00000001781,0
ENSDARG00000001782,7
ENSDARG00000001785,69
ENSDARG00000001788,162
ENSDARG00000001803,58
ENSDARG00000001804,0
ENSDARG00000001807,98
ENSDARG00000001817,12
ENSDARG00000001818,205
ENSDARG00000001825,0
ENSDARG00000001829,546
ENSDARG00000001835,321
ENSDARG00000001857,390
ENSDARG00000001859,0
ENSDARG00000001870,1320
ENSDARG00000001873,26
ENSDARG00000001879,144
ENSDARG00000001880,239
ENSDARG00000001881,106
ENSDARG00000001882,20
ENSDARG00000001888,121
ENSDARG00000001889,335
ENSDARG00000001890,144
ENSDARG00000001891,79
ENSDARG00000001897,48
ENSDARG00000001898,37
ENSDARG00000001906,2
ENSDARG00000001909,13
ENSDARG00000001910,544
ENSDARG00000001912,20
ENSDARG00000001913,44
ENSDARG00000001929,45
ENSDARG00000001930,35
ENSDARG00000001933,8
ENSDARG00000001937,12
ENSDARG00000001939,27
ENSDARG00000001940,89
ENSDARG00000001950,728
ENSDARG00000001953,115
ENSDARG00000001968,124
ENSDARG00000001969,46
ENSDARG00000001971,15
ENSDARG00000001975,59
ENSDARG00000001976,51
ENSDARG00000001993,196
ENSDARG00000001994,862
ENSDARG00000001999,74
ENSDARG00000002002,1
ENSDARG00000002006,126
ENSDARG00000002013,122
ENSDARG00000002016,2
ENSDARG00000002020,110
ENSDARG00000002021,30
ENSDARG00000002026,184
ENSDARG00000002031,0
ENSDARG00000002037,48
ENSDARG00000002060,5
ENSDARG00000002071,70
ENSDARG00000002077,21
ENSDARG00000002082,95
ENSDARG00000002084,69
ENSDARG00000002097,19
ENSDARG00000002127,117
ENSDARG00000002128,53
ENSDARG00000002131,488
ENSDARG00000002165,4
ENSDARG00000002167,192
ENSDARG00000002168,79
ENSDARG00000002172,22
ENSDARG00000002174,42
ENSDARG00000002184,67
ENSDARG00000002190,98
ENSDARG00000002192,48
ENSDARG00000002193,4497
ENSDARG00000002194,0
ENSDARG00000002196,27
ENSDARG00000002197,39
ENSDARG00000002204,4
ENSDARG00000002210,108
ENSDARG00000002213,25
ENSDARG00000002215,16
ENSDARG00000002216,66
ENSDARG00000002217,339
ENSDARG00000002219,13
ENSDARG00000002220,19
ENSDARG00000002230,234
ENSDARG00000002231,70
ENSDARG00000002235,86
ENSDARG00000002240,59
ENSDARG00000002241,40
ENSDARG00000002249,63
ENSDARG00000002255,227
ENSDARG00000002259,0
ENSDARG00000002264,22
ENSDARG00000002267,37
ENSDARG00000002271,279
ENSDARG00000002285,64
ENSDARG00000002293,0
ENSDARG00000002295,2
ENSDARG00000002298,3
ENSDARG00000002299,29
ENSDARG00000002300,35
ENSDARG00000002304,4
ENSDARG00000002305,196
ENSDARG00000002311,2
ENSDARG00000002330,29
ENSDARG00000002332,158
ENSDARG00000002333,148
ENSDARG00000002336,130
ENSDARG00000002339,39
ENSDARG00000002344,864
ENSDARG00000002347,0
ENSDARG00000002353,5
ENSDARG00000002355,0
ENSDARG00000002362,139
ENSDARG00000002365,27
ENSDARG00000002369,241
ENSDARG00000002377,6
ENSDARG00000002385,91
ENSDARG00000002391,10
ENSDARG00000002394,8
ENSDARG00000002396,96
ENSDARG00000002401,7
ENSDARG00000002402,53
ENSDARG00000002403,84
ENSDARG00000002405,65
ENSDARG00000002406,2
ENSDARG00000002411,44
ENSDARG00000002445,34
ENSDARG00000002463,0
ENSDARG00000002467,30
ENSDARG00000002479,5
ENSDARG00000002483,3
ENSDARG00000002487,62
ENSDARG00000002494,36
ENSDARG00000002506,16
ENSDARG00000002507,17
ENSDARG00000002508,103
ENSDARG00000002509,0
ENSDARG00000002510,10
ENSDARG00000002523,85
ENSDARG00000002533,41
ENSDARG00000002536,106
ENSDARG00000002538,55
