E6,Counts
ENSDARG00000000001,7
ENSDARG00000000002,122
ENSDARG00000000018,67
ENSDARG00000000019,244
ENSDARG00000000068,65
ENSDARG00000000069,344
ENSDARG00000000086,287
ENSDARG00000000103,793
ENSDARG00000000142,12
ENSDARG00000000151,149
ENSDARG00000000161,72
ENSDARG00000000175,11
ENSDARG00000000183,183
ENSDARG00000000189,255
ENSDARG00000000212,1514
ENSDARG00000000229,85
ENSDARG00000000241,197
ENSDARG00000000349,2
ENSDARG00000000369,10
ENSDARG00000000370,277
ENSDARG00000000380,58
ENSDARG00000000394,293
ENSDARG00000000423,34
ENSDARG00000000442,29
ENSDARG00000000460,0
ENSDARG00000000472,53
ENSDARG00000000474,0
ENSDARG00000000476,32
ENSDARG00000000489,151
ENSDARG00000000503,691
ENSDARG00000000516,0
ENSDARG00000000529,54
ENSDARG00000000540,153
ENSDARG00000000542,42
ENSDARG00000000551,70
ENSDARG00000000563,43181
ENSDARG00000000567,77
ENSDARG00000000568,71
ENSDARG00000000588,7
ENSDARG00000000606,0
ENSDARG00000000631,204
ENSDARG00000000638,0
ENSDARG00000000651,12
ENSDARG00000000656,0
ENSDARG00000000666,104
ENSDARG00000000690,22
ENSDARG00000000729,176
ENSDARG00000000730,61
ENSDARG00000000747,3
ENSDARG00000000760,19
ENSDARG00000000767,14
ENSDARG00000000779,262
ENSDARG00000000796,54
ENSDARG00000000804,37
ENSDARG00000000830,0
ENSDARG00000000837,106
ENSDARG00000000853,170
ENSDARG00000000857,43
ENSDARG00000000861,898
ENSDARG00000000887,1
ENSDARG00000000906,43
ENSDARG00000000935,20
ENSDARG00000000943,97
ENSDARG00000000966,904
ENSDARG00000001014,1117
ENSDARG00000001015,230
ENSDARG00000001057,108
ENSDARG00000001127,113
ENSDARG00000001129,344
ENSDARG00000001154,48
ENSDARG00000001162,125
ENSDARG00000001169,23
ENSDARG00000001210,41
ENSDARG00000001220,285
ENSDARG00000001234,70
ENSDARG00000001241,250
ENSDARG00000001244,493
ENSDARG00000001249,8
ENSDARG00000001259,18
ENSDARG00000001303,0
ENSDARG00000001313,24
ENSDARG00000001354,35
ENSDARG00000001414,21
ENSDARG00000001431,2103
ENSDARG00000001437,53
ENSDARG00000001442,13
ENSDARG00000001447,32
ENSDARG00000001452,26
ENSDARG00000001463,84
ENSDARG00000001470,93
ENSDARG00000001498,1
ENSDARG00000001549,193
ENSDARG00000001557,36
ENSDARG00000001558,103
ENSDARG00000001559,71
ENSDARG00000001572,0
ENSDARG00000001578,77
ENSDARG00000001621,13
ENSDARG00000001634,218
ENSDARG00000001656,0
ENSDARG00000001676,151
ENSDARG00000001686,10
ENSDARG00000001710,155
ENSDARG00000001712,10
ENSDARG00000001721,0
ENSDARG00000001729,371
ENSDARG00000001733,43
ENSDARG00000001734,41
ENSDARG00000001754,150
ENSDARG00000001760,130
ENSDARG00000001767,16
ENSDARG00000001769,129
ENSDARG00000001771,0
ENSDARG00000001776,14
ENSDARG00000001777,130
ENSDARG00000001781,0
ENSDARG00000001782,8
ENSDARG00000001785,32
ENSDARG00000001788,387
ENSDARG00000001803,4
ENSDARG00000001804,2
ENSDARG00000001807,60
ENSDARG00000001817,18
ENSDARG00000001818,481
ENSDARG00000001825,3
ENSDARG00000001829,337
ENSDARG00000001835,43
ENSDARG00000001857,198
ENSDARG00000001859,1
ENSDARG00000001870,2971
ENSDARG00000001873,39
ENSDARG00000001879,143
ENSDARG00000001880,25
ENSDARG00000001881,22
ENSDARG00000001882,83
ENSDARG00000001888,91
ENSDARG00000001889,297
ENSDARG00000001890,307
ENSDARG00000001891,8
ENSDARG00000001897,140
ENSDARG00000001898,11
ENSDARG00000001906,0
ENSDARG00000001909,5
ENSDARG00000001910,261
ENSDARG00000001912,11
ENSDARG00000001913,44
ENSDARG00000001929,31
ENSDARG00000001930,35
ENSDARG00000001933,24
ENSDARG00000001937,14
ENSDARG00000001939,19
ENSDARG00000001940,78
ENSDARG00000001950,1851
ENSDARG00000001953,50
ENSDARG00000001968,264
ENSDARG00000001969,59
ENSDARG00000001971,25
ENSDARG00000001975,25
ENSDARG00000001976,30
ENSDARG00000001993,465
ENSDARG00000001994,381
ENSDARG00000001999,138
ENSDARG00000002002,14
ENSDARG00000002006,88
ENSDARG00000002013,104
ENSDARG00000002016,51
ENSDARG00000002020,47
ENSDARG00000002021,12
ENSDARG00000002026,91
ENSDARG00000002031,0
ENSDARG00000002037,54
ENSDARG00000002060,10
ENSDARG00000002071,264
ENSDARG00000002077,21
ENSDARG00000002082,228
ENSDARG00000002084,275
ENSDARG00000002097,24
ENSDARG00000002127,152
ENSDARG00000002128,49
ENSDARG00000002131,266
ENSDARG00000002165,9
ENSDARG00000002167,115
ENSDARG00000002168,42
ENSDARG00000002172,37
ENSDARG00000002174,20
ENSDARG00000002184,53
ENSDARG00000002190,291
ENSDARG00000002192,71
ENSDARG00000002193,1781
ENSDARG00000002194,7
ENSDARG00000002196,87
ENSDARG00000002197,128
ENSDARG00000002204,64
ENSDARG00000002210,31
ENSDARG00000002213,28
ENSDARG00000002215,49
ENSDARG00000002216,61
ENSDARG00000002217,212
ENSDARG00000002219,14
ENSDARG00000002220,16
ENSDARG00000002230,125
ENSDARG00000002231,48
ENSDARG00000002235,341
ENSDARG00000002240,138
ENSDARG00000002241,1
ENSDARG00000002249,79
ENSDARG00000002255,74
ENSDARG00000002259,12
ENSDARG00000002264,40
ENSDARG00000002267,82
ENSDARG00000002271,125
ENSDARG00000002285,88
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,24
ENSDARG00000002299,7
ENSDARG00000002300,2
ENSDARG00000002304,18
ENSDARG00000002305,316
ENSDARG00000002311,0
ENSDARG00000002330,8
ENSDARG00000002332,123
ENSDARG00000002333,37
ENSDARG00000002336,74
ENSDARG00000002339,19
ENSDARG00000002344,1071
ENSDARG00000002347,0
ENSDARG00000002353,14
ENSDARG00000002355,7
ENSDARG00000002362,64
ENSDARG00000002365,40
ENSDARG00000002369,251
ENSDARG00000002377,60
ENSDARG00000002385,123
ENSDARG00000002391,16
ENSDARG00000002394,29
ENSDARG00000002396,346
ENSDARG00000002401,55
ENSDARG00000002402,49
ENSDARG00000002403,110
ENSDARG00000002405,90
ENSDARG00000002406,0
ENSDARG00000002411,20
ENSDARG00000002445,122
ENSDARG00000002463,16
ENSDARG00000002467,25
ENSDARG00000002479,46
ENSDARG00000002483,17
ENSDARG00000002487,84
ENSDARG00000002494,98
ENSDARG00000002506,28
ENSDARG00000002507,44
ENSDARG00000002508,30
ENSDARG00000002509,2
ENSDARG00000002510,1
ENSDARG00000002523,243
ENSDARG00000002533,10
ENSDARG00000002536,118
ENSDARG00000002538,104
ENSDARG00000002546,20
ENSDARG00000002549,5
ENSDARG00000002552,273
ENSDARG00000002564,74
ENSDARG00000002571,91
ENSDARG00000002576,33
ENSDARG00000002582,82
ENSDARG00000002587,441
ENSDARG00000002589,1173
ENSDARG00000002591,162
ENSDARG00000002593,26
ENSDARG00000002597,0
ENSDARG00000002600,91
ENSDARG00000002601,7
ENSDARG00000002607,29
ENSDARG00000002609,48
ENSDARG00000002613,2
ENSDARG00000002632,145
ENSDARG00000002634,42
ENSDARG00000002635,83
ENSDARG00000002642,30
ENSDARG00000002644,79
ENSDARG00000002656,43
ENSDARG00000002659,173
ENSDARG00000002663,35
ENSDARG00000002666,5
ENSDARG00000002670,76
ENSDARG00000002682,59
ENSDARG00000002685,0
ENSDARG00000002690,99
ENSDARG00000002696,635
ENSDARG00000002701,23
ENSDARG00000002707,0
ENSDARG00000002710,1423
ENSDARG00000002720,81
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,408
ENSDARG00000002732,44
ENSDARG00000002745,484
ENSDARG00000002748,39
ENSDARG00000002750,59
ENSDARG00000002754,24
ENSDARG00000002758,881
ENSDARG00000002760,14
ENSDARG00000002764,17
ENSDARG00000002768,6760
ENSDARG00000002771,13
ENSDARG00000002779,0
ENSDARG00000002787,180
ENSDARG00000002790,483
ENSDARG00000002791,1413
ENSDARG00000002792,182
ENSDARG00000002795,26
ENSDARG00000002797,0
ENSDARG00000002798,10
ENSDARG00000002816,55
ENSDARG00000002826,31
ENSDARG00000002830,1
ENSDARG00000002831,32
ENSDARG00000002840,118
ENSDARG00000002847,92
ENSDARG00000002872,15
ENSDARG00000002877,160
ENSDARG00000002880,140
ENSDARG00000002894,60
ENSDARG00000002897,36
ENSDARG00000002909,197
ENSDARG00000002912,55
ENSDARG00000002916,107
ENSDARG00000002917,17
ENSDARG00000002933,46
ENSDARG00000002937,189
ENSDARG00000002945,20
ENSDARG00000002947,84
ENSDARG00000002949,301
ENSDARG00000002952,159
ENSDARG00000002956,18
ENSDARG00000002959,1
ENSDARG00000002967,111
ENSDARG00000002968,227
ENSDARG00000002970,111
ENSDARG00000002971,51
ENSDARG00000002986,71
