D6,Counts
ENSDARG00000000001,0
ENSDARG00000000002,40
ENSDARG00000000018,46
ENSDARG00000000019,130
ENSDARG00000000068,37
ENSDARG00000000069,330
ENSDARG00000000086,173
ENSDARG00000000103,363
ENSDARG00000000142,6
ENSDARG00000000151,46
ENSDARG00000000161,31
ENSDARG00000000175,9
ENSDARG00000000183,91
ENSDARG00000000189,160
ENSDARG00000000212,872
ENSDARG00000000229,34
ENSDARG00000000241,99
ENSDARG00000000349,0
ENSDARG00000000369,10
ENSDARG00000000370,158
ENSDARG00000000380,35
ENSDARG00000000394,195
ENSDARG00000000423,12
ENSDARG00000000442,14
ENSDARG00000000460,0
ENSDARG00000000472,48
ENSDARG00000000474,0
ENSDARG00000000476,6
ENSDARG00000000489,69
ENSDARG00000000503,304
ENSDARG00000000516,0
ENSDARG00000000529,15
ENSDARG00000000540,84
ENSDARG00000000542,0
ENSDARG00000000551,40
ENSDARG00000000563,29180
ENSDARG00000000567,36
ENSDARG00000000568,41
ENSDARG00000000588,3
ENSDARG00000000606,25
ENSDARG00000000631,49
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,24
ENSDARG00000000690,13
ENSDARG00000000729,39
ENSDARG00000000730,20
ENSDARG00000000747,0
ENSDARG00000000760,33
ENSDARG00000000767,11
ENSDARG00000000779,144
ENSDARG00000000796,19
ENSDARG00000000804,6
ENSDARG00000000830,10
ENSDARG00000000837,28
ENSDARG00000000853,76
ENSDARG00000000857,35
ENSDARG00000000861,235
ENSDARG00000000887,1
ENSDARG00000000906,16
ENSDARG00000000935,13
ENSDARG00000000943,29
ENSDARG00000000966,453
ENSDARG00000001014,643
ENSDARG00000001015,60
ENSDARG00000001057,65
ENSDARG00000001127,66
ENSDARG00000001129,147
ENSDARG00000001154,28
ENSDARG00000001162,103
ENSDARG00000001169,0
ENSDARG00000001210,9
ENSDARG00000001220,248
ENSDARG00000001234,61
ENSDARG00000001241,95
ENSDARG00000001244,274
ENSDARG00000001249,11
ENSDARG00000001259,4
ENSDARG00000001303,0
ENSDARG00000001313,16
ENSDARG00000001354,7
ENSDARG00000001414,37
ENSDARG00000001431,1193
ENSDARG00000001437,40
