B6,Counts
ENSDARG00000000001,12
ENSDARG00000000002,168
ENSDARG00000000018,115
ENSDARG00000000019,283
ENSDARG00000000068,126
ENSDARG00000000069,764
ENSDARG00000000086,479
ENSDARG00000000103,1032
ENSDARG00000000142,8
ENSDARG00000000151,206
ENSDARG00000000161,95
ENSDARG00000000175,27
ENSDARG00000000183,334
ENSDARG00000000189,467
ENSDARG00000000212,2220
ENSDARG00000000229,126
ENSDARG00000000241,180
ENSDARG00000000349,2
ENSDARG00000000369,2
ENSDARG00000000370,393
ENSDARG00000000380,112
ENSDARG00000000394,378
ENSDARG00000000423,32
ENSDARG00000000442,29
ENSDARG00000000460,0
ENSDARG00000000472,24
ENSDARG00000000474,2
ENSDARG00000000476,44
ENSDARG00000000489,145
ENSDARG00000000503,2183
ENSDARG00000000516,0
ENSDARG00000000529,54
ENSDARG00000000540,169
ENSDARG00000000542,0
ENSDARG00000000551,169
ENSDARG00000000563,43926
ENSDARG00000000567,127
ENSDARG00000000568,140
ENSDARG00000000588,19
ENSDARG00000000606,18
ENSDARG00000000631,130
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,3
ENSDARG00000000666,85
ENSDARG00000000690,9
ENSDARG00000000729,173
ENSDARG00000000730,46
ENSDARG00000000747,1
ENSDARG00000000760,45
ENSDARG00000000767,50
ENSDARG00000000779,353
ENSDARG00000000796,81
ENSDARG00000000804,33
ENSDARG00000000830,44
ENSDARG00000000837,202
ENSDARG00000000853,208
ENSDARG00000000857,76
ENSDARG00000000861,487
ENSDARG00000000887,17
ENSDARG00000000906,10
ENSDARG00000000935,36
ENSDARG00000000943,118
ENSDARG00000000966,1391
ENSDARG00000001014,1986
ENSDARG00000001015,386
ENSDARG00000001057,149
ENSDARG00000001127,159
ENSDARG00000001129,477
ENSDARG00000001154,157
ENSDARG00000001162,257
ENSDARG00000001169,14
ENSDARG00000001210,43
ENSDARG00000001220,709
ENSDARG00000001234,184
ENSDARG00000001241,302
ENSDARG00000001244,696
ENSDARG00000001249,8
ENSDARG00000001259,20
ENSDARG00000001303,0
ENSDARG00000001313,46
ENSDARG00000001354,38
ENSDARG00000001414,20
ENSDARG00000001431,3426
ENSDARG00000001437,120
ENSDARG00000001442,41
ENSDARG00000001447,40
ENSDARG00000001452,15
ENSDARG00000001463,131
ENSDARG00000001470,230
ENSDARG00000001498,3
ENSDARG00000001549,183
ENSDARG00000001557,33
ENSDARG00000001558,125
ENSDARG00000001559,229
ENSDARG00000001572,0
ENSDARG00000001578,141
ENSDARG00000001621,63
ENSDARG00000001634,332
ENSDARG00000001656,0
ENSDARG00000001676,145
ENSDARG00000001686,7
ENSDARG00000001710,427
ENSDARG00000001712,32
ENSDARG00000001721,8
ENSDARG00000001729,433
ENSDARG00000001733,66
ENSDARG00000001734,52
ENSDARG00000001754,285
ENSDARG00000001760,178
ENSDARG00000001767,20
ENSDARG00000001769,100
ENSDARG00000001771,1
ENSDARG00000001776,56
ENSDARG00000001777,273
ENSDARG00000001781,0
ENSDARG00000001782,2
ENSDARG00000001785,43
ENSDARG00000001788,639
ENSDARG00000001803,37
ENSDARG00000001804,0
ENSDARG00000001807,81
ENSDARG00000001817,25
ENSDARG00000001818,630
ENSDARG00000001825,7
ENSDARG00000001829,288
ENSDARG00000001835,85
ENSDARG00000001857,571
ENSDARG00000001859,9
ENSDARG00000001870,6155
ENSDARG00000001873,103
ENSDARG00000001879,228
ENSDARG00000001880,44
ENSDARG00000001881,49
ENSDARG00000001882,67
ENSDARG00000001888,160
ENSDARG00000001889,634
ENSDARG00000001890,398
ENSDARG00000001891,17
ENSDARG00000001897,127
ENSDARG00000001898,23
ENSDARG00000001906,0
ENSDARG00000001909,23
ENSDARG00000001910,364
ENSDARG00000001912,15
ENSDARG00000001913,116
ENSDARG00000001929,84
ENSDARG00000001930,34
ENSDARG00000001933,24
ENSDARG00000001937,39
ENSDARG00000001939,32
ENSDARG00000001940,147
ENSDARG00000001950,2753
ENSDARG00000001953,63
ENSDARG00000001968,413
ENSDARG00000001969,65
ENSDARG00000001971,49
ENSDARG00000001975,80
ENSDARG00000001976,48
ENSDARG00000001993,1683
ENSDARG00000001994,1169
ENSDARG00000001999,52
ENSDARG00000002002,28
ENSDARG00000002006,333
ENSDARG00000002013,150
ENSDARG00000002016,54
ENSDARG00000002020,127
ENSDARG00000002021,52
ENSDARG00000002026,184
ENSDARG00000002031,0
ENSDARG00000002037,25
ENSDARG00000002060,9
ENSDARG00000002071,318
ENSDARG00000002077,38
ENSDARG00000002082,236
ENSDARG00000002084,538
ENSDARG00000002097,17
ENSDARG00000002127,262
ENSDARG00000002128,77
ENSDARG00000002131,490
ENSDARG00000002165,34
ENSDARG00000002167,311
ENSDARG00000002168,100
ENSDARG00000002172,24
ENSDARG00000002174,32
ENSDARG00000002184,79
ENSDARG00000002190,354
ENSDARG00000002192,60
ENSDARG00000002193,3587
ENSDARG00000002194,0
ENSDARG00000002196,99
ENSDARG00000002197,318
ENSDARG00000002204,52
ENSDARG00000002210,46
ENSDARG00000002213,33
ENSDARG00000002215,104
ENSDARG00000002216,117
ENSDARG00000002217,349
ENSDARG00000002219,28
ENSDARG00000002220,23
ENSDARG00000002230,231
ENSDARG00000002231,121
ENSDARG00000002235,503
ENSDARG00000002240,194
ENSDARG00000002241,9
ENSDARG00000002249,88
ENSDARG00000002255,187
ENSDARG00000002259,3
ENSDARG00000002264,64
ENSDARG00000002267,84
ENSDARG00000002271,372
ENSDARG00000002285,84
ENSDARG00000002293,4
ENSDARG00000002295,7
ENSDARG00000002298,12
ENSDARG00000002299,12
ENSDARG00000002300,4
ENSDARG00000002304,7
ENSDARG00000002305,439
ENSDARG00000002311,6
ENSDARG00000002330,10
ENSDARG00000002332,242
ENSDARG00000002333,125
ENSDARG00000002336,200
ENSDARG00000002339,21
ENSDARG00000002344,1613
ENSDARG00000002347,0
ENSDARG00000002353,19
ENSDARG00000002355,12
ENSDARG00000002362,103
ENSDARG00000002365,96
ENSDARG00000002369,452
ENSDARG00000002377,98
ENSDARG00000002385,125
ENSDARG00000002391,9
ENSDARG00000002394,40
ENSDARG00000002396,511
ENSDARG00000002401,38
ENSDARG00000002402,98
ENSDARG00000002403,105
ENSDARG00000002405,83
ENSDARG00000002406,0
ENSDARG00000002411,62
ENSDARG00000002445,42
ENSDARG00000002463,35
ENSDARG00000002467,27
ENSDARG00000002479,53
ENSDARG00000002483,25
ENSDARG00000002487,111
ENSDARG00000002494,73
ENSDARG00000002506,21
ENSDARG00000002507,53
ENSDARG00000002508,67
ENSDARG00000002509,3
ENSDARG00000002510,8
ENSDARG00000002523,303
