G6,Counts
ENSDARG00000002467,9
ENSDARG00000002479,2
ENSDARG00000002483,0
ENSDARG00000002487,27
ENSDARG00000002494,40
ENSDARG00000002506,14
ENSDARG00000002507,1
ENSDARG00000002508,7
ENSDARG00000002509,14
ENSDARG00000002510,0
ENSDARG00000002523,31
ENSDARG00000002533,30
ENSDARG00000002536,27
ENSDARG00000002538,77
ENSDARG00000002546,34
ENSDARG00000002549,23
ENSDARG00000002552,82
ENSDARG00000002564,72
ENSDARG00000002571,75
ENSDARG00000002576,29
ENSDARG00000002582,21
ENSDARG00000002587,424
ENSDARG00000002589,235
ENSDARG00000002591,85
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,171
ENSDARG00000002601,3
ENSDARG00000002607,79
ENSDARG00000002609,42
ENSDARG00000002613,0
ENSDARG00000002632,69
ENSDARG00000002634,8
ENSDARG00000002635,179
ENSDARG00000002642,6
ENSDARG00000002644,56
ENSDARG00000002656,173
ENSDARG00000002659,54
ENSDARG00000002663,18
ENSDARG00000002666,4
ENSDARG00000002670,60
ENSDARG00000002682,98
ENSDARG00000002685,0
ENSDARG00000002690,21
ENSDARG00000002696,575
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,739
ENSDARG00000002720,6
ENSDARG00000002722,0
ENSDARG00000002728,3
ENSDARG00000002731,141
ENSDARG00000002732,0
ENSDARG00000002745,179
ENSDARG00000002748,63
ENSDARG00000002750,36
ENSDARG00000002754,19
ENSDARG00000002758,1758
ENSDARG00000002760,3
ENSDARG00000002764,11
ENSDARG00000002768,1582
ENSDARG00000002771,32
ENSDARG00000002779,0
ENSDARG00000002787,122
ENSDARG00000002790,224
ENSDARG00000002791,1911
ENSDARG00000002792,97
ENSDARG00000002795,56
ENSDARG00000002797,0
ENSDARG00000002798,8
ENSDARG00000002816,74
ENSDARG00000002826,16
ENSDARG00000002830,39
ENSDARG00000002831,15
ENSDARG00000002840,132
ENSDARG00000002847,31
ENSDARG00000002872,28
ENSDARG00000002877,95
ENSDARG00000002880,140
ENSDARG00000002894,22
ENSDARG00000002897,70
ENSDARG00000002909,68
ENSDARG00000002912,32
ENSDARG00000002916,129
ENSDARG00000002917,0
ENSDARG00000002933,12
ENSDARG00000002937,174
ENSDARG00000002945,22
ENSDARG00000002947,58
ENSDARG00000002949,136
ENSDARG00000002952,43
ENSDARG00000002956,0
ENSDARG00000002959,0
ENSDARG00000002967,38
ENSDARG00000002968,102
ENSDARG00000002970,104
ENSDARG00000002971,44
ENSDARG00000002986,16
ENSDARG00000002988,136
ENSDARG00000002991,92
ENSDARG00000002994,42
ENSDARG00000003008,253
ENSDARG00000003017,18
ENSDARG00000003020,91
ENSDARG00000003021,44
ENSDARG00000003022,7
ENSDARG00000003027,8
ENSDARG00000003032,1224
ENSDARG00000003035,336
ENSDARG00000003041,14
ENSDARG00000003046,108
ENSDARG00000003054,2
ENSDARG00000003058,36
ENSDARG00000003061,2
ENSDARG00000003068,79
ENSDARG00000003069,42
ENSDARG00000003077,18
ENSDARG00000003081,3687
ENSDARG00000003084,40
ENSDARG00000003085,37
ENSDARG00000003087,169
ENSDARG00000003090,0
ENSDARG00000003091,11
ENSDARG00000003098,494
ENSDARG00000003109,35
ENSDARG00000003113,108
ENSDARG00000003127,132
ENSDARG00000003132,16
ENSDARG00000003142,43
ENSDARG00000003144,0
ENSDARG00000003146,60
ENSDARG00000003151,169
ENSDARG00000003153,21
ENSDARG00000003157,43
ENSDARG00000003165,24
ENSDARG00000003167,47
ENSDARG00000003169,717
ENSDARG00000003175,47
ENSDARG00000003181,3
ENSDARG00000003189,144
ENSDARG00000003193,17
ENSDARG00000003197,0
ENSDARG00000003200,3
ENSDARG00000003203,108
ENSDARG00000003205,15
ENSDARG00000003206,4
ENSDARG00000003207,291
ENSDARG00000003208,28
ENSDARG00000003210,58
ENSDARG00000003213,303
ENSDARG00000003216,50
ENSDARG00000003217,22
ENSDARG00000003219,48
ENSDARG00000003229,0
ENSDARG00000003235,14
ENSDARG00000003244,8
ENSDARG00000003250,50
ENSDARG00000003251,4
ENSDARG00000003257,6
ENSDARG00000003259,17
ENSDARG00000003269,280
ENSDARG00000003270,10
ENSDARG00000003281,78
ENSDARG00000003287,29
ENSDARG00000003290,43
ENSDARG00000003293,142
ENSDARG00000003303,0
ENSDARG00000003307,94
ENSDARG00000003308,87
ENSDARG00000003311,226
ENSDARG00000003313,0
ENSDARG00000003320,98
ENSDARG00000003326,12
ENSDARG00000003328,41
ENSDARG00000003344,2
ENSDARG00000003373,50
ENSDARG00000003375,8
ENSDARG00000003380,6
ENSDARG00000003381,32
ENSDARG00000003382,72
ENSDARG00000003383,77
ENSDARG00000003395,27
ENSDARG00000003398,45
ENSDARG00000003399,0
ENSDARG00000003403,258
ENSDARG00000003411,61
ENSDARG00000003414,1
ENSDARG00000003420,6
ENSDARG00000003421,129
ENSDARG00000003429,207
ENSDARG00000003444,17
ENSDARG00000003446,19
ENSDARG00000003449,191
ENSDARG00000003462,94
ENSDARG00000003469,43
ENSDARG00000003475,0
ENSDARG00000003486,245
ENSDARG00000003487,135
ENSDARG00000003495,1042
ENSDARG00000003512,302
ENSDARG00000003517,7
ENSDARG00000003519,2
ENSDARG00000003520,85
ENSDARG00000003523,0
ENSDARG00000003526,103
ENSDARG00000003527,18
ENSDARG00000003531,72
ENSDARG00000003533,5
ENSDARG00000003544,123
ENSDARG00000003553,0
ENSDARG00000003564,28
ENSDARG00000003570,254
ENSDARG00000003573,65
ENSDARG00000003576,24
ENSDARG00000003584,3
ENSDARG00000003592,39
ENSDARG00000003599,3555
ENSDARG00000003607,100
ENSDARG00000003615,28
ENSDARG00000003616,95
ENSDARG00000003631,219
ENSDARG00000003632,0
ENSDARG00000003635,2
ENSDARG00000003641,75
ENSDARG00000003642,26
ENSDARG00000003655,562
ENSDARG00000003675,9
ENSDARG00000003680,316
ENSDARG00000003681,340
ENSDARG00000003684,67
ENSDARG00000003693,36
ENSDARG00000003695,429
ENSDARG00000003697,0
ENSDARG00000003699,117
ENSDARG00000003701,0
ENSDARG00000003705,227
ENSDARG00000003706,14
ENSDARG00000003732,1
ENSDARG00000003749,58
ENSDARG00000003750,59
ENSDARG00000003751,96
ENSDARG00000003754,82
ENSDARG00000003757,3
ENSDARG00000003769,24
ENSDARG00000003776,40
ENSDARG00000003779,345
ENSDARG00000003789,210
ENSDARG00000003795,863
ENSDARG00000003797,10
ENSDARG00000003803,7
ENSDARG00000003808,64
ENSDARG00000003811,320
ENSDARG00000003818,84
ENSDARG00000003820,207
ENSDARG00000003822,0
ENSDARG00000003827,1
ENSDARG00000003829,61
ENSDARG00000003835,333
ENSDARG00000003841,0
ENSDARG00000003845,59
ENSDARG00000003846,8
ENSDARG00000003854,249
ENSDARG00000003860,107
ENSDARG00000003865,15
ENSDARG00000003866,84
ENSDARG00000003867,10
ENSDARG00000003869,10
ENSDARG00000003872,127
ENSDARG00000003877,326
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,104
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,162
ENSDARG00000003920,119
ENSDARG00000003925,9
ENSDARG00000003927,33
ENSDARG00000003931,37
ENSDARG00000003934,1
ENSDARG00000003938,73
ENSDARG00000003940,50
ENSDARG00000003941,25
ENSDARG00000003944,1
ENSDARG00000003952,306
ENSDARG00000003961,31
ENSDARG00000003963,55
ENSDARG00000003965,2
ENSDARG00000003968,0
ENSDARG00000003970,10
ENSDARG00000003971,32
ENSDARG00000003973,31
ENSDARG00000003974,131
ENSDARG00000003977,9
ENSDARG00000003984,38
ENSDARG00000003989,197
ENSDARG00000003991,22
ENSDARG00000003994,37
ENSDARG00000003998,55
ENSDARG00000004015,0
ENSDARG00000004017,7
ENSDARG00000004018,14
ENSDARG00000004023,308
ENSDARG00000004034,70
ENSDARG00000004037,23
ENSDARG00000004046,17
ENSDARG00000004049,35
ENSDARG00000004051,9
ENSDARG00000004055,82
ENSDARG00000004059,0
ENSDARG00000004060,777
ENSDARG00000004074,254
ENSDARG00000004078,37
ENSDARG00000004082,9
ENSDARG00000004094,222
ENSDARG00000004105,73
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,18
ENSDARG00000004115,57
ENSDARG00000004130,1
ENSDARG00000004131,7
ENSDARG00000004132,195
ENSDARG00000004150,32
ENSDARG00000004151,13
ENSDARG00000004154,9
ENSDARG00000004158,76
ENSDARG00000004160,54
ENSDARG00000004161,57
ENSDARG00000004167,1
ENSDARG00000004169,66
ENSDARG00000004171,5
ENSDARG00000004173,177
ENSDARG00000004174,374
ENSDARG00000004176,20
ENSDARG00000004177,29
ENSDARG00000004184,133
ENSDARG00000004187,48
ENSDARG00000004189,80
ENSDARG00000004196,115
ENSDARG00000004199,4
ENSDARG00000004204,0
ENSDARG00000004211,43
ENSDARG00000004218,41
ENSDARG00000004219,6
ENSDARG00000004227,116
ENSDARG00000004232,13
ENSDARG00000004243,22
ENSDARG00000004246,257
ENSDARG00000004251,15
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,78
ENSDARG00000004262,34
ENSDARG00000004270,17
ENSDARG00000004274,0
ENSDARG00000004280,13
ENSDARG00000004282,45
ENSDARG00000004291,202
ENSDARG00000004296,36
ENSDARG00000004297,278
ENSDARG00000004301,0
ENSDARG00000004302,40
ENSDARG00000004305,31
ENSDARG00000004306,10
ENSDARG00000004307,6
ENSDARG00000004308,8
ENSDARG00000004311,0
ENSDARG00000004318,0
ENSDARG00000004322,23
ENSDARG00000004325,30
ENSDARG00000004328,0
ENSDARG00000004336,249
ENSDARG00000004343,11
ENSDARG00000004358,63
ENSDARG00000004363,5
ENSDARG00000004372,72
ENSDARG00000004377,95
ENSDARG00000004378,19
ENSDARG00000004386,180
ENSDARG00000004392,1
ENSDARG00000004396,0
ENSDARG00000004402,40
ENSDARG00000004405,16
ENSDARG00000004406,12
ENSDARG00000004415,266
ENSDARG00000004427,10
ENSDARG00000004433,0
ENSDARG00000004436,13
ENSDARG00000004445,59
ENSDARG00000004447,1
ENSDARG00000004451,12
ENSDARG00000004452,647
ENSDARG00000004455,0
ENSDARG00000004459,4
ENSDARG00000004460,14
ENSDARG00000004470,39
ENSDARG00000004472,21
ENSDARG00000004473,21
ENSDARG00000004492,27
ENSDARG00000004497,13
ENSDARG00000004498,0
ENSDARG00000004502,25
ENSDARG00000004517,12
ENSDARG00000004525,20
ENSDARG00000004527,5
ENSDARG00000004529,0
ENSDARG00000004537,878
ENSDARG00000004539,4
ENSDARG00000004561,2
ENSDARG00000004574,47
ENSDARG00000004576,2
ENSDARG00000004580,106
ENSDARG00000004581,83
ENSDARG00000004586,0
ENSDARG00000004587,9
ENSDARG00000004588,786
ENSDARG00000004592,16
ENSDARG00000004594,47
ENSDARG00000004597,119
ENSDARG00000004598,0
ENSDARG00000004616,3
ENSDARG00000004618,5
ENSDARG00000004621,564
ENSDARG00000004627,0
ENSDARG00000004632,14
ENSDARG00000004633,13
ENSDARG00000004634,501
ENSDARG00000004635,213
ENSDARG00000004636,50
ENSDARG00000004643,73
ENSDARG00000004647,20
ENSDARG00000004648,15
ENSDARG00000004658,69
ENSDARG00000004672,250
ENSDARG00000004680,18
ENSDARG00000004687,22
ENSDARG00000004692,91
ENSDARG00000004695,12
ENSDARG00000004696,74
ENSDARG00000004697,50
ENSDARG00000004702,223
ENSDARG00000004706,77
ENSDARG00000004712,83
ENSDARG00000004713,10
ENSDARG00000004714,158
ENSDARG00000004721,30
ENSDARG00000004724,88
ENSDARG00000004726,121
ENSDARG00000004735,405
ENSDARG00000004745,43
ENSDARG00000004748,13
ENSDARG00000004753,45
ENSDARG00000004754,21
ENSDARG00000004757,1834
ENSDARG00000004763,23
ENSDARG00000004771,35
ENSDARG00000004774,63
ENSDARG00000004782,250
ENSDARG00000004785,80
ENSDARG00000004789,158
ENSDARG00000004794,14
ENSDARG00000004796,113
ENSDARG00000004806,21
ENSDARG00000004823,0
ENSDARG00000004830,194
ENSDARG00000004836,194
ENSDARG00000004840,70
ENSDARG00000004843,212
ENSDARG00000004851,17
ENSDARG00000004861,112
ENSDARG00000004864,0
ENSDARG00000004866,17
ENSDARG00000004869,2
ENSDARG00000004870,19
ENSDARG00000004871,4
ENSDARG00000004874,4
ENSDARG00000004875,8
ENSDARG00000004877,355
ENSDARG00000004880,38
ENSDARG00000004889,0
ENSDARG00000004891,36
ENSDARG00000004898,0
ENSDARG00000004904,13
ENSDARG00000004906,166
ENSDARG00000004925,12
ENSDARG00000004930,423
ENSDARG00000004931,54
ENSDARG00000004932,18
ENSDARG00000004937,4
ENSDARG00000004939,23
ENSDARG00000004948,70
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,13
ENSDARG00000004956,39
ENSDARG00000004964,62
ENSDARG00000004979,18
ENSDARG00000004988,139
ENSDARG00000005002,18
ENSDARG00000005004,0
ENSDARG00000005010,19
ENSDARG00000005015,172
ENSDARG00000005023,28
ENSDARG00000005026,305
ENSDARG00000005034,43
ENSDARG00000005049,16
ENSDARG00000005050,0
ENSDARG00000005057,4
ENSDARG00000005058,67
ENSDARG00000005078,21
ENSDARG00000005085,60
ENSDARG00000005092,26
ENSDARG00000005095,11
ENSDARG00000005098,15
ENSDARG00000005104,48
ENSDARG00000005108,27
ENSDARG00000005112,174
ENSDARG00000005115,24
ENSDARG00000005122,123
ENSDARG00000005126,90
ENSDARG00000005128,2
ENSDARG00000005134,43
ENSDARG00000005139,20
ENSDARG00000005141,148
ENSDARG00000005150,28
