H3,Counts
ENSDARG00000000001,8
ENSDARG00000000002,24
ENSDARG00000000018,33
ENSDARG00000000019,99
ENSDARG00000000068,13
ENSDARG00000000069,45
ENSDARG00000000086,159
ENSDARG00000000103,318
ENSDARG00000000142,0
ENSDARG00000000151,60
ENSDARG00000000161,52
ENSDARG00000000175,28
ENSDARG00000000183,214
ENSDARG00000000189,182
ENSDARG00000000212,221
ENSDARG00000000229,54
ENSDARG00000000241,94
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,440
ENSDARG00000000380,41
ENSDARG00000000394,182
ENSDARG00000000423,6
ENSDARG00000000442,7
ENSDARG00000000460,0
ENSDARG00000000472,102
ENSDARG00000000474,0
ENSDARG00000000476,19
ENSDARG00000000489,48
ENSDARG00000000503,650
ENSDARG00000000516,0
ENSDARG00000000529,24
ENSDARG00000000540,51
ENSDARG00000000542,3
ENSDARG00000000551,14
ENSDARG00000000563,19482
ENSDARG00000000567,52
ENSDARG00000000568,14
ENSDARG00000000588,7
ENSDARG00000000606,0
ENSDARG00000000631,77
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,26
ENSDARG00000000690,6
ENSDARG00000000729,36
ENSDARG00000000730,19
ENSDARG00000000747,0
ENSDARG00000000760,20
ENSDARG00000000767,7
ENSDARG00000000779,84
ENSDARG00000000796,3
ENSDARG00000000804,3
ENSDARG00000000830,5
ENSDARG00000000837,41
ENSDARG00000000853,52
ENSDARG00000000857,13
ENSDARG00000000861,687
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,12
ENSDARG00000000943,73
ENSDARG00000000966,666
ENSDARG00000001014,344
ENSDARG00000001015,120
ENSDARG00000001057,42
ENSDARG00000001127,194
ENSDARG00000001129,211
ENSDARG00000001154,58
ENSDARG00000001162,135
ENSDARG00000001169,0
ENSDARG00000001210,13
ENSDARG00000001220,521
ENSDARG00000001234,26
ENSDARG00000001241,169
ENSDARG00000001244,809
ENSDARG00000001249,6
ENSDARG00000001259,2
ENSDARG00000001303,0
ENSDARG00000001313,12
ENSDARG00000001354,4
ENSDARG00000001414,11
ENSDARG00000001431,476
ENSDARG00000001437,45
ENSDARG00000001442,13
ENSDARG00000001447,30
ENSDARG00000001452,0
ENSDARG00000001463,108
ENSDARG00000001470,31
ENSDARG00000001498,0
ENSDARG00000001549,147
ENSDARG00000001557,15
ENSDARG00000001558,30
ENSDARG00000001559,725
ENSDARG00000001572,0
ENSDARG00000001578,21
ENSDARG00000001621,12
ENSDARG00000001634,143
ENSDARG00000001656,0
ENSDARG00000001676,145
ENSDARG00000001686,0
ENSDARG00000001710,141
ENSDARG00000001712,2
ENSDARG00000001721,0
ENSDARG00000001729,153
ENSDARG00000001733,23
ENSDARG00000001734,5
ENSDARG00000001754,57
ENSDARG00000001760,63
ENSDARG00000001767,3
ENSDARG00000001769,53
ENSDARG00000001771,4
ENSDARG00000001776,4
ENSDARG00000001777,39
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,42
ENSDARG00000001788,102
ENSDARG00000001803,13
ENSDARG00000001804,0
ENSDARG00000001807,24
ENSDARG00000001817,12
ENSDARG00000001818,59
ENSDARG00000001825,2
ENSDARG00000001829,346
ENSDARG00000001835,68
ENSDARG00000001857,231
ENSDARG00000001859,0
ENSDARG00000001870,486
ENSDARG00000001873,6
ENSDARG00000001879,66
ENSDARG00000001880,36
ENSDARG00000001881,15
ENSDARG00000001882,10
ENSDARG00000001888,47
ENSDARG00000001889,215
ENSDARG00000001890,56
ENSDARG00000001891,68
ENSDARG00000001897,35
ENSDARG00000001898,1
ENSDARG00000001906,0
ENSDARG00000001909,14
ENSDARG00000001910,167
ENSDARG00000001912,19
ENSDARG00000001913,29
ENSDARG00000001929,6
ENSDARG00000001930,20
ENSDARG00000001933,5
ENSDARG00000001937,1
ENSDARG00000001939,9
ENSDARG00000001940,77
ENSDARG00000001950,427
