H2,Counts
ENSDARG00000002467,6
ENSDARG00000002479,13
ENSDARG00000002483,8
ENSDARG00000002487,25
ENSDARG00000002494,12
ENSDARG00000002506,12
ENSDARG00000002507,17
ENSDARG00000002508,44
ENSDARG00000002509,3
ENSDARG00000002510,0
ENSDARG00000002523,22
ENSDARG00000002533,5
ENSDARG00000002536,34
ENSDARG00000002538,83
ENSDARG00000002546,13
ENSDARG00000002549,10
ENSDARG00000002552,63
ENSDARG00000002564,45
ENSDARG00000002571,52
ENSDARG00000002576,43
ENSDARG00000002582,93
ENSDARG00000002587,311
ENSDARG00000002589,125
ENSDARG00000002591,32
ENSDARG00000002593,3
ENSDARG00000002597,0
ENSDARG00000002600,153
ENSDARG00000002601,3
ENSDARG00000002607,63
ENSDARG00000002609,15
ENSDARG00000002613,0
ENSDARG00000002632,41
ENSDARG00000002634,14
ENSDARG00000002635,131
ENSDARG00000002642,6
ENSDARG00000002644,12
ENSDARG00000002656,217
ENSDARG00000002659,56
ENSDARG00000002663,0
ENSDARG00000002666,2
ENSDARG00000002670,41
ENSDARG00000002682,46
ENSDARG00000002685,0
ENSDARG00000002690,11
ENSDARG00000002696,551
ENSDARG00000002701,12
ENSDARG00000002707,0
ENSDARG00000002710,184
ENSDARG00000002720,10
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,83
ENSDARG00000002732,2
ENSDARG00000002745,58
ENSDARG00000002748,86
ENSDARG00000002750,39
ENSDARG00000002754,0
ENSDARG00000002758,1184
ENSDARG00000002760,0
ENSDARG00000002764,1
ENSDARG00000002768,630
ENSDARG00000002771,23
ENSDARG00000002779,0
ENSDARG00000002787,77
ENSDARG00000002790,152
ENSDARG00000002791,1074
ENSDARG00000002792,58
ENSDARG00000002795,37
ENSDARG00000002797,0
ENSDARG00000002798,1
ENSDARG00000002816,73
ENSDARG00000002826,7
ENSDARG00000002830,4
ENSDARG00000002831,6
ENSDARG00000002840,78
ENSDARG00000002847,7
ENSDARG00000002872,0
ENSDARG00000002877,232
ENSDARG00000002880,139
ENSDARG00000002894,44
ENSDARG00000002897,152
ENSDARG00000002909,14
ENSDARG00000002912,49
ENSDARG00000002916,133
ENSDARG00000002917,3
ENSDARG00000002933,30
ENSDARG00000002937,134
ENSDARG00000002945,8
ENSDARG00000002947,4
ENSDARG00000002949,103
ENSDARG00000002952,53
ENSDARG00000002956,6
ENSDARG00000002959,0
ENSDARG00000002967,38
ENSDARG00000002968,26
ENSDARG00000002970,50
ENSDARG00000002971,9
ENSDARG00000002986,7
ENSDARG00000002988,97
ENSDARG00000002991,102
ENSDARG00000002994,89
ENSDARG00000003008,106
ENSDARG00000003017,22
ENSDARG00000003020,15
ENSDARG00000003021,2
ENSDARG00000003022,0
ENSDARG00000003027,10
ENSDARG00000003032,539
ENSDARG00000003035,289
ENSDARG00000003041,0
ENSDARG00000003046,67
ENSDARG00000003054,8
ENSDARG00000003058,55
ENSDARG00000003061,2
ENSDARG00000003068,71
ENSDARG00000003069,19
ENSDARG00000003077,3
ENSDARG00000003081,2088
ENSDARG00000003084,18
ENSDARG00000003085,82
ENSDARG00000003087,59
ENSDARG00000003090,0
ENSDARG00000003091,4
ENSDARG00000003098,170
ENSDARG00000003109,5
ENSDARG00000003113,54
ENSDARG00000003127,75
ENSDARG00000003132,7
ENSDARG00000003142,39
ENSDARG00000003144,0
ENSDARG00000003146,3
ENSDARG00000003151,150
ENSDARG00000003153,19
ENSDARG00000003157,40
ENSDARG00000003165,64
ENSDARG00000003167,82
ENSDARG00000003169,204
ENSDARG00000003175,50
ENSDARG00000003181,1
ENSDARG00000003189,104
ENSDARG00000003193,5
ENSDARG00000003197,0
ENSDARG00000003200,7
ENSDARG00000003203,28
ENSDARG00000003205,11
ENSDARG00000003206,24
ENSDARG00000003207,14
ENSDARG00000003208,20
ENSDARG00000003210,22
ENSDARG00000003213,105
ENSDARG00000003216,33
ENSDARG00000003217,12
ENSDARG00000003219,21
ENSDARG00000003229,0
ENSDARG00000003235,10
ENSDARG00000003244,10
ENSDARG00000003250,28
ENSDARG00000003251,29
ENSDARG00000003257,8
ENSDARG00000003259,6
ENSDARG00000003269,204
ENSDARG00000003270,0
ENSDARG00000003281,22
ENSDARG00000003287,6
ENSDARG00000003290,82
ENSDARG00000003293,73
ENSDARG00000003303,1
ENSDARG00000003307,18
ENSDARG00000003308,87
ENSDARG00000003311,143
ENSDARG00000003313,0
ENSDARG00000003320,60
ENSDARG00000003326,15
ENSDARG00000003328,49
ENSDARG00000003344,8
ENSDARG00000003373,10
ENSDARG00000003375,16
ENSDARG00000003380,0
ENSDARG00000003381,26
ENSDARG00000003382,11
ENSDARG00000003383,42
ENSDARG00000003395,25
ENSDARG00000003398,12
ENSDARG00000003399,0
ENSDARG00000003403,207
ENSDARG00000003411,10
ENSDARG00000003414,2
ENSDARG00000003420,1
ENSDARG00000003421,147
ENSDARG00000003429,143
ENSDARG00000003444,8
ENSDARG00000003446,14
ENSDARG00000003449,73
ENSDARG00000003462,63
ENSDARG00000003469,3
ENSDARG00000003475,0
ENSDARG00000003486,123
ENSDARG00000003487,115
ENSDARG00000003495,86
ENSDARG00000003512,400
ENSDARG00000003517,19
ENSDARG00000003519,6
ENSDARG00000003520,16
ENSDARG00000003523,0
ENSDARG00000003526,76
ENSDARG00000003527,51
ENSDARG00000003531,30
ENSDARG00000003533,3
ENSDARG00000003544,117
ENSDARG00000003553,1
ENSDARG00000003564,14
ENSDARG00000003570,100
ENSDARG00000003573,16
ENSDARG00000003576,0
ENSDARG00000003584,15
ENSDARG00000003592,1
