D8,Counts
ENSDARG00000000001,13
ENSDARG00000000002,40
ENSDARG00000000018,37
ENSDARG00000000019,111
ENSDARG00000000068,32
ENSDARG00000000069,313
ENSDARG00000000086,134
ENSDARG00000000103,244
ENSDARG00000000142,8
ENSDARG00000000151,41
ENSDARG00000000161,40
ENSDARG00000000175,22
ENSDARG00000000183,71
ENSDARG00000000189,130
ENSDARG00000000212,920
ENSDARG00000000229,36
ENSDARG00000000241,71
ENSDARG00000000349,2
ENSDARG00000000369,12
ENSDARG00000000370,107
ENSDARG00000000380,21
ENSDARG00000000394,259
ENSDARG00000000423,13
ENSDARG00000000442,8
ENSDARG00000000460,0
ENSDARG00000000472,32
ENSDARG00000000474,0
ENSDARG00000000476,21
ENSDARG00000000489,62
ENSDARG00000000503,211
ENSDARG00000000516,0
ENSDARG00000000529,17
ENSDARG00000000540,88
ENSDARG00000000542,18
ENSDARG00000000551,23
ENSDARG00000000563,18788
ENSDARG00000000567,37
ENSDARG00000000568,40
ENSDARG00000000588,3
ENSDARG00000000606,0
ENSDARG00000000631,58
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,41
ENSDARG00000000690,23
ENSDARG00000000729,106
ENSDARG00000000730,20
ENSDARG00000000747,8
ENSDARG00000000760,51
ENSDARG00000000767,21
ENSDARG00000000779,159
ENSDARG00000000796,9
ENSDARG00000000804,29
ENSDARG00000000830,0
ENSDARG00000000837,52
ENSDARG00000000853,47
ENSDARG00000000857,10
ENSDARG00000000861,302
ENSDARG00000000887,0
ENSDARG00000000906,16
ENSDARG00000000935,42
ENSDARG00000000943,0
ENSDARG00000000966,590
ENSDARG00000001014,748
ENSDARG00000001015,172
ENSDARG00000001057,52
ENSDARG00000001127,32
ENSDARG00000001129,171
ENSDARG00000001154,22
ENSDARG00000001162,110
ENSDARG00000001169,0
ENSDARG00000001210,16
ENSDARG00000001220,261
ENSDARG00000001234,74
ENSDARG00000001241,121
ENSDARG00000001244,181
ENSDARG00000001249,13
ENSDARG00000001259,8
ENSDARG00000001303,0
ENSDARG00000001313,14
ENSDARG00000001354,9
ENSDARG00000001414,28
ENSDARG00000001431,771
ENSDARG00000001437,27
ENSDARG00000001442,8
ENSDARG00000001447,9
ENSDARG00000001452,6
ENSDARG00000001463,40
ENSDARG00000001470,73
ENSDARG00000001498,0
ENSDARG00000001549,68
ENSDARG00000001557,20
ENSDARG00000001558,42
ENSDARG00000001559,226
ENSDARG00000001572,0
ENSDARG00000001578,48
ENSDARG00000001621,19
ENSDARG00000001634,98
ENSDARG00000001656,0
ENSDARG00000001676,50
ENSDARG00000001686,1
ENSDARG00000001710,75
ENSDARG00000001712,9
ENSDARG00000001721,0
ENSDARG00000001729,182
ENSDARG00000001733,18
ENSDARG00000001734,3
ENSDARG00000001754,60
ENSDARG00000001760,81
ENSDARG00000001767,3
ENSDARG00000001769,55
ENSDARG00000001771,0
ENSDARG00000001776,8
ENSDARG00000001777,124
ENSDARG00000001781,0
ENSDARG00000001782,11
ENSDARG00000001785,27
ENSDARG00000001788,307
ENSDARG00000001803,9
ENSDARG00000001804,0
ENSDARG00000001807,40
ENSDARG00000001817,12
ENSDARG00000001818,236
ENSDARG00000001825,2
ENSDARG00000001829,222
ENSDARG00000001835,18
ENSDARG00000001857,159
ENSDARG00000001859,0
ENSDARG00000001870,1712
ENSDARG00000001873,42
ENSDARG00000001879,75
ENSDARG00000001880,77
ENSDARG00000001881,12
ENSDARG00000001882,28
ENSDARG00000001888,100
ENSDARG00000001889,115
ENSDARG00000001890,247
ENSDARG00000001891,25
ENSDARG00000001897,68
ENSDARG00000001898,15
ENSDARG00000001906,6
ENSDARG00000001909,6
ENSDARG00000001910,165
ENSDARG00000001912,1
ENSDARG00000001913,10
ENSDARG00000001929,12
ENSDARG00000001930,10
ENSDARG00000001933,3
ENSDARG00000001937,2
ENSDARG00000001939,24
ENSDARG00000001940,103
ENSDARG00000001950,955
ENSDARG00000001953,21
ENSDARG00000001968,182
ENSDARG00000001969,28
ENSDARG00000001971,3
ENSDARG00000001975,15
ENSDARG00000001976,19
ENSDARG00000001993,346
ENSDARG00000001994,116
ENSDARG00000001999,37
ENSDARG00000002002,18
ENSDARG00000002006,30
ENSDARG00000002013,65
ENSDARG00000002016,3
ENSDARG00000002020,23
ENSDARG00000002021,70
ENSDARG00000002026,25
ENSDARG00000002031,0
ENSDARG00000002037,20
ENSDARG00000002060,0
ENSDARG00000002071,64
ENSDARG00000002077,4
ENSDARG00000002082,72
ENSDARG00000002084,177
ENSDARG00000002097,3
ENSDARG00000002127,56
ENSDARG00000002128,36
ENSDARG00000002131,76
ENSDARG00000002165,7
ENSDARG00000002167,45
ENSDARG00000002168,34
ENSDARG00000002172,6
ENSDARG00000002174,19
ENSDARG00000002184,29
ENSDARG00000002190,175
ENSDARG00000002192,15
ENSDARG00000002193,593
ENSDARG00000002194,0
ENSDARG00000002196,187
ENSDARG00000002197,120
ENSDARG00000002204,13
ENSDARG00000002210,13
