G4,Counts
ENSDARG00000000001,0
ENSDARG00000000002,5
ENSDARG00000000018,8
ENSDARG00000000019,61
ENSDARG00000000068,0
ENSDARG00000000069,62
ENSDARG00000000086,79
ENSDARG00000000103,110
ENSDARG00000000142,0
ENSDARG00000000151,11
ENSDARG00000000161,6
ENSDARG00000000175,0
ENSDARG00000000183,92
ENSDARG00000000189,51
ENSDARG00000000212,259
ENSDARG00000000229,20
ENSDARG00000000241,27
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,107
ENSDARG00000000380,15
ENSDARG00000000394,67
ENSDARG00000000423,11
ENSDARG00000000442,7
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,3
ENSDARG00000000503,276
ENSDARG00000000516,0
ENSDARG00000000529,15
ENSDARG00000000540,2
ENSDARG00000000542,32
ENSDARG00000000551,20
ENSDARG00000000563,11624
ENSDARG00000000567,7
ENSDARG00000000568,18
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,15
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,3
ENSDARG00000000690,0
ENSDARG00000000729,24
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,16
ENSDARG00000000767,0
ENSDARG00000000779,73
ENSDARG00000000796,4
ENSDARG00000000804,2
ENSDARG00000000830,0
ENSDARG00000000837,7
ENSDARG00000000853,27
ENSDARG00000000857,4
ENSDARG00000000861,635
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,55
ENSDARG00000000943,5
ENSDARG00000000966,237
ENSDARG00000001014,83
ENSDARG00000001015,48
ENSDARG00000001057,58
ENSDARG00000001127,41
ENSDARG00000001129,80
ENSDARG00000001154,23
ENSDARG00000001162,39
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,147
ENSDARG00000001234,51
ENSDARG00000001241,27
ENSDARG00000001244,106
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,0
ENSDARG00000001354,0
ENSDARG00000001414,0
ENSDARG00000001431,271
ENSDARG00000001437,0
ENSDARG00000001442,23
ENSDARG00000001447,15
ENSDARG00000001452,0
ENSDARG00000001463,9
ENSDARG00000001470,8
ENSDARG00000001498,0
ENSDARG00000001549,44
ENSDARG00000001557,2
ENSDARG00000001558,14
ENSDARG00000001559,33
ENSDARG00000001572,0
ENSDARG00000001578,7
ENSDARG00000001621,2
ENSDARG00000001634,27
ENSDARG00000001656,0
ENSDARG00000001676,25
ENSDARG00000001686,4
ENSDARG00000001710,27
ENSDARG00000001712,1
ENSDARG00000001721,0
ENSDARG00000001729,47
ENSDARG00000001733,9
ENSDARG00000001734,20
ENSDARG00000001754,0
ENSDARG00000001760,18
ENSDARG00000001767,0
ENSDARG00000001769,27
ENSDARG00000001771,0
ENSDARG00000001776,0
ENSDARG00000001777,9
ENSDARG00000001781,0
ENSDARG00000001782,2
ENSDARG00000001785,9
ENSDARG00000001788,75
ENSDARG00000001803,0
ENSDARG00000001804,1
ENSDARG00000001807,26
ENSDARG00000001817,6
ENSDARG00000001818,132
ENSDARG00000001825,0
ENSDARG00000001829,29
ENSDARG00000001835,4
ENSDARG00000001857,152
ENSDARG00000001859,0
ENSDARG00000001870,351
ENSDARG00000001873,0
ENSDARG00000001879,17
ENSDARG00000001880,4
ENSDARG00000001881,1
ENSDARG00000001882,3
ENSDARG00000001888,11
ENSDARG00000001889,59
ENSDARG00000001890,22
ENSDARG00000001891,7
ENSDARG00000001897,51
ENSDARG00000001898,0
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,82
ENSDARG00000001912,0
ENSDARG00000001913,17
ENSDARG00000001929,11
ENSDARG00000001930,3
ENSDARG00000001933,0
ENSDARG00000001937,6
ENSDARG00000001939,20
ENSDARG00000001940,70
ENSDARG00000001950,345
ENSDARG00000001953,11
ENSDARG00000001968,52
ENSDARG00000001969,8
ENSDARG00000001971,0
ENSDARG00000001975,1
ENSDARG00000001976,1
ENSDARG00000001993,37
ENSDARG00000001994,164
ENSDARG00000001999,13
ENSDARG00000002002,3
ENSDARG00000002006,10
ENSDARG00000002013,21
ENSDARG00000002016,10
ENSDARG00000002020,26
ENSDARG00000002021,0
ENSDARG00000002026,57
ENSDARG00000002031,0
ENSDARG00000002037,13
ENSDARG00000002060,0
ENSDARG00000002071,33
ENSDARG00000002077,2
ENSDARG00000002082,27
ENSDARG00000002084,41
ENSDARG00000002097,0
ENSDARG00000002127,80
ENSDARG00000002128,0
ENSDARG00000002131,67
ENSDARG00000002165,0
ENSDARG00000002167,21
ENSDARG00000002168,9
ENSDARG00000002172,2
ENSDARG00000002174,0
ENSDARG00000002184,6
ENSDARG00000002190,42
ENSDARG00000002192,0
ENSDARG00000002193,386
ENSDARG00000002194,0
ENSDARG00000002196,2
ENSDARG00000002197,21
ENSDARG00000002204,0
ENSDARG00000002210,6
ENSDARG00000002213,0
ENSDARG00000002215,1
ENSDARG00000002216,6
ENSDARG00000002217,51
ENSDARG00000002219,5
ENSDARG00000002220,0
ENSDARG00000002230,34
ENSDARG00000002231,0
ENSDARG00000002235,61
ENSDARG00000002240,8
ENSDARG00000002241,0
ENSDARG00000002249,0
ENSDARG00000002255,8
ENSDARG00000002259,0
ENSDARG00000002264,16
ENSDARG00000002267,21
ENSDARG00000002271,136
ENSDARG00000002285,9
ENSDARG00000002293,0
ENSDARG00000002295,0
