A11,Counts
ENSDARG00000002467,5
ENSDARG00000002479,12
ENSDARG00000002483,0
ENSDARG00000002487,14
ENSDARG00000002494,2
ENSDARG00000002506,0
ENSDARG00000002507,4
ENSDARG00000002508,14
ENSDARG00000002509,2
ENSDARG00000002510,0
ENSDARG00000002523,43
ENSDARG00000002533,0
ENSDARG00000002536,5
ENSDARG00000002538,15
ENSDARG00000002546,0
ENSDARG00000002549,6
ENSDARG00000002552,43
ENSDARG00000002564,11
ENSDARG00000002571,17
ENSDARG00000002576,5
ENSDARG00000002582,10
ENSDARG00000002587,82
ENSDARG00000002589,176
ENSDARG00000002591,7
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,6
ENSDARG00000002601,0
ENSDARG00000002607,2
ENSDARG00000002609,5
ENSDARG00000002613,1
ENSDARG00000002632,16
ENSDARG00000002634,1
ENSDARG00000002635,5
ENSDARG00000002642,9
ENSDARG00000002644,9
ENSDARG00000002656,5
ENSDARG00000002659,36
ENSDARG00000002663,11
ENSDARG00000002666,0
ENSDARG00000002670,3
ENSDARG00000002682,4
ENSDARG00000002685,0
ENSDARG00000002690,11
ENSDARG00000002696,72
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,131
ENSDARG00000002720,4
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,36
ENSDARG00000002732,15
ENSDARG00000002745,75
ENSDARG00000002748,11
ENSDARG00000002750,9
ENSDARG00000002754,0
ENSDARG00000002758,134
ENSDARG00000002760,1
ENSDARG00000002764,2
ENSDARG00000002768,496
ENSDARG00000002771,8
ENSDARG00000002779,0
ENSDARG00000002787,19
ENSDARG00000002790,59
ENSDARG00000002791,168
ENSDARG00000002792,41
ENSDARG00000002795,4
ENSDARG00000002797,0
ENSDARG00000002798,0
ENSDARG00000002816,9
ENSDARG00000002826,1
ENSDARG00000002830,2
ENSDARG00000002831,1
ENSDARG00000002840,24
ENSDARG00000002847,5
ENSDARG00000002872,2
ENSDARG00000002877,14
ENSDARG00000002880,16
ENSDARG00000002894,11
ENSDARG00000002897,8
ENSDARG00000002909,25
ENSDARG00000002912,2
ENSDARG00000002916,28
ENSDARG00000002917,0
ENSDARG00000002933,0
ENSDARG00000002937,17
ENSDARG00000002945,8
ENSDARG00000002947,4
ENSDARG00000002949,26
ENSDARG00000002952,27
ENSDARG00000002956,13
ENSDARG00000002959,0
ENSDARG00000002967,17
ENSDARG00000002968,52
ENSDARG00000002970,13
ENSDARG00000002971,16
ENSDARG00000002986,10
ENSDARG00000002988,34
ENSDARG00000002991,5
ENSDARG00000002994,14
ENSDARG00000003008,5
ENSDARG00000003017,4
ENSDARG00000003020,4
ENSDARG00000003021,6
ENSDARG00000003022,15
ENSDARG00000003027,0
ENSDARG00000003032,199
ENSDARG00000003035,101
ENSDARG00000003041,1
ENSDARG00000003046,11
ENSDARG00000003054,0
ENSDARG00000003058,8
ENSDARG00000003061,4
ENSDARG00000003068,33
ENSDARG00000003069,0
ENSDARG00000003077,4
ENSDARG00000003081,1546
ENSDARG00000003084,1
ENSDARG00000003085,0
ENSDARG00000003087,21
ENSDARG00000003090,0
ENSDARG00000003091,3
ENSDARG00000003098,44
ENSDARG00000003109,13
ENSDARG00000003113,31
ENSDARG00000003127,36
ENSDARG00000003132,11
ENSDARG00000003142,3
ENSDARG00000003144,1
ENSDARG00000003146,6
ENSDARG00000003151,101
ENSDARG00000003153,3
ENSDARG00000003157,0
ENSDARG00000003165,5
ENSDARG00000003167,6
