E11,Counts
ENSDARG00000002467,2
ENSDARG00000002479,52
ENSDARG00000002483,2
ENSDARG00000002487,43
ENSDARG00000002494,84
ENSDARG00000002506,47
ENSDARG00000002507,40
ENSDARG00000002508,30
ENSDARG00000002509,1
ENSDARG00000002510,0
ENSDARG00000002523,62
ENSDARG00000002533,17
ENSDARG00000002536,91
ENSDARG00000002538,88
ENSDARG00000002546,18
ENSDARG00000002549,13
ENSDARG00000002552,154
ENSDARG00000002564,90
ENSDARG00000002571,101
ENSDARG00000002576,58
ENSDARG00000002582,59
ENSDARG00000002587,527
ENSDARG00000002589,956
ENSDARG00000002591,85
ENSDARG00000002593,8
ENSDARG00000002597,0
ENSDARG00000002600,119
ENSDARG00000002601,22
ENSDARG00000002607,61
ENSDARG00000002609,46
ENSDARG00000002613,3
ENSDARG00000002632,124
ENSDARG00000002634,13
ENSDARG00000002635,191
ENSDARG00000002642,45
ENSDARG00000002644,83
ENSDARG00000002656,101
ENSDARG00000002659,187
ENSDARG00000002663,19
ENSDARG00000002666,17
ENSDARG00000002670,105
ENSDARG00000002682,104
ENSDARG00000002685,0
ENSDARG00000002690,64
ENSDARG00000002696,589
ENSDARG00000002701,9
ENSDARG00000002707,0
ENSDARG00000002710,984
ENSDARG00000002720,11
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,268
ENSDARG00000002732,14
ENSDARG00000002745,432
ENSDARG00000002748,61
ENSDARG00000002750,67
ENSDARG00000002754,1
ENSDARG00000002758,1452
ENSDARG00000002760,2
ENSDARG00000002764,25
ENSDARG00000002768,4134
ENSDARG00000002771,29
ENSDARG00000002779,1
ENSDARG00000002787,151
ENSDARG00000002790,326
ENSDARG00000002791,2463
ENSDARG00000002792,96
ENSDARG00000002795,34
ENSDARG00000002797,0
ENSDARG00000002798,28
ENSDARG00000002816,67
ENSDARG00000002826,16
ENSDARG00000002830,0
ENSDARG00000002831,24
ENSDARG00000002840,185
ENSDARG00000002847,64
ENSDARG00000002872,0
ENSDARG00000002877,98
ENSDARG00000002880,89
ENSDARG00000002894,1
ENSDARG00000002897,78
ENSDARG00000002909,63
ENSDARG00000002912,26
ENSDARG00000002916,124
ENSDARG00000002917,31
ENSDARG00000002933,56
ENSDARG00000002937,148
ENSDARG00000002945,25
ENSDARG00000002947,48
ENSDARG00000002949,272
ENSDARG00000002952,77
ENSDARG00000002956,5
ENSDARG00000002959,0
ENSDARG00000002967,116
ENSDARG00000002968,300
ENSDARG00000002970,118
ENSDARG00000002971,42
ENSDARG00000002986,9
ENSDARG00000002988,259
ENSDARG00000002991,63
ENSDARG00000002994,95
ENSDARG00000003008,146
ENSDARG00000003017,55
ENSDARG00000003020,18
ENSDARG00000003021,17
ENSDARG00000003022,14
ENSDARG00000003027,0
ENSDARG00000003032,1165
ENSDARG00000003035,445
ENSDARG00000003041,2
ENSDARG00000003046,123
ENSDARG00000003054,0
ENSDARG00000003058,110
ENSDARG00000003061,5
ENSDARG00000003068,159
ENSDARG00000003069,32
ENSDARG00000003077,13
ENSDARG00000003081,11691
ENSDARG00000003084,39
ENSDARG00000003085,61
ENSDARG00000003087,252
ENSDARG00000003090,0
ENSDARG00000003091,63
ENSDARG00000003098,471
ENSDARG00000003109,34
ENSDARG00000003113,312
