A1,Counts
ENSDARG00000000001,2
ENSDARG00000000002,74
ENSDARG00000000018,33
ENSDARG00000000019,140
ENSDARG00000000068,62
ENSDARG00000000069,206
ENSDARG00000000086,194
ENSDARG00000000103,364
ENSDARG00000000142,7
ENSDARG00000000151,69
ENSDARG00000000161,134
ENSDARG00000000175,20
ENSDARG00000000183,171
ENSDARG00000000189,144
ENSDARG00000000212,862
ENSDARG00000000229,18
ENSDARG00000000241,83
ENSDARG00000000349,0
ENSDARG00000000369,13
ENSDARG00000000370,202
ENSDARG00000000380,50
ENSDARG00000000394,120
ENSDARG00000000423,8
ENSDARG00000000442,9
ENSDARG00000000460,0
ENSDARG00000000472,53
ENSDARG00000000474,0
ENSDARG00000000476,12
ENSDARG00000000489,57
ENSDARG00000000503,642
ENSDARG00000000516,0
ENSDARG00000000529,27
ENSDARG00000000540,44
ENSDARG00000000542,21
ENSDARG00000000551,67
ENSDARG00000000563,18545
ENSDARG00000000567,41
ENSDARG00000000568,40
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,213
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,33
ENSDARG00000000690,9
ENSDARG00000000729,87
ENSDARG00000000730,16
ENSDARG00000000747,0
ENSDARG00000000760,31
ENSDARG00000000767,14
ENSDARG00000000779,133
ENSDARG00000000796,23
ENSDARG00000000804,7
ENSDARG00000000830,14
ENSDARG00000000837,69
ENSDARG00000000853,62
ENSDARG00000000857,35
ENSDARG00000000861,169
ENSDARG00000000887,4
ENSDARG00000000906,5
ENSDARG00000000935,21
ENSDARG00000000943,39
ENSDARG00000000966,576
ENSDARG00000001014,741
ENSDARG00000001015,190
ENSDARG00000001057,41
ENSDARG00000001127,76
ENSDARG00000001129,197
ENSDARG00000001154,48
ENSDARG00000001162,126
ENSDARG00000001169,11
ENSDARG00000001210,12
ENSDARG00000001220,297
ENSDARG00000001234,58
ENSDARG00000001241,85
ENSDARG00000001244,385
ENSDARG00000001249,7
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,16
ENSDARG00000001354,6
ENSDARG00000001414,7
ENSDARG00000001431,1155
ENSDARG00000001437,48
ENSDARG00000001442,18
ENSDARG00000001447,39
ENSDARG00000001452,2
ENSDARG00000001463,66
ENSDARG00000001470,72
ENSDARG00000001498,3
ENSDARG00000001549,144
ENSDARG00000001557,19
ENSDARG00000001558,41
ENSDARG00000001559,89
ENSDARG00000001572,0
ENSDARG00000001578,60
ENSDARG00000001621,31
ENSDARG00000001634,70
ENSDARG00000001656,2
ENSDARG00000001676,85
ENSDARG00000001686,1
ENSDARG00000001710,98
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,168
ENSDARG00000001733,19
ENSDARG00000001734,13
ENSDARG00000001754,39
ENSDARG00000001760,45
ENSDARG00000001767,8
ENSDARG00000001769,58
ENSDARG00000001771,0
ENSDARG00000001776,15
ENSDARG00000001777,61
ENSDARG00000001781,8
ENSDARG00000001782,2
ENSDARG00000001785,23
ENSDARG00000001788,245
ENSDARG00000001803,14
ENSDARG00000001804,0
ENSDARG00000001807,25
ENSDARG00000001817,8
ENSDARG00000001818,229
ENSDARG00000001825,0
ENSDARG00000001829,186
ENSDARG00000001835,54
ENSDARG00000001857,141
ENSDARG00000001859,9
ENSDARG00000001870,1702
ENSDARG00000001873,22
ENSDARG00000001879,87
ENSDARG00000001880,37
ENSDARG00000001881,8
ENSDARG00000001882,10
ENSDARG00000001888,64
ENSDARG00000001889,165
ENSDARG00000001890,186
ENSDARG00000001891,10
ENSDARG00000001897,42
ENSDARG00000001898,18
ENSDARG00000001906,0
ENSDARG00000001909,16
ENSDARG00000001910,146
ENSDARG00000001912,8
ENSDARG00000001913,37
ENSDARG00000001929,20
ENSDARG00000001930,22
ENSDARG00000001933,9
ENSDARG00000001937,11
ENSDARG00000001939,19
ENSDARG00000001940,57
ENSDARG00000001950,1019
ENSDARG00000001953,26
ENSDARG00000001968,173
ENSDARG00000001969,25
ENSDARG00000001971,3
ENSDARG00000001975,36
ENSDARG00000001976,7
ENSDARG00000001993,687
ENSDARG00000001994,316
ENSDARG00000001999,37
ENSDARG00000002002,19
ENSDARG00000002006,42
ENSDARG00000002013,50
ENSDARG00000002016,31
ENSDARG00000002020,26
ENSDARG00000002021,37
ENSDARG00000002026,67
ENSDARG00000002031,0
ENSDARG00000002037,25
ENSDARG00000002060,4
ENSDARG00000002071,98
ENSDARG00000002077,25
ENSDARG00000002082,78
ENSDARG00000002084,161
ENSDARG00000002097,11
ENSDARG00000002127,96
ENSDARG00000002128,23
ENSDARG00000002131,193
ENSDARG00000002165,8
ENSDARG00000002167,113
ENSDARG00000002168,36
ENSDARG00000002172,5
ENSDARG00000002174,6
ENSDARG00000002184,27
ENSDARG00000002190,97
ENSDARG00000002192,50
ENSDARG00000002193,1003
ENSDARG00000002194,1
ENSDARG00000002196,47
ENSDARG00000002197,157
