D9,Counts
ENSDARG00000000001,1
ENSDARG00000000002,4
ENSDARG00000000018,7
ENSDARG00000000019,25
ENSDARG00000000068,22
ENSDARG00000000069,39
ENSDARG00000000086,62
ENSDARG00000000103,91
ENSDARG00000000142,2
ENSDARG00000000151,3
ENSDARG00000000161,3
ENSDARG00000000175,0
ENSDARG00000000183,24
ENSDARG00000000189,62
ENSDARG00000000212,147
ENSDARG00000000229,4
ENSDARG00000000241,12
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,26
ENSDARG00000000380,26
ENSDARG00000000394,21
ENSDARG00000000423,8
ENSDARG00000000442,5
ENSDARG00000000460,0
ENSDARG00000000472,18
ENSDARG00000000474,0
ENSDARG00000000476,1
ENSDARG00000000489,17
ENSDARG00000000503,49
ENSDARG00000000516,0
ENSDARG00000000529,9
ENSDARG00000000540,8
ENSDARG00000000542,0
ENSDARG00000000551,6
ENSDARG00000000563,5520
ENSDARG00000000567,5
ENSDARG00000000568,1
ENSDARG00000000588,0
ENSDARG00000000606,10
ENSDARG00000000631,7
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,4
ENSDARG00000000690,7
ENSDARG00000000729,4
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,0
ENSDARG00000000767,0
ENSDARG00000000779,19
ENSDARG00000000796,30
ENSDARG00000000804,4
ENSDARG00000000830,0
ENSDARG00000000837,13
ENSDARG00000000853,17
ENSDARG00000000857,0
ENSDARG00000000861,24
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,5
ENSDARG00000000943,6
ENSDARG00000000966,115
ENSDARG00000001014,124
ENSDARG00000001015,23
ENSDARG00000001057,8
ENSDARG00000001127,5
ENSDARG00000001129,50
ENSDARG00000001154,10
ENSDARG00000001162,23
ENSDARG00000001169,0
ENSDARG00000001210,6
ENSDARG00000001220,56
ENSDARG00000001234,3
ENSDARG00000001241,26
ENSDARG00000001244,38
ENSDARG00000001249,0
ENSDARG00000001259,2
ENSDARG00000001303,0
ENSDARG00000001313,3
ENSDARG00000001354,0
ENSDARG00000001414,3
ENSDARG00000001431,208
ENSDARG00000001437,0
ENSDARG00000001442,14
ENSDARG00000001447,8
ENSDARG00000001452,1
ENSDARG00000001463,5
ENSDARG00000001470,26
ENSDARG00000001498,0
ENSDARG00000001549,13
ENSDARG00000001557,4
ENSDARG00000001558,14
ENSDARG00000001559,7
ENSDARG00000001572,0
ENSDARG00000001578,10
ENSDARG00000001621,12
ENSDARG00000001634,18
ENSDARG00000001656,0
ENSDARG00000001676,4
ENSDARG00000001686,0
ENSDARG00000001710,47
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,55
ENSDARG00000001733,6
ENSDARG00000001734,17
ENSDARG00000001754,15
ENSDARG00000001760,17
ENSDARG00000001767,0
ENSDARG00000001769,5
ENSDARG00000001771,0
ENSDARG00000001776,0
ENSDARG00000001777,18
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,0
ENSDARG00000001788,60
ENSDARG00000001803,0
ENSDARG00000001804,0
ENSDARG00000001807,8
ENSDARG00000001817,0
ENSDARG00000001818,81
ENSDARG00000001825,6
ENSDARG00000001829,38
ENSDARG00000001835,3
ENSDARG00000001857,33
ENSDARG00000001859,0
ENSDARG00000001870,276
ENSDARG00000001873,5
ENSDARG00000001879,24
ENSDARG00000001880,13
ENSDARG00000001881,0
ENSDARG00000001882,2
ENSDARG00000001888,13
ENSDARG00000001889,47
ENSDARG00000001890,51
ENSDARG00000001891,3
ENSDARG00000001897,10
ENSDARG00000001898,7
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,20
ENSDARG00000001912,0
ENSDARG00000001913,2
ENSDARG00000001929,1
ENSDARG00000001930,0
ENSDARG00000001933,1
ENSDARG00000001937,2
ENSDARG00000001939,2
ENSDARG00000001940,48
ENSDARG00000001950,235
ENSDARG00000001953,7
ENSDARG00000001968,36
ENSDARG00000001969,11
ENSDARG00000001971,0
ENSDARG00000001975,1
ENSDARG00000001976,2
ENSDARG00000001993,56
ENSDARG00000001994,54
ENSDARG00000001999,5
ENSDARG00000002002,3
ENSDARG00000002006,0
ENSDARG00000002013,19
ENSDARG00000002016,0
ENSDARG00000002020,13
ENSDARG00000002021,4
ENSDARG00000002026,57
ENSDARG00000002031,0
ENSDARG00000002037,0
ENSDARG00000002060,0
ENSDARG00000002071,22
ENSDARG00000002077,4
ENSDARG00000002082,45
ENSDARG00000002084,27
ENSDARG00000002097,0
ENSDARG00000002127,25
ENSDARG00000002128,10
ENSDARG00000002131,8
ENSDARG00000002165,7
ENSDARG00000002167,18
ENSDARG00000002168,0
ENSDARG00000002172,4
ENSDARG00000002174,0
ENSDARG00000002184,0
ENSDARG00000002190,15
ENSDARG00000002192,15
ENSDARG00000002193,114
ENSDARG00000002194,0
ENSDARG00000002196,20
ENSDARG00000002197,14
ENSDARG00000002204,3
ENSDARG00000002210,10
ENSDARG00000002213,8
ENSDARG00000002215,9
ENSDARG00000002216,5
ENSDARG00000002217,15
ENSDARG00000002219,11
ENSDARG00000002220,0
ENSDARG00000002230,9
ENSDARG00000002231,5
ENSDARG00000002235,41
ENSDARG00000002240,23
ENSDARG00000002241,0
ENSDARG00000002249,15
ENSDARG00000002255,3
ENSDARG00000002259,3
ENSDARG00000002264,2
ENSDARG00000002267,12
ENSDARG00000002271,25
ENSDARG00000002285,14
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,1
ENSDARG00000002299,0
ENSDARG00000002300,1
ENSDARG00000002304,1
ENSDARG00000002305,44
ENSDARG00000002311,4
ENSDARG00000002330,0
ENSDARG00000002332,16
ENSDARG00000002333,11
ENSDARG00000002336,16
ENSDARG00000002339,0
ENSDARG00000002344,126
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,7
ENSDARG00000002365,8
ENSDARG00000002369,7
ENSDARG00000002377,0
ENSDARG00000002385,10
ENSDARG00000002391,0
ENSDARG00000002394,1
ENSDARG00000002396,42
ENSDARG00000002401,22
ENSDARG00000002402,10
ENSDARG00000002403,13
ENSDARG00000002405,7
