C7,Counts
ENSDARG00000002463,0
ENSDARG00000002467,28
ENSDARG00000002479,22
ENSDARG00000002483,7
ENSDARG00000002487,118
ENSDARG00000002494,29
ENSDARG00000002506,48
ENSDARG00000002507,21
ENSDARG00000002508,85
ENSDARG00000002509,0
ENSDARG00000002510,26
ENSDARG00000002523,156
ENSDARG00000002533,11
ENSDARG00000002536,102
ENSDARG00000002538,101
ENSDARG00000002546,97
ENSDARG00000002549,14
ENSDARG00000002552,158
ENSDARG00000002564,68
ENSDARG00000002571,56
ENSDARG00000002576,96
ENSDARG00000002582,75
ENSDARG00000002587,760
ENSDARG00000002589,463
ENSDARG00000002591,125
ENSDARG00000002593,20
ENSDARG00000002597,0
ENSDARG00000002600,379
ENSDARG00000002601,0
ENSDARG00000002607,102
ENSDARG00000002609,53
ENSDARG00000002613,0
ENSDARG00000002632,199
ENSDARG00000002634,14
ENSDARG00000002635,252
ENSDARG00000002642,18
ENSDARG00000002644,55
ENSDARG00000002656,177
ENSDARG00000002659,183
ENSDARG00000002663,11
ENSDARG00000002666,6
ENSDARG00000002670,66
ENSDARG00000002682,108
ENSDARG00000002685,0
ENSDARG00000002690,23
ENSDARG00000002696,1111
ENSDARG00000002701,18
ENSDARG00000002707,0
ENSDARG00000002710,1245
ENSDARG00000002720,33
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,225
ENSDARG00000002732,31
ENSDARG00000002745,247
ENSDARG00000002748,124
ENSDARG00000002750,111
ENSDARG00000002754,5
ENSDARG00000002758,2237
ENSDARG00000002760,17
ENSDARG00000002764,19
ENSDARG00000002768,3405
ENSDARG00000002771,59
ENSDARG00000002779,0
ENSDARG00000002787,225
ENSDARG00000002790,403
ENSDARG00000002791,2330
ENSDARG00000002792,118
ENSDARG00000002795,26
ENSDARG00000002797,0
ENSDARG00000002798,27
ENSDARG00000002816,162
ENSDARG00000002826,24
ENSDARG00000002830,6
ENSDARG00000002831,85
ENSDARG00000002840,260
ENSDARG00000002847,17
ENSDARG00000002872,64
ENSDARG00000002877,149
ENSDARG00000002880,180
ENSDARG00000002894,22
ENSDARG00000002897,121
ENSDARG00000002909,46
ENSDARG00000002912,60
ENSDARG00000002916,156
ENSDARG00000002917,10
ENSDARG00000002933,78
ENSDARG00000002937,131
ENSDARG00000002945,54
ENSDARG00000002947,26
ENSDARG00000002949,265
ENSDARG00000002952,100
ENSDARG00000002956,23
ENSDARG00000002959,0
ENSDARG00000002967,100
ENSDARG00000002968,143
ENSDARG00000002970,158
ENSDARG00000002971,28
ENSDARG00000002986,23
ENSDARG00000002988,128
ENSDARG00000002991,77
ENSDARG00000002994,94
ENSDARG00000003008,256
ENSDARG00000003017,81
ENSDARG00000003020,27
ENSDARG00000003021,30
ENSDARG00000003022,1
ENSDARG00000003027,14
ENSDARG00000003032,1291
ENSDARG00000003035,254
ENSDARG00000003041,36
ENSDARG00000003046,162
ENSDARG00000003054,17
ENSDARG00000003058,99
ENSDARG00000003061,21
ENSDARG00000003068,127
ENSDARG00000003069,36
ENSDARG00000003077,34
ENSDARG00000003081,7609
ENSDARG00000003084,61
ENSDARG00000003085,76
ENSDARG00000003087,163
ENSDARG00000003090,0
ENSDARG00000003091,37
ENSDARG00000003098,909
ENSDARG00000003109,35
ENSDARG00000003113,176
ENSDARG00000003127,219
ENSDARG00000003132,20
ENSDARG00000003142,21
ENSDARG00000003144,7
ENSDARG00000003146,8
ENSDARG00000003151,410
ENSDARG00000003153,9
ENSDARG00000003157,43
ENSDARG00000003165,109
ENSDARG00000003167,13
ENSDARG00000003169,653
ENSDARG00000003175,17
ENSDARG00000003181,9
ENSDARG00000003189,209
ENSDARG00000003193,6
ENSDARG00000003197,0
ENSDARG00000003200,23
ENSDARG00000003203,16
ENSDARG00000003205,71
ENSDARG00000003206,72
ENSDARG00000003207,37
ENSDARG00000003208,84
ENSDARG00000003210,48
ENSDARG00000003213,286
ENSDARG00000003216,59
ENSDARG00000003217,90
ENSDARG00000003219,15
ENSDARG00000003229,0
ENSDARG00000003235,18
ENSDARG00000003244,7
ENSDARG00000003250,106
ENSDARG00000003251,16
ENSDARG00000003257,0
ENSDARG00000003259,0
ENSDARG00000003269,367
ENSDARG00000003270,152
ENSDARG00000003281,182
ENSDARG00000003287,24
ENSDARG00000003290,48
ENSDARG00000003293,282
ENSDARG00000003303,14
ENSDARG00000003307,100
ENSDARG00000003308,86
ENSDARG00000003311,230
ENSDARG00000003313,28
ENSDARG00000003320,161
ENSDARG00000003326,3
ENSDARG00000003328,62
ENSDARG00000003344,5
ENSDARG00000003373,32
ENSDARG00000003375,7
ENSDARG00000003380,0
ENSDARG00000003381,27
ENSDARG00000003382,61
ENSDARG00000003383,149
ENSDARG00000003395,61
ENSDARG00000003398,41
ENSDARG00000003399,21
ENSDARG00000003403,496
ENSDARG00000003411,61
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,205
ENSDARG00000003429,91
ENSDARG00000003444,21
ENSDARG00000003446,7
ENSDARG00000003449,171
ENSDARG00000003462,213
ENSDARG00000003469,53
ENSDARG00000003475,5
ENSDARG00000003486,303
ENSDARG00000003487,174
ENSDARG00000003495,331
ENSDARG00000003512,301
ENSDARG00000003517,11
ENSDARG00000003519,7
ENSDARG00000003520,56
ENSDARG00000003523,0
ENSDARG00000003526,151
ENSDARG00000003527,54
ENSDARG00000003531,73
ENSDARG00000003533,7
ENSDARG00000003544,220
ENSDARG00000003553,0
ENSDARG00000003564,49
ENSDARG00000003570,209
ENSDARG00000003573,70
ENSDARG00000003576,30
ENSDARG00000003584,36
ENSDARG00000003592,9
ENSDARG00000003599,4762
ENSDARG00000003607,83
ENSDARG00000003615,27
ENSDARG00000003616,92
ENSDARG00000003631,221
ENSDARG00000003632,0
ENSDARG00000003635,8
ENSDARG00000003641,195
ENSDARG00000003642,45
ENSDARG00000003655,716
ENSDARG00000003675,0
ENSDARG00000003680,435
ENSDARG00000003681,562
ENSDARG00000003684,119
ENSDARG00000003693,120
ENSDARG00000003695,738
ENSDARG00000003697,14
ENSDARG00000003699,107
ENSDARG00000003701,8
ENSDARG00000003705,329
ENSDARG00000003706,16
ENSDARG00000003732,8
ENSDARG00000003749,41
ENSDARG00000003750,56
ENSDARG00000003751,166
ENSDARG00000003754,86
ENSDARG00000003757,12
ENSDARG00000003769,60
ENSDARG00000003776,164
ENSDARG00000003779,460
ENSDARG00000003789,182
ENSDARG00000003795,1318
ENSDARG00000003797,27
ENSDARG00000003803,17
ENSDARG00000003808,61
ENSDARG00000003811,551
ENSDARG00000003818,93
ENSDARG00000003820,251
ENSDARG00000003822,66
ENSDARG00000003827,13
ENSDARG00000003829,126
ENSDARG00000003835,435
ENSDARG00000003841,10
ENSDARG00000003845,100
ENSDARG00000003846,0
ENSDARG00000003854,288
ENSDARG00000003860,94
ENSDARG00000003865,35
ENSDARG00000003866,152
ENSDARG00000003867,15
ENSDARG00000003869,17
ENSDARG00000003872,313
ENSDARG00000003877,458
ENSDARG00000003899,0
ENSDARG00000003900,1
ENSDARG00000003902,165
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,298
ENSDARG00000003920,258
ENSDARG00000003925,1
ENSDARG00000003927,113
