Chemical,Dose,emmean,SE,df,lower.CL,upper.CL,.group,Group,cont_group,adj_factor
4TOP,Dose_4,0.04999999999999999,0.048781447596700424,10,-0.05869183864634067,0.15869183864634065, a,Dose_4, a,0.012499999999999997
Aniline,Dose_5,-0.03333333333333333,0.048208651444259204,10,-0.14074890261815146,0.0740822359514848, a,Dose_5, a,-0.008333333333333333
Aniline,Dose_2,-0.016666666666666663,0.048208651444259204,10,-0.12408223595148479,0.09074890261815147, a,Dose_2, a,-0.004166666666666666
Aniline,Control,5.0518445462927235e-17,0.0482086514442592,10,-0.10741556928481806,0.10741556928481817, a,Control, a,1.2629611365731809e-17
Aniline,Dose_1,0.033333333333333395,0.04820865144425919,10,-0.0740822359514847,0.14074890261815148, a,Dose_1, a,0.008333333333333349
Aniline,Dose_3,0.05,0.0482086514442592,10,-0.05741556928481811,0.15741556928481812, a,Dose_3, a,0.0125
Aniline,Dose_4,0.05000000000000002,0.0482086514442592,10,-0.0574155692848181,0.15741556928481815, a,Dose_4, a,0.012500000000000004
BPA,Control,-3.3333333333331294e-4,0.03751542892474252,10,-0.08392291806948177,0.08325625140281515, a,Control, a,-8.333333333332823e-5
BPA,Dose_2,0.03299999999999998,0.03751542892474253,10,-0.05058958473614849,0.11658958473614844, a,Dose_2, a,0.008249999999999995
BPA,Dose_1,0.03300000000000005,0.03751542892474252,10,-0.050589584736148406,0.1165895847361485, a,Dose_1, a,0.008250000000000013
BPA,Dose_5,0.04966666666666667,0.03751542892474253,10,-0.0339229180694818,0.13325625140281513, a,Dose_5, a,0.012416666666666668
BPA,Dose_3,0.08299999999999998,0.03751542892474252,10,-5.895847361484796e-4,0.16658958473614843, a,Dose_3, a,0.020749999999999994
BPA,Dose_4,0.083,0.03751542892474252,10,-5.895847361484519e-4,0.16658958473614846, a,Dose_4, a,0.02075
BPAF,Control,-3.3333333333331684e-4,0.05109903238918631,9,-0.11592737546458859,0.11526070879792197, a,Control, a,-8.333333333332921e-5
BPAF,Dose_4,-3.333333333333118e-4,0.05109903238918631,9,-0.11592737546458859,0.11526070879792197, a,Dose_4, a,-8.333333333332795e-5
BPAF,Dose_1,0.033,0.05109903238918631,9,-0.08259404213125528,0.14859404213125527, a,Dose_1, a,0.00825
BPAF,Dose_3,0.03300000000000001,0.051099032389186304,9,-0.08259404213125526,0.14859404213125527, a,Dose_3, a,0.008250000000000002
BPAF,Dose_5,0.04966666666666669,0.05109903238918631,9,-0.06592737546458859,0.16526070879792198, a,Dose_5, a,0.012416666666666673
BPAF,Dose_2,0.11299999999999999,0.06463573143221772,9,-0.033216182832092406,0.25921618283209236, a,Dose_2, a,0.028249999999999997
Clofibric-acid,Dose_3,-0.10000000000000002,0.0447213595499958,10,-0.19964539872699305,-3.5460127300698807e-4, a,Dose_3, a,-0.025000000000000005
Clofibric-acid,Dose_5,-0.06666666666666668,0.04472135954999581,10,-0.16631206539365972,0.032978732060326366, a,Dose_5, a,-0.01666666666666667
Clofibric-acid,Control,-4.119968255444917e-17,0.0447213595499958,10,-0.09964539872699307,0.09964539872699299, a,Control, a,-1.0299920638612292e-17
Clofibric-acid,Dose_2,2.168404344971009e-17,0.044721359549995815,10,-0.09964539872699303,0.09964539872699309, a,Dose_2, a,5.421010862427522e-18
Clofibric-acid,Dose_4,0.016666666666666698,0.0447213595499958,10,-0.08297873206032633,0.11631206539365974, a,Dose_4, a,0.004166666666666674
Clofibric-acid,Dose_1,0.04999999999999999,0.0447213595499958,10,-0.04964539872699304,0.149645398726993, a,Dose_1, a,0.012499999999999997
DES,Dose_4,3.3333333333328795e-4,0.060015430114695116,10,-0.13338937822388594,0.13405604489055253, a,Dose_4, a,8.333333333332199e-5
DES,Control,3.333333333333981e-4,0.06001543011469511,10,-0.1333893782238858,0.13405604489055262, a,Control, a,8.333333333334953e-5
DES,Dose_1,3.333333333334267e-4,0.0600154301146951,10,-0.13338937822388577,0.13405604489055264, a,Dose_1, a,8.333333333335668e-5
DES,Dose_5,0.05033333333333334,0.060015430114695116,10,-0.0833893782238859,0.18405604489055258, a,Dose_5, a,0.012583333333333335
DES,Dose_2,0.1836666666666667,0.06001543011469512,10,0.04994395510944746,0.3173893782238859, a,Dose_2, a,0.045916666666666675
DES,Dose_3,0.23366666666666672,0.06001543011469511,10,0.09994395510944751,0.36738937822388595, a,Dose_3, a,0.05841666666666668
DMSO,Dose_5,-8.853188364701947e-18,0.010092167846991644,10,-0.022486751280648757,0.022486751280648736, a,Dose_5, a,-2.2132970911754868e-18
DMSO,Control,-6.774569512139894e-18,0.010092167846991643,10,-0.02248675128064875,0.022486751280648736, a,Control, a,-1.6936423780349735e-18
DMSO,Dose_3,-3.865858371268627e-18,0.010092167846991643,10,-0.022486751280648747,0.02248675128064874, a,Dose_3, a,-9.664645928171567e-19
DMSO,Dose_4,0.016666666666666666,0.010092167846991643,10,-0.005820084613982077,0.03915341794731541, a,Dose_4, a,0.004166666666666667
DMSO,Dose_2,0.03333333333333334,0.010092167846991644,10,0.010846582052684593,0.055820084613982086, a,Dose_2, a,0.008333333333333335
DMSO,Dose_1,0.03333333333333334,0.010092167846991643,10,0.010846582052684597,0.05582008461398208, a,Dose_1, a,0.008333333333333335
EE2,Dose_4,-0.1003333333333333,0.0546876653436654,10,-0.22218504520997745,0.02151837854331086, a,Dose_4, a,-0.025083333333333326
EE2,Dose_3,-0.033666666666666636,0.0546876653436654,10,-0.1555183785433108,0.08818504520997753, a,Dose_3, a,-0.008416666666666659
EE2,Control,-3.333333333333287e-4,0.0546876653436654,10,-0.12218504520997749,0.12151837854331084, a,Control, a,-8.333333333333218e-5
EE2,Dose_2,0.06633333333333338,0.05468766534366541,10,-0.055518378543310806,0.18818504520997759, a,Dose_2, a,0.016583333333333346
EE2,Dose_5,0.09966666666666668,0.0546876653436654,10,-0.02218504520997748,0.22151837854331086, a,Dose_5, a,0.02491666666666667
EE2,Dose_1,0.09966666666666668,0.05468766534366539,10,-0.022185045209977466,0.22151837854331083, a,Dose_1, a,0.02491666666666667
Fadrozole,Control,-3.333333333333493e-4,0.042817441928883766,10,-0.09573653923774537,0.09506987257107867, a,Control, a,-8.333333333333733e-5
Fadrozole,Dose_3,-3.3333333333334693e-4,0.04281744192888377,10,-0.09573653923774539,0.09506987257107868, a,Dose_3, a,-8.333333333333673e-5
Fadrozole,Dose_4,-3.3333333333333706e-4,0.04281744192888377,10,-0.09573653923774537,0.0950698725710787, a,Dose_4, a,-8.333333333333427e-5
Fadrozole,Dose_1,0.016333333333333335,0.042817441928883766,10,-0.07906987257107868,0.11173653923774536, a,Dose_1, a,0.004083333333333334
Fadrozole,Dose_2,0.016333333333333352,0.04281744192888378,10,-0.0790698725710787,0.1117365392377454, a,Dose_2, a,0.004083333333333338
Fadrozole,Dose_5,0.01633333333333336,0.04281744192888377,10,-0.07906987257107867,0.1117365392377454, a,Dose_5, a,0.00408333333333334
Fenitrothione,Dose_4,-0.03366666666666666,0.039086797998528586,10,-0.12075747988692753,0.05342414655359421, a,Dose_4, a,-0.008416666666666664
Fenitrothione,Dose_1,-0.016999999999999998,0.03908679799852858,10,-0.10409081322026086,0.07009081322026085, a,Dose_1, a,-0.0042499999999999994
Fenitrothione,Dose_3,-3.333333333333305e-4,0.039086797998528586,10,-0.08742414655359419,0.08675747988692754, a,Dose_3, a,-8.333333333333263e-5
Fenitrothione,Control,-3.333333333333149e-4,0.039086797998528586,10,-0.08742414655359418,0.08675747988692756, a,Control, a,-8.333333333332872e-5
Fenitrothione,Dose_2,0.01633333333333334,0.03908679799852859,10,-0.07075747988692754,0.10342414655359422, a,Dose_2, a,0.004083333333333335
Fenitrothione,Dose_5,0.033,0.039086797998528586,10,-0.05409081322026087,0.12009081322026087, a,Dose_5, a,0.00825
Fluoxetine,Dose_5,-0.11633333333333337,0.022152668930418777,10,-0.16569255565238866,-0.06697411101427808, a ,Dose_5, a ,-0.029083333333333343
Fluoxetine,Dose_1,-0.06633333333333336,0.02215266893041877,10,-0.11569255565238863,-0.01697411101427808, ab,Dose_1, ab,-0.01658333333333334
Fluoxetine,Dose_3,-0.049666666666666685,0.022152668930418774,10,-0.09902588898572197,-3.0744434761140194e-4, ab,Dose_3, ab,-0.012416666666666671
Fluoxetine,Dose_4,-0.016333333333333352,0.022152668930418774,10,-0.06569255565238863,0.03302588898572193, ab,Dose_4, ab,-0.004083333333333338
Fluoxetine,Control,3.3333333333335864e-4,0.022152668930418774,10,-0.049025888985721924,0.04969255565238864,  b,Control,  b,8.333333333333966e-5
Fluoxetine,Dose_2,0.01700000000000003,0.022152668930418777,10,-0.03235922231905526,0.06635922231905532,  b,Dose_2,  b,0.004250000000000007
Flutamide,Control,-3.3333333333333316e-4,0.034020690871988585,10,-0.0761361564366259,0.07546948976995922, a,Control, a,-8.333333333333329e-5
Flutamide,Dose_2,0.033,0.03402069087198859,10,-0.04280282310329257,0.10880282310329258, a,Dose_2, a,0.00825
Flutamide,Dose_1,0.0663333333333334,0.034020690871988585,10,-0.009469489769959163,0.14213615643662597, a,Dose_1, a,0.01658333333333335
Flutamide,Dose_3,0.08299999999999999,0.03402069087198859,10,0.007197176896707416,0.15880282310329258, a,Dose_3, a,0.020749999999999998
Flutamide,Dose_4,0.09966666666666667,0.03402069087198859,10,0.023863843563374093,0.17546948976995924, a,Dose_4, a,0.024916666666666667
Flutamide,Dose_5,0.0996666666666667,0.0340206908719886,10,0.023863843563374107,0.1754694897699593, a,Dose_5, a,0.024916666666666674
Glyphosate,Dose_2,-0.049666666666666665,0.032058973436118916,10,-0.12109851093447911,0.021765177601145783, a,Dose_2, a,-0.012416666666666666
Glyphosate,Dose_3,-0.032999999999999995,0.03205897343611891,10,-0.10443184426781243,0.03843184426781244, a,Dose_3, a,-0.008249999999999999
Glyphosate,Dose_5,-0.016333333333333328,0.032058973436118916,10,-0.08776517760114577,0.05509851093447912, a,Dose_5, a,-0.004083333333333332
Glyphosate,Dose_4,-0.01633333333333332,0.03205897343611891,10,-0.08776517760114576,0.05509851093447911, a,Dose_4, a,-0.00408333333333333
Glyphosate,Control,3.333333333333163e-4,0.03205897343611891,10,-0.07109851093447912,0.07176517760114574, a,Control, a,8.333333333332908e-5
Glyphosate,Dose_1,0.01699999999999998,0.03205897343611891,10,-0.05443184426781245,0.08843184426781242, a,Dose_1, a,0.004249999999999995
Malathion,Control,3.333333333333194e-4,0.05569427126600951,10,-0.12376123630752522,0.12442790297419187, a,Control, a,8.333333333332985e-5
Malathion,Dose_4,3.3333333333336325e-4,0.05569427126600951,10,-0.12376123630752518,0.12442790297419191, a,Dose_4, a,8.333333333334081e-5
Malathion,Dose_5,0.017000000000000022,0.05569427126600951,10,-0.10709456964085853,0.14109456964085856, a,Dose_5, a,0.0042500000000000055
Malathion,Dose_3,0.01700000000000006,0.0556942712660095,10,-0.10709456964085848,0.1410945696408586, a,Dose_3, a,0.004250000000000015
Malathion,Dose_2,0.033666666666666734,0.05569427126600952,10,-0.09042790297419183,0.1577612363075253, a,Dose_2, a,0.008416666666666683
Malathion,Dose_1,0.11700000000000003,0.0556942712660095,10,-0.0070945696408585,0.24109456964085857, a,Dose_1, a,0.02925000000000001
NN-Dimethylformamide,Dose_5,-0.016333333333333342,0.03583225665910467,9,-0.09739152939395065,0.06472486272728398, a,Dose_5, a,-0.0040833333333333355
NN-Dimethylformamide,Dose_3,3.333333333333107e-4,0.03583225665910468,9,-0.08072486272728402,0.08139152939395064, a,Dose_3, a,8.333333333332768e-5
NN-Dimethylformamide,Control,3.333333333333363e-4,0.03583225665910467,9,-0.08072486272728398,0.08139152939395065, a,Control, a,8.333333333333408e-5
NN-Dimethylformamide,Dose_4,0.01366666666666667,0.04532461789860255,9,-0.0888647423637488,0.11619807569708215, a,Dose_4, a,0.0034166666666666677
NN-Dimethylformamide,Dose_1,0.01699999999999999,0.03583225665910468,9,-0.06405819606061734,0.09805819606061732, a,Dose_1, a,0.004249999999999998
NN-Dimethylformamide,Dose_2,0.01700000000000001,0.03583225665910468,9,-0.06405819606061731,0.09805819606061734, a,Dose_2, a,0.004250000000000003
Prochloraz,Dose_4,-0.016666666666666666,0.029344694769431686,10,-0.0820507211821158,0.048717387848782476, a,Dose_4, a,-0.004166666666666667
Prochloraz,Dose_1,-0.016666666666666666,0.029344694769431686,10,-0.0820507211821158,0.048717387848782476, a,Dose_1, a,-0.004166666666666667
Prochloraz,Control,-1.362028979184915e-17,0.029344694769431686,10,-0.06538405451544915,0.06538405451544912, a,Control, a,-3.4050724479622874e-18
Prochloraz,Dose_3,-6.0308745844506184e-18,0.029344694769431686,10,-0.06538405451544914,0.06538405451544914, a,Dose_3, a,-1.5077186461126546e-18
Prochloraz,Dose_5,0.01666666666666667,0.02934469476943169,10,-0.04871738784878247,0.08205072118211582, a,Dose_5, a,0.0041666666666666675
Prochloraz,Dose_2,0.11666666666666667,0.029344694769431693,10,0.051282612151217516,0.18205072118211582, a,Dose_2, a,0.029166666666666667
SDS,Dose_3,-0.016666666666666666,0.03258417399692263,9,-0.0903771892676682,0.05704385593433488, a,Dose_3, a,-0.004166666666666667
SDS,Dose_5,7.61482619581616e-18,0.03258417399692263,9,-0.07371052260100153,0.07371052260100155, a,Dose_5, a,1.90370654895404e-18
SDS,Control,2.1665408724870494e-17,0.03258417399692263,9,-0.07371052260100151,0.07371052260100157, a,Control, a,5.4163521812176235e-18
SDS,Dose_1,0.023333333333333307,0.04121608220220313,9,-0.06990392224286011,0.11657058890952672, a,Dose_1, a,0.005833333333333327
SDS,Dose_4,0.033333333333333326,0.03258417399692262,9,-0.0403771892676682,0.10704385593433485, a,Dose_4, a,0.008333333333333331
SDS,Dose_2,0.049999999999999975,0.03258417399692263,9,-0.023710522601001566,0.12371052260100152, a,Dose_2, a,0.012499999999999994
TEG,Control,1.9949319973733282e-17,0.01061387398585711,9,-0.024010251062144175,0.024010251062144217, a  ,Control, a  ,4.9873299934333204e-18
TEG,Dose_4,0.0166666666666667,0.010613873985857109,9,-0.007343584395477491,0.040676917728810894, ab ,Dose_4, ab ,0.004166666666666675
TEG,Dose_5,0.05000000000000001,0.01061387398585711,9,0.025989748937855814,0.0740102510621442, abc,Dose_5, abc,0.012500000000000002
TEG,Dose_2,0.050000000000000024,0.010613873985857112,9,0.025989748937855824,0.07401025106214422, abc,Dose_2, abc,0.012500000000000006
TEG,Dose_3,0.06666666666666667,0.01061387398585711,9,0.04265641560452247,0.09067691772881087,  bc,Dose_3,  bc,0.016666666666666666
TEG,Dose_1,0.08166666666666669,0.013425606637327302,9,0.05129583444712561,0.11203749888620777,   c,Dose_1,   c,0.020416666666666673
TGSH,Dose_4,-0.10000000000000002,0.032796604762545416,9,-0.17419107437905385,-0.025808925620946194, a,Dose_4, a,-0.025000000000000005
TGSH,Dose_5,-0.08333333333333337,0.03279660476254542,9,-0.15752440771238724,-0.009142258954279517, a,Dose_5, a,-0.020833333333333343
TGSH,Dose_2,-0.08333333333333331,0.03279660476254542,9,-0.15752440771238718,-0.009142258954279461, a,Dose_2, a,-0.02083333333333333
TGSH,Dose_1,-0.07166666666666668,0.04148478822798771,9,-0.16551177750377571,0.02217844417044236, a,Dose_1, a,-0.01791666666666667
TGSH,Dose_3,-0.06666666666666668,0.03279660476254542,9,-0.14085774104572052,0.007524407712387174, a,Dose_3, a,-0.01666666666666667
TGSH,Control,-3.65376132127615e-17,0.03279660476254542,9,-0.0741910743790539,0.07419107437905381, a,Control, a,-9.134403303190375e-18
Trenbolone,Dose_4,-3.3333333333334693e-4,0.045946829173634074,10,-0.10270924854068382,0.10204258187401712, a,Dose_4, a,-8.333333333333673e-5
Trenbolone,Control,-3.333333333333192e-4,0.04594682917363407,10,-0.10270924854068378,0.10204258187401713, a,Control, a,-8.33333333333298e-5
Trenbolone,Dose_5,0.06633333333333336,0.045946829173634074,10,-0.03604258187401711,0.1687092485406838, a,Dose_5, a,0.01658333333333334
Trenbolone,Dose_2,0.09966666666666667,0.04594682917363409,10,-0.0027092485406838285,0.20204258187401716, a,Dose_2, a,0.024916666666666667
Trenbolone,Dose_1,0.09966666666666668,0.04594682917363407,10,-0.002709248540683773,0.20204258187401714, a,Dose_1, a,0.02491666666666667
Trenbolone,Dose_3,0.13299999999999998,0.045946829173634074,10,0.03062408479264951,0.23537591520735046, a,Dose_3, a,0.033249999999999995
Vinclozolin,Dose_2,-3.333333333333569e-4,0.03638782865291737,10,-0.0814104680943179,0.0807438014276512, a,Dose_2, a,-8.333333333333923e-5
Vinclozolin,Control,-3.33333333333322e-4,0.03638782865291736,10,-0.08141046809431786,0.08074380142765121, a,Control, a,-8.33333333333305e-5
Vinclozolin,Dose_1,0.06633333333333338,0.03638782865291736,10,-0.014743801427651151,0.1474104680943179, a,Dose_1, a,0.016583333333333346
Vinclozolin,Dose_4,0.083,0.03638782865291736,10,0.00192286523901547,0.16407713476098454, a,Dose_4, a,0.02075
Vinclozolin,Dose_3,0.083,0.03638782865291736,10,0.00192286523901547,0.16407713476098454, a,Dose_3, a,0.02075
Vinclozolin,Dose_5,0.08300000000000002,0.03638782865291737,10,0.00192286523901547,0.16407713476098457, a,Dose_5, a,0.020750000000000005
