Chemical,Dose,emmean,SE,df,lower.CL,upper.CL,.group,Group,cont_group,adj_factor
1-Decanol,Dose_1,-0.050333333333333306,0.047042140288925664,10,-0.1551497537916774,0.05448308712501077, a,Dose_1, a,-0.012583333333333327
1-Decanol,Dose_5,-0.017,0.04704214028892568,10,-0.12181642045834411,0.0878164204583441, a,Dose_5, a,-0.00425
1-Decanol,Dose_4,-3.333333333333638e-4,0.04704214028892567,10,-0.10514975379167746,0.10448308712501073, a,Dose_4, a,-8.333333333334095e-5
1-Decanol,Control,-3.333333333332976e-4,0.047042140288925664,10,-0.10514975379167738,0.10448308712501078, a,Control, a,-8.33333333333244e-5
1-Decanol,Dose_3,0.032999999999999974,0.04704214028892567,10,-0.07181642045834412,0.13781642045834408, a,Dose_3, a,0.008249999999999993
1-Decanol,Dose_2,0.06633333333333336,0.04704214028892568,10,-0.03848308712501075,0.17114975379167746, a,Dose_2, a,0.01658333333333334
1-Octanol,Dose_3,-0.13299999999999995,0.052704627669472995,10,-0.25043322858982353,-0.015566771410176386, a,Dose_3, a,-0.03324999999999999
1-Octanol,Dose_5,-0.09966666666666667,0.05270462766947301,10,-0.21709989525649026,0.017766561923156926, a,Dose_5, a,-0.024916666666666667
1-Octanol,Dose_1,-0.04966666666666664,0.052704627669472995,10,-0.16709989525649022,0.06776656192315693, a,Dose_1, a,-0.01241666666666666
1-Octanol,Dose_2,-0.016333333333333297,0.05270462766947301,10,-0.1337665619231569,0.1010998952564903, a,Dose_2, a,-0.004083333333333324
1-Octanol,Dose_4,3.333333333333055e-4,0.052704627669473,10,-0.11709989525649027,0.11776656192315689, a,Dose_4, a,8.333333333332638e-5
1-Octanol,Control,3.3333333333333544e-4,0.052704627669472995,10,-0.11709989525649023,0.1177665619231569, a,Control, a,8.333333333333386e-5
17betaestradiol,Dose_3,-0.01633333333333334,0.018002057495577387,10,-0.05644441705492004,0.02377775038825336, a,Dose_3, a,-0.004083333333333335
17betaestradiol,Dose_2,-0.016333333333333335,0.01800205749557739,10,-0.05644441705492004,0.02377775038825337, a,Dose_2, a,-0.004083333333333334
17betaestradiol,Dose_1,3.333333333333313e-4,0.018002057495577387,10,-0.03977775038825337,0.04044441705492003, a,Dose_1, a,8.333333333333283e-5
17betaestradiol,Control,3.3333333333334476e-4,0.018002057495577387,10,-0.039777750388253354,0.040444417054920044, a,Control, a,8.333333333333619e-5
17betaestradiol,Dose_5,0.050333333333333334,0.01800205749557739,10,0.010222249611746628,0.09044441705492004, a,Dose_5, a,0.012583333333333334
17betaestradiol,Dose_4,0.067,0.018002057495577387,10,0.026888916278413305,0.1071110837215867, a,Dose_4, a,0.01675
24-DMP,Dose_5,-0.016666666666666656,0.03360996324945373,10,-0.09155433159660534,0.05822099826327203, a,Dose_5, a,-0.004166666666666664
24-DMP,Control,-6.5052130349130266e-18,0.03360996324945372,10,-0.07488766492993867,0.07488766492993867, a,Control, a,-1.6263032587282567e-18
24-DMP,Dose_2,-3.2526065174565133e-18,0.03360996324945373,10,-0.07488766492993869,0.07488766492993869, a,Dose_2, a,-8.131516293641283e-19
24-DMP,Dose_3,0.01666666666666666,0.03360996324945373,10,-0.058220998263272025,0.09155433159660535, a,Dose_3, a,0.004166666666666665
24-DMP,Dose_1,0.033333333333333354,0.03360996324945372,10,-0.04155433159660532,0.10822099826327203, a,Dose_1, a,0.008333333333333338
24-DMP,Dose_4,0.03333333333333336,0.03360996324945372,10,-0.041554331596605314,0.10822099826327203, a,Dose_4, a,0.00833333333333334
24-DNP,Dose_3,-0.016666666666666455,0.04523600663516061,10,-0.11745877055917668,0.08412543722584377, a ,Dose_3, a ,-0.004166666666666614
24-DNP,Control,-3.877106968808164e-16,0.04523600663516061,10,-0.10079210389251061,0.10079210389250984, a ,Control, a ,-9.69276742202041e-17
24-DNP,Dose_5,0.016666666666666705,0.04523600663516061,10,-0.08412543722584352,0.11745877055917693, a ,Dose_5, a ,0.004166666666666676
24-DNP,Dose_2,0.08333333333333327,0.045236006635160614,10,-0.017458770559176967,0.1841254372258435, a ,Dose_2, a ,0.02083333333333332
24-DNP,Dose_4,0.1000000000000002,0.04523600663516061,10,-7.921038925100266e-4,0.20079210389251043, a ,Dose_4, a ,0.02500000000000005
24-DNP,Dose_1,0.9499999999999998,0.04523600663516059,10,0.8492078961074896,1.05079210389251,  b,Dose_1,  b,0.23749999999999996
34-DCA,Dose_5,-0.16633333333333336,0.049721446300587654,10,-0.2771196196126219,-0.05554704705404481, a ,Dose_5, a ,-0.04158333333333334
34-DCA,Dose_4,-0.13299999999999998,0.04972144630058764,10,-0.2437862862792885,-0.022213713720711473, a ,Dose_4, a ,-0.033249999999999995
34-DCA,Dose_2,-0.04966666666666682,0.049721446300587654,10,-0.16045295294595535,0.06111961961262173, a ,Dose_2, a ,-0.012416666666666704
34-DCA,Dose_3,-0.016333333333333262,0.04972144630058765,10,-0.1271196196126218,0.09445295294595527, a ,Dose_3, a ,-0.0040833333333333156
34-DCA,Control,3.3333333333302514e-4,0.04972144630058764,10,-0.11045295294595549,0.11111961961262153, a ,Control, a ,8.333333333325628e-5
34-DCA,Dose_1,0.7670000000000001,0.04972144630058764,10,0.6562137137207116,0.8777862862792887,  b,Dose_1,  b,0.19175000000000003
4-TPP,Dose_2,-0.016333333333333318,0.035224149964771884,10,-0.09481763039803248,0.06215096373136585, a ,Dose_2, a ,-0.0040833333333333294
4-TPP,Control,3.333333333329913e-4,0.035224149964771884,10,-0.07815096373136618,0.07881763039803216, a ,Control, a ,8.333333333324783e-5
4-TPP,Dose_4,0.017000000000000237,0.035224149964771884,10,-0.061484297064698934,0.09548429706469941, a ,Dose_4, a ,0.004250000000000059
4-TPP,Dose_3,0.03366666666666699,0.035224149964771884,10,-0.04481763039803218,0.11215096373136615, a ,Dose_3, a ,0.008416666666666748
4-TPP,Dose_5,0.0670000000000001,0.03522414996477189,10,-0.011484297064699084,0.14548429706469929, a ,Dose_5, a ,0.016750000000000025
4-TPP,Dose_1,0.9670000000000001,0.03522414996477188,10,0.8885157029353009,1.0454842970646991,  b,Dose_1,  b,0.24175000000000002
4C3MP,Dose_3,-0.13299999999999995,0.052704627669472995,10,-0.25043322858982353,-0.015566771410176386, a,Dose_3, a,-0.03324999999999999
4C3MP,Dose_5,-0.09966666666666667,0.05270462766947301,10,-0.21709989525649026,0.017766561923156926, a,Dose_5, a,-0.024916666666666667
4C3MP,Dose_1,-0.04966666666666664,0.052704627669472995,10,-0.16709989525649022,0.06776656192315693, a,Dose_1, a,-0.01241666666666666
4C3MP,Dose_2,-0.016333333333333297,0.05270462766947301,10,-0.1337665619231569,0.1010998952564903, a,Dose_2, a,-0.004083333333333324
4C3MP,Dose_4,3.333333333333055e-4,0.052704627669473,10,-0.11709989525649027,0.11776656192315689, a,Dose_4, a,8.333333333332638e-5
4C3MP,Control,3.3333333333333544e-4,0.052704627669472995,10,-0.11709989525649023,0.1177665619231569, a,Control, a,8.333333333333386e-5
4TOP,Dose_3,-0.016666666666666677,0.048781447596700424,10,-0.12535850531300735,0.09202517197967398, a,Dose_3, a,-0.004166666666666669
4TOP,Dose_5,-0.016666666666666673,0.04878144759670043,10,-0.12535850531300735,0.092025171979674, a,Dose_5, a,-0.004166666666666668
4TOP,Control,-2.749468946787459e-18,0.04878144759670042,10,-0.10869183864634065,0.10869183864634065, a,Control, a,-6.873672366968647e-19
4TOP,Dose_1,2.1861920368633492e-17,0.04878144759670042,10,-0.10869183864634062,0.10869183864634067, a,Dose_1, a,5.465480092158373e-18
4TOP,Dose_2,0.01666666666666666,0.04878144759670043,10,-0.09202517197967401,0.12535850531300732, a,Dose_2, a,0.004166666666666665
