H5,Counts
ENSDARG00000000001,3
ENSDARG00000000002,31
ENSDARG00000000018,58
ENSDARG00000000019,89
ENSDARG00000000068,0
ENSDARG00000000069,23
ENSDARG00000000086,166
ENSDARG00000000103,270
ENSDARG00000000142,14
ENSDARG00000000151,49
ENSDARG00000000161,46
ENSDARG00000000175,2
ENSDARG00000000183,107
ENSDARG00000000189,93
ENSDARG00000000212,128
ENSDARG00000000229,103
ENSDARG00000000241,54
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,226
ENSDARG00000000380,66
ENSDARG00000000394,129
ENSDARG00000000423,11
ENSDARG00000000442,17
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,1
ENSDARG00000000476,0
ENSDARG00000000489,11
ENSDARG00000000503,627
ENSDARG00000000516,0
ENSDARG00000000529,26
ENSDARG00000000540,15
ENSDARG00000000542,4
ENSDARG00000000551,22
ENSDARG00000000563,8998
ENSDARG00000000567,18
ENSDARG00000000568,22
ENSDARG00000000588,4
ENSDARG00000000606,0
ENSDARG00000000631,63
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,9
ENSDARG00000000690,0
ENSDARG00000000729,48
ENSDARG00000000730,7
ENSDARG00000000747,0
ENSDARG00000000760,4
ENSDARG00000000767,0
ENSDARG00000000779,87
ENSDARG00000000796,12
ENSDARG00000000804,5
ENSDARG00000000830,0
ENSDARG00000000837,105
ENSDARG00000000853,34
ENSDARG00000000857,26
ENSDARG00000000861,534
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,14
ENSDARG00000000943,53
ENSDARG00000000966,468
ENSDARG00000001014,179
ENSDARG00000001015,138
ENSDARG00000001057,39
ENSDARG00000001127,75
ENSDARG00000001129,196
ENSDARG00000001154,110
ENSDARG00000001162,84
ENSDARG00000001169,0
ENSDARG00000001210,9
ENSDARG00000001220,307
ENSDARG00000001234,22
ENSDARG00000001241,63
ENSDARG00000001244,350
ENSDARG00000001249,9
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,4
ENSDARG00000001354,0
ENSDARG00000001414,11
ENSDARG00000001431,179
ENSDARG00000001437,40
ENSDARG00000001442,15
ENSDARG00000001447,30
ENSDARG00000001452,0
ENSDARG00000001463,80
ENSDARG00000001470,10
ENSDARG00000001498,0
ENSDARG00000001549,78
ENSDARG00000001557,7
ENSDARG00000001558,12
ENSDARG00000001559,111
ENSDARG00000001572,0
ENSDARG00000001578,12
ENSDARG00000001621,16
ENSDARG00000001634,106
ENSDARG00000001656,0
ENSDARG00000001676,69
ENSDARG00000001686,9
ENSDARG00000001710,50
ENSDARG00000001712,0
ENSDARG00000001721,8
ENSDARG00000001729,89
ENSDARG00000001733,22
ENSDARG00000001734,42
ENSDARG00000001754,0
ENSDARG00000001760,18
ENSDARG00000001767,0
ENSDARG00000001769,19
ENSDARG00000001771,0
ENSDARG00000001776,18
ENSDARG00000001777,16
ENSDARG00000001781,12
ENSDARG00000001782,0
ENSDARG00000001785,55
ENSDARG00000001788,48
ENSDARG00000001803,2
ENSDARG00000001804,0
ENSDARG00000001807,35
ENSDARG00000001817,6
ENSDARG00000001818,74
ENSDARG00000001825,0
ENSDARG00000001829,160
ENSDARG00000001835,27
ENSDARG00000001857,213
ENSDARG00000001859,0
ENSDARG00000001870,282
ENSDARG00000001873,19
ENSDARG00000001879,34
ENSDARG00000001880,19
ENSDARG00000001881,20
ENSDARG00000001882,19
ENSDARG00000001888,37
ENSDARG00000001889,93
ENSDARG00000001890,56
ENSDARG00000001891,15
ENSDARG00000001897,20
ENSDARG00000001898,2
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,176
ENSDARG00000001912,29
ENSDARG00000001913,26
ENSDARG00000001929,6
ENSDARG00000001930,9
ENSDARG00000001933,7
ENSDARG00000001937,1
ENSDARG00000001939,22
ENSDARG00000001940,16
ENSDARG00000001950,123
ENSDARG00000001953,10
ENSDARG00000001968,76
ENSDARG00000001969,16
ENSDARG00000001971,0
ENSDARG00000001975,0
ENSDARG00000001976,18
ENSDARG00000001993,15
ENSDARG00000001994,241
ENSDARG00000001999,38
ENSDARG00000002002,4
ENSDARG00000002006,70
ENSDARG00000002013,50
ENSDARG00000002016,10
ENSDARG00000002020,59
ENSDARG00000002021,13
ENSDARG00000002026,110
ENSDARG00000002031,0
ENSDARG00000002037,24
ENSDARG00000002060,0
ENSDARG00000002071,14
ENSDARG00000002077,5
ENSDARG00000002082,85
ENSDARG00000002084,44
ENSDARG00000002097,0
ENSDARG00000002127,62
ENSDARG00000002128,34
ENSDARG00000002131,195
ENSDARG00000002165,0
ENSDARG00000002167,25
ENSDARG00000002168,85
ENSDARG00000002172,0
ENSDARG00000002174,6
ENSDARG00000002184,10
ENSDARG00000002190,29
ENSDARG00000002192,0
ENSDARG00000002193,1607
ENSDARG00000002194,0
ENSDARG00000002196,19
ENSDARG00000002197,10
ENSDARG00000002204,2
ENSDARG00000002210,15
ENSDARG00000002213,9
ENSDARG00000002215,26
ENSDARG00000002216,26
