G1,Counts
ENSDARG00000000001,1
ENSDARG00000000002,32
ENSDARG00000000018,42
ENSDARG00000000019,165
ENSDARG00000000068,56
ENSDARG00000000069,306
ENSDARG00000000086,237
ENSDARG00000000103,477
ENSDARG00000000142,10
ENSDARG00000000151,97
ENSDARG00000000161,41
ENSDARG00000000175,35
ENSDARG00000000183,137
ENSDARG00000000189,354
ENSDARG00000000212,582
ENSDARG00000000229,32
ENSDARG00000000241,147
ENSDARG00000000349,0
ENSDARG00000000369,10
ENSDARG00000000370,245
ENSDARG00000000380,71
ENSDARG00000000394,174
ENSDARG00000000423,31
ENSDARG00000000442,32
ENSDARG00000000460,0
ENSDARG00000000472,54
ENSDARG00000000474,0
ENSDARG00000000476,12
ENSDARG00000000489,91
ENSDARG00000000503,756
ENSDARG00000000516,0
ENSDARG00000000529,29
ENSDARG00000000540,32
ENSDARG00000000542,11
ENSDARG00000000551,97
ENSDARG00000000563,47568
ENSDARG00000000567,194
ENSDARG00000000568,21
ENSDARG00000000588,6
ENSDARG00000000606,8
ENSDARG00000000631,374
ENSDARG00000000638,0
ENSDARG00000000651,15
ENSDARG00000000656,0
ENSDARG00000000666,37
ENSDARG00000000690,5
ENSDARG00000000729,81
ENSDARG00000000730,16
ENSDARG00000000747,0
ENSDARG00000000760,15
ENSDARG00000000767,0
ENSDARG00000000779,134
ENSDARG00000000796,42
ENSDARG00000000804,6
ENSDARG00000000830,17
ENSDARG00000000837,71
ENSDARG00000000853,54
ENSDARG00000000857,32
ENSDARG00000000861,295
ENSDARG00000000887,22
ENSDARG00000000906,0
ENSDARG00000000935,32
ENSDARG00000000943,63
ENSDARG00000000966,793
ENSDARG00000001014,467
ENSDARG00000001015,155
ENSDARG00000001057,37
ENSDARG00000001127,79
ENSDARG00000001129,323
ENSDARG00000001154,80
ENSDARG00000001162,148
ENSDARG00000001169,3
ENSDARG00000001210,0
ENSDARG00000001220,325
ENSDARG00000001234,246
ENSDARG00000001241,101
ENSDARG00000001244,466
