gene
vtg1
epd
c2cd2l
ddc
loc556849
si:ch211-225b11.1
vtg1
dnm1
lhcgr
loc100005283
si:ch211-12e13.2
si:ch73-138i16.1
zgc:193725
vtg3
pomca
ankrd9
anxa4
cr352285.1
cx28.9
dnajb5
fabp10a
fkbp5
hmgcs1
klf3
klf9
lcn15
loc559127
lpin1
nr1d2a
pik3r3
pnp4b
pnpla3
rhcga
serpinf2
si:dkey-30c15.2
wu:fc15e02
zgc:112242
amh
cyp19a1b
f13a1a
hpx
rgs2
ctsbb
bdp1
cbln8
dcakd
eif4e1b
gcga
ins
lipc
loc559783
sult1st3
vtg5
zcchc2
zgc:100868
