	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000100912	5.640153966	5.129726525	4.517113431	5.539382101	5.24405377	4.336211214	5.440952732	4.846114214	4.340903836	5.373261661	4.987556681	5.14552388	5.950289836	5.238458938	5.263332931
ENSDARG00000100913	9.331525074	9.569430605	9.457267587	9.438753052	9.488284445	9.386765666	9.501494579	9.511939348	9.548643658	9.542954105	9.672784157	9.574765888	9.287484751	9.635430347	9.59823256
ENSDARG00000100915	7.093091688	7.030345488	7.520574332	7.308074933	7.248049805	7.490136478	7.419111674	7.524037132	7.321739136	7.691795151	7.065480751	7.444726206	7.156641758	7.063420279	7.253936708
ENSDARG00000100916	7.477113135	7.514928472	7.504389468	7.707946692	7.608561357	7.502560086	7.468438567	7.60808264	7.404692005	7.740193848	7.391252972	7.73166809	7.594688856	7.369058972	7.580677238
ENSDARG00000100917	6.85612737	6.477072787	5.666520651	6.144248903	6.444013904	5.947853997	6.158746319	6.065475706	6.043386923	6.255187007	6.480822803	6.477072787	6.19000192	6.095379494	6.067415111
ENSDARG00000100918	7.381972196	7.524887539	7.620805638	6.715304974	6.970219111	7.683798462	7.087237115	6.906153085	7.321739136	6.967720494	7.315130711	7.366166993	7.096981923	6.715304974	7.176344041
ENSDARG00000100919	5.457308128	4.62508167	4.006241679	4.710911812	5.354690828	4.457170631	5.10478241	5.375423093	4.277862262	5.175267539	4.600859113	4.98418161	4.855858942	6.136445821	4.754008341
ENSDARG00000100927	3.779154006	3.873951134	3.554865811	4.011175051	5.077345376	3.917890887	4.142161425	4.011175051	4.41467656	3.917890887	4.037386105	4.154534342	3.842572987	4.015867673	3.469564855
ENSDARG00000100938	8.029959095	7.936347654	8.144290097	8.085422785	7.920112131	8.12286529	8.172365869	7.83717996	8.086503768	8.139952121	7.974111134	7.899235365	8.108696269	7.929614202	8.031785951
ENSDARG00000100940	7.54111495	7.878763873	7.933173655	7.878763873	7.693174616	7.683798462	7.890387274	7.923723385	7.674329081	7.654230623	7.804912418	7.762528873	7.488662235	7.929614202	7.814365605
ENSDARG00000100942	4.336211214	4.93919423	1.050325833	4.780934316	4.118340219	4.011175051	5.402352755	3.562564292	2.090968532	4.406572428	4.509045738	2.644855503	5.815343241	4.332438978	2.090968532
ENSDARG00000100944	7.274833456	7.227641564	7.261834024	7.458118815	7.434246248	7.323364197	7.261834024	7.311610223	7.388736809	7.261186347	7.261186347	7.245884267	7.321739136	7.244332884	7.430765697
