Williams Trend Test
Data Source: no_log_quant_fastbmd_input_SANT_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:15.26
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000056762"			0.01818181818181818	0.6255732725892179	2.9281306	2.9281306	2.9281306	1.6047207	2.3543766	2.2275586	0.04802206	0.18403362	0.052922186	0.07034602	3.0E-4	0.003	
"ENSDARG00000105526"			0.017857142857142856	0.6255732725892179	1.7959181	1.7959181	1.1992127	1.6766254	1.3976936	1.7959181	0.4464712	0.014930705	0.13931566	0.025050161			
"ENSDARG00000045139"			0.019230769230769232	0.6255732725892179	1.7555999	1.7555999	1.2723353	1.3719281	1.6776158	1.7555999	0.07271926	0.049918797	0.0052483655	0.006519063			
"ENSDARG00000051915"			0.0392156862745098	0.6255732725892179	-1.6215327	1.6215327	-1.2481087	-1.3210287	-1.3210982	-1.6215327	0.079207554	0.07774568	0.042977	0.12041182			
"ENSDARG00000117645"			0.018867924528301886	0.6255732725892179	1.7681476	1.7681476	1.5774648	1.2213644	1.4344466	1.7681476	0.059120115	0.27821764	0.085943565	0.0841837			
"ENSDARG00000102556"			0.020833333333333332	0.6255732725892179	-1.664971	1.664971	-1.1873612	-1.3659796	-1.3256887	-1.664971	0.27863693	0.10239225	0.20551252	0.02835496			
"ENSDARG00000026376"			0.017857142857142856	0.6255732725892179	-1.628445	1.628445	-1.1485448	-1.1350939	-1.1762804	-1.628445	0.20704155	0.27245462	0.16323718	0.015962446			
"ENSDARG00000098989"			0.0196078431372549	0.6255732725892179	1.6366467	1.6366467	1.1961707	1.520731	1.2348552	1.6366467	0.3487524	0.069643475	0.2865317	0.046038933			
"ENSDARG00000090326"			0.0392156862745098	0.6255732725892179	-1.50245	1.50245	1.0863229	-1.0593894	-1.0519007	-1.50245	0.67931503	0.7745927	0.73958826	0.32040277			
"ENSDARG00000110950"			0.038461538461538464	0.6255732725892179	-1.6675632	1.6675632	-1.0263052	-1.3906262	-1.3274066	-1.6675632	0.76422644	0.06584898	0.043434013	0.15153967			
"ENSDARG00000089856"			0.018867924528301886	0.6255732725892179	-1.5352911	1.5352911	1.0334196	-1.2377052	-1.2244034	-1.5352911	0.8341849	0.20455188	0.1373543	0.18044724			
"ENSDARG00000108953"			0.03636363636363636	0.6255732725892179	2.4228427	2.4228427	1.3348117	1.2681752	1.7354162	2.4228427	0.2511503	0.49304777	0.0733046	0.07453025			
"ENSDARG00000098857"			0.04	0.6255732725892179	-1.5673556	1.5673556	-1.2024683	-1.4313031	-1.5673556	-1.4022336	0.2198704	0.064779714	0.025067292	0.12536618			
"ENSDARG00000093043"			0.04918032786885246	0.6284171344886502	-1.9212074	1.9212074	-1.1932763	1.0476236	-1.1047783	-1.9212074	0.56332606	0.7190032	0.502625	0.18424657			
"ENSDARG00000100573"			0.0392156862745098	0.6255732725892179	1.5421298	1.5421298	1.2299216	1.0042698	1.1346738	1.5421298	0.04104581	0.95457613	0.30956367	0.0031907244			
"ENSDARG00000062631"			0.0392156862745098	0.6255732725892179	-2.5247176	2.5247176	-1.2051926	-1.1846585	-1.2238765	-2.5247176	0.68909764	0.45623237	0.34776804	0.0035630155	0.3	3.0	
"ENSDARG00000062579"			0.01818181818181818	0.6255732725892179	-1.7292882	1.7292882	-1.1751212	-1.1518332	-1.2953326	-1.7292882	0.14577027	0.36072367	0.044245455	0.07708709			
"ENSDARG00000059424"			0.01818181818181818	0.6255732725892179	-1.7973721	1.7973721	-1.0076798	-1.3181345	-1.2663735	-1.7973721	0.9579089	0.15692295	0.19201997	0.03699187			
"ENSDARG00000092931"			0.0196078431372549	0.6255732725892179	-2.1097906	2.1097906	-1.3638626	1.0253884	-1.2301592	-2.1097906	0.3034776	0.863613	0.31543243	0.062043283			
"ENSDARG00000094537"			0.038461538461538464	0.6255732725892179	1.9276296	1.9276296	1.2499818	1.209637	1.3371898	1.9276296	0.3190943	0.24368858	0.081768796	0.038733624			
"ENSDARG00000061541"			0.018867924528301886	0.6255732725892179	-1.767397	1.767397	1.0562807	-1.4055471	-1.1482081	-1.767397	0.6352848	0.07310004	0.19180803	0.2018097			
"ENSDARG00000055712"			0.01639344262295082	0.6255732725892179	1.5776412	1.5776412	-1.0199795	1.1667216	1.2429432	1.5776412	0.7809136	0.22318313	0.24700628	0.07728727			
"ENSDARG00000092018"			0.0196078431372549	0.6255732725892179	1.6278288	1.6278288	1.3429691	1.3340273	1.3230352	1.6278288	0.30426544	0.034636363	0.10470848	0.03289818			
