Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:55.08
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000043360"			0.02040816326530612	0.9332578673307674	1.7041514	1.7041514	1.2477127	1.3728412	1.2602681	1.7041514	0.11133713	0.050760046	0.10777527	0.023633825			
"ENSDARG00000097265"			0.02040816326530612	0.9332578673307674	2.1644418	2.1644418	2.1644418	1.4228703	2.0323105	1.8547348	0.03616533	0.19079375	0.04156557	0.14879057	3.0E-4	0.003	
"ENSDARG00000091465"			0.02040816326530612	0.9332578673307674	-1.6228039	1.6228039	-1.3630738	-1.6228039	-1.4987936	-1.3298728	0.12530869	0.044514615	0.06188838	0.1549079			
"ENSDARG00000097008"			0.02	0.9332578673307674	-1.510347	1.510347	-1.5094718	-1.510347	-1.4542589	-1.2758094	0.020893937	0.017359657	0.019814817	0.036445856			
"ENSDARG00000096954"			0.02127659574468085	0.9332578673307674	1.5911556	1.5911556	1.5911556	1.4278666	1.4201909	1.427047	0.015831131	7.1341306E-4	0.0040296833	0.06771982			
"ENSDARG00000077028"			0.02	0.9332578673307674	-1.9403222	1.9403222	-1.1880757	-1.359093	-1.3278301	-1.9403222	0.63647646	0.30456477	0.32713175	0.08433694			
"ENSDARG00000030896"			0.019230769230769232	0.9332578673307674	1.6696115	1.6696115	1.6696115	1.3803384	1.3963355	1.4668574	0.013644252	0.06347243	0.06450215	0.032927323			
"ENSDARG00000114182"			0.0392156862745098	0.9332578673307674	-1.5911314	1.5911314	-1.2165068	-1.1349765	-1.5911314	-1.4261903	0.20850989	0.36011183	0.060868938	0.0758697			
"ENSDARG00000035859"			0.01818181818181818	0.9332578673307674	1.5371667	1.5371667	1.2199639	1.1338228	1.2018524	1.5371667	0.02012486	0.070022434	0.15437545	0.020107586			
"ENSDARG00000113087"			0.038461538461538464	0.9332578673307674	1.6664073	1.6664073	1.2416288	1.1568645	1.6167543	1.6664073	0.31464085	0.32336202	0.12807898	0.025094595			
"ENSDARG00000010384"			0.016129032258064516	0.9332578673307674	-1.7113471	1.7113471	1.0159471	-1.098077	-1.0304997	-1.7113471	0.9229706	0.64447737	0.9049885	0.04544702			
"ENSDARG00000061636"			0.041666666666666664	0.9332578673307674	-1.7933464	1.7933464	-1.4944308	-1.6679518	-1.7933464	-1.3810815	0.046381164	0.017302549	0.02979796	0.067628525			
"ENSDARG00000022668"			0.037037037037037035	0.9332578673307674	-1.7786874	1.7786874	-1.3419117	-1.2171415	-1.0835305	-1.7786874	0.28903383	0.48519576	0.74024385	0.09273176			
"ENSDARG00000019715"			0.017543859649122806	0.9332578673307674	1.669292	1.669292	1.669292	1.3543392	1.3759252	1.2120992	0.0067141843	0.04891277	0.03139633	0.22130722			
"ENSDARG00000095065"			0.04	0.9332578673307674	1.9573165	1.9573165	1.9573165	1.8352679	1.6793114	-1.0072643	0.053689066	0.059194807	0.08595045	0.9707074			
"ENSDARG00000117231"			0.02	0.9332578673307674	1.7730379	1.7730379	-1.1660122	1.3128566	1.1562731	1.7730379	0.35547376	0.24950878	0.45745796	0.027881674			
"ENSDARG00000015076"			0.01818181818181818	0.9332578673307674	-1.7083442	1.7083442	-1.7083442	-1.3659881	-1.4143014	-1.6671218	0.016708026	0.021935817	0.16102579	0.063922904			
