Williams Trend Test
Data Source: wt_fastbmd_input_DHEC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 12:00.06
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 0 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000074033"			0.019230769230769232	0.040711947626841244	-1.623826	1.623826	-1.1572033	-1.2482276	-1.1281234	-1.623826	0.16668525	0.20483789	0.4870095	0.16957766			
"ENSDARG00000042526"			0.03389830508474576	0.044628840547207886	1.9524089	1.9524089	1.1014633	1.532254	1.3760775	1.9524089	0.70172215	0.16889359	0.27576748	0.10337292			
"ENSDARG00000005586"			0.03571428571428571	0.044628840547207886	1.9406906	1.9406906	1.5103226	1.4221972	1.9406906	1.7661602	0.15284197	0.064433925	0.011283911	0.033354137			
"ENSDARG00000042845"			0.03571428571428571	0.044628840547207886	1.796055	1.796055	1.6974393	1.5367262	1.796055	1.633712	0.07942601	0.11144125	0.06146935	0.10061753			
"ENSDARG00000098142"			0.01818181818181818	0.040711947626841244	2.1528988	2.1528988	1.4334165	1.3403258	1.8587148	2.1528988	0.16394281	0.20574239	0.06713297	0.034062576	0.3	3.0	
"ENSDARG00000109742"			0.017857142857142856	0.040711947626841244	1.5735855	1.5735855	1.5107884	1.26725	1.4429691	1.5735855	0.062359646	0.26625732	0.102672406	0.12963752			
"ENSDARG00000104529"			0.044444444444444446	0.04679600235155791	-1.7546102	1.7546102	-1.1863903	1.0085632	-1.0343485	-1.7546102	0.5067527	0.95658857	0.79488194	0.28639805			
"ENSDARG00000008403"			0.0392156862745098	0.044628840547207886	-1.821768	1.821768	-1.0797392	-1.1755505	-1.2667172	-1.821768	0.68522847	0.26155207	0.31077313	0.19399971			
"ENSDARG00000027529"			0.037037037037037035	0.044628840547207886	-1.9554138	1.9554138	-1.521984	1.0232761	-1.1357541	-1.9554138	0.2628959	0.8774821	0.62317824	0.013610866			
"ENSDARG00000115545"			0.043478260869565216	0.046022201665124884	-1.7634414	1.7634414	-1.2302891	1.1684488	1.1479554	-1.7634414	0.4311565	0.31377342	0.59200126	0.34331772			
"ENSDARG00000037961"			0.03636363636363636	0.044628840547207886	-1.5956036	1.5956036	-1.1436571	1.0373929	-1.2318674	-1.5956036	0.621193	0.88702697	0.43201855	0.15574759			
"ENSDARG00000098949"			0.018518518518518517	0.040711947626841244	1.5582533	1.5582533	1.1176811	1.5582533	1.1795413	-1.5336853	0.48968408	0.013194171	0.21762957	0.2796926			
"ENSDARG00000103193"			0.017241379310344827	0.040711947626841244	-1.6060308	1.6060308	1.0959135	1.1015962	-1.6060308	-1.499405	0.44619766	0.36543128	0.11887336	0.025101593			
"ENSDARG00000115425"			0.04878048780487805	0.04993308798929408	2.240951	2.240951	1.9562174	1.4284213	1.5180206	2.240951	0.006350062	0.08744172	0.3319389	0.010224058	0.3	3.0	
"ENSDARG00000089933"			0.034482758620689655	0.044628840547207886	-1.5269688	1.5269688	1.0140918	-1.2160115	-1.0832176	-1.5269688	0.83831555	0.13477232	0.23697715	0.003512212			
"ENSDARG00000028027"			0.017857142857142856	0.040711947626841244	1.8005067	1.8005067	1.2171808	1.3557371	1.4425541	1.8005067	0.36903346	0.34245524	0.15050988	0.053270947			
"ENSDARG00000101393"			0.018518518518518517	0.040711947626841244	-3.858996	3.858996	-1.7074388	-1.4380854	-1.5138785	-3.858996	0.28818226	0.35040325	0.31800357	0.044104967	0.3	3.0	
"ENSDARG00000003684"			0.04	0.044628840547207886	-1.5356259	1.5356259	-1.1675406	-1.2365276	-1.2055835	-1.5356259	0.19078568	0.19055305	0.25694016	0.031077001			
"ENSDARG00000059634"			0.01818181818181818	0.040711947626841244	1.5505316	1.5505316	1.4067667	1.4163934	1.5505316	1.5377983	0.057427477	0.052754384	0.0029790478	0.0045028636			
"ENSDARG00000117309"			0.017857142857142856	0.040711947626841244	5.0843887	5.0843887	4.253732	3.0096269	5.0843887	4.1563764	0.014821049	0.057952803	0.01007463	0.020463834	3.0E-4	0.003	
"ENSDARG00000073850"			0.03389830508474576	0.044628840547207886	-1.7339292	1.7339292	-1.3269202	-1.0215092	-1.6175742	-1.7339292	0.2003258	0.922435	0.066922575	0.08143535			
"ENSDARG00000097596"			0.0196078431372549	0.040711947626841244	1.5912503	1.5912503	1.0596317	1.4283541	1.5912503	1.0837121	0.49934703	0.018760022	0.013578134	0.3885676			
