"#NAME"	"P1400_10-1_B"	"P1400_10-1_C"	"P1400_10-2_A"	"P1400_10-2_B"	"P1400_10-2_C"	"P1400_10-3_A"	"P1400_10-3_B"	"P1400_10-3_C"	"P1400_10-4_A"	"P1400_10-4_B"	"P1400_10-4_C"	"P1400_10-5_A"	"P1400_10-5_B"	"P1400_10-5_C"	"P1400_3uM_A"	"P1400_3uM_B"	"P1400_3uM_C"
"#CLASS:dose"	0.3	0.3	0.03	0.03	0.03	0.003	0.003	0.003	3e-04	3e-04	3e-04	3e-05	3e-05	3e-05	3	3	3
"ENSDARG00000112451"	4.13000105186415	4.41775222097177	4.11224588745339	4.40789252445677	3.63444417653364	4.48400106492552	4.11224588745339	3.44325446596488	4.03423654133543	4.40789252445677	3.61706441867916	4.10218048060675	4.00723634486522	3.16234796907115	5.27492106293853	4.86025990550274	4.16955548374482
"ENSDARG00000079892"	4.05293210207965	4.55426993932548	4.6276934405715	5.07970799778187	4.38449112342101	4.54140479964733	4.41361167227228	4.50403865244791	3.69084304841834	4.68273074660552	3.90005614902588	4.42073022527001	4.73668187433189	4.9669598541866	3.69479094229238	4.11224588745339	4.24182001392726
"ENSDARG00000099152"	4.60605814735209	3.95367969512096	5.49666711162336	4.80285985977207	4.38449112342101	4.79671460879818	4.03775364768109	4.80285985977207	5.16432759618938	3.1880984147052	4.95894885442986	5.24423013982028	5.21193686115217	4.48400106492552	3.97791881691131	3.13293620436527	3.34906977588521
"ENSDARG00000102927"	5.04542342305429	4.81353198349931	5.54456746210981	5.11923372851635	4.6276934405715	5.04133502455679	3.61191954566444	5.16242045044277	5.00334645545046	5.03393688672117	4.55426993932548	5.24423013982028	5.21193686115217	5.0811839378385	4.22389829644536	3.91399963122005	4.4567789280572
"ENSDARG00000098145"	5.12607538141255	4.38884409880005	4.85167517839106	4.91739649194908	4.9669598541866	4.54140479964733	4.7261167240472	4.57699626065888	4.95321454771344	4.68273074660552	5.0871325856098	3.90814459159941	4.21904758113995	4.3556548721316	4.32817486153994	4.63587259872199	4.4567789280572
"ENSDARG00000101351"	6.02427766241967	5.65294686814736	6.18559776368271	5.38223940281427	5.47797951170972	5.84595953785056	5.38444379725066	5.63990714626349	5.3864406991285	5.42151836071656	5.80010146513533	5.11011914438087	5.16627858818557	4.83796381561841	5.48024269687528	6.14350745438194	5.48177182678899
"ENSDARG00000086576"	5.16806527342342	4.41775222097177	4.92919139320059	4.55714697464789	4.7261167240472	4.48400106492552	3.83466740209365	4.33671792537352	3.91858801427895	4.5374569057733	4.23964352623774	4.10218048060675	4.21904758113995	3.71087466499238	3.15668193736696	3.51035274848421	2.73411249538733
"ENSDARG00000105477"	5.61891420968529	5.16242045044277	5.64593541999784	5.74630185766925	5.73971615404989	4.60605814735209	5.42151836071656	5.01527439945104	5.30531074562693	5.56640767229509	5.7501074138018	4.57322388786949	4.73668187433189	5.35758175875315	5.37246615016526	5.71703178828426	5.67754990152529
"ENSDARG00000105355"	3.65181804082139	4.38884409880005	4.68472764848336	4.55714697464789	4.68273074660552	3.84441965469912	5.38444379725066	4.26461398673938	5.00334645545046	4.59077415369969	5.45285705194912	3.90814459159941	4.00723634486522	2.83999340078098	4.75826555358907	4.56975955321928	4.06996190309112
"ENSDARG00000006474"	5.12607538141255	4.67130163983131	4.57699626065888	5.48100726183214	4.57914484160154	5.16432759618938	4.7261167240472	4.50403865244791	4.39976717628833	4.99716564032738	5.0441177136614	4.3556548721316	4.39656436546348	4.5374569057733	5.52286903188122	5.22487153018275	4.9544812748279
"ENSDARG00000100712"	8.94006617620257	8.6303549209923	8.88155840330683	8.61909533260735	8.61444701272878	8.50320699194678	8.63326181737625	8.40931971526203	8.41766383911924	8.48360904047561	8.52230779286965	7.85096129396016	8.02905098711885	8.39390700685933	8.4438354021006	8.45061262154318	8.64168754465066
"ENSDARG00000036382"	5.88002544632322	6.07504681998487	6.39440918464005	5.86416715887065	6.00797772311118	5.99587863599384	5.7994820058551	6.08910548740166	6.2350694479346	6.30562931467831	6.1832913541393	5.47018862678909	5.63852720668561	5.716421242397	5.90950093599361	6.35159777742144	6.3009491841967
"ENSDARG00000054786"	7.85214774012727	7.75467826251023	8.02887744001768	8.24134525995784	8.06504648124948	8.05979781380342	8.0348784203692	8.07380554909722	7.919186951371	8.21693559259258	7.78770080276458	8.25668311886546	8.31285109264791	8.06072843971473	7.83042696401902	7.16199009649369	7.71785380472607
"ENSDARG00000056781"	12.8659134993556	13.2247631519828	13.1083658344548	13.2363532048762	13.1587357995717	13.1254024170102	13.076972678845	13.3400105957344	12.9982834484838	13.3042241766659	12.8823019293716	13.2381350361292	13.6284562581959	13.076972678845	12.7713717110448	12.2780239827766	13.0813332121383
"ENSDARG00000056587"	5.6750779477079	5.97667149438607	5.95306782389331	5.86416715887065	5.92971728659929	5.57342627963687	5.65788740648582	5.63990714626349	4.39976717628833	6.04418208146212	5.58137092389403	6.07050635778387	5.42151836071656	5.82140565978693	7.78770080276458	6.25460571269403	6.33695329706825
"ENSDARG00000099134"	4.92072493479416	4.9020135557631	4.85167517839106	4.55714697464789	5.21573334657539	4.85167517839106	5.27492106293853	4.7569988264746	4.48400106492552	4.49021214396512	5.20984133705036	4.26461398673938	3.64924560431403	4.92370293909239	5.75712121506992	5.22487153018275	5.51488506867425
"ENSDARG00000091514"	5.20984133705036	4.9544812748279	4.6276934405715	5.16627858818557	5.0441177136614	5.36004176908813	5.16432759618938	5.28198939393715	4.95321454771344	4.99716564032738	5.16432759618938	5.00792697652829	4.62422910592129	4.30208713953026	5.04133502455679	5.63921717647455	4.8076629755774
"ENSDARG00000110756"	6.30562931467831	5.95306782389331	6.01558504592616	5.88803684407351	5.17905140737226	6.17452262852524	6.12395296916658	5.75104002732319	6.35646061463096	6.02937228513282	6.38325502910292	6.04418208146212	5.38009082187162	5.60292427094449	6.26004581070974	6.42810559912631	6.25783201249317
"ENSDARG00000069473"	7.5140297156857	7.33984571161294	7.71785380472607	7.33800785130492	7.52390480774564	7.02685775311726	7.17698949937226	7.37519581439101	6.90232875713096	7.22175150320532	7.21233432039786	6.94833382186818	6.85658894718387	6.95950734201384	6.91989438155282	7.16199009649369	7.23713482591853
"ENSDARG00000117668"	3.88355900438404	4.30208713953026	3.82009787517816	4.05293210207965	3.73654614324198	4.73335343148681	3.73654614324198	4.41775222097177	4.30667552258916	4.23964352623774	4.23964352623774	4.57322388786949	4.85342502212012	4.92370293909239	3.55573644355495	4.21419686583454	4.4567789280572
"ENSDARG00000046091"	6.17117030555975	6.4588221509767	6.55885312829152	6.98124813343546	6.65449663102441	6.65614447507103	6.32904068291068	6.69492452400385	6.35646061463096	6.57302788710381	6.47225825117271	6.39381779260099	6.89576079302907	6.08910548740166	5.72292246207364	5.43396424980604	6.3009491841967
"ENSDARG00000093043"	7.82168285493823	7.75743692373681	8.25889094549807	8.12648943639056	7.91206016602432	7.70359388373012	7.91641639299784	7.58716199912924	7.7996462420085	7.88618951578965	7.78770080276458	7.81415882518221	7.92711267679543	7.93630337193363	7.45085815715598	6.70081956122937	7.56777463207899
"ENSDARG00000095509"	5.08996875510048	4.9544812748279	4.8076629755774	4.80285985977207	4.11481832396075	4.48400106492552	4.98968001372734	4.80285985977207	5.30531074562693	4.91739649194908	4.81353198349931	4.10218048060675	4.85342502212012	4.5374569057733	5.52286903188122	5.43396424980604	5.51488506867425
"ENSDARG00000029039"	5.97667149438607	5.43396424980604	5.82955822762506	5.99794135568571	5.75402681849675	5.45064669095155	5.95940214386768	6.04724034128952	5.78119391652321	5.70373090729865	6.22450012150265	5.75104002732319	5.73314724720568	5.11923372851635	6.20708544696331	6.03301997689867	6.25783201249317
"ENSDARG00000019207"	4.60605814735209	4.86825383248267	5.17451212145918	5.24947797524281	4.38449112342101	4.40789252445677	4.7261167240472	4.41775222097177	4.8969354735808	4.30208713953026	4.55426993932548	4.90825053520325	5.25174116040838	4.9669598541866	3.97791881691131	3.13293620436527	4.64473223088947
"ENSDARG00000079497"	8.7681887204356	8.85826772308753	8.90116646124919	8.78962175699365	9.28069778587322	8.49546869252172	8.6923958595908	8.3900268688385	8.31845221709876	8.51768061571559	8.53608778400887	8.78447289929245	8.12586018673919	8.23408554280391	9.13058707429724	8.81905985623058	9.12003985073663
"ENSDARG00000097931"	5.48024269687528	5.49457158752156	5.59756200113894	5.51268067423786	5.55547722854938	5.40412528970343	5.38444379725066	5.19987494211972	5.47316213108413	5.72466845690188	5.7501074138018	5.2012328017146	4.79924806302712	5.2012328017146	5.69033662985643	5.6765800119495	5.64684797575139
"ENSDARG00000035438"	11.3699649248533	11.282378513905	10.7717140196695	10.7402516647681	11.177994887925	11.3788087634227	10.903394124381	11.2464681623034	10.9445715991306	10.6057015881747	10.8417058689451	11.4081975849275	11.39585692046	11.8042282462732	11.2539304968475	11.2452698917905	11.5333582415678
