Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DHEP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:04.25
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000097714"			0.03773584905660377	0.9497729654208872	-1.9571681	1.9571681	-1.7415221	-1.9571681	-1.6941615	-1.9074306	0.043445963	0.041814595	0.08438156	0.027699372			
"ENSDARG00000071198"			0.037037037037037035	0.9497729654208872	-1.505525	1.505525	-1.016166	-1.2750801	-1.2238237	-1.505525	0.93726665	0.32112402	0.39850724	0.14291358			
"ENSDARG00000101032"			0.02	0.9497729654208872	-1.5003147	1.5003147	-1.1594756	-1.0929166	-1.5003147	-1.2371964	0.376684	0.25772694	0.12020762	0.012880374			
"ENSDARG00000101393"			0.01818181818181818	0.9497729654208872	-2.3069093	2.3069093	-2.3069093	-1.6196055	-1.8312055	-1.4065137	0.008383896	0.046008594	0.031659428	0.09780823	3.0E-4	0.003	
"ENSDARG00000052103"			0.0392156862745098	0.9497729654208872	-1.8312049	1.8312049	-1.5476803	-1.8114307	-1.8312049	-1.4500084	0.01769933	0.018257145	0.03053186	0.014418909			
"ENSDARG00000103066"			0.02	0.9497729654208872	-1.7315118	1.7315118	-1.1232387	-1.2171937	-1.2525972	-1.7315118	0.5941447	0.43392143	0.34768522	0.11597455			
"ENSDARG00000039217"			0.04081632653061224	0.9497729654208872	-1.5773379	1.5773379	-1.4331667	-1.4138472	-1.5773379	-1.1874224	9.105078E-4	0.001025298	0.08338022	0.00617224			
"ENSDARG00000039325"			0.045454545454545456	0.9497729654208872	1.7460911	1.7460911	1.7460911	1.4832581	1.3451785	1.5508865	0.0061479798	0.18587531	0.047704794	0.00834694			
"ENSDARG00000030896"			0.04081632653061224	0.9497729654208872	2.0702426	2.0702426	1.31784	1.4701744	1.427448	2.0702426	0.2164351	0.10858569	0.18858223	0.14505178			
"ENSDARG00000077288"			0.043478260869565216	0.9497729654208872	1.796398	1.796398	1.4599926	1.3711	1.796398	1.4952976	0.21317896	0.27646545	0.09425268	0.19358231			
"ENSDARG00000003909"			0.041666666666666664	0.9497729654208872	1.8280313	1.8280313	1.8280313	1.3591563	1.2668805	1.641281	0.026349418	0.11305086	0.33292574	0.022809131			
"ENSDARG00000077022"			0.02127659574468085	0.9497729654208872	-1.6674508	1.6674508	-1.2684052	-1.2405065	-1.1558994	-1.6674508	0.43387374	0.2729709	0.4702793	0.054283004			
"ENSDARG00000057751"			0.03636363636363636	0.9497729654208872	-2.0238419	2.0238419	-1.2316085	-1.5382401	-1.3362765	-2.0238419	0.44987023	0.25742358	0.3095586	0.044216994	0.3	3.0	
"ENSDARG00000030722"			0.018518518518518517	0.9497729654208872	1.5706336	1.5706336	1.0839399	1.4054166	1.3941187	1.5706336	0.5694661	0.112097345	0.09846976	0.04732972			
"ENSDARG00000017494"			0.04081632653061224	0.9497729654208872	1.7201878	1.7201878	1.4524537	1.5835639	1.7201878	1.320652	0.1306772	0.08849901	0.071914755	0.21811558			
"ENSDARG00000038700"			0.0392156862745098	0.9497729654208872	1.5350312	1.5350312	1.005186	-1.000961	1.3726639	1.5350312	0.97841895	0.99662524	0.1580405	0.099048704			
