Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 10:01.50
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 6 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000012640"			0.0196078431372549	0.3572977889728519	-1.7052618	1.7052618	1.0921916	1.1179383	1.1890798	-1.7052618	0.48151302	0.2600531	0.1381642	0.10542825			
"ENSDARG00000054786"			0.019230769230769232	0.3572977889728519	-1.7244316	1.7244316	-1.0922525	-1.1051669	1.0095991	-1.7244316	0.5446582	0.6738285	0.9319178	0.030146375			
"ENSDARG00000056781"			0.018867924528301886	0.3572977889728519	-1.5016025	1.5016025	-1.0219167	1.0350631	1.0703068	-1.5016025	0.8337854	0.8225635	0.65498567	0.03560926			
"ENSDARG00000053405"			0.01818181818181818	0.3572977889728519	-1.5629151	1.5629151	1.0437796	-1.0880358	1.0566876	-1.5629151	0.6485499	0.3782429	0.69056153	0.022856716			
"ENSDARG00000105621"			0.0392156862745098	0.4764081632653061	-1.8401495	1.8401495	-1.638198	-1.3558809	-1.8401495	-1.5253627	0.10080359	0.24759951	0.082500815	0.13256536			
"ENSDARG00000093844"			0.018518518518518517	0.3572977889728519	-2.1913338	2.1913338	1.117714	1.0043644	-1.2031505	-2.1913338	0.54818964	0.98988956	0.36386463	0.0186387	0.3	3.0	
"ENSDARG00000090428"			0.018867924528301886	0.3572977889728519	-2.5381455	2.5381455	-1.0138874	-1.0204134	-1.2920803	-2.5381455	0.94452757	0.9597861	0.33639008	0.018185835	0.3	3.0	
"ENSDARG00000052578"			0.037037037037037035	0.4764081632653061	-1.6193111	1.6193111	1.0806829	1.0455364	-1.1117306	-1.6193111	0.6878467	0.85553926	0.6129766	0.07877828			
"ENSDARG00000024503"			0.03773584905660377	0.4764081632653061	-2.0991893	2.0991893	1.0590707	1.1551192	-1.0550699	-2.0991893	0.86883837	0.7362277	0.88821745	0.12744474			
"ENSDARG00000036041"			0.018867924528301886	0.3572977889728519	-1.5368303	1.5368303	1.1630542	-1.0164945	1.1736466	-1.5368303	0.13218762	0.860674	0.26898283	0.009928676			
"ENSDARG00000090618"			0.018518518518518517	0.3572977889728519	-1.5356767	1.5356767	1.0532551	1.0607572	1.0614853	-1.5356767	0.283691	0.68285716	0.59808594	0.059790567			
"ENSDARG00000068283"			0.018518518518518517	0.3572977889728519	-1.8834634	1.8834634	1.184947	-1.0979906	1.0432336	-1.8834634	0.37683803	0.5505548	0.90849376	0.02688984			
"ENSDARG00000092091"			0.038461538461538464	0.4764081632653061	-2.9405127	2.9405127	-1.3306	1.0887909	-1.1762679	-2.9405127	0.5940101	0.77375686	0.75590277	0.06936194			
"ENSDARG00000068290"			0.019230769230769232	0.3572977889728519	-2.0760574	2.0760574	-1.0164673	1.0492846	-1.0961758	-2.0760574	0.93680096	0.8151706	0.73656034	0.15754774			
"ENSDARG00000103659"			0.019230769230769232	0.3572977889728519	-1.836574	1.836574	-1.1343919	-1.232885	-1.1702696	-1.836574	0.14347842	0.019907812	0.29058656	0.008787389			
"ENSDARG00000104256"			0.02	0.3572977889728519	-1.6160785	1.6160785	-1.0123966	1.0111613	1.0625594	-1.6160785	0.89596087	0.89964503	0.5994177	0.005516259			
"ENSDARG00000110427"			0.018518518518518517	0.3572977889728519	1.6332084	1.6332084	1.3150905	1.4872789	1.6332084	-1.3622547	0.29680136	0.082591824	0.032696534	0.031535145			
"ENSDARG00000087767"			0.0392156862745098	0.4764081632653061	1.839853	1.839853	1.5408067	1.839853	1.4648314	1.631505	0.091084935	0.035346035	0.13025056	0.060486972			
"ENSDARG00000098989"			0.0392156862745098	0.4764081632653061	1.5631605	1.5631605	-1.0994465	1.1234002	-1.0028495	1.5631605	0.6541033	0.5794362	0.98874205	0.10394171			
"ENSDARG00000117518"			0.0392156862745098	0.4764081632653061	-1.6553818	1.6553818	-1.0318384	1.1623303	1.4577281	-1.6553818	0.88495624	0.49455142	0.15975942	0.08481168			
