Williams Trend Test
Data Source: no_log_quant_fastbmd_input_P1400_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:07.12
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
"ENSDARG00000093043"			0.0196078431372549	0.9748910365738108	-1.5721159	1.5721159	-1.0482714	-1.1148123	1.1539831	-1.0739783	-1.5721159	0.24931258	0.24068454	0.16710229	0.13729487	0.13541943			
"ENSDARG00000095509"			0.017543859649122806	0.9748910365738108	1.9901603	1.9901603	1.4283919	1.198441	1.0551338	1.4384719	1.9901603	0.13249804	0.3841652	0.8190099	0.12857796	0.04283858			
"ENSDARG00000029039"			0.0392156862745098	0.9748910365738108	1.5491812	1.5491812	1.2911602	1.2180924	1.2535634	1.1257173	1.5491812	0.23832965	0.36563522	0.25287697	0.66367996	0.081292875			
"ENSDARG00000019207"			0.02040816326530612	0.9748910365738108	-2.1791842	2.1791842	-1.3735279	-1.4389964	-1.0763568	-1.2355565	-2.1791842	0.100028105	0.02431185	0.74746054	0.19760114	0.116807595			
"ENSDARG00000079497"			0.02040816326530612	0.9748910365738108	1.5602272	1.5602272	1.0540428	1.1053407	1.525225	1.3488744	1.5602272	0.7525036	0.56627023	0.07927081	0.16346724	0.06854311			
"ENSDARG00000097931"			0.02127659574468085	0.9748910365738108	1.519943	1.519943	1.4970005	1.1993421	1.4025015	1.3380846	1.519943	0.028407281	0.17990577	0.06344074	0.088003084	0.044714116			
"ENSDARG00000035438"			0.018518518518518517	0.9748910365738108	-1.6687509	1.6687509	-1.6687509	-1.283311	-1.557726	-1.1566262	-1.142274	0.013748536	0.13904475	0.030427817	0.2551085	0.31393862			
"ENSDARG00000102200"			0.04081632653061224	0.9748910365738108	-1.5820897	1.5820897	-1.1514655	-1.4378402	1.0451726	1.0672289	-1.5820897	0.1804364	0.022604426	0.69580334	0.7895394	0.04655376			
"ENSDARG00000111638"			0.02040816326530612	0.9748910365738108	-1.7267038	1.7267038	-1.2489258	-1.6521648	-1.5966846	-1.6221368	-1.7267038	0.31985438	0.06237916	0.06733059	0.089480974	0.13500626			
"ENSDARG00000115870"			0.043478260869565216	0.9748910365738108	-1.7156436	1.7156436	-1.5009754	-1.7156436	-1.138304	1.0370023	-1.5047047	0.0986674	0.05563987	0.48448297	0.8679415	0.10594695			
