Williams Trend Test
Data Source: no_log_quant_fastbmd_input_P1400_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:07.12
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
"ENSDARG00000099558"			0.0196078431372549	0.9748910365738108	-1.5694199	1.5694199	-1.1010506	-1.0046201	1.0114421	-1.1550592	-1.5694199	0.5576985	0.9802797	0.94216806	0.45439953	0.051486585			
"ENSDARG00000090171"			0.0196078431372549	0.9748910365738108	-2.020208	2.020208	-1.7141325	-2.020208	-1.4982988	-1.57986	-1.4189171	0.06727515	0.12973048	0.11601413	0.09752074	0.14064592			
"ENSDARG00000008553"			0.017857142857142856	0.9748910365738108	-1.5134093	1.5134093	1.0211419	-1.0262092	1.0515954	-1.0796604	-1.5134093	0.88499296	0.8373102	0.68450284	0.52587855	0.06780397			
"ENSDARG00000040258"			0.01818181818181818	0.9748910365738108	1.7802424	1.7802424	1.498861	1.1148554	1.6812615	1.7802424	1.3576931	0.0056168763	0.4169162	0.10526169	0.28384602	0.07596122			
"ENSDARG00000087197"			0.01639344262295082	0.9748910365738108	-1.5271914	1.5271914	-1.0594237	-1.3584912	-1.2352568	-1.5271914	-1.3762822	0.55776393	0.04815728	0.14356345	0.103780866	0.12077864			
"ENSDARG00000091043"			0.03773584905660377	0.9748910365738108	-1.6367977	1.6367977	-1.2174066	-1.0591506	-1.282586	-1.2026408	-1.6367977	0.29440463	0.71317154	0.2983165	0.5895872	0.03133755			
"ENSDARG00000100515"			0.02127659574468085	0.9748910365738108	1.6029346	1.6029346	1.1025356	1.104403	1.4320005	1.37485	1.6029346	0.46036822	0.29976693	0.110053666	0.03978798	0.059124403			
"ENSDARG00000037421"			0.02040816326530612	0.9748910365738108	1.8394705	1.8394705	-1.1370744	1.146853	1.4219998	1.4480486	1.8394705	0.012402585	0.02488173	0.022949059	0.25683329	0.11729175			
"ENSDARG00000057055"			0.041666666666666664	0.9748910365738108	1.5327752	1.5327752	1.5189859	1.212032	-1.031573	1.5327752	1.3313386	0.019050619	0.33603975	0.8722766	0.03372223	0.05696567			
"ENSDARG00000061940"			0.019230769230769232	0.9748910365738108	-1.5535587	1.5535587	-1.163316	-1.4520295	-1.2736228	-1.5535587	-1.2540106	0.19979295	0.04007971	0.11036675	0.018616721	0.085560024			
"ENSDARG00000055752"			0.02	0.9748910365738108	3.4099016	3.4099016	-1.0796561	1.4248668	2.1258416	2.5591908	3.4099016	0.72020113	0.1277358	0.017937945	0.2038123	0.010426645	0.003	0.03	
"ENSDARG00000105351"			0.018867924528301886	0.9748910365738108	-1.6776091	1.6776091	-1.2729877	-1.0953985	-1.0834314	-1.2190635	-1.6776091	0.16539758	0.52399105	0.5725192	0.314653	0.13047153			
"ENSDARG00000101911"			0.0196078431372549	0.9748910365738108	2.2089472	2.2089472	2.1422057	1.3741084	2.0161083	-1.0043845	2.2089472	0.004807902	0.34214735	0.0086043	0.9863403	0.034697846	3.0E-5	3.0E-4	
"ENSDARG00000074235"			0.03508771929824561	0.9748910365738108	-1.8911129	1.8911129	-1.6374319	-1.3379316	-1.0038632	-1.0396848	-1.8911129	0.13035186	0.08725074	0.9879632	0.85939145	0.009634731			
"ENSDARG00000020149"			0.0196078431372549	0.9748910365738108	-1.8451524	1.8451524	-1.195764	-1.2395253	-1.0289273	-1.1631019	-1.8451524	0.06886132	0.2420843	0.90373915	0.21992236	0.1317701			
"ENSDARG00000109481"			0.043478260869565216	0.9748910365738108	-1.6427008	1.6427008	-1.1857967	-1.0000099	-1.3384372	-1.3237163	-1.6427008	0.41458225	0.999941	0.33707932	0.12988995	0.12950343			
"ENSDARG00000104569"			0.017857142857142856	0.9748910365738108	-2.5517714	2.5517714	-1.4285978	-1.1574951	1.1043227	-1.1597162	-2.5517714	0.20596701	0.5720221	0.6615877	0.36535197	0.014733481	0.3	3.0	
"ENSDARG00000101629"			0.017857142857142856	0.9748910365738108	-1.608387	1.608387	-1.1881794	-1.0662223	1.0471674	-1.2069829	-1.608387	0.2622628	0.6661908	0.72271836	0.29794297	0.11112341			
"ENSDARG00000078875"			0.03508771929824561	0.9748910365738108	-1.517332	1.517332	-1.2304091	-1.1224322	-1.1124437	-1.122686	-1.517332	0.110798	0.26213726	0.598574	0.26000413	0.05463091			
"ENSDARG00000041117"			0.0196078431372549	0.9748910365738108	1.7354107	1.7354107	1.3332678	1.3057909	1.4653262	1.1706387	1.7354107	0.10911704	0.13231553	0.08810275	0.56872797	0.0553245			
"ENSDARG00000060879"			0.01818181818181818	0.9748910365738108	-1.667916	1.667916	-1.1697221	-1.03619	1.0644534	-1.1772846	-1.667916	0.0136055555	0.6307151	0.46987325	0.02625483	0.061792437			
"ENSDARG00000068678"			0.02040816326530612	0.9748910365738108	1.9002717	1.9002717	1.6821241	1.9002717	1.4027152	1.5840193	1.7511393	0.048337955	0.027774097	0.12736234	0.09740847	0.037667498			
"ENSDARG00000079166"			0.022222222222222223	0.9748910365738108	-1.5746948	1.5746948	-1.091596	-1.0573275	1.04945	-1.1415939	-1.5746948	0.45089722	0.6787537	0.72460705	0.5333739	0.08074109			
"ENSDARG00000088143"			0.023809523809523808	0.9748910365738108	-1.6003803	1.6003803	-1.1249247	-1.2578237	-1.4544358	-1.106724	-1.6003803	0.36404514	0.29055834	0.0383031	0.3640731	0.014036134			
"ENSDARG00000045038"			0.038461538461538464	0.9748910365738108	1.7291887	1.7291887	1.5892209	1.1341032	1.7229452	1.111664	1.7291887	0.022357518	0.65161365	0.01681442	0.727893	0.017103938			
"ENSDARG00000018621"			0.04081632653061224	0.9748910365738108	-1.581675	1.581675	-1.1768107	-1.1416574	-1.0791873	-1.3719857	-1.581675	0.43278158	0.4655916	0.64696795	0.20381297	0.086566806			
"ENSDARG00000091560"			0.018518518518518517	0.9748910365738108	-1.5925872	1.5925872	-1.0956415	-1.038492	1.0494938	-1.1725191	-1.5925872	0.49437273	0.75252867	0.69059515	0.25209373	0.06277416			
"ENSDARG00000036912"			0.023809523809523808	0.9748910365738108	1.5294635	1.5294635	1.0471151	-1.0892639	1.1421956	-1.0095127	1.5294635	0.7072381	0.39420372	0.38331985	0.9183604	0.014900293			
"ENSDARG00000087145"			0.03773584905660377	0.9748910365738108	1.8502065	1.8502065	1.0667162	1.3257439	1.8502065	1.0339489	1.579684	0.73223037	0.13401222	0.0041848407	0.76013815	0.0843831			
"ENSDARG00000012060"			0.021739130434782608	0.9748910365738108	-1.7511069	1.7511069	-1.1460308	-1.1040504	-1.1225417	-1.2064695	-1.7511069	0.25876343	0.09814008	0.42411205	0.5879033	0.081248015			
"ENSDARG00000062114"			0.0196078431372549	0.9748910365738108	-1.5436264	1.5436264	-1.0324658	-1.1565226	-1.1725296	1.0166817	-1.5436264	0.68637615	0.36029527	0.16033423	0.8809867	0.0024916371			
"ENSDARG00000092945"			0.019230769230769232	0.9748910365738108	-1.519952	1.519952	-1.2312927	-1.5148445	-1.4593059	-1.519952	-1.1732657	0.050993886	0.047590304	0.05729807	0.014858932	0.19231284			
"ENSDARG00000069957"			0.046511627906976744	0.9748910365738108	1.5245376	1.5245376	1.4909092	1.2830036	1.5191455	1.205884	1.5245376	0.07383474	0.20124964	0.06681365	0.3182987	0.07049773			
"ENSDARG00000079385"			0.022727272727272728	0.9748910365738108	-1.5665959	1.5665959	-1.0729977	-1.1230747	1.1322122	1.1740649	-1.5665959	0.45765328	0.2782401	0.18439187	0.411907	0.04374422			
"ENSDARG00000096950"			0.016666666666666666	0.9748910365738108	2.293097	2.293097	1.3229367	1.1239768	1.2410817	1.0056435	2.293097	0.23289159	0.71163845	0.21416	0.9932835	0.0032522525	0.3	3.0	
"ENSDARG00000097333"			0.017857142857142856	0.9748910365738108	2.0584087	2.0584087	1.4610523	1.7290027	1.1597867	-1.3516983	2.0584087	0.24696691	0.07486644	0.52787656	0.42200613	0.0077095553	0.3	3.0	
"ENSDARG00000097483"			0.018867924528301886	0.9748910365738108	1.6679012	1.6679012	1.344832	1.308915	1.2178372	1.4521887	1.6679012	0.055566013	0.10899626	0.25964677	0.3187242	0.0049663223			
"ENSDARG00000014849"			0.03571428571428571	0.9748910365738108	2.5746799	2.5746799	2.1114366	1.4813788	1.639672	1.3996524	2.5746799	0.19265373	0.4196284	0.33096105	0.48097393	0.11741681			
"ENSDARG00000079532"			0.04918032786885246	0.9748910365738108	-1.5297866	1.5297866	-1.176936	-1.1696578	-1.2711625	-1.5297866	-1.478388	0.28846702	0.19413534	0.21395206	0.15831655	0.14187717			
"ENSDARG00000094560"			0.034482758620689655	0.9748910365738108	1.9526815	1.9526815	1.2773007	1.8066769	1.6148939	1.9526815	1.2402815	0.38313156	0.0991613	0.15135421	0.08557862	0.49320847			
"ENSDARG00000110366"			0.017543859649122806	0.9748910365738108	-1.6977457	1.6977457	1.0571444	1.2632457	1.0486013	-1.2901578	-1.6977457	0.6090925	0.12077507	0.7194834	0.54396045	0.076565236			
"ENSDARG00000077799"			0.018867924528301886	0.9748910365738108	4.08819	4.08819	1.0448351	1.9577115	2.5642793	2.6296177	4.08819	0.8338801	0.044128258	0.029526435	0.122205526	0.004604387	0.003	0.03	
"ENSDARG00000107408"			0.03571428571428571	0.9748910365738108	-1.516405	1.516405	-1.3883332	-1.516405	-1.4760137	-1.2007692	-1.2404774	0.07622284	0.034079567	0.04046953	0.3691515	0.15750064			
"ENSDARG00000100686"			0.041666666666666664	0.9748910365738108	1.9085809	1.9085809	1.4955683	1.9085809	1.3838129	-1.1561338	1.6910181	0.0034778311	0.02508421	0.23403956	0.6475448	0.08954389			
"ENSDARG00000077540"			0.01818181818181818	0.9748910365738108	1.7295271	1.7295271	1.2869636	1.1522996	1.6192657	1.7295271	1.1864405	0.2957457	0.53459316	0.09813465	0.11949971	0.44648024			
"ENSDARG00000044755"			0.018518518518518517	0.9748910365738108	2.19876	2.19876	1.7277405	1.4428922	2.1856663	2.19876	1.8236669	0.13121581	0.046813674	0.018290713	0.14808324	0.14643352	0.003	0.03	
"ENSDARG00000079293"			0.017241379310344827	0.9748910365738108	1.6445332	1.6445332	1.155844	1.0326982	-1.0084935	1.3898267	1.6445332	0.4789176	0.8437926	0.9503029	0.12170109	0.036474884			
"ENSDARG00000100892"			0.0196078431372549	0.9748910365738108	1.7733134	1.7733134	1.5213423	1.0756636	1.6495615	1.3803034	1.7733134	0.07794143	0.7429417	0.05709557	0.2789651	0.034154303			
"ENSDARG00000074719"			0.018518518518518517	0.9748910365738108	1.7250552	1.7250552	1.7250552	1.0617278	1.6236205	1.2204726	1.5632907	0.021183236	0.8325886	0.030307643	0.16933273	0.043552183			
"ENSDARG00000069196"			0.018518518518518517	0.9748910365738108	1.6743015	1.6743015	1.2242562	1.2500107	1.1610808	1.2375727	1.6743015	0.031613614	0.096560895	0.121349975	0.17765805	0.009913011			
"ENSDARG00000018521"			0.020833333333333332	0.9748910365738108	-1.514593	1.514593	-1.514593	1.1287351	1.1840779	-1.3541235	1.4436808	0.1303673	0.2934803	0.57664967	0.085295275	0.058700867			
"ENSDARG00000099229"			0.020833333333333332	0.9748910365738108	-1.6485641	1.6485641	1.0549186	-1.1138635	-1.4087543	-1.2575374	-1.6485641	0.77837896	0.6590366	0.1573788	0.18649143	0.098383166			
"ENSDARG00000091799"			0.01818181818181818	0.9748910365738108	-1.5889536	1.5889536	-1.1621766	-1.1192056	-1.3258202	-1.5889536	-1.4172205	0.10414447	0.2574969	0.026223445	0.34879884	0.012174518			
"ENSDARG00000070078"			0.017857142857142856	0.9748910365738108	-1.6668513	1.6668513	-1.1274692	-1.0251129	-1.0556619	-1.1026049	-1.6668513	0.19110145	0.6158083	0.30084687	0.17074649	0.080453195			
"ENSDARG00000102602"			0.021739130434782608	0.9748910365738108	1.579055	1.579055	1.579055	-1.1546092	1.1505289	1.1479839	-1.3203919	0.0043523354	0.36039436	0.24951026	0.41055113	0.1588893			
"ENSDARG00000086881"			0.046511627906976744	0.9748910365738108	1.8402787	1.8402787	1.0883411	1.2187005	1.4528968	1.4858403	1.8402787	0.7581008	0.44972917	0.2319142	0.21731928	0.081865676			
"ENSDARG00000105389"			0.01818181818181818	0.9748910365738108	-1.7849971	1.7849971	-1.7575994	-1.3797842	-1.4211192	-1.7849971	-1.6856644	0.02415214	0.06814375	0.054084286	0.21757966	0.045877047			
"ENSDARG00000089569"			0.018867924528301886	0.9748910365738108	-1.64656	1.64656	1.0735195	-1.2617165	-1.64656	-1.5178574	-1.5594587	0.70027155	0.3741406	0.06971502	0.11335494	0.09671296			
"ENSDARG00000069377"			0.017241379310344827	0.9748910365738108	2.3357394	2.3357394	1.1926364	1.0887654	1.7526639	1.5457795	2.3357394	0.47912732	0.4005392	0.05555574	0.0268294	0.0066512837	0.3	3.0	
"ENSDARG00000101307"			0.038461538461538464	0.9748910365738108	-1.5348004	1.5348004	-1.3766029	-1.0470469	-1.492845	-1.2795217	-1.5348004	0.11731412	0.75877243	0.07722319	0.3164282	0.17274825			
"ENSDARG00000090629"			0.02	0.9748910365738108	-1.7343292	1.7343292	-1.7247956	-1.5153939	-1.2252041	-1.7343292	-1.3496978	0.019941237	0.043695815	0.2639672	0.12311377	0.103453			
"ENSDARG00000068982"			0.018518518518518517	0.9748910365738108	1.7689662	1.7689662	1.3708444	1.3825794	1.4118615	1.4676076	1.7689662	0.09914636	0.10575511	0.12419471	0.13846461	0.035486426			
"ENSDARG00000018065"			0.03773584905660377	0.9748910365738108	-1.5201174	1.5201174	-1.2282227	-1.1990112	-1.1379379	1.0756277	-1.5201174	0.22517999	0.20175149	0.3231052	0.8231648	0.031304084			
"ENSDARG00000018846"			0.017241379310344827	0.9748910365738108	-1.7127603	1.7127603	-1.1753554	-1.1091292	1.0210308	-1.1611322	-1.7127603	0.15433863	0.42179212	0.87172127	0.17485715	0.13592282			
"ENSDARG00000002060"			0.03508771929824561	0.9748910365738108	1.5000445	1.5000445	1.1150521	1.2362379	1.2914889	1.0141703	1.5000445	0.48032084	0.3238985	0.099769235	0.88870317	0.032374803			
"ENSDARG00000021697"			0.038461538461538464	0.9748910365738108	1.7093801	1.7093801	1.7093801	1.4816611	1.5953352	1.2460759	1.4680535	0.07222436	0.14201684	0.10156515	0.33868772	0.15465717			
"ENSDARG00000060877"			0.017543859649122806	0.9748910365738108	-1.7317746	1.7317746	-1.2241	-1.3419458	-1.3087718	-1.3866649	-1.7317746	0.1404886	0.001071139	0.017910758	0.43296	0.0011081331			
"ENSDARG00000031875"			0.017857142857142856	0.9748910365738108	-1.6202416	1.6202416	-1.0651217	-1.1170385	-1.0516539	-1.1040632	-1.6202416	0.59249246	0.17824309	0.5808709	0.54712087	0.0216678			
"ENSDARG00000026500"			0.018518518518518517	0.9748910365738108	-1.6815394	1.6815394	-1.2090163	-1.0915112	-1.1626291	-1.0132056	-1.6815394	0.3239915	0.64900726	0.44932938	0.93125546	0.022689763			
"ENSDARG00000045371"			0.018867924528301886	0.9748910365738108	1.7968508	1.7968508	1.4620513	1.2813247	1.3550586	1.1577994	1.7968508	0.10951225	0.23707835	0.15273347	0.5522251	0.038311075			
"ENSDARG00000092045"			0.018867924528301886	0.9748910365738108	1.5012666	1.5012666	1.2116445	-1.0191101	1.5012666	1.2386645	1.3778061	0.11676306	0.917679	0.013855701	0.23665756	0.025368098			
"ENSDARG00000010075"			0.018518518518518517	0.9748910365738108	1.5641088	1.5641088	1.1795113	1.3172086	1.1840962	1.5641088	1.5255316	0.15760683	0.055915583	0.39085796	0.027129535	0.080710426			
"ENSDARG00000098609"			0.037037037037037035	0.9748910365738108	1.5812556	1.5812556	1.1725594	1.395134	-1.1513951	1.257026	1.5812556	0.3452809	0.064136535	0.41671064	0.49558502	0.024269829			
"ENSDARG00000074125"			0.04	0.9748910365738108	1.6219625	1.6219625	1.3575997	1.2198325	1.2526551	1.3364987	1.6219625	0.13611203	0.3600839	0.22596802	0.15162435	0.060372207			
"ENSDARG00000110100"			0.02	0.9748910365738108	1.6282109	1.6282109	1.2329819	1.0908278	1.3120363	1.0519786	1.6282109	0.30799732	0.62853116	0.14702925	0.16521743	0.018934883			
"ENSDARG00000042667"			0.022222222222222223	0.9748910365738108	2.2697754	2.2697754	1.1055797	1.0290323	1.3024013	1.3808259	2.2697754	0.58982974	0.80555475	0.23438542	0.3097965	0.1059575			
"ENSDARG00000040747"			0.024390243902439025	0.9748910365738108	-1.5223805	1.5223805	-1.0634779	-1.0500107	-1.0466151	-1.1621974	-1.5223805	0.25109255	0.36522192	0.54637283	0.08867022	0.0945833			
"ENSDARG00000096830"			0.041666666666666664	0.9748910365738108	1.672959	1.672959	-1.086811	-1.0086672	1.3456776	1.4225248	1.672959	0.7905889	0.97794205	0.44988018	0.3243305	0.18985163			
"ENSDARG00000075177"			0.045454545454545456	0.9748910365738108	1.8044268	1.8044268	1.6689682	1.8044268	1.5772315	1.3333044	1.3893849	0.008791498	0.0063505517	0.014385013	0.3560486	0.076586716			
"ENSDARG00000038500"			0.0425531914893617	0.9748910365738108	-1.5728841	1.5728841	-1.5728841	-1.454205	-1.408111	-1.3403713	-1.155706	0.02315312	0.051136836	0.063122824	0.2708178	0.2645388			
"ENSDARG00000091539"			0.019230769230769232	0.9748910365738108	2.3368487	2.3368487	1.3828673	1.8790704	1.3460835	1.5393765	2.3368487	0.360829	0.15951817	0.38477534	0.21845715	0.054341324			
"ENSDARG00000079983"			0.0196078431372549	0.9748910365738108	2.0313845	2.0313845	1.375741	2.0313845	1.2947341	1.7473806	1.4093984	0.069998	0.022703193	0.115293674	0.14452644	0.08913759	3.0E-4	0.003	
"ENSDARG00000101726"			0.03508771929824561	0.9748910365738108	-1.7944291	1.7944291	-1.1436355	-1.0464505	1.0757941	-1.1015675	-1.7944291	0.47515786	0.77579296	0.703497	0.71498865	0.07429482			
"ENSDARG00000060471"			0.034482758620689655	0.9748910365738108	1.8056074	1.8056074	1.2313745	1.5487477	1.2923036	1.8056074	1.4224473	0.26741615	0.031872027	0.31217045	0.0034411647	0.020677768			
"ENSDARG00000101012"			0.0392156862745098	0.9748910365738108	1.7109396	1.7109396	-1.0961443	1.1091923	-1.0105753	1.2772198	1.7109396	0.37180865	0.22896022	0.93987584	0.5155231	0.15558988			
"ENSDARG00000110394"			0.03571428571428571	0.9748910365738108	1.9236791	1.9236791	1.048571	-1.0584878	1.5472982	1.8088777	1.9236791	0.84888434	0.8671855	0.16383964	0.07760121	0.07042633			
