DBC	DBP	DHEC	DHEP	P1400	SANT
0.132503118	1.268177971	0.001369609	0.001102076	0.999084689	0.114502069
2.419361605	1.412894107	2.960969608	0.051813534	0.136332713	1.103771714
1.032551158	0.888093824	0.221960267	0.007910104	1.013412192	1.296603911
0.000757015	1.065732254	0.235010769	0.001468275	0.002847383	0.103318539
0.408244171	0.405688673	0.307705322	0.016483506	1.752040655	0.009191617
0.019836805	2.654737807	0.001640754	0.000740145	2.705874942	1.781450125
0.400796626	0.358550348	0.000747318	0.736810068	0.78860582	1.567819434
0.002097647	2.413502244	0.1838648	0.003670683	0.525398176	0.029075693
0.632772867	0.001997973	2.896573949	0.161687085	0.819424268	0.512456015
0.001184193	1.50071743	0.012202545	0.00154263	0.010550739	0.048442753
0.753854039	0.859196287	2.983696391	0.055322096	0.810404843	0.206808551
2.788330389	1.286480265	0.165239223	0.033531431	0.00122488	0.00212822
0.000689276	2.296416878	2.08049541	0.024994344	0.428361931	0.619392069
0.035659525	0.935550352	1.425652183	0.006733778	0.887733429	0.009724916
0.180688883	0.998999631	0.149744668	0.49335208	0.011163145	0.76664945
0.076786856	2.449294969	2.964687594	0.088934484	0.718936632	0.24513712
1.253870972	0.824590279	1.427306252	1.42376919	1.022098633	0.265807224
0.001357087	2.781617402	0.000741837	0.162135703	0.496946051	0.013323957
0.006361217	0.549687365	0.222624277	0.655184064	0.668293983	0.009302057
0.189291909	0.914789127	0.001202023	0.001089758	0.773219169	0.201532577
0.001135595	0.787077023	2.61941844	0.001589121	0.328054285	0.016473947
1.540935609	2.341311039	2.419663162	0.001397771	1.422931157	0.574878922
1.71084131	2.593827788	0.160374059	1.251366987	0.007499466	0.005391932
0.171738038	2.279654012	1.013342474	0.000908812	1.33276109	2.436398051
1.50951141	0.705100157	0.17972328	0.001126708	0.006278229	0.00813253
0.004289077	0.879425843	1.944702589	0.123433781	1.046948618	0.704079936
2.661794566	1.168272845	0.514947251	0.001145506	1.597849101	0.525605347
0.199686066	1.077100762	0.179965961	0.001518558	1.042720094	0.013713025
1.305895079	1.30524858	0.11462861	0.775291207	0.558978154	1.122615257
0.001339388	2.341498195	1.573771582	1.481472464	0.000257116	0.012150289
0.287072681	0.392407703	2.900478242	1.365467755	0.55524167	0.016047001
2.738915237	2.407293595	0.000697627	0.742464438	1.134685998	1.585812805
