DBC	DBP	DHEC	DHEP	P1400	SANT
2.811636146	1.150707697	2.814244757	0.000766028	2.783099331	0.00062688
0.598243806	0.974197746	2.499791565	1.991080209	0.463022857	0.955895162
0.075291951	1.174153355	0.008229301	0.024902535	2.648231551	0.637028501
0.226255753	0.910575212	2.082203161	0.351406267	0.820023737	0.769344981
0.0951397	2.52248248	0.002530001	1.018761435	0.003470222	0.611652741
0.000725839	1.311423172	0.000475547	0.013255477	0.001539791	0.635159964
1.359166175	0.993650456	0.218401885	0.026589116	0.777931545	0.701086261
1.017925359	1.478371166		0.911083819	2.534936955	0.260998369
	1.801474347		0.037973972	0.000986878	2.341735164
	0.917915673		0.867430682	1.045666999	0.732383817
	1.638918745		0.289072015	0.531815845	0.310468407
	1.041967711		0.801423854	0.927991445	0.00828735
	0.890494423		0.000393316	0.137535258	0.017285143
	0.819141564		0.00279071	2.682266419	0.140182405
	0.723183823		0.216203297	0.003733803	0.010860418
	1.212135467		0.117218373	2.820463146	0.406200197
	1.565284573		0.000863937	0.010620362	1.215589888
	1.056847371		1.766781619	1.610877543	1.405851514
	0.994140273		2.820852808	0.253239213	0.599602471
	1.094010511		0.00386022	0.092652938	0.002078285
	2.395109395		0.083054434	0.002442945	0.002211935
	0.969491417		0.011263012	0.740472946	1.391913267
	1.05872803		0.08038946	0.218293716	0.003757128
	0.92013728		1.534402041	0.699583609	0.338573365
	0.673721058		0.400091691	1.011946535	2.360736051
	0.508457165		0.004441649	0.001157483	0.939737947
	1.093296447		1.054593931	0.271635928	0.432763103
	1.161436384		0.001426158	0.889634804	0.103590636
	2.518950812		0.130247815	0.039064071	0.014613472
	2.163728053		0.006521531	0.024723555	0.5215517
	1.516192147		0.028163668	0.917504924	0.017132606
	1.036470956		1.243559102	2.833361822	0.114879372
	2.375496919		0.598393326	0.913001406	0.522804222
	1.055377675		0.00179946	0.002752077	0.016324728
	1.010964444		1.117801765	0.007702282	1.587212027
	0.856776823		0.856490387	1.119533401	0.017117746
	1.124689263		0.422708571	0.811463833	1.443316028
	2.211902865		0.001025009	0.48339661	1.20832277
	1.0031151			0.006139256	0.012928957
	1.00842953			0.000115775	1.087628586
	2.522826792			0.002442912	0.011843066
	2.599634438			0.907078883	0.02063564
	0.853994457			1.155431867	0.715606476
	1.128172825			0.000135104	0.011057226
	0.885686415			0.925154499	1.557362459
	2.373244393			1.033574604	0.040044204
	2.473056873			0.000155474	0.06276911
	0.059551986			1.583316177	0.131967475
	2.379107613			0.822532738	1.058777071
	1.169120551			0.714358018	1.015047701
	1.27353055			0.25874729	0.79477632
	0.455907571			0.015599553	0.01251631
	1.135068516			1.596659054	1.140683119
	0.8460948			0.000314744	0.123334823
	2.704430245			0.708356289	1.588822554
	1.280506887				0.575885015
	0.003191115				1.158215295
	1.0186864				0.762925054
	2.31954743				0.002282874
	1.339743074				1.243149151
	2.404085057				0.485867346
	1.089635564				0.118514292
	1.240345293				0.323757143
	2.726772179				0.146419387
	1.470563721				0.488193489
	1.162872695				0.014231094
	2.77885248				0.984914098
	0.301779952				0.065138756
	1.510766736				0.248985896
	1.451131035				0.009609996
	0.003194703				0.000949377
	2.500362499				0.157791
	2.68698508				0.57140087
	0.874320276				0.008788382
	0.860259003				2.538372023
	1.270966331				0.531576105
	0.619648754				0.497611138
	1.256312972				0.135337487
	2.365061405				0.907243627
	1.07607173				0.177791557
	2.543072147				0.309340818
	1.606348684				0.710826368
	1.235533209				1.111127614
	1.068800943				1.078430146
	1.374221831				0.018355721
	0.077463769				0.67446827
	0.011193594				1.936967804
	1.041427829				0.014776403
	1.047305151				0.801432102
	2.682745148				0.002512312
	0.83935988				0.011266927
	0.872158174				0.725864624
	1.248821048				0.002043535
	0.923431438				0.686208914
	1.525338787				1.190523735
	1.322262592				1.508909871
	1.27888368				1.45240686
	0.885625974				1.08531662
	0.914092323				1.236019553
	1.200474332				0.253762013
	1.000733731				1.030393352
	0.859476417				0.088501381
	0.445768383				1.850453242
	1.820510349				1.448146722
	0.652036695				0.834544668
	0.290298541				0.382035873
	2.477136743				0.001381266
	0.47585875				0.19323472
	1.256447837				0.507009601
	0.716036074				0.194949349
	1.067118368				0.020555588
	1.918969263				0.957637931
	1.214494423				0.180058384
	1.370284127				1.281600977
	1.093934975				1.120260985
	0.800889286				0.002727506
	1.383136319				2.671923682
	0.39931829				0.025710243
	0.566560309				0.083909097
	0.984426419				0.577796837
	0.891778455				0.278764741
	2.079755916				0.731371579
	0.82258489				0.017774753
	0.843922241				0.012042609
	0.409200244				0.425476692
	1.105379956				0.222121096
	1.309069833				0.002376042
	0.722006662				0.005809128
	1.039104019				0.824718746
	0.724403394				0.008491255
	1.707978537				0.079508762
	0.978585338				0.012594515
	1.672042294				0.001335022
	1.019354546				0.02286888
	0.618842006				0.593797553
	0.923260011				0.778693466
	0.700521415				1.391293497
	2.648802225				0.66224568
	2.513111591				0.806279226
	0.270779528				0.084868205
	1.108295342				0.192588757
	0.750491754				1.309860382
	0.70391048				1.301074489
	1.272645599				1.573629224
	1.036721527				0.135171634
	0.477715081				0.248394909
	0.893455102				0.661818653
	1.064755706				0.012469204
	1.482585829				0.086327593
	0.446017591				1.460153717
	1.201864626				0.240515263
	1.018787447				0.0019097
	0.354473689				
	1.251169678				
	2.480658996				
	1.55063557				
	0.911390019				
	1.148831475				
	0.995196526				
	0.401617993				
	1.202610883				
	0.91665116				
	0.554049327				
	1.275708816				
	1.4524834				
	2.412552691				
	0.849361185				
	1.126357575				
	0.973949271				
	0.011231183				
	0.868580563				
	1.522297903				
	1.303282255				
	2.19141305				
	1.053699725				
	1.07593176				
	1.148074859				
	0.947463663				
	1.339619074				
	0.779365612				
	2.64993676				
	1.461383739				
	1.084028048				
	2.28216792				
	0.600103895				
	0.835417458				
	0.86852661				
	0.991048631				
	0.98254516				
	1.10271484				
	0.491996071				
	2.35405919				
	0.865532934				
	1.166760191				
	0.392475824				
	0.515414356				
	0.72094327				
	2.525745543				
	2.780688921				
	0.847209942				
	1.511414038				
	1.238353001				
	2.228309185				
	1.490184082				
	1.223696524				
	1.364667503				
	1.127262486				
	0.97481297				
	1.020167002				
	2.404140331				
	1.086787297				
	2.596564162				
	0.956287888				
	0.737296094				
	1.639265251				
	1.805878841				
	2.435965297				
	0.259368519				
	0.710828507				
	1.496106675				
	1.208567962				
	0.903014973				
	2.915218874				
	1.233784577				
	1.197013663				
	0.762516415				
	0.554988378				
	1.660931215				
	1.293981045				
	1.494815777				
	2.884238688				
	0.903953861				
	1.857139412				
	0.765454531				
	1.50454477				
	0.863062133				
	0.340810712				
	0.690914298				
	0.802971303				
	2.525473155				
	0.893431035				
	0.809813139				
	0.875337054				
	0.71831173				
	1.95256623				
	0.817945747				
	1.021539117				
	0.002110921				
	1.422648526				
	0.844115173				
	0.607159535				
	1.371351506				
	2.706716623				
	1.101546413				
	1.092456225				
	1.38811294				
	1.470035908				
	1.195864843				
	2.60142635				
	2.267802118				
	0.904584887				
	1.163555655				
	1.257182858				
	0.78449524				
	0.000922609				
	2.405039744				
	0.719286421				
	1.51925239				
	0.726214188				
	2.149074131				
	0.001028398				
	0.754035696				
	2.751768063				
	0.585325687				
	1.408581965				
	1.371126082				
	2.638795786				
	0.928102179				
	2.732830025				
	2.585079447				
	1.787015985				
	0.783716162				
	0.9913439				
	0.830305026				
	1.221374539				
	1.400088803				
	0.557632528				
	0.88804711				
	2.582174261				
	2.796469939				
	0.02580562				
	0.820500446				
	0.00352959				
	0.781184558				
	0.793469378				
	0.591865379				
	1.312461588				
	1.090315995				
	2.329245437				
	2.54246549				
	0.009749015				
	0.767052588				
	0.421319042				
	0.923389393				
	2.343062911				
	1.198224971				
	1.693044628				
	1.237235824				
	2.758191751				
	0.697700445				
	1.676235558				
	1.110754461				
	2.791693505				
	2.556696172				
	0.906257229				
	1.290670891				
	0.080446359				
	1.235708815				
	1.113394195				
	1.550419565				
	1.182805961				
	1.242310784				
	0.9640855				
	0.725745907				
	0.723649431				
	2.636644138				
	1.465125977				
	0.568831107				
	1.107944674				
	1.351061289				
	2.146718477				
	0.737961461				
	0.922461124				
	0.905295319				
	2.228314701				
	0.002763626				
	1.178747159				
	2.352948564				
	2.273786664				
	0.69475222				
	0.521126734				
	2.523937807				
	0.738721702				
	0.490967892				
	1.63512411				
	1.155380184				
	1.053945717				
	1.390001656				
	2.970713091				
	0.7856734				
	1.626869128				
	2.565783618				
	1.176597871				
	0.68067503				
	0.872651992				
	0.960332127				
	1.480653427				
	0.00091506				
	2.281116527				
	2.651974894				
	0.096676595				
	0.660037537				
	0.590962198				
	0.916322241				
	2.730575181				
	2.827124213				
	2.339659649				
	1.507769404				
	0.015581944				
	0.627384549				
	2.751098118				
	1.215612414				
	1.539585092				
	1.752809611				
	0.1121729				
	1.305283061				
	0.925092943				
	1.131444046				
	2.601981818				
	1.131837058				
	0.828521182				
	1.474929825				
	0.855366348				
	1.788157454				
	1.384157329				
	2.172984931				
	0.813444443				
	0.681518771				
	2.694717029				
	1.415100975				
	0.756772095				
	1.171501607				
	0.59413995				
	0.633594201				
	2.795297448				
	1.069051381				
	0.762432297				
	2.818542366				
	1.316335167				
	1.093762349				
	1.179815482				
	1.411300197				
	0.872902063				
	1.2792638				
	2.953003649				
	2.728990795				
	0.652415013				
	0.303101775				
	2.603382237				
	0.873486886				
	1.3439732				
	2.438046322				
	2.79396462				
	1.580337509				
