"plate_id" "embryo_id" "is_VC" "endpoint" "dose" "control_median" "endpoint_value_norm"
"1" "EE2" "1" 1 "a" "Control" 3.6804307032336 6.08509280362917
"2" "EE2" "2" 1 "a" "Control" 3.6804307032336 2.38185056829603
"3" "EE2" "3" 1 "a" "Control" 3.6804307032336 -8.61873636148105
"4" "EE2" "4" 1 "a" "Control" 3.6804307032336 8.06321937325913
"5" "EE2" "5" 1 "a" "Control" 3.6804307032336 -6.95789818893857
"6" "EE2" "6" 1 "a" "Control" 3.6804307032336 -18.7782044200147
"7" "EE2" "7" 1 "a" "Control" 3.6804307032336 -1.28423462929064
"8" "EE2" "8" 1 "a" "Control" 3.6804307032336 3.30094352547721
"9" "EE2" "9" 1 "a" "Control" 3.6804307032336 0
"10" "EE2" "1" 0 "a" "Dose1" 3.6804307032336 12.7942340030323
"11" "EE2" "2" 0 "a" "Dose1" 3.6804307032336 4.44756646086586
"12" "EE2" "3" 0 "a" "Dose1" 3.6804307032336 6.53777072498629
"13" "EE2" "4" 0 "a" "Dose1" 3.6804307032336 18.0329412082931
"14" "EE2" "5" 0 "a" "Dose1" 3.6804307032336 -11.3116080054245
"15" "EE2" "6" 0 "a" "Dose1" 3.6804307032336 14.782306054897
"16" "EE2" "7" 0 "a" "Dose1" 3.6804307032336 11.2576967194553
"17" "EE2" "8" 0 "a" "Dose1" 3.6804307032336 2.7701137665562
"18" "EE2" "9" 0 "a" "Dose1" 3.6804307032336 8.69032984055944
"19" "EE2" "1" 0 "a" "Dose2" 3.6804307032336 0.461202014195772
"20" "EE2" "2" 0 "a" "Dose2" 3.6804307032336 12.1178784793722
"21" "EE2" "3" 0 "a" "Dose2" 3.6804307032336 8.04401688077974
"22" "EE2" "4" 0 "a" "Dose2" 3.6804307032336 7.9599531699079
"23" "EE2" "5" 0 "a" "Dose2" 3.6804307032336 -1.24550437170421
"24" "EE2" "6" 0 "a" "Dose2" 3.6804307032336 7.83903864009901
"25" "EE2" "7" 0 "a" "Dose2" 3.6804307032336 -8.13886629508964
"26" "EE2" "8" 0 "a" "Dose2" 3.6804307032336 2.17412476241146
"27" "EE2" "9" 0 "a" "Dose2" 3.6804307032336 -4.77912278055226
"28" "EE2" "1" 0 "a" "Dose3" 3.6804307032336 3.82743837861392
"29" "EE2" "2" 0 "a" "Dose3" 3.6804307032336 15.2678143162454
"30" "EE2" "3" 0 "a" "Dose3" 3.6804307032336 3.14102561079417
"31" "EE2" "4" 0 "a" "Dose3" 3.6804307032336 -6.01124286166033
"32" "EE2" "5" 0 "a" "Dose3" 3.6804307032336 -9.97508710462012
"33" "EE2" "6" 0 "a" "Dose3" 3.6804307032336 -2.10184630118802
"34" "EE2" "7" 0 "a" "Dose3" 3.6804307032336 -2.11659580854016
"35" "EE2" "8" 0 "a" "Dose3" 3.6804307032336 -8.71114006622968
"36" "EE2" "9" 0 "a" "Dose3" 3.6804307032336 -9.04922664339605
"37" "EE2" "1" 0 "a" "Dose4" 3.6804307032336 33.8147060780946
"38" "EE2" "2" 0 "a" "Dose4" 3.6804307032336 3.88467080014245
"39" "EE2" "3" 0 "a" "Dose4" 3.6804307032336 10.5841453295657
"40" "EE2" "4" 0 "a" "Dose4" 3.6804307032336 14.7871429606601
"41" "EE2" "5" 0 "a" "Dose4" 3.6804307032336 2.03941150086013
"42" "EE2" "6" 0 "a" "Dose4" 3.6804307032336 12.4379764682221
"43" "EE2" "7" 0 "a" "Dose4" 3.6804307032336 -3.41005093890479
"44" "EE2" "8" 0 "a" "Dose4" 3.6804307032336 -3.6859598946311
"45" "EE2" "9" 0 "a" "Dose4" 3.6804307032336 -1.47090348462
"46" "EE2" "1" 0 "a" "Dose5" 3.6804307032336 -14.8447531046539
"47" "EE2" "2" 0 "a" "Dose5" 3.6804307032336 15.2945931003867
"48" "EE2" "3" 0 "a" "Dose5" 3.6804307032336 -1.91292531666751
"49" "EE2" "4" 0 "a" "Dose5" 3.6804307032336 8.31283076929443
"50" "EE2" "5" 0 "a" "Dose5" 3.6804307032336 7.60038029946712
"51" "EE2" "6" 0 "a" "Dose5" 3.6804307032336 -2.08900403620778
"52" "EE2" "7" 0 "a" "Dose5" 3.6804307032336 4.96810468571449
"53" "EE2" "8" 0 "a" "Dose5" 3.6804307032336 0.898027857631112
"54" "EE2" "9" 0 "a" "Dose5" 3.6804307032336 -1.21519754471038
"55" "EE2" "1" 1 "b" "Control" 3.60341504541293 21.6293364466033
"56" "EE2" "2" 1 "b" "Control" 3.60341504541293 10.3464820528107
"57" "EE2" "3" 1 "b" "Control" 3.60341504541293 -15.5892669789352
"58" "EE2" "4" 1 "b" "Control" 3.60341504541293 16.3142790206968
"59" "EE2" "5" 1 "b" "Control" 3.60341504541293 0
"60" "EE2" "6" 1 "b" "Control" 3.60341504541293 -22.5953977014125
"61" "EE2" "7" 1 "b" "Control" 3.60341504541293 -8.61267542104192
"62" "EE2" "8" 1 "b" "Control" 3.60341504541293 7.28394763168523
"63" "EE2" "9" 1 "b" "Control" 3.60341504541293 -8.00197969576
"64" "EE2" "1" 0 "b" "Dose1" 3.60341504541293 25.9666803646672
"65" "EE2" "2" 0 "b" "Dose1" 3.60341504541293 -22.6045039348163
"66" "EE2" "3" 0 "b" "Dose1" 3.60341504541293 10.7645229767457
