	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
ENSDARG00000001354	8.012100693	7.772893428	7.628793535	7.699538036	7.816573665	8.221007018	8.117548923	7.787472703	8.207671181	7.800057935	7.899067259	8.394647714	7.502542187	7.535181545
ENSDARG00000001414	6.575053238	6.514439141	6.614158211	6.453378898	6.59276961	7.339074987	6.591177857	6.621473121	6.433986644	6.518237698	6.132337396	7.228399485	5.279178982	7.011708293
ENSDARG00000001431	14.2617648	14.12869152	14.16366839	14.24181073	14.22531174	14.14540633	13.97153517	14.09836019	14.15769633	14.11295961	14.07979547	14.08924293	14.32162328	14.35769075
ENSDARG00000001437	9.795635788	9.801446137	9.857413886	9.744011044	9.345276654	9.774423068	9.989317168	9.523110405	9.750235317	9.881164772	9.261237627	9.093602517	9.780626037	9.555828759
ENSDARG00000001442	6.330246559	6.008259298	6.029060168	5.792432916	6.220954727	6.844142793	5.44136482	6.07207597	6.555399971	6.09667593	6.158105736	6.459853941	5.900316679	6.122336511
ENSDARG00000001447	8.222549571	8.030061209	8.220148133	7.761327957	8.219372068	8.132583837	8.194254309	7.973937831	7.851902669	8.103985337	8.329212287	8.332305799	8.012100693	8.066063556
ENSDARG00000001452	5.615153025	5.482837732	5.615153025	5.178738548	5.646116295	5.858465981	5.646116295	5.378374161	5.777463733	5.409883047	5.409883047	5.652652565	5.438820255	5.858465981
ENSDARG00000001463	9.480546682	9.723793414	9.367658383	8.923308356	9.278399528	9.003199352	9.876328115	8.795634604	9.329658252	9.298722541	9.552971469	9.00741373	9.379307285	9.261504156
ENSDARG00000001470	6.898668941	6.363083775	6.784290463	7.043010376	6.963941805	6.738768787	6.76730431	6.450743415	6.887500373	7.020284432	6.884397345	7.093808384	7.026033747	7.213265446
ENSDARG00000001498	3.821566907	4.048933321	4.103524495	3.318435655	4.30822858	4.303842827	4.749139295	4.452971305	4.062693684	3.914816436	4.433367836	5.263688118	4.675125975	4.583437303
ENSDARG00000001549	6.360513586	6.363083775	6.830942394	6.692012747	6.769178921	6.992517833	6.68709825	6.672563672	6.117813552	6.253516122	6.683080053	6.433086642	6.901141978	6.727239898
ENSDARG00000001557	8.295959253	8.331229104	8.650931425	8.467361661	8.44045032	8.213613872	8.417978924	8.452359219	8.17016579	8.462962582	8.54425393	8.459724194	8.706944662	8.672706286
ENSDARG00000001558	8.388622381	8.255232224	8.839663926	8.801454721	8.556984551	8.309870341	8.61793466	8.47242186	8.333913814	8.640926706	8.78482468	8.382479988	8.981323671	9.020085329
ENSDARG00000001559	8.331720058	9.01029927	8.276126482	9.006149353	8.515616987	7.604686954	8.185640637	8.23706763	7.883039637	8.124307798	8.218521815	6.821453025	8.547295936	7.611886907
ENSDARG00000001578	10.74719985	10.47237867	10.71807453	10.62195256	10.72831512	10.89390334	10.80134495	10.79717956	10.82445357	10.81815424	10.76212394	11.17680064	10.58215878	10.75163376
ENSDARG00000001621	7.837050403	7.900172712	7.913501127	8.088371902	7.875089017	7.976295689	8.025501246	8.242727442	7.827761563	7.905475588	8.329212287	7.686632059	8.008749995	8.016174302
ENSDARG00000001676	10.14709221	10.32021662	10.12804104	10.30516202	10.24616342	9.738571017	10.15412963	10.17487323	9.836078297	10.08489799	10.04392447	9.45795405	10.3154045	10.1370289
ENSDARG00000001686	6.842937846	6.317535334	6.211362927	6.643001236	6.159632425	6.583437119	6.486395604	6.413737057	6.909457826	6.599725437	6.539902058	6.433086642	7.052964723	6.509459899
ENSDARG00000001710	11.42777384	11.4096311	11.2369599	11.59107794	11.38702273	11.16508887	11.35051347	11.46045357	11.29988038	11.17189411	11.41013573	11.02124818	11.46604082	11.22357534
ENSDARG00000001712	7.177763039	6.98252547	6.614158211	6.730052552	6.998218432	7.352135707	6.733853114	6.767783614	7.349821587	6.788462305	6.884397345	7.555227175	6.842937846	6.727239898
ENSDARG00000001721	4.200924119	4.048933321	3.233027726	4.631219244	3.001419986	2.381545929	3.437032519	3.914816436	3.986595025	4.768362093	3.809344627	4.416164791	4.631219244	3.933201282
ENSDARG00000001729	10.82005004	10.67424397	10.82326381	10.80901407	10.88409418	10.72006738	10.68192507	10.6804487	10.66745241	10.782192	10.70236317	10.70289226	10.75749095	10.85138408
ENSDARG00000001733	8.41404191	8.292732562	8.42706782	8.540400379	8.358965787	8.388876511	8.400628361	8.402111129	8.388622381	8.406642518	8.401529901	8.712644325	8.751562593	8.639659771
