C3,Counts
ENSDARG00000002467,0
ENSDARG00000002479,35
ENSDARG00000002483,0
ENSDARG00000002487,23
ENSDARG00000002494,15
ENSDARG00000002506,17
ENSDARG00000002507,14
ENSDARG00000002508,17
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,12
ENSDARG00000002533,7
ENSDARG00000002536,42
ENSDARG00000002538,27
ENSDARG00000002546,80
ENSDARG00000002549,9
ENSDARG00000002552,87
ENSDARG00000002564,48
ENSDARG00000002571,28
ENSDARG00000002576,18
ENSDARG00000002582,35
ENSDARG00000002587,315
ENSDARG00000002589,281
ENSDARG00000002591,47
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,139
ENSDARG00000002601,3
ENSDARG00000002607,49
ENSDARG00000002609,66
ENSDARG00000002613,12
ENSDARG00000002632,116
ENSDARG00000002634,4
ENSDARG00000002635,162
ENSDARG00000002642,13
ENSDARG00000002644,22
ENSDARG00000002656,76
ENSDARG00000002659,81
ENSDARG00000002663,13
ENSDARG00000002666,4
ENSDARG00000002670,104
ENSDARG00000002682,81
ENSDARG00000002685,1
ENSDARG00000002690,16
ENSDARG00000002696,401
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,527
ENSDARG00000002720,42
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,97
ENSDARG00000002732,4
ENSDARG00000002745,145
ENSDARG00000002748,25
ENSDARG00000002750,25
ENSDARG00000002754,0
ENSDARG00000002758,883
ENSDARG00000002760,2
ENSDARG00000002764,2
ENSDARG00000002768,2011
ENSDARG00000002771,32
ENSDARG00000002779,0
ENSDARG00000002787,65
ENSDARG00000002790,200
ENSDARG00000002791,758
ENSDARG00000002792,44
ENSDARG00000002795,21
ENSDARG00000002797,0
ENSDARG00000002798,4
ENSDARG00000002816,65
ENSDARG00000002826,42
ENSDARG00000002830,3
ENSDARG00000002831,3
ENSDARG00000002840,115
ENSDARG00000002847,25
ENSDARG00000002872,12
ENSDARG00000002877,178
ENSDARG00000002880,83
ENSDARG00000002894,36
ENSDARG00000002897,16
ENSDARG00000002909,42
ENSDARG00000002912,21
ENSDARG00000002916,60
ENSDARG00000002917,8
ENSDARG00000002933,11
ENSDARG00000002937,96
ENSDARG00000002945,11
ENSDARG00000002947,65
ENSDARG00000002949,85
ENSDARG00000002952,50
ENSDARG00000002956,2
ENSDARG00000002959,0
ENSDARG00000002967,73
ENSDARG00000002968,116
ENSDARG00000002970,99
ENSDARG00000002971,38
ENSDARG00000002986,9
ENSDARG00000002988,107
ENSDARG00000002991,48
ENSDARG00000002994,58
ENSDARG00000003008,169
ENSDARG00000003017,45
ENSDARG00000003020,41
ENSDARG00000003021,6
ENSDARG00000003022,0
ENSDARG00000003027,18
ENSDARG00000003032,554
ENSDARG00000003035,152
ENSDARG00000003041,11
ENSDARG00000003046,55
ENSDARG00000003054,11
ENSDARG00000003058,27
ENSDARG00000003061,4
ENSDARG00000003068,23
ENSDARG00000003069,29
ENSDARG00000003077,23
ENSDARG00000003081,3400
ENSDARG00000003084,33
ENSDARG00000003085,3
ENSDARG00000003087,33
ENSDARG00000003090,0
ENSDARG00000003091,9
ENSDARG00000003098,257
ENSDARG00000003109,49
ENSDARG00000003113,94
ENSDARG00000003127,32
ENSDARG00000003132,8
ENSDARG00000003142,14
ENSDARG00000003144,2
ENSDARG00000003146,23
ENSDARG00000003151,189
ENSDARG00000003153,35
ENSDARG00000003157,23
ENSDARG00000003165,82
ENSDARG00000003167,5
ENSDARG00000003169,306
ENSDARG00000003175,15
ENSDARG00000003181,8
ENSDARG00000003189,187
ENSDARG00000003193,5
ENSDARG00000003197,0
ENSDARG00000003200,10
ENSDARG00000003203,57
ENSDARG00000003205,14
ENSDARG00000003206,2
ENSDARG00000003207,15
ENSDARG00000003208,42
ENSDARG00000003210,23
ENSDARG00000003213,226
ENSDARG00000003216,46
ENSDARG00000003217,9
ENSDARG00000003219,16
ENSDARG00000003229,0
ENSDARG00000003235,7
ENSDARG00000003244,4
ENSDARG00000003250,14
ENSDARG00000003251,33
ENSDARG00000003257,1
ENSDARG00000003259,1
ENSDARG00000003269,103
ENSDARG00000003270,4
ENSDARG00000003281,65
ENSDARG00000003287,9
ENSDARG00000003290,39
ENSDARG00000003293,111
ENSDARG00000003303,6
ENSDARG00000003307,50
ENSDARG00000003308,82
ENSDARG00000003311,86
ENSDARG00000003313,2
ENSDARG00000003320,82
ENSDARG00000003326,13
ENSDARG00000003328,24
ENSDARG00000003344,0
ENSDARG00000003373,8
ENSDARG00000003375,2
ENSDARG00000003380,0
ENSDARG00000003381,7
ENSDARG00000003382,42
ENSDARG00000003383,49
ENSDARG00000003395,47
ENSDARG00000003398,34
ENSDARG00000003399,1
ENSDARG00000003403,95
ENSDARG00000003411,12
ENSDARG00000003414,1
ENSDARG00000003420,0
ENSDARG00000003421,76
ENSDARG00000003429,42
ENSDARG00000003444,12
ENSDARG00000003446,36
ENSDARG00000003449,54
ENSDARG00000003462,79
ENSDARG00000003469,17
ENSDARG00000003475,4
ENSDARG00000003486,122
ENSDARG00000003487,73
ENSDARG00000003495,224
ENSDARG00000003512,377
ENSDARG00000003517,14
ENSDARG00000003519,1
ENSDARG00000003520,14
ENSDARG00000003523,0
ENSDARG00000003526,49
ENSDARG00000003527,22
ENSDARG00000003531,49
ENSDARG00000003533,0
ENSDARG00000003544,63
ENSDARG00000003553,0
ENSDARG00000003564,16
ENSDARG00000003570,89
ENSDARG00000003573,44
ENSDARG00000003576,16
ENSDARG00000003584,1
ENSDARG00000003592,1
ENSDARG00000003599,2074
ENSDARG00000003607,15
ENSDARG00000003615,33
ENSDARG00000003616,97
ENSDARG00000003631,165
ENSDARG00000003632,4
ENSDARG00000003635,5
ENSDARG00000003641,45
ENSDARG00000003642,17
ENSDARG00000003655,389
ENSDARG00000003675,30
ENSDARG00000003680,202
ENSDARG00000003681,156
ENSDARG00000003684,36
ENSDARG00000003693,45
ENSDARG00000003695,370
ENSDARG00000003697,0
ENSDARG00000003699,70
ENSDARG00000003701,0
ENSDARG00000003705,131
ENSDARG00000003706,3
ENSDARG00000003732,9
ENSDARG00000003749,21
ENSDARG00000003750,28
ENSDARG00000003751,37
ENSDARG00000003754,43
ENSDARG00000003757,3
ENSDARG00000003769,24
ENSDARG00000003776,39
ENSDARG00000003779,102
ENSDARG00000003789,139
ENSDARG00000003795,581
ENSDARG00000003797,18
ENSDARG00000003803,0
ENSDARG00000003808,22
ENSDARG00000003811,310
ENSDARG00000003818,42
ENSDARG00000003820,121
ENSDARG00000003822,13
ENSDARG00000003827,1
ENSDARG00000003829,102
ENSDARG00000003835,182
ENSDARG00000003841,2
ENSDARG00000003845,5
ENSDARG00000003846,6
ENSDARG00000003854,222
ENSDARG00000003860,103
ENSDARG00000003865,5
ENSDARG00000003866,35
ENSDARG00000003867,10
ENSDARG00000003869,7
ENSDARG00000003872,39
ENSDARG00000003877,164
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,200
ENSDARG00000003903,4
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,123
ENSDARG00000003920,93
ENSDARG00000003925,0
ENSDARG00000003927,46
ENSDARG00000003931,27
ENSDARG00000003934,0
ENSDARG00000003938,94
ENSDARG00000003940,65
ENSDARG00000003941,19
ENSDARG00000003944,0
ENSDARG00000003952,162
ENSDARG00000003961,15
ENSDARG00000003963,73
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,8
ENSDARG00000003971,17
ENSDARG00000003973,50
ENSDARG00000003974,51
ENSDARG00000003977,8
ENSDARG00000003984,39
ENSDARG00000003989,62
ENSDARG00000003991,46
ENSDARG00000003994,30
ENSDARG00000003998,47
ENSDARG00000004015,7
ENSDARG00000004017,24
ENSDARG00000004018,39
ENSDARG00000004023,193
ENSDARG00000004034,39
ENSDARG00000004037,20
ENSDARG00000004046,11
ENSDARG00000004049,41
ENSDARG00000004051,3
ENSDARG00000004055,82
ENSDARG00000004059,10
ENSDARG00000004060,447
ENSDARG00000004074,253
ENSDARG00000004078,41
ENSDARG00000004082,8
ENSDARG00000004094,212
ENSDARG00000004105,54
ENSDARG00000004109,0
ENSDARG00000004111,1
ENSDARG00000004114,13
ENSDARG00000004115,30
ENSDARG00000004130,0
ENSDARG00000004131,14
ENSDARG00000004132,205
ENSDARG00000004150,9
ENSDARG00000004151,11
ENSDARG00000004154,0
ENSDARG00000004158,3
ENSDARG00000004160,6
ENSDARG00000004161,76
ENSDARG00000004167,12
ENSDARG00000004169,47
ENSDARG00000004171,28
ENSDARG00000004173,170
ENSDARG00000004174,374
ENSDARG00000004176,12
ENSDARG00000004177,36
ENSDARG00000004184,128
ENSDARG00000004187,37
ENSDARG00000004189,41
ENSDARG00000004196,53
ENSDARG00000004199,5
ENSDARG00000004204,0
ENSDARG00000004211,29
ENSDARG00000004218,13
ENSDARG00000004219,5
ENSDARG00000004227,64
ENSDARG00000004232,14
ENSDARG00000004243,2
ENSDARG00000004246,186
ENSDARG00000004251,8
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,48
ENSDARG00000004262,5
ENSDARG00000004270,45
ENSDARG00000004274,0
ENSDARG00000004280,20
ENSDARG00000004282,16
ENSDARG00000004291,96
ENSDARG00000004296,15
ENSDARG00000004297,246
ENSDARG00000004301,9
ENSDARG00000004302,17
ENSDARG00000004305,28
ENSDARG00000004306,15
ENSDARG00000004307,0
ENSDARG00000004308,26
ENSDARG00000004311,0
ENSDARG00000004318,10
ENSDARG00000004322,3
ENSDARG00000004325,15
ENSDARG00000004328,7
ENSDARG00000004336,117
ENSDARG00000004343,9
ENSDARG00000004358,37
ENSDARG00000004363,17
ENSDARG00000004372,25
ENSDARG00000004377,48
ENSDARG00000004378,2
ENSDARG00000004386,106
ENSDARG00000004392,2
ENSDARG00000004396,0
ENSDARG00000004402,21
ENSDARG00000004405,10
ENSDARG00000004406,1
ENSDARG00000004415,185
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,4
ENSDARG00000004445,23
ENSDARG00000004447,3
ENSDARG00000004451,19
ENSDARG00000004452,304
ENSDARG00000004455,0
ENSDARG00000004459,0
ENSDARG00000004460,4
ENSDARG00000004470,141
ENSDARG00000004472,17
ENSDARG00000004473,0
ENSDARG00000004492,0
ENSDARG00000004497,4
ENSDARG00000004498,0
ENSDARG00000004502,45
ENSDARG00000004517,7
ENSDARG00000004525,12
ENSDARG00000004527,1
ENSDARG00000004529,0
ENSDARG00000004537,588
ENSDARG00000004539,11
ENSDARG00000004561,1
ENSDARG00000004574,4
ENSDARG00000004576,20
ENSDARG00000004580,60
ENSDARG00000004581,58
ENSDARG00000004586,24
ENSDARG00000004587,5
ENSDARG00000004588,412
ENSDARG00000004592,3
ENSDARG00000004594,14
ENSDARG00000004597,60
ENSDARG00000004598,0
ENSDARG00000004616,7
ENSDARG00000004618,8
ENSDARG00000004621,305
ENSDARG00000004627,0
ENSDARG00000004632,11
ENSDARG00000004633,15
ENSDARG00000004634,37
ENSDARG00000004635,112
ENSDARG00000004636,28
ENSDARG00000004643,46
ENSDARG00000004647,4
ENSDARG00000004648,23
ENSDARG00000004658,69
ENSDARG00000004672,221
ENSDARG00000004680,29
ENSDARG00000004687,10
ENSDARG00000004692,34
ENSDARG00000004695,10
ENSDARG00000004696,36
ENSDARG00000004697,27
ENSDARG00000004702,68
ENSDARG00000004706,35
ENSDARG00000004712,30
ENSDARG00000004713,5
ENSDARG00000004714,117
ENSDARG00000004721,2
ENSDARG00000004724,19
ENSDARG00000004726,39
ENSDARG00000004735,284
ENSDARG00000004745,13
ENSDARG00000004748,7
ENSDARG00000004753,36
ENSDARG00000004754,45
ENSDARG00000004757,1433
ENSDARG00000004763,2
ENSDARG00000004771,51
ENSDARG00000004774,49
ENSDARG00000004782,320
ENSDARG00000004785,85
ENSDARG00000004789,107
ENSDARG00000004794,2
ENSDARG00000004796,144
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,83
ENSDARG00000004836,147
ENSDARG00000004840,65
ENSDARG00000004843,30
ENSDARG00000004851,0
ENSDARG00000004861,39
ENSDARG00000004864,0
ENSDARG00000004866,27
ENSDARG00000004869,16
ENSDARG00000004870,3
ENSDARG00000004871,0
ENSDARG00000004874,1
ENSDARG00000004875,22
ENSDARG00000004877,174
ENSDARG00000004880,0
ENSDARG00000004889,7
ENSDARG00000004891,85
ENSDARG00000004898,0
ENSDARG00000004904,21
ENSDARG00000004906,74
ENSDARG00000004925,1
ENSDARG00000004930,243
ENSDARG00000004931,39
ENSDARG00000004932,1
ENSDARG00000004937,16
ENSDARG00000004939,38
ENSDARG00000004948,128
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,1
ENSDARG00000004956,8
ENSDARG00000004964,22
ENSDARG00000004979,18
ENSDARG00000004988,85
ENSDARG00000005002,14
ENSDARG00000005004,0
ENSDARG00000005010,2
ENSDARG00000005015,89
ENSDARG00000005023,18
ENSDARG00000005026,173
ENSDARG00000005034,24
ENSDARG00000005049,1
ENSDARG00000005050,0
ENSDARG00000005057,5
ENSDARG00000005058,28
ENSDARG00000005078,31
ENSDARG00000005085,53
ENSDARG00000005092,5
ENSDARG00000005095,6
ENSDARG00000005098,3
ENSDARG00000005104,31
ENSDARG00000005108,23
ENSDARG00000005112,72
ENSDARG00000005115,15
ENSDARG00000005122,105
ENSDARG00000005126,36
ENSDARG00000005128,4
ENSDARG00000005134,40
ENSDARG00000005139,18
ENSDARG00000005141,84
ENSDARG00000005150,15
ENSDARG00000005154,7
ENSDARG00000005159,34
ENSDARG00000005162,150
ENSDARG00000005163,26
ENSDARG00000005172,18
ENSDARG00000005176,2
ENSDARG00000005179,35
ENSDARG00000005185,63
ENSDARG00000005186,111
ENSDARG00000005191,338
ENSDARG00000005210,37
ENSDARG00000005216,9
ENSDARG00000005218,0
ENSDARG00000005220,5
ENSDARG00000005221,23
ENSDARG00000005230,28
ENSDARG00000005232,63
ENSDARG00000005236,462
ENSDARG00000005246,2
ENSDARG00000005251,21
ENSDARG00000005254,26
ENSDARG00000005271,0
ENSDARG00000005274,0
ENSDARG00000005284,15
ENSDARG00000005314,0
ENSDARG00000005315,151
ENSDARG00000005318,7
ENSDARG00000005320,7
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,8
ENSDARG00000005343,27
ENSDARG00000005350,132
ENSDARG00000005355,24
ENSDARG00000005356,47
ENSDARG00000005359,135
ENSDARG00000005364,5
ENSDARG00000005368,56
ENSDARG00000005371,0
ENSDARG00000005372,28
ENSDARG00000005374,41
ENSDARG00000005382,28
ENSDARG00000005392,0
ENSDARG00000005394,157
ENSDARG00000005397,196
ENSDARG00000005414,2
ENSDARG00000005416,32
ENSDARG00000005423,22
ENSDARG00000005425,15
ENSDARG00000005448,3
ENSDARG00000005451,224
ENSDARG00000005453,83
ENSDARG00000005454,12
ENSDARG00000005456,128
ENSDARG00000005458,50
ENSDARG00000005462,32
ENSDARG00000005463,30
ENSDARG00000005464,0
ENSDARG00000005468,113
ENSDARG00000005476,300
ENSDARG00000005479,630
ENSDARG00000005481,10
ENSDARG00000005482,433
ENSDARG00000005485,36
ENSDARG00000005500,11
ENSDARG00000005510,0
ENSDARG00000005513,848
ENSDARG00000005518,8
ENSDARG00000005522,0
ENSDARG00000005525,29
ENSDARG00000005526,35
ENSDARG00000005536,85
ENSDARG00000005540,150
ENSDARG00000005541,0
ENSDARG00000005544,12
ENSDARG00000005547,23
ENSDARG00000005549,18
