E4,Counts
ENSDARG00000002463,77
ENSDARG00000002467,25
ENSDARG00000002479,114
ENSDARG00000002483,22
ENSDARG00000002487,252
ENSDARG00000002494,110
ENSDARG00000002506,33
ENSDARG00000002507,91
ENSDARG00000002508,57
ENSDARG00000002509,8
ENSDARG00000002510,0
ENSDARG00000002523,375
ENSDARG00000002533,51
ENSDARG00000002536,174
ENSDARG00000002538,123
ENSDARG00000002546,98
ENSDARG00000002549,95
ENSDARG00000002552,451
ENSDARG00000002564,177
ENSDARG00000002571,205
ENSDARG00000002576,78
ENSDARG00000002582,125
ENSDARG00000002587,563
ENSDARG00000002589,1976
ENSDARG00000002591,111
ENSDARG00000002593,26
ENSDARG00000002597,1
ENSDARG00000002600,117
ENSDARG00000002601,17
ENSDARG00000002607,56
ENSDARG00000002609,83
ENSDARG00000002613,8
ENSDARG00000002632,332
ENSDARG00000002634,60
ENSDARG00000002635,203
ENSDARG00000002642,86
ENSDARG00000002644,119
ENSDARG00000002656,129
ENSDARG00000002659,166
ENSDARG00000002663,81
ENSDARG00000002666,24
ENSDARG00000002670,165
ENSDARG00000002682,202
ENSDARG00000002685,0
ENSDARG00000002690,118
ENSDARG00000002696,853
ENSDARG00000002701,11
ENSDARG00000002707,0
ENSDARG00000002710,2092
ENSDARG00000002720,48
ENSDARG00000002722,1
ENSDARG00000002728,3
ENSDARG00000002731,679
ENSDARG00000002732,36
ENSDARG00000002745,1100
ENSDARG00000002748,93
ENSDARG00000002750,97
ENSDARG00000002754,30
ENSDARG00000002758,2957
ENSDARG00000002760,11
ENSDARG00000002764,18
ENSDARG00000002768,11711
ENSDARG00000002771,73
ENSDARG00000002779,24
ENSDARG00000002787,309
ENSDARG00000002790,450
ENSDARG00000002791,2451
ENSDARG00000002792,250
ENSDARG00000002795,39
ENSDARG00000002797,0
ENSDARG00000002798,61
ENSDARG00000002816,165
ENSDARG00000002826,57
ENSDARG00000002830,15
ENSDARG00000002831,205
ENSDARG00000002840,197
ENSDARG00000002847,84
ENSDARG00000002872,31
ENSDARG00000002877,315
ENSDARG00000002880,185
ENSDARG00000002894,46
ENSDARG00000002897,92
ENSDARG00000002909,197
ENSDARG00000002912,76
ENSDARG00000002916,283
ENSDARG00000002917,37
ENSDARG00000002933,40
ENSDARG00000002937,281
ENSDARG00000002945,68
ENSDARG00000002947,93
ENSDARG00000002949,432
ENSDARG00000002952,155
ENSDARG00000002956,28
ENSDARG00000002959,0
ENSDARG00000002967,138
ENSDARG00000002968,372
ENSDARG00000002970,187
ENSDARG00000002971,99
ENSDARG00000002986,90
ENSDARG00000002988,629
ENSDARG00000002991,119
ENSDARG00000002994,96
ENSDARG00000003008,203
ENSDARG00000003017,180
ENSDARG00000003020,49
