	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
ENSDARG00000000767	5.571741666	6.153655363	5.317798743	5.607831704	5.661525634	6.157686927	5.664814869	5.901942439	5.486715531	6.098772274	5.776698142	5.850695625	5.815178397	6.053221919	5.792263345
ENSDARG00000000796	11.24005074	9.657405497	9.853709415	11.06409957	9.611031224	9.96870797	10.83433212	9.684225384	9.623583237	10.93547416	9.747593476	9.87725077	11.23076386	10.41950185	10.29308753
ENSDARG00000000804	7.361023882	7.740851752	7.347392757	7.399661234	7.918456087	7.620515405	7.301993645	7.754566158	7.554023424	7.308417939	7.602915991	7.902164242	7.524174647	7.781283301	7.589900899
ENSDARG00000000830	7.857953371	7.780565886	7.644010615	7.868651393	7.597900379	7.649913143	7.901759275	7.740851752	7.9349446	8.014324007	7.84118328	7.888292118	7.927155617	7.958590121	8.105068067
ENSDARG00000000837	8.093033402	7.89041025	7.69079839	7.928586658	8.24518714	7.88017496	7.953054067	8.184756869	8.081324976	7.848063347	8.081324976	8.299054569	7.939425624	8.008677637	7.868824068
ENSDARG00000000853	11.03085034	10.96660709	10.65787217	11.0605603	11.0169834	10.84022581	11.11537774	10.87286466	10.71854431	11.16534697	10.85712963	10.78751502	11.0272877	10.70927648	10.73799754
ENSDARG00000000857	9.390495364	9.585380147	9.450368279	9.434158141	9.410166098	9.478919521	9.380881287	9.530347094	9.498984235	9.384147822	9.36024083	9.435904575	9.469486122	9.613701321	9.505950872
ENSDARG00000000861	11.14476845	10.98083984	11.13244713	11.0272877	11.13206631	11.16068821	11.02863277	11.0891829	11.27541603	11.04099832	11.04549028	11.17020511	11.10810485	11.10983687	11.20276227
ENSDARG00000000887	5.76259409	5.540629858	5.19628253	5.719726911	5.627723852	5.558039118	5.468208879	5.901942439	5.681232098	5.571741666	5.884887526	5.395757915	6.137222355	6.119979867	6.234862026
ENSDARG00000000906	6.631092823	6.307661711	5.979398236	6.634867315	6.649520902	6.707308121	6.496695627	6.23826785	6.593734739	6.464119498	6.078499328	6.725567584	6.721250226	6.053221919	6.395686785
ENSDARG00000000935	7.237300585	7.125970383	7.270875008	7.413433706	7.430609899	7.301993645	7.275121387	7.362231123	7.257628327	7.464374491	7.371519709	7.328435763	7.112349586	7.445209341	7.197497544
ENSDARG00000000943	8.449201329	8.509590588	8.402030886	8.423955554	8.448398195	8.54827523	8.426387972	8.58048743	8.513473485	8.559055793	8.529152484	8.625382544	8.505443432	8.713974953	8.435563377
ENSDARG00000000966	11.17910793	11.0434045	11.22443484	11.12633448	11.13457879	11.0887037	11.23930469	11.10553509	11.26129289	11.25545057	11.11078565	11.10360938	11.01913173	10.960395	11.14476845
ENSDARG00000001014	10.96690187	10.91847368	11.02898055	10.71827752	11.17863405	11.18293625	10.77826292	11.18546919	11.32685811	10.78585587	10.96177826	11.16333359	10.86655204	10.90740027	11.06518726
ENSDARG00000001015	9.820195592	9.644968513	9.909800183	9.847632535	9.767632153	9.759293098	9.934762823	9.7743804	9.983260847	9.775391128	9.742440796	9.973531414	9.778678946	9.80380126	9.906159382
ENSDARG00000001057	11.52457204	11.7264284	11.2160657	11.64558768	11.75692879	11.65123154	11.50613763	11.5895171	11.60120509	11.61203919	11.49949104	11.57972563	11.58653061	11.47614514	11.52349904
ENSDARG00000001127	8.75917247	8.227379547	9.211889835	8.306876415	8.378656711	8.468284777	8.796651328	8.697803994	8.313683428	8.670812744	8.865353638	8.474836773	8.285093183	8.168772506	8.577447418
ENSDARG00000001129	10.12872649	10.09996229	10.21332296	10.13725371	10.07498923	10.10553814	10.23286696	10.05103565	10.19798953	10.26248829	10.08746519	10.07626286	10.1525697	10.12769178	10.20281247
ENSDARG00000001154	8.461854382	8.489945967	8.633626751	8.62003878	8.509718657	8.563617538	8.875812546	8.528458439	8.642191875	8.877119986	8.549312982	8.741715253	8.667039798	8.494968227	8.472008623
ENSDARG00000001162	10.28126703	10.06476133	10.16175038	10.12944923	10.20410713	10.20465501	10.1144936	10.31616141	10.21189893	10.22977875	10.28981985	10.23846233	10.1449762	10.37609737	10.31873748
ENSDARG00000001169	6.65304303	7.083588019	6.636830233	6.473317054	6.793663929	6.740042793	6.747861063	7.050137195	6.939916895	6.915085551	6.702952567	6.585264387	6.567985285	6.545761278	6.917260142
ENSDARG00000001210	8.348584796	8.4298754	8.374702306	8.477486173	8.404385294	8.345688593	8.265836315	8.266080116	8.408409362	8.286969078	8.415699427	8.474836773	8.479578257	8.527426473	8.712682906
ENSDARG00000001220	11.26239605	11.09091607	11.28648047	11.15202049	11.11128463	11.123638	11.32254677	11.1147239	11.30764887	11.23930469	11.24574004	11.26184447	11.19882884	11.20125109	11.26655391
ENSDARG00000001234	7.827394683	7.361023882	7.722337553	7.854813459	7.459927164	7.983704724	7.800828815	7.778087222	7.889472348	7.837585074	7.808297778	8.010469883	7.989806237	7.650349332	7.820331227
ENSDARG00000001244	11.78742951	11.66922998	11.35990512	11.84525154	11.58535969	11.43624082	11.72089479	11.57460165	11.66067361	11.87209094	11.50381057	11.51287734	11.7264284	11.65543492	11.60120509
ENSDARG00000001249	6.678962021	6.939916895	6.463044853	6.758529502	6.622671096	6.567985285	6.321487449	6.772886281	6.681641926	6.669055934	6.711027257	6.515901914	6.659556964	6.861146689	6.678962021
ENSDARG00000001259	4.732498119	4.585466284	4.367701271	4.470170621	5.063133799	4.486655093	4.7536385	4.685186127	4.7447027	4.029905472	5.294813718	4.886331612	4.796632388	4.99074715	4.495404729
ENSDARG00000001313	7.162180234	7.075228001	7.320869208	7.182405437	7.563942818	7.598785259	6.949704601	7.28556925	7.600094029	6.705809701	7.545306865	7.746941843	7.378825599	7.83550801	8.034768729
ENSDARG00000001354	7.452222426	8.132754131	7.863627088	7.559666747	8.15570417	8.250284026	7.863627088	7.646289448	7.826798734	8.0710951	8.121290149	8.461986679	7.763376029	7.65525002	7.345459879
ENSDARG00000001414	6.37453897	6.886891045	6.375450633	6.986055731	6.85957965	6.814469082	6.513107263	6.365445568	6.885430611	6.431610334	6.758529502	6.637236057	6.9700573	6.5046541	6.758529502
ENSDARG00000001431	14.08892326	14.16880452	14.16880452	14.26883324	14.17728978	14.15820253	14.23705616	14.26883324	14.2245707	14.08892326	14.05004212	14.11121344	14.03503383	14.2785987	14.28860164
ENSDARG00000001437	9.31012281	9.490768462	9.850513249	9.662942635	9.629925075	9.768046092	9.437610167	9.577375635	9.333454602	9.468125922	9.451328159	9.746969947	9.372467086	9.106342285	9.18652682
ENSDARG00000001442	6.166539932	6.232232683	5.95167575	6.078499328	6.498833569	6.294048102	6.496695627	6.345715442	5.898873392	6.252790584	6.078499328	6.246811027	6.178051662	5.953977988	5.724870891
ENSDARG00000001447	7.777636731	8.121982362	8.292451614	7.996588282	8.337880096	8.180646555	7.996588282	8.051666847	8.059529609	7.960866698	8.070725887	8.131144118	7.979289871	8.090591411	8.034768729
ENSDARG00000001452	5.30674549	5.106283681	5.241535599	5.550543441	5.52916739	5.918501786	5.696797838	6.263442098	5.825823876	5.757120183	5.168401526	6.046994668	5.615391578	5.863082751	6.05185517
ENSDARG00000001463	8.99616903	8.900723202	9.735481979	8.864962866	8.690023128	9.004686716	9.12253372	8.827512333	8.774961231	9.428530476	9.30039688	9.033661992	8.782103386	8.862173077	8.987059267
ENSDARG00000001470	7.053491339	6.875995305	6.925740058	6.758529502	6.804975272	6.873565783	6.694803652	6.623657563	6.787924951	6.588965444	6.856511035	6.873565783	6.841615922	6.926100283	7.28556925
ENSDARG00000001498	4.732498119	3.790158414	4.685186127	4.600206127	3.725088519	3.725088519	4.449689416	4.303102075	4.440939781	3.543406234	3.949339726	4.517791627	4.218222477	4.203855408	4.825932088
ENSDARG00000001549	6.482556219	6.409447907	6.710610892	6.60508969	6.18975161	6.347867737	6.694803652	6.739332976	6.899856278	6.669055934	6.667344689	6.857535889	6.498833569	6.465194142	6.804975272
ENSDARG00000001557	8.293628626	8.148868053	8.355654496	8.502802285	8.03614143	8.369776463	8.302326224	8.243399225	8.193515538	8.255079674	8.131826295	8.378225737	8.529152484	8.653931296	8.703292851
ENSDARG00000001558	8.584534196	8.465579226	8.85484442	8.384817901	8.560531013	8.890043864	8.270696158	8.532686019	8.98987035	8.233357745	8.551941051	9.037805802	8.624365537	8.988463441	9.051779497
ENSDARG00000001559	7.982280388	7.644893643	8.292451614	7.779203858	7.547092084	7.540439603	8.291050339	7.666602754	7.899500755	8.087057754	8.143308133	7.776372207	7.363948924	7.776372207	7.763376029
ENSDARG00000001578	10.81045794	10.74608895	10.70127346	10.64308266	10.87611333	10.80632678	10.60671504	10.81980357	10.8706837	10.55708053	10.67121893	10.85741368	10.70759539	10.80951824	10.78224748
ENSDARG00000001621	8.045480679	7.740851752	7.608360007	7.967364723	7.903705417	7.830363764	7.901759275	7.646289448	7.965662721	7.942133227	7.786380892	7.868040542	7.746941843	8.042703112	7.746941843
ENSDARG00000001634	10.07873358	9.771865175	10.00375736	9.980608461	9.775599624	9.853333858	9.948021563	9.825858061	9.957141954	9.979328815	9.857855481	9.817104792	9.99885473	9.861362746	9.918960551
ENSDARG00000001676	9.883087189	9.758257553	10.18452779	9.787089052	9.863643847	9.870108672	9.945334306	9.825858061	9.982418714	9.935771557	9.997400824	9.82843957	9.841999887	9.924605696	9.916513844
ENSDARG00000001686	6.482556219	6.569934341	6.584189742	6.677281504	6.326416422	6.389352589	7.050494742	6.178051662	6.178051662	6.827825647	6.252790584	5.821294441	6.623657563	5.977994129	6.234862026
