gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000002197	Lin	-0.3621115908217	NA	10.0510388426039	NA	NA	0.270125539721854	7.16	0.452924966297412	9.99957532033333	FALSE	0.888093779509896	0.685717540678383	1.26018037642387	9.72944978061148	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000002968	Lin	-0.3909643008738	NA	8.37289071235386	NA	NA	0.266490860065888	6.75	0.681470547751545	8.49920118666667	FALSE	0.358550346322502	0.282388501729771	0.49101296734022	8.23271032660078	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000006447	Lin	-0.333336549647886	NA	5.23349144212159	NA	NA	0.314562198816568	11.72	0.824857387357206	5.28569210233333	FALSE	0.787077014552587	0.573471727660719	1.25630046839967	4.97112990351677	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000007988	Poly2	6.94713005480941	0.646944025087036	-0.327983593281796	NA	NA	0.264765586322725	7.35	0.278919032134997	6.98223169533333	FALSE	2.27965401081591	2.10829088220399	2.43080637361686	6.71746610901061	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000011573	Lin	-0.333195621813739	NA	7.63714441370501	NA	NA	0.433496774691864	21.35	0.905059250467841	7.679418434	FALSE	1.17415334487003	0.776213439442048	2.42114385204604	7.24592165930814	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000012694	Lin	-0.445526691422942	NA	11.6207848251707	NA	NA	0.393613551083456	18.45	0.717627722622924	11.4301243566667	FALSE	1.31142316099359	0.972342819425587	2.01679240073603	11.0365108055832	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000012829	Lin	-0.353169692894544	NA	10.5670506053984	NA	NA	0.371388310426148	16.71	0.993512718201738	10.58751169	FALSE	0.993650458891084	0.701917213238559	1.70234570444859	10.2161233795739	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000013856	Exp2	-0.0435920827470393	NA	NA	9.94757886676712	NA	0.42054717982271	20.44	0.976790480380679	9.97794346833333	FALSE	0.917915692384164	0.380182943127361	1.44332201628036	9.55739628851062	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000014031	Lin	-0.345635663145153	NA	11.7619102511923	NA	NA	0.327054037598356	12.89	0.933806857816299	11.7288230833333	FALSE	1.04196771603603	0.758626866728421	1.66582608125737	11.401769045735	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000017490	Exp2	-0.0606903606303099	NA	NA	8.72673084762028	NA	0.469412842278383	23.73	0.942212891048255	8.69748747933333	FALSE	0.96949139493323	0.471862176148204	1.45251886632817	8.22807463705495	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000018846	Poly2	8.57986131290254	0.415242743349403	-0.285528636416339	NA	NA	0.258175948791198	6.6	0.254483373919933	8.399744767	FALSE	2.16372805323309	1.99211114891334	2.31690326667434	8.1415688182088	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000021004	Lin	-0.406527616689401	NA	8.56932222300882	NA	NA	0.270022471076	7.14	0.374593464192941	8.429390242	FALSE	1.00842951737514	0.798572437907408	1.3680613347562	8.159367770924	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000021339	Exp2	-0.0337549001933963	NA	NA	11.2745938482345	NA	0.437736593894781	21.64	0.950655931801811	11.3919631033333	FALSE	0.853994464949275	0.220449947396223	1.47427215023245	10.9542265094386	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000021573	Lin	-0.492813164720196	NA	6.41498514545903	NA	NA	0.332307493407531	13.37	0.5004641165671	6.19131421366667	FALSE	1.12817282729627	0.890570316942255	1.53885473341522	5.85900672025914	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000024503	Exp2	-0.0838148439922663	NA	NA	5.23176972879764	NA	0.442172600081146	21.94	0.953133403108134	5.14152220066667	FALSE	1.28050688029293	0.702636076015673	1.83165120985316	4.69934960058552	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000025428	Exp4	196.219903775945	1.16637205907415	NA	7.69682949428646	NA	0.527864135804769	28.05	0.78096640181145	7.764875231	TRUE	0.00319111449828009	0.00159017056213923	0.00573738171865572	8.29273936680477	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000033594	Exp2	-0.0486048350494009	NA	NA	6.68278599523867	NA	0.285001298117183	8.76	0.167100785523909	6.96474674733333	FALSE	0.00936386421552946	NA	0.485959011183044	6.67974544921615	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000037533	Exp2	-0.0785918663159531	NA	NA	7.98703526817081	NA	0.596268599107568	30.91	0.999743355894179	7.95562055066667	FALSE	1.04142782977554	0.499997897879671	1.5607354196471	7.3593519515591	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000038009	Lin	-0.501520974534326	NA	5.23494129614972	NA	NA	0.449765002217391	22.45	0.781260174128515	5.24730068033333	FALSE	0.872158178103049	0.644148526874163	1.35221410214392	4.79753567811594	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000038666	Exp2	-0.0429381126162358	NA	NA	9.36929427734915	NA	0.409954966580127	19.67	0.892941935373361	9.26212220833333	FALSE	1.32226260210617	0.757217813009286	1.87391185743852	8.85216724175321	TRUE	TRUE	TRUE	TRUE	TRUE
