#NAME	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0	0	0
ENSDARG00000029795	31	0	33	0	6	9	17	23	2	4	5	8	49	12	4	10	0	0
ENSDARG00000029803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000029818	885	45	381	23	62	615	220	177	167	119	168	162	523	496	115	188	0	34
ENSDARG00000029822	8	12	25	7	45	67	34	35	18	33	9	34	57	58	14	32	0	4
ENSDARG00000029830	13	0	6	0	0	4	1	0	9	0	0	10	0	19	3	4	0	0
ENSDARG00000029832	25	28	4	0	2	2	2	9	2	5	6	7	8	0	0	18	0	0
ENSDARG00000029838	0	6	0	0	16	0	0	0	0	12	0	1	10	4	3	0	0	0
ENSDARG00000029841	36	1	10	0	3	4	32	15	17	15	1	6	9	3	9	0	0	0
ENSDARG00000029848	2	0	14	0	0	0	1	11	0	0	0	0	0	0	0	0	4	0
ENSDARG00000029856	89	27	67	0	14	47	49	61	34	67	15	49	66	102	37	40	0	5
ENSDARG00000029859	3	0	22	0	0	5	0	0	0	5	4	0	0	6	0	0	0	0
ENSDARG00000029865	120	6	93	4	33	56	104	38	28	34	18	132	94	64	22	68	0	1
ENSDARG00000029866	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ENSDARG00000029874	43	0	7	0	1	14	2	0	3	6	0	7	10	12	0	9	0	0
ENSDARG00000029881	23	23	0	1	20	3	21	0	5	5	1	0	30	2	21	4	0	0
ENSDARG00000029885	150	23	113	2	71	34	162	51	22	26	24	56	70	113	30	58	0	3
ENSDARG00000029890	0	0	2	0	5	6	0	0	5	12	0	3	0	2	2	11	0	0
ENSDARG00000029894	19	4	40	0	19	30	0	14	17	0	5	4	17	11	2	0	0	6
ENSDARG00000029898	68	10	8	0	2	8	51	4	8	4	0	28	22	44	1	14	0	2
ENSDARG00000029905	56	19	34	0	19	12	40	26	0	15	1	20	30	6	11	2	0	8
ENSDARG00000029907	0	0	0	0	0	4	0	0	6	1	0	0	0	0	5	0	0	0
ENSDARG00000029911	117	27	25	9	43	49	95	62	53	30	13	15	71	85	31	94	0	1
ENSDARG00000029928	39	8	45	0	4	24	26	20	5	17	16	3	36	14	10	8	0	1
ENSDARG00000029930	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ENSDARG00000029931	99	27	59	18	23	9	39	45	44	39	3	17	50	37	15	29	7	8
ENSDARG00000029936	57	8	18	0	14	5	34	9	12	1	12	48	94	46	6	4	0	0
ENSDARG00000029944	27	2	15	1	1	2	24	4	12	2	0	6	21	5	0	1	0	0
ENSDARG00000029952	129	45	104	12	31	120	127	131	60	30	28	57	212	154	37	59	0	47
ENSDARG00000029955	13	8	29	0	43	42	0	3	6	33	19	23	45	8	6	44	0	0
ENSDARG00000029993	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000029995	783	220	359	37	209	422	380	253	221	156	97	182	242	249	85	144	5	19
ENSDARG00000029997	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0
ENSDARG00000030006	128	22	30	7	16	38	62	9	28	25	5	31	21	37	1	1	0	0
ENSDARG00000030012	1087	199	167	2	77	170	215	88	142	113	54	101	439	267	247	57	0	5
ENSDARG00000030020	52	5	25	0	17	36	28	6	5	45	3	19	78	37	13	7	0	5
ENSDARG00000030022	143	53	124	12	24	33	81	136	37	39	37	51	138	133	60	90	0	7
ENSDARG00000030025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000030038	33	0	15	0	10	3	26	13	36	19	2	9	24	25	8	14	0	14
ENSDARG00000030053	1128	226	742	37	473	452	835	524	448	372	211	409	942	992	215	333	10	39
ENSDARG00000030058	35	5	13	0	14	2	10	3	29	0	2	3	26	0	0	7	0	0
ENSDARG00000030064	88	8	25	1	14	33	86	38	43	51	6	21	128	82	10	50	2	5
ENSDARG00000030078	10	0	1	0	4	0	3	0	1	3	4	0	10	34	0	33	0	0
ENSDARG00000030087	94	14	18	0	44	23	30	50	22	27	10	51	66	69	38	11	0	8
ENSDARG00000030092	47	1	34	2	8	6	27	5	23	9	2	10	17	5	14	16	0	0
ENSDARG00000030094	5	7	17	0	3	2	0	1	5	7	0	5	7	3	0	1	0	0
ENSDARG00000030095	10	3	8	0	6	13	1	0	0	0	0	2	1	8	2	0	0	0
ENSDARG00000030097	111	42	75	9	35	71	146	18	56	40	10	38	114	89	36	53	3	3
ENSDARG00000030104	32	3	19	0	31	25	24	24	10	23	7	24	27	28	34	21	0	1
ENSDARG00000030106	449	93	318	41	157	211	373	230	86	136	66	176	325	403	97	144	5	42
ENSDARG00000030107	814	291	348	81	357	494	554	193	620	231	136	214	645	875	146	278	3	270
ENSDARG00000030108	9	1	17	0	5	7	1	1	2	7	4	0	38	2	5	45	0	0
ENSDARG00000030110	64	14	29	0	15	4	29	12	6	7	10	26	55	34	16	13	0	1
ENSDARG00000030114	122	27	69	6	5	30	61	34	33	21	25	24	51	81	5	33	0	0
ENSDARG00000030116	218	88	209	0	86	122	137	42	85	78	33	61	316	128	56	81	11	56
ENSDARG00000030125	63	13	26	4	17	31	43	26	54	21	9	48	56	46	15	10	0	3
ENSDARG00000030129	41	3	4	0	9	20	41	20	7	26	28	10	54	42	5	3	0	0
ENSDARG00000030133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000030139	20	3	24	0	13	25	9	13	9	14	7	7	12	20	0	1	0	4
ENSDARG00000030153	109	13	35	1	7	71	105	57	38	38	27	57	74	103	69	49	2	28
ENSDARG00000030154	149	41	77	28	77	54	57	69	63	41	16	60	149	93	43	79	0	13
ENSDARG00000030155	120	75	86	24	13	56	112	75	87	23	22	76	86	165	41	48	0	7
ENSDARG00000030156	15	15	15	0	24	0	9	9	2	0	0	10	14	5	16	4	0	0
ENSDARG00000030157	117	5	66	12	7	23	61	23	20	30	5	32	30	19	5	8	0	3
ENSDARG00000030161	94	4	29	11	28	16	20	25	13	20	5	32	25	28	16	42	1	0
ENSDARG00000030163	2	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0
ENSDARG00000030166	52	3	4	0	27	10	4	20	9	10	8	14	39	56	0	9	0	3
ENSDARG00000030173	54	14	20	0	28	67	23	6	12	29	1	40	22	239	39	16	0	3
ENSDARG00000030176	75	11	56	2	20	35	46	102	31	22	38	9	55	61	23	11	0	2
ENSDARG00000030177	97	6	40	4	16	17	27	17	22	16	15	40	41	34	9	17	0	2
ENSDARG00000030213	30	44	26	8	1	7	58	11	23	19	29	21	84	29	9	2	0	0
ENSDARG00000030215	643	136	238	22	79	178	266	260	118	63	33	148	308	172	31	66	0	32
ENSDARG00000030224	203	81	188	10	78	122	171	103	63	67	31	115	143	149	63	60	8	5
ENSDARG00000030236	195	82	145	21	47	50	56	58	28	51	19	26	123	134	69	49	5	5
ENSDARG00000030237	115	47	96	10	34	53	142	80	61	50	13	67	189	80	54	58	0	11
ENSDARG00000030239	59	11	48	3	20	44	141	66	52	28	22	33	87	244	75	40	0	2
ENSDARG00000030241	82	40	69	1	44	45	71	29	15	19	8	26	71	67	9	28	0	2
ENSDARG00000030250	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0
ENSDARG00000030251	0	0	0	0	0	0	0	0	0	0	0	0	12	31	0	0	0	0
ENSDARG00000030254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000030262	2	0	4	0	2	0	0	0	15	0	0	6	10	0	0	0	0	0
ENSDARG00000030263	55	9	36	19	31	66	59	24	16	17	13	32	44	93	5	29	0	12
ENSDARG00000030265	430	128	183	33	112	141	420	135	110	107	52	94	229	290	119	137	1	20
ENSDARG00000030267	36	0	7	0	11	35	6	9	11	8	2	26	27	8	18	14	0	0
ENSDARG00000030269	0	0	12	0	0	0	3	0	4	1	0	6	7	0	0	0	0	0
ENSDARG00000030270	261	56	82	6	57	57	94	84	37	74	16	83	132	101	14	26	0	3
ENSDARG00000030278	439	50	260	5	99	174	346	121	141	108	104	138	283	350	76	90	2	25
ENSDARG00000030289	70	5	113	14	38	22	37	49	20	16	9	44	58	47	14	30	1	0
ENSDARG00000030297	236	76	153	4	37	74	188	62	71	45	12	62	125	121	7	66	0	24
ENSDARG00000030307	62	5	2	0	5	6	31	5	10	6	1	10	23	13	8	9	0	0
ENSDARG00000030311	24	0	2	0	0	2	0	0	0	5	0	3	7	11	0	3	0	0
ENSDARG00000030326	498	135	306	44	194	370	441	288	230	122	109	236	561	549	198	191	16	70
ENSDARG00000030335	14	0	31	0	9	27	20	1	2	2	0	6	26	84	1	21	0	0
ENSDARG00000030340	198	53	117	7	91	36	114	76	42	45	40	72	141	235	46	106	4	15
ENSDARG00000030347	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ENSDARG00000030349	2221	467	1223	59	477	773	1169	710	508	684	342	497	1691	1456	459	464	10	95
ENSDARG00000030350	5	0	0	0	0	23	3	1	12	0	10	0	14	1	0	0	0	0
ENSDARG00000030357	0	0	0	0	38	0	1	0	0	0	25	0	0	0	0	0	0	0
ENSDARG00000030364	21	1	5	0	8	4	25	25	14	8	4	13	64	23	0	20	0	7
ENSDARG00000030367	150	34	62	0	47	46	85	26	22	23	9	56	106	61	21	15	1	3
ENSDARG00000030368	423	52	185	7	96	141	321	106	157	112	30	99	254	247	31	59	1	5
ENSDARG00000030376	334	49	203	19	71	155	210	142	123	71	66	84	286	423	86	161	0	19
ENSDARG00000030394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000030402	19	1	25	0	7	10	12	4	4	0	0	16	13	16	4	10	0	12
ENSDARG00000030408	399	47	211	10	136	273	493	255	156	86	88	132	312	86	62	128	0	21
ENSDARG00000030411	2983	749	1293	117	605	1008	1870	1229	697	787	503	741	2029	2028	511	706	27	129
ENSDARG00000030417	510	166	387	64	210	231	357	310	134	150	72	139	293	401	131	232	0	18
ENSDARG00000030440	611	183	329	30	255	242	448	267	305	221	91	230	695	634	178	191	7	86
ENSDARG00000030441	143	34	38	16	66	31	63	47	24	75	10	46	80	47	21	40	0	0
ENSDARG00000030448	42	17	33	3	32	36	36	1	4	24	8	13	60	74	13	26	0	0
ENSDARG00000030449	129	27	49	0	5	36	32	10	21	21	7	32	46	47	6	17	0	0
ENSDARG00000030463	9	7	26	0	16	28	6	16	3	2	15	26	30	16	23	11	0	6
ENSDARG00000030465	44	11	40	0	14	15	13	13	4	4	0	27	14	9	0	1	0	0
ENSDARG00000030472	25	0	15	0	3	0	12	7	2	0	0	4	41	33	0	7	0	0
ENSDARG00000030478	78	7	9	1	16	22	22	1	2	74	0	19	96	33	14	0	0	0
ENSDARG00000030479	200	67	155	14	41	56	159	160	103	70	40	61	177	135	23	38	0	12
ENSDARG00000030490	804	126	330	67	284	316	431	300	248	253	152	219	496	298	156	181	2	61
ENSDARG00000030494	0	1	1	4	0	15	11	0	2	0	0	7	14	8	5	4	0	0
ENSDARG00000030508	31	0	11	0	7	10	0	5	0	2	0	0	0	8	15	0	0	0
ENSDARG00000030512	12	18	9	0	9	9	6	15	29	9	2	11	21	42	23	28	0	0
ENSDARG00000030514	124	15	25	1	17	101	99	31	24	31	17	32	274	101	18	31	0	0
ENSDARG00000030530	69	19	58	12	60	71	65	35	20	15	12	23	95	61	9	37	0	10
ENSDARG00000030532	339	58	138	34	81	66	176	107	114	126	42	95	303	175	48	130	1	6
ENSDARG00000030537	125	31	29	11	28	40	41	33	17	13	0	77	62	27	7	0	0	0
ENSDARG00000030547	133	31	71	5	36	41	70	67	28	63	22	37	98	88	15	40	0	7
ENSDARG00000030560	563	85	192	3	121	264	311	208	131	205	119	235	585	415	59	132	15	22
ENSDARG00000030563	49	6	6	2	5	12	30	17	1	0	0	25	19	39	4	1	0	0
ENSDARG00000030573	4	5	1	0	2	1	1	0	2	7	0	0	12	0	0	0	0	0
ENSDARG00000030583	172	49	71	12	73	63	147	56	24	66	41	33	101	213	15	62	0	0
ENSDARG00000030588	33	0	0	1	0	0	1	25	9	0	6	10	9	0	0	0	0	0
ENSDARG00000030591	22	8	13	0	15	5	7	10	11	5	0	3	2	21	7	4	0	2
ENSDARG00000030598	208	12	98	25	69	109	189	30	87	53	21	94	161	125	19	50	1	2
ENSDARG00000030602	639	272	489	131	163	442	651	432	309	270	119	222	534	495	69	190	3	70
ENSDARG00000030604	139	34	69	1	19	68	65	12	23	25	7	27	128	113	32	39	4	16
ENSDARG00000030608	12	5	9	0	4	3	32	0	0	9	2	5	21	3	0	2	0	0
ENSDARG00000030614	1608	342	905	69	493	753	1075	574	575	449	236	619	1647	1687	465	617	10	123
ENSDARG00000030616	0	0	35	10	6	10	88	13	0	49	0	0	32	58	9	33	6	0
ENSDARG00000030621	122	37	56	1	20	43	53	45	35	0	0	31	91	79	23	49	0	13
ENSDARG00000030626	34	15	38	0	7	26	26	29	12	8	13	18	68	39	13	12	0	0
ENSDARG00000030630	16	0	12	1	0	0	20	0	10	0	0	4	0	10	0	1	0	0
ENSDARG00000030632	83	15	72	16	49	50	70	58	47	42	12	74	69	72	35	30	1	21
ENSDARG00000030633	32	12	15	0	5	32	32	19	10	12	8	40	35	43	26	36	0	0
ENSDARG00000030634	0	3	0	0	0	0	1	0	0	0	0	0	0	0	22	3	0	3
ENSDARG00000030636	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSDARG00000030641	3	1	1	0	0	0	9	26	0	0	0	0	6	0	0	5	0	0
ENSDARG00000030644	112	18	60	19	56	66	73	33	35	15	24	32	84	66	23	37	0	21
ENSDARG00000030650	1	0	0	0	8	0	14	2	0	0	0	0	7	0	0	8	0	0
ENSDARG00000030656	414	92	186	17	170	182	322	147	206	70	30	104	269	233	45	87	2	43
ENSDARG00000030665	182	21	116	5	52	73	65	51	57	38	28	37	193	150	18	46	0	21
ENSDARG00000030687	419	63	172	18	95	144	173	86	129	84	44	89	255	254	78	97	0	6
ENSDARG00000030694	322	75	219	8	102	172	259	159	92	117	45	143	307	307	67	57	2	3
ENSDARG00000030700	116	5	69	11	10	75	58	17	48	20	2	22	43	85	22	41	0	6
ENSDARG00000030703	3	1	0	0	7	7	5	9	5	0	4	20	0	7	0	3	1	0
ENSDARG00000030716	163	93	88	11	57	78	73	75	54	87	21	42	120	117	22	73	0	9
ENSDARG00000030722	366	119	291	14	89	199	265	71	143	130	52	129	264	193	120	120	2	29
ENSDARG00000030723	58	7	29	6	27	22	35	21	16	25	4	29	70	35	31	30	0	0
ENSDARG00000030733	16	8	35	5	30	26	54	48	41	22	14	16	60	85	24	53	0	19
ENSDARG00000030743	64	37	93	4	15	32	34	11	35	48	25	56	98	62	4	8	2	18
ENSDARG00000030750	33	4	31	0	1	4	1	0	1	1	0	6	2	13	6	8	0	0
ENSDARG00000030753	44	12	22	0	6	10	28	19	2	21	3	5	28	39	9	15	0	0
ENSDARG00000030756	346	64	165	8	109	138	174	81	62	142	47	134	234	195	72	79	0	17
ENSDARG00000030758	241	11	103	23	39	87	79	39	54	37	24	23	58	163	40	68	0	2
ENSDARG00000030759	61	25	30	4	2	1	35	10	9	7	7	21	10	50	3	4	0	0
ENSDARG00000030761	3	0	6	7	0	7	31	10	8	3	4	5	34	12	2	1	0	0
ENSDARG00000030765	183	8	89	7	31	50	117	94	30	82	7	73	70	35	23	27	1	2
ENSDARG00000030775	95	24	26	1	13	26	24	39	19	44	12	3	249	56	2	12	0	8
ENSDARG00000030778	2	0	0	0	8	0	2	0	5	1	0	1	0	0	0	0	0	0
ENSDARG00000030781	107	10	136	3	121	93	58	77	51	47	27	46	67	92	39	63	0	19
ENSDARG00000030782	24	0	87	3	34	15	9	28	41	30	0	0	8	23	3	2	0	0
ENSDARG00000030786	36	18	3	0	10	7	53	3	28	2	5	13	28	26	11	6	0	0
ENSDARG00000030789	214	39	116	12	41	92	99	158	84	69	22	69	118	87	14	38	0	5
ENSDARG00000030803	29	30	39	8	3	23	36	34	0	17	3	10	68	23	21	17	1	0
ENSDARG00000030804	3	3	14	0	2	13	26	22	15	0	1	7	27	46	14	33	0	0
ENSDARG00000030805	29	0	22	0	5	0	14	11	9	0	2	7	45	0	1	0	0	0
ENSDARG00000030824	265	6	104	6	33	5	25	54	93	24	7	14	63	269	6	30	0	157
ENSDARG00000030830	245	14	157	1	123	107	79	151	23	126	37	22	443	282	10	26	38	3
ENSDARG00000030832	299	48	810	20	72	117	171	712	143	100	74	40	701	455	240	108	9	22
ENSDARG00000030839	13	0	8	3	25	7	10	12	2	0	5	5	20	19	1	0	0	0
ENSDARG00000030844	73	1	15	5	39	34	56	31	20	18	6	0	67	30	4	31	0	0
ENSDARG00000030867	3	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0
ENSDARG00000030871	51	14	70	11	32	36	62	1	40	42	19	27	108	33	15	18	0	0
ENSDARG00000030872	0	0	0	1	1	1	11	6	0	6	0	4	8	0	5	3	0	0
ENSDARG00000030881	3	0	0	0	3	1	9	6	0	0	0	9	0	0	0	8	0	0
ENSDARG00000030887	67	15	24	0	16	32	35	7	21	13	15	14	11	48	3	56	0	2
ENSDARG00000030896	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000030905	85	14	32	6	14	18	11	3	8	9	17	68	73	57	2	40	0	1
ENSDARG00000030913	792	506	781	74	157	713	537	237	194	270	105	432	468	361	54	88	1	18
ENSDARG00000030914	0	0	15	3	1	20	14	13	0	0	0	2	6	4	6	4	0	0
ENSDARG00000030915	37	7	12	10	106	64	67	43	75	17	22	334	97	87	6	40	0	13
ENSDARG00000030932	45	6	5	0	2	12	3	0	3	0	0	5	1	9	0	0	0	1
ENSDARG00000030933	198	45	160	12	88	83	118	97	72	76	36	47	147	135	44	75	3	0
ENSDARG00000030938	0	12	0	0	0	0	0	0	0	4	0	4	7	2	0	0	1	0
ENSDARG00000030945	245	74	89	23	106	167	175	193	24	133	85	113	356	266	117	88	0	8
ENSDARG00000030949	48	5	47	0	19	8	28	26	14	15	14	7	26	49	5	11	0	0
ENSDARG00000030954	7	0	0	0	0	0	0	0	16	0	0	10	13	4	0	1	0	0
ENSDARG00000030957	66	3	48	1	6	21	46	21	15	16	15	11	50	19	22	36	0	2
ENSDARG00000030961	19	2	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0
ENSDARG00000030964	54	1	8	4	16	0	12	0	7	3	17	11	13	18	0	0	9	12
ENSDARG00000030967	40	2	20	0	8	40	25	11	1	24	13	4	13	48	21	1	0	2
ENSDARG00000030972	77	46	49	0	19	45	61	154	15	53	63	57	54	136	3	47	0	2
ENSDARG00000030975	152	14	47	0	38	22	75	30	24	27	5	48	64	57	10	55	5	11
ENSDARG00000030980	12	0	2	0	0	0	1	8	0	1	6	6	0	1	0	0	0	0
ENSDARG00000030981	62	27	12	13	8	9	64	26	6	17	4	53	81	69	12	28	0	0
ENSDARG00000030999	18	30	9	2	3	2	23	7	15	24	10	11	28	44	9	7	0	0
ENSDARG00000031015	91	25	83	15	32	53	53	39	78	18	12	30	83	93	7	57	0	7
ENSDARG00000031020	157	29	113	3	62	23	115	46	32	67	49	42	170	123	52	48	0	16
ENSDARG00000031044	148	17	119	1	39	47	94	75	41	113	9	46	144	153	9	31	0	11
ENSDARG00000031046	9	0	0	0	32	2	6	9	0	1	1	0	0	0	0	0	0	0
ENSDARG00000031048	197	34	174	16	46	126	157	39	21	69	30	44	132	123	0	58	0	13
ENSDARG00000031049	64	23	53	6	26	28	62	63	63	24	10	38	58	68	44	79	0	5
ENSDARG00000031075	73	11	44	3	30	63	79	38	68	49	19	46	72	108	15	13	0	9
ENSDARG00000031095	83	0	43	0	0	38	28	36	36	25	0	7	87	69	0	0	0	0
ENSDARG00000031098	26	27	23	0	19	4	34	4	8	12	15	2	43	10	2	14	0	4
ENSDARG00000031100	336	43	401	11	236	254	303	302	110	238	38	204	380	507	236	166	0	68
ENSDARG00000031108	585	190	637	11	133	653	443	245	295	343	112	230	610	629	164	219	0	18
ENSDARG00000031116	31	1	15	0	2	7	10	10	3	2	0	0	4	5	0	4	0	0
ENSDARG00000031119	63	18	31	0	14	13	8	35	4	19	15	26	48	32	16	9	0	10
ENSDARG00000031126	57	10	41	0	26	24	52	0	18	12	0	19	43	26	6	8	0	0
ENSDARG00000031136	24	1	5	0	9	1	6	3	0	3	0	3	6	13	0	1	0	5
ENSDARG00000031138	36	0	23	0	7	33	12	18	1	2	3	9	7	6	0	15	0	24
ENSDARG00000031150	11	10	15	0	8	1	6	10	1	3	0	9	6	21	4	0	0	0
ENSDARG00000031161	15	0	4	0	12	0	3	0	0	0	0	5	15	13	6	0	0	0
ENSDARG00000031164	173	50	148	18	107	40	159	69	69	74	19	68	72	123	42	50	0	2
ENSDARG00000031198	29	2	27	0	6	24	7	20	10	3	8	3	45	17	0	17	0	0
ENSDARG00000031200	389	14	57	24	77	29	213	30	39	130	9	64	127	209	23	99	0	5
ENSDARG00000031202	0	7	7	0	0	11	1	0	22	0	3	0	0	68	0	1	0	1
ENSDARG00000031203	5	3	0	0	0	0	6	5	3	1	3	6	14	3	3	1	0	0
ENSDARG00000031214	102	18	201	2	61	54	57	47	64	62	40	71	106	75	55	106	0	25
ENSDARG00000031216	55	16	28	0	12	33	35	23	3	13	1	2	54	11	22	1	0	0
ENSDARG00000031222	286	171	73	4	166	184	293	109	88	84	43	86	254	203	56	101	18	22
ENSDARG00000031228	154	56	163	7	51	52	166	49	45	77	7	63	95	236	34	86	0	8
ENSDARG00000031240	324	47	269	27	113	239	306	90	120	105	56	128	372	1016	104	264	9	24
ENSDARG00000031243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031246	9	2	0	0	2	6	2	1	5	0	0	15	12	10	7	17	0	0
ENSDARG00000031248	4	1	0	0	0	20	2	8	0	0	0	0	7	0	5	6	0	6
ENSDARG00000031261	173	49	84	0	48	41	110	52	53	30	17	97	115	83	26	27	0	2
ENSDARG00000031269	151	8	124	17	16	32	84	10	49	64	3	62	105	151	63	56	0	1
ENSDARG00000031278	1	0	0	0	1	0	24	0	0	0	0	0	3	0	9	0	0	0
ENSDARG00000031283	151	42	96	25	58	82	124	49	51	44	41	46	130	94	22	60	2	10
ENSDARG00000031293	45	0	36	1	4	28	14	20	22	38	5	15	33	68	12	38	0	0
ENSDARG00000031299	37	15	26	0	22	52	49	32	23	16	17	28	45	21	11	5	0	0
ENSDARG00000031302	169	41	112	18	50	52	84	31	42	68	13	81	133	107	62	39	0	6
ENSDARG00000031307	27	13	15	4	13	22	21	31	12	5	10	9	52	68	4	8	0	0
ENSDARG00000031316	88	12	61	0	17	36	22	14	22	21	3	27	43	83	22	39	0	10
ENSDARG00000031317	224	16	70	2	59	117	156	44	24	72	16	58	166	186	26	62	6	8
ENSDARG00000031325	3	0	0	0	1	2	0	0	2	0	0	3	4	5	9	0	0	0
ENSDARG00000031336	94	7	26	10	24	29	19	16	5	1	7	8	22	50	7	4	0	0
ENSDARG00000031337	37	36	14	1	11	26	30	12	13	15	9	10	57	60	8	5	0	5
ENSDARG00000031343	237	20	111	6	49	65	153	71	53	85	41	93	171	123	53	78	0	5
ENSDARG00000031345	164	49	62	1	15	38	79	59	53	81	10	53	188	131	26	44	0	0
ENSDARG00000031346	53	14	18	0	28	23	25	10	2	6	7	24	47	44	7	5	2	1
ENSDARG00000031348	41	10	5	2	8	52	19	14	14	38	23	19	40	18	4	11	0	0
ENSDARG00000031359	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031366	12	36	42	0	19	10	24	11	12	12	0	45	16	63	4	10	0	0
ENSDARG00000031372	55	4	47	0	11	40	49	42	41	10	2	22	109	101	7	46	0	11
ENSDARG00000031382	113	35	82	3	57	57	39	69	56	12	13	46	80	95	42	50	0	4
ENSDARG00000031383	0	0	0	0	1	2	1	0	0	11	0	17	4	6	6	0	0	0
ENSDARG00000031387	21	6	39	0	6	8	21	31	9	5	7	16	9	49	5	14	0	0
ENSDARG00000031388	72	16	58	11	3	36	117	23	42	36	32	25	60	69	26	33	0	0
ENSDARG00000031420	9	9	7	0	14	3	5	0	5	2	3	4	8	39	0	1	1	0
ENSDARG00000031422	44	23	52	0	7	59	14	9	13	8	8	14	45	28	0	11	4	0
ENSDARG00000031426	8	4	15	2	2	0	12	14	2	5	14	15	4	3	7	6	0	0
ENSDARG00000031427	223	27	99	3	45	97	78	49	72	64	59	79	151	77	77	71	0	1
ENSDARG00000031434	140	15	42	0	30	27	64	21	36	46	6	31	43	37	21	22	0	5
ENSDARG00000031435	563	148	419	13	264	257	420	375	248	300	130	205	473	360	72	119	1	9
ENSDARG00000031438	44	12	16	0	13	26	29	28	22	162	5	32	12	36	16	31	0	3
ENSDARG00000031463	22	5	4	2	28	7	10	10	14	2	0	3	2	124	11	6	0	0
ENSDARG00000031483	645	126	456	42	167	348	500	377	173	260	123	251	529	349	117	247	2	22
ENSDARG00000031489	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031494	1665	320	889	129	351	648	1052	549	639	411	314	465	1128	1246	274	488	2	91
ENSDARG00000031495	573	72	188	46	110	165	275	241	106	217	57	114	441	273	122	74	0	22
ENSDARG00000031496	175	30	54	0	40	78	50	60	56	43	21	70	79	75	17	41	1	0
ENSDARG00000031506	19	12	6	0	8	10	25	10	0	5	0	4	8	37	10	7	0	9
ENSDARG00000031511	157	19	64	0	41	54	100	61	68	25	36	58	111	103	31	40	0	14
ENSDARG00000031533	0	15	15	4	12	0	14	8	0	7	0	18	0	16	2	0	0	0
ENSDARG00000031534	3	5	9	0	0	21	6	4	2	10	0	0	22	1	0	3	0	0
ENSDARG00000031540	64	3	25	0	3	18	24	9	5	13	5	7	44	38	15	32	0	0
ENSDARG00000031548	202	53	135	5	47	74	142	101	72	61	55	71	188	153	57	96	0	0
ENSDARG00000031560	172	19	84	0	17	29	128	45	45	40	29	28	52	51	22	80	0	6
ENSDARG00000031562	15	53	27	4	12	9	36	31	16	26	20	17	13	39	8	22	0	0
ENSDARG00000031587	57	14	15	0	6	26	41	44	18	5	0	55	26	31	13	1	3	0
ENSDARG00000031588	204	85	226	11	9	203	56	46	44	77	37	192	71	40	16	34	5	8
ENSDARG00000031598	31	10	13	13	2	1	24	21	2	29	0	1	19	16	8	21	0	0
ENSDARG00000031600	5	8	0	0	3	0	0	0	0	5	1	3	9	29	0	37	0	0
ENSDARG00000031616	0	0	5	0	8	1	11	3	0	5	3	1	9	1	0	1	0	1
ENSDARG00000031618	56	25	47	2	48	53	63	24	24	52	15	28	115	49	21	32	0	0
ENSDARG00000031632	33	1	33	6	51	6	75	7	27	20	15	34	42	38	2	9	0	0
ENSDARG00000031637	233	70	72	5	59	125	56	82	63	32	30	25	207	118	28	82	0	0
ENSDARG00000031647	214	32	84	8	102	32	82	64	86	63	10	114	159	110	51	87	0	0
ENSDARG00000031649	19	12	12	0	6	0	20	0	18	13	8	12	32	16	4	3	0	0
ENSDARG00000031657	12	13	11	0	0	2	15	0	0	3	2	13	8	0	0	0	0	0
ENSDARG00000031658	1230	14	32	19	523	336	365	53	43	140	15	217	157	857	143	15	0	12
ENSDARG00000031664	16	0	11	0	0	0	19	9	15	15	0	0	3	1	0	13	0	0
ENSDARG00000031678	823	287	628	35	287	372	711	350	337	256	139	326	555	426	148	226	0	25
ENSDARG00000031680	24	4	14	0	4	15	10	17	4	5	0	18	20	28	5	11	0	0
