#NAME	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0	0	0
ENSDARG00000000503	2983	595	1448	91	452	865	1382	933	809	811	289	860	1786	2124	710	944	29	106
ENSDARG00000000516	2	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000529	84	6	35	4	12	38	19	15	24	39	33	14	91	54	45	20	0	9
ENSDARG00000000540	165	20	156	28	59	58	104	46	52	57	23	28	142	128	21	70	14	2
ENSDARG00000000542	9	6	47	0	4	32	7	29	45	5	0	4	54	28	1	3	0	2
ENSDARG00000000551	136	5	48	3	6	46	117	49	31	162	6	30	40	16	36	28	10	11
ENSDARG00000000563	130920	30107	72103	5507	39478	56543	85827	49215	38013	41937	18476	43628	74384	60821	21928	39845	568	5200
ENSDARG00000000567	95	22	87	3	38	95	89	63	33	48	19	151	139	143	6	58	8	28
ENSDARG00000000568	135	19	45	0	26	68	53	20	18	29	38	93	120	113	21	41	0	12
ENSDARG00000000588	16	2	1	0	12	8	10	10	21	0	0	0	10	3	4	0	0	0
ENSDARG00000000606	16	245	10	2	12	20	3	35	0	0	13	7	0	38	24	0	3	6
ENSDARG00000000631	485	45	173	25	58	247	127	52	73	170	22	33	191	87	231	77	9	344
ENSDARG00000000638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000651	7	0	22	0	0	0	10	0	4	11	0	0	6	0	8	1	0	1
ENSDARG00000000656	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARG00000000666	61	17	46	3	22	53	73	39	26	41	25	46	106	39	11	34	0	0
ENSDARG00000000690	36	2	29	1	4	0	8	14	2	0	6	6	5	25	4	3	0	3
ENSDARG00000000729	314	66	75	4	42	80	99	76	29	106	38	73	148	159	45	46	5	6
ENSDARG00000000730	32	0	38	0	6	23	31	4	1	3	6	15	45	25	0	10	0	8
ENSDARG00000000747	7	0	0	0	2	5	13	0	0	0	0	2	0	4	0	0	0	0
ENSDARG00000000760	37	3	14	2	5	28	18	69	12	18	18	4	39	63	6	32	0	0
ENSDARG00000000767	8	36	13	0	3	9	3	3	0	0	11	4	25	32	0	4	0	0
ENSDARG00000000779	264	75	205	17	88	162	199	82	110	70	47	93	210	231	37	114	2	11
ENSDARG00000000796	55	11	12	0	0	20	47	17	13	18	0	6	45	0	0	1	0	0
ENSDARG00000000804	12	11	7	9	14	0	3	7	0	12	4	9	2	17	0	1	0	0
ENSDARG00000000830	5	13	46	0	0	0	14	0	7	18	0	0	6	6	10	0	0	0
ENSDARG00000000837	206	29	61	11	120	163	164	28	42	26	70	49	96	161	64	50	0	1
ENSDARG00000000853	292	43	30	5	23	69	134	90	45	33	40	33	76	201	18	35	0	13
ENSDARG00000000857	24	10	9	0	7	23	23	15	22	29	4	9	91	48	0	13	0	0
ENSDARG00000000861	516	571	320	36	291	252	476	413	235	94	147	160	1213	609	334	370	1	57
ENSDARG00000000887	16	10	3	0	0	0	8	0	8	1	0	1	6	0	0	5	0	0
ENSDARG00000000906	12	0	0	0	7	4	1	0	0	0	0	0	27	13	0	0	0	0
ENSDARG00000000935	25	1	33	0	9	158	85	11	30	9	13	15	56	28	21	7	0	2
ENSDARG00000000943	138	0	78	10	44	100	121	32	35	40	0	77	122	129	28	10	0	0
ENSDARG00000000966	2127	338	1238	81	477	790	1239	683	642	638	234	1288	1694	1624	393	668	8	108
ENSDARG00000001014	1399	408	666	38	306	473	871	526	425	394	218	429	678	690	161	365	25	40
ENSDARG00000001015	272	79	170	10	36	45	230	89	265	110	29	82	494	391	51	180	1	9
ENSDARG00000001057	62	29	66	12	45	64	112	26	38	49	37	77	145	71	7	26	0	0
ENSDARG00000001127	227	75	124	1	72	130	172	119	100	46	46	139	256	281	71	80	0	40
ENSDARG00000001129	771	170	443	6	199	289	405	315	219	185	90	262	518	334	130	161	0	14
ENSDARG00000001154	111	33	91	21	160	73	180	112	84	116	66	46	206	259	109	60	0	34
ENSDARG00000001162	292	45	193	8	50	147	161	188	94	107	74	101	289	307	193	107	0	42
ENSDARG00000001169	2	0	3	0	2	0	4	0	9	13	2	0	0	0	0	0	0	0
ENSDARG00000001210	42	10	23	4	4	49	8	6	31	3	0	10	35	42	0	20	0	0
ENSDARG00000001220	889	231	544	30	416	352	612	351	363	275	172	290	977	885	221	403	0	0
ENSDARG00000001234	117	13	124	17	85	124	97	64	32	15	7	125	147	110	25	38	2	12
ENSDARG00000001241	246	85	171	8	88	97	231	85	98	100	39	94	228	280	44	71	0	44
ENSDARG00000001244	1209	284	708	28	558	436	717	256	266	240	215	379	1002	776	374	321	11	45
ENSDARG00000001249	22	10	0	0	0	11	6	7	14	0	9	11	12	20	11	0	0	0
ENSDARG00000001259	24	0	4	0	0	20	5	0	0	10	1	3	2	6	0	0	0	0
ENSDARG00000001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	32	1	14	3	25	9	30	7	13	10	4	16	69	59	1	26	0	18
ENSDARG00000001354	25	11	1	0	0	20	11	7	0	0	0	0	5	17	0	6	0	0
ENSDARG00000001414	59	0	12	0	6	0	18	20	9	15	2	11	8	16	0	0	0	2
ENSDARG00000001431	2990	638	1324	110	918	1209	2256	1095	922	1036	806	1037	1699	1429	460	799	10	160
ENSDARG00000001437	178	44	87	1	46	73	59	52	30	23	29	0	57	77	8	44	4	26
ENSDARG00000001442	26	17	21	0	22	37	22	0	3	10	4	33	43	81	35	30	0	0
ENSDARG00000001447	75	14	31	2	19	17	46	28	23	15	6	29	68	73	10	44	0	1
ENSDARG00000001452	7	1	6	0	3	8	25	3	11	5	0	22	0	11	0	0	0	0
ENSDARG00000001463	117	21	124	10	31	102	95	56	71	75	47	35	241	296	44	70	2	34
ENSDARG00000001470	70	32	130	12	47	83	67	71	66	18	22	44	60	63	3	22	2	3
ENSDARG00000001498	28	0	0	0	19	0	0	0	0	3	0	5	0	1	0	0	0	0
ENSDARG00000001549	379	32	107	13	36	91	167	83	81	72	36	50	127	204	24	73	1	10
ENSDARG00000001557	21	7	32	7	2	12	4	24	13	30	10	15	39	28	0	9	0	0
ENSDARG00000001558	53	25	34	17	26	53	67	20	45	24	11	16	94	36	4	16	0	33
ENSDARG00000001559	327	732	1017	14	141	471	530	320	101	442	161	103	765	624	127	167	18	67
ENSDARG00000001572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001578	119	9	88	11	26	59	71	49	25	31	13	43	30	38	14	45	0	6
ENSDARG00000001621	47	11	70	3	2	28	33	12	9	0	7	38	30	47	1	3	0	0
ENSDARG00000001634	323	64	213	5	50	178	260	92	114	111	114	194	302	353	84	131	0	4
ENSDARG00000001656	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSDARG00000001676	379	90	161	17	93	129	263	110	86	128	42	98	284	181	51	81	1	16
ENSDARG00000001686	9	0	21	0	0	0	9	5	11	0	4	4	39	18	7	4	0	0
ENSDARG00000001710	302	70	239	14	137	131	235	126	112	59	49	155	323	277	51	83	2	31
ENSDARG00000001712	3	0	33	0	0	3	5	0	6	4	0	5	3	11	0	76	0	2
ENSDARG00000001721	0	3	32	0	0	0	0	0	0	0	0	0	6	15	3	0	0	0
ENSDARG00000001729	563	90	261	13	155	263	258	222	138	151	109	160	355	347	122	145	0	25
ENSDARG00000001733	61	5	17	0	41	15	53	23	30	28	5	16	46	64	13	79	0	0
ENSDARG00000001734	28	2	21	0	11	5	53	40	24	11	2	31	37	70	0	7	0	3
ENSDARG00000001754	149	31	134	4	69	33	108	42	30	72	57	0	71	145	10	7	1	0
ENSDARG00000001760	177	34	142	19	49	60	126	89	74	59	20	25	163	74	15	31	0	7
ENSDARG00000001767	15	0	8	1	0	0	13	20	16	7	0	7	5	5	11	2	0	0
ENSDARG00000001769	234	39	84	0	16	95	100	36	25	82	49	61	144	102	23	73	2	0
ENSDARG00000001771	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSDARG00000001776	67	5	42	1	10	24	18	12	24	7	3	4	22	33	1	13	0	0
ENSDARG00000001777	215	24	100	7	84	125	175	92	80	82	28	113	216	124	21	65	0	21
ENSDARG00000001781	3	2	0	0	0	3	20	7	0	0	0	0	4	28	0	0	0	0
ENSDARG00000001782	5	5	1	0	0	20	8	0	3	2	0	4	4	3	1	13	0	1
ENSDARG00000001785	80	37	57	4	41	27	37	30	24	29	13	34	59	70	30	20	0	0
ENSDARG00000001788	287	73	195	33	85	126	252	134	115	154	25	121	181	231	55	52	0	22
ENSDARG00000001803	20	14	13	0	17	46	22	4	10	9	2	14	49	38	6	34	0	3
ENSDARG00000001804	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSDARG00000001807	90	42	58	13	39	40	88	46	52	17	42	35	78	58	15	38	0	15
ENSDARG00000001817	98	1	11	0	17	35	9	5	23	9	1	40	37	45	0	2	0	7
ENSDARG00000001818	220	32	137	0	129	76	112	112	87	186	51	42	189	101	45	72	0	34
ENSDARG00000001825	26	0	6	0	2	0	5	3	2	3	2	0	7	1	6	0	0	0
ENSDARG00000001829	573	93	321	11	124	256	383	133	187	130	95	138	613	674	242	206	5	20
ENSDARG00000001835	119	18	95	18	26	96	79	73	137	159	15	332	157	410	102	127	0	11
ENSDARG00000001857	1178	66	385	25	135	701	1071	168	499	427	99	202	853	420	281	301	13	21
ENSDARG00000001859	2	0	16	0	0	6	0	2	2	0	0	15	6	13	0	0	0	0
ENSDARG00000001870	1278	476	796	71	1003	955	1139	764	596	863	233	645	1266	1021	216	632	10	115
ENSDARG00000001873	75	10	34	0	10	4	44	25	24	18	4	28	49	35	23	6	0	5
ENSDARG00000001879	239	43	125	4	92	100	177	104	79	49	18	77	211	133	13	73	2	2
ENSDARG00000001880	128	11	36	9	8	26	32	133	46	11	9	19	44	38	8	2	0	1
ENSDARG00000001881	63	71	50	0	12	20	42	7	11	20	9	22	94	61	0	28	0	0
ENSDARG00000001882	33	9	31	16	15	11	47	21	77	45	23	15	96	98	11	15	0	7
ENSDARG00000001888	150	32	103	59	81	70	152	48	49	162	54	74	146	137	35	67	6	8
ENSDARG00000001889	761	123	363	15	161	170	380	194	192	231	64	152	367	297	85	133	0	34
ENSDARG00000001890	357	72	163	11	99	154	188	171	133	128	17	108	169	213	60	126	0	23
ENSDARG00000001891	18	8	19	2	19	11	14	7	18	7	15	13	41	76	4	24	0	0
ENSDARG00000001897	77	3	33	1	31	11	86	23	55	30	5	83	65	51	19	71	0	4
ENSDARG00000001898	2	4	1	0	4	10	23	3	7	3	0	16	40	17	14	3	0	0
ENSDARG00000001906	2	0	3	0	0	1	20	0	0	0	0	3	12	1	0	1	0	0
ENSDARG00000001909	5	0	7	2	8	10	7	0	17	10	0	5	14	4	0	0	0	0
ENSDARG00000001910	482	90	235	13	192	247	285	250	182	93	88	133	435	336	76	167	5	15
ENSDARG00000001912	19	0	4	0	13	14	79	28	4	29	32	6	54	23	10	36	0	10
ENSDARG00000001913	107	21	58	1	43	28	63	67	21	46	37	61	87	72	29	37	0	19
ENSDARG00000001929	58	18	42	21	32	27	63	24	12	6	4	36	20	44	4	19	0	0
ENSDARG00000001930	116	0	71	7	78	15	46	38	46	47	5	72	51	25	44	13	0	4
ENSDARG00000001933	54	20	13	0	12	19	28	10	1	8	9	8	38	4	3	6	0	0
ENSDARG00000001937	62	14	15	10	9	37	25	46	14	0	2	15	38	15	11	5	1	0
ENSDARG00000001939	36	2	46	51	1	47	22	9	22	32	0	27	82	46	7	13	0	0
ENSDARG00000001940	167	64	50	0	13	26	75	75	41	49	8	61	52	69	6	40	0	0
ENSDARG00000001950	2151	463	1059	119	703	901	1670	926	597	589	237	781	1306	1367	287	632	5	18
ENSDARG00000001953	18	22	27	0	54	33	47	24	33	28	22	70	53	26	14	19	6	2
ENSDARG00000001968	405	80	195	5	114	169	238	102	54	89	48	203	292	175	51	152	5	5
ENSDARG00000001969	79	13	51	0	29	21	85	41	45	52	0	14	26	54	2	33	0	0
ENSDARG00000001971	28	1	21	0	23	2	17	5	13	13	3	26	2	2	6	8	0	4
ENSDARG00000001975	90	0	29	0	0	23	10	19	14	20	31	16	39	43	1	20	0	0
ENSDARG00000001976	69	25	46	2	17	32	19	26	26	32	0	5	56	63	8	8	0	0
ENSDARG00000001993	147	11	144	10	126	113	99	28	100	83	12	117	161	118	51	49	7	8
ENSDARG00000001994	1160	323	662	25	427	389	1085	584	542	416	223	439	850	1032	239	442	35	65
ENSDARG00000001999	95	21	51	0	125	154	163	74	22	73	4	290	140	109	14	129	1	4
ENSDARG00000002002	1	5	0	0	0	3	8	11	10	0	0	5	42	32	5	12	0	0
ENSDARG00000002006	177	52	104	0	2	98	64	7	42	80	10	18	169	319	28	143	0	4
ENSDARG00000002013	142	23	72	1	54	44	152	61	56	44	34	41	139	100	54	61	0	11
ENSDARG00000002016	36	12	10	0	6	3	11	0	3	3	9	3	32	11	0	2	0	0
ENSDARG00000002020	191	143	58	17	33	113	123	38	28	38	133	36	137	164	27	74	0	7
ENSDARG00000002021	109	31	84	0	0	4	124	3	0	34	15	18	55	46	0	12	0	0
ENSDARG00000002026	196	39	169	4	41	145	100	76	98	41	18	49	162	293	81	68	0	28
ENSDARG00000002031	0	0	41	0	0	0	0	0	0	0	0	17	64	0	0	0	0	0
ENSDARG00000002037	37	8	29	0	11	18	30	16	14	10	2	9	33	49	0	40	0	8
ENSDARG00000002060	3	0	11	0	10	14	19	4	8	0	0	4	0	11	2	3	0	0
ENSDARG00000002071	313	40	121	29	73	154	177	100	91	73	34	60	143	89	13	69	0	6
ENSDARG00000002077	24	6	24	0	7	14	23	18	10	2	15	20	25	24	18	26	0	5
ENSDARG00000002082	220	15	260	82	147	133	80	158	35	83	44	100	245	205	17	51	2	19
ENSDARG00000002084	421	65	289	25	100	109	279	130	108	175	40	141	190	165	29	70	2	0
ENSDARG00000002097	1	3	3	0	4	0	20	7	0	0	10	0	0	0	1	9	0	0
ENSDARG00000002127	253	76	149	15	69	82	140	120	105	113	32	50	169	162	87	123	0	42
ENSDARG00000002128	101	8	26	1	12	41	55	13	23	21	20	16	88	67	3	22	0	0
ENSDARG00000002131	796	64	367	19	185	295	517	143	258	233	79	270	618	515	121	151	0	25
ENSDARG00000002165	7	0	5	0	0	7	15	5	0	14	0	5	33	0	0	0	0	0
ENSDARG00000002167	392	18	210	22	82	134	212	98	108	55	92	82	245	175	103	68	0	14
ENSDARG00000002168	74	18	108	10	36	57	71	49	38	56	13	17	71	99	51	51	0	0
ENSDARG00000002172	41	5	4	0	13	1	13	8	21	0	0	6	21	23	0	14	0	0
ENSDARG00000002174	10	18	12	3	9	4	17	0	11	18	4	5	17	12	0	4	0	0
ENSDARG00000002184	80	9	24	1	13	30	28	37	20	53	9	73	41	46	3	22	0	0
ENSDARG00000002190	189	20	121	17	78	172	131	95	44	76	53	106	117	80	42	59	0	19
ENSDARG00000002192	56	16	78	0	23	26	33	22	21	4	17	3	13	35	12	12	0	0
ENSDARG00000002193	4367	598	2214	152	1092	1708	3367	1356	1305	1136	877	1380	3288	3551	802	1259	33	165
ENSDARG00000002194	17	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0
ENSDARG00000002196	182	32	41	0	27	26	72	93	19	118	13	39	35	48	6	60	0	0
ENSDARG00000002197	96	10	57	2	56	27	64	41	30	37	14	48	61	59	44	82	0	0
ENSDARG00000002204	20	6	24	8	10	15	3	12	2	8	12	26	13	0	0	20	14	8
ENSDARG00000002210	93	3	53	0	9	76	43	59	67	27	0	6	64	41	18	74	0	0
ENSDARG00000002213	12	10	3	0	11	8	1	20	11	44	2	13	47	9	6	6	0	0
ENSDARG00000002215	136	10	26	0	15	26	74	14	31	21	23	37	37	39	8	12	0	4
ENSDARG00000002216	77	6	22	1	17	68	42	13	17	30	5	29	43	79	3	3	0	1
ENSDARG00000002217	427	68	235	22	96	185	253	180	91	132	76	107	365	300	80	107	0	27
ENSDARG00000002219	0	5	16	0	4	2	8	0	3	0	0	0	18	3	0	2	0	0
ENSDARG00000002220	42	18	0	0	11	0	0	31	0	23	0	11	38	53	0	0	0	0
ENSDARG00000002230	205	105	155	38	73	126	211	141	89	72	45	100	245	275	24	75	0	14
ENSDARG00000002231	73	8	37	0	12	16	36	38	21	14	0	11	29	24	10	17	0	0
ENSDARG00000002235	334	116	139	25	74	174	254	115	103	132	45	98	148	67	36	73	0	16
ENSDARG00000002240	156	7	99	5	15	48	54	29	27	44	38	41	66	62	11	45	0	1
ENSDARG00000002241	37	0	16	0	0	6	5	0	8	1	11	5	22	9	0	12	0	1
ENSDARG00000002249	47	59	63	14	26	41	74	40	18	20	14	31	53	70	23	40	0	0
ENSDARG00000002255	285	49	187	9	44	85	143	36	101	71	61	76	123	297	59	59	0	12
ENSDARG00000002259	2	0	0	6	0	0	1	0	0	0	0	0	3	0	0	0	0	0
ENSDARG00000002264	52	24	18	6	10	13	15	10	12	3	0	6	22	24	3	6	0	0
ENSDARG00000002267	22	58	16	0	15	27	61	14	29	28	1	16	39	27	22	16	0	2
ENSDARG00000002271	225	175	148	28	127	91	213	52	126	263	29	73	254	262	65	158	0	32
ENSDARG00000002285	73	8	65	10	15	61	65	54	38	22	25	26	85	74	20	40	0	0
ENSDARG00000002293	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000002295	20	5	9	0	0	10	31	22	11	16	2	2	2	6	2	12	0	0
ENSDARG00000002298	45	2	6	3	2	4	13	5	5	1	2	9	3	0	0	0	0	0
ENSDARG00000002299	7	0	3	0	4	1	14	25	1	0	0	0	6	9	0	3	0	0
ENSDARG00000002300	24	0	4	0	0	18	21	3	0	9	0	16	16	4	9	11	0	0
ENSDARG00000002304	6	4	0	0	0	0	26	13	1	0	0	4	9	0	0	0	0	0
ENSDARG00000002305	312	65	181	6	55	82	180	45	112	86	23	114	173	161	34	83	11	6
ENSDARG00000002311	8	0	0	0	3	10	1	0	10	4	1	2	0	0	0	0	0	0
ENSDARG00000002330	11	0	0	0	1	0	2	14	1	10	1	8	13	0	0	0	0	0
ENSDARG00000002332	284	102	123	3	36	35	208	78	55	56	45	89	93	157	35	138	9	5
ENSDARG00000002333	154	24	34	0	59	49	111	37	38	44	31	12	171	103	44	36	3	23
ENSDARG00000002336	172	39	184	32	77	56	166	60	67	100	58	143	173	204	17	162	1	55
ENSDARG00000002339	0	4	10	9	0	44	0	7	12	0	9	17	4	10	11	19	3	0
ENSDARG00000002344	1486	397	687	58	390	573	933	393	394	440	164	497	1025	895	210	334	8	58
ENSDARG00000002347	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002353	8	0	0	0	0	6	5	0	1	9	0	0	12	7	0	0	0	0
ENSDARG00000002355	3	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002362	112	11	66	0	45	25	72	36	41	37	11	31	59	78	33	59	0	4
ENSDARG00000002365	38	10	26	6	15	7	32	23	22	9	0	33	77	47	12	6	1	0
ENSDARG00000002369	119	131	185	14	98	211	209	97	113	132	31	108	222	178	15	114	0	0
ENSDARG00000002377	37	10	13	6	7	12	41	8	35	15	25	51	21	25	0	7	0	0
ENSDARG00000002385	100	53	49	0	35	15	47	42	39	85	33	22	102	72	35	17	0	0
ENSDARG00000002391	3	0	2	0	1	0	16	4	0	21	1	5	22	0	0	21	0	0
ENSDARG00000002394	2	0	2	0	4	3	1	0	0	15	5	0	26	0	1	14	0	0
ENSDARG00000002396	185	66	99	5	63	109	206	124	69	108	58	79	229	192	55	55	0	0
ENSDARG00000002401	8	2	26	0	9	5	24	7	5	32	0	56	5	0	0	0	0	0
