#NAME	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
ENSDARG00000001154	51	64	147	1	94	15	135	103	108	3	76	14	6	74	76	38	34	69
ENSDARG00000001162	128	106	168	4	209	40	261	155	217	19	173	29	25	43	123	88	79	91
ENSDARG00000001169	0	2	1	0	16	0	14	2	0	0	0	0	0	0	0	0	2	5
ENSDARG00000001210	19	32	12	0	36	5	24	37	10	1	27	0	3	0	11	8	10	11
ENSDARG00000001220	313	489	731	3	494	145	522	360	570	76	363	3	74	78	471	327	235	328
ENSDARG00000001234	22	84	98	14	129	28	176	97	108	22	142	46	4	36	65	78	37	53
ENSDARG00000001241	137	135	172	30	169	28	166	126	169	17	101	18	10	31	81	96	67	238
ENSDARG00000001244	251	372	476	6	488	111	1103	515	891	155	292	96	30	173	327	514	89	454
ENSDARG00000001249	6	7	27	0	30	0	13	17	7	0	3	0	0	0	13	22	0	14
ENSDARG00000001259	10	16	14	0	21	5	12	15	13	0	0	0	8	8	6	0	1	2
ENSDARG00000001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	12	22	15	0	19	17	40	17	23	0	10	0	5	14	46	12	49	26
ENSDARG00000001354	10	3	8	0	2	2	7	11	3	0	34	0	0	2	22	1	5	0
ENSDARG00000001414	7	10	28	8	35	2	50	26	45	0	2	2	1	19	18	7	0	34
ENSDARG00000001431	1235	2045	2579	47	2385	354	1888	1308	2040	198	1578	318	226	573	1518	1206	812	1395
ENSDARG00000001437	58	49	71	1	108	5	78	52	72	0	78	24	0	11	56	20	39	68
ENSDARG00000001442	36	24	32	0	37	5	36	21	22	0	56	3	0	18	7	5	28	15
ENSDARG00000001447	13	47	46	3	31	12	21	33	32	5	45	0	2	3	20	5	1	28
ENSDARG00000001452	34	12	29	4	20	0	5	10	5	0	22	0	0	12	11	5	18	14
