Chemical,Dose,emmean,SE,df,lower.CL,upper.CL,.group,Group,cont_group,adj_factor,Dose(mg/L)
1-Decanol,Dose_1,4.022000000000002,1.3178390383460976,47,1.3708498159844833,6.673150184015521, a,Dose_1, a,1.0055000000000005,1
1-Decanol,Dose_3,4.553000000000001,1.3178390383460978,47,1.9018498159844817,7.2041501840155195, a,Dose_3, a,1.1382500000000002,0.01
1-Decanol,Dose_5,6.533444444444446,1.3178390383460983,47,3.882294260428926,9.184594628459966, a,Dose_5, a,1.6333611111111115,1e-4
1-Decanol,Control,7.126888888888891,1.317839038346098,47,4.475738704873371,9.77803907290441, a,Control, a,1.7817222222222227,0
1-Decanol,Dose_2,7.380125000000002,1.397779380790327,47,4.568155590407997,10.192094409592007, a,Dose_2, a,1.8450312500000006,0.1
1-Decanol,Dose_4,8.465555555555557,1.317839038346098,47,5.814405371540038,11.116705739571078, a,Dose_4, a,2.1163888888888893,0.001
1-Octanol,Control,2.118875,0.8309274103013004,44,0.4442508405622305,3.7934991594377694, a,Control, a,0.52971875,0
1-Octanol,Dose_3,2.2122499999999996,0.8309274103013002,44,0.5376258405622303,3.886874159437769, a,Dose_3, a,0.5530624999999999,0.1
1-Octanol,Dose_4,2.557,0.7834058753304348,44,0.9781492012303081,4.135850798769692, a,Dose_4, a,0.63925,0.01
1-Octanol,Dose_1,2.9901111111111107,0.7834058753304345,44,1.4112603123414196,4.568961909880802, a,Dose_1, a,0.7475277777777777,10
1-Octanol,Dose_5,3.7056250000000004,0.8309274103013002,44,2.031000840562231,5.38024915943777, a,Dose_5, a,0.9264062500000001,0.001
1-Octanol,Dose_2,4.1205,0.8309274103013002,44,2.4458758405622305,5.795124159437769, a,Dose_2, a,1.030125,1
17betaestradiol,Dose_1,4.264222222222213,2.429430202124745,48,-0.6204745833918617,9.148919027836289, a  ,Dose_1, a  ,1.0660555555555533,0.1
17betaestradiol,Dose_2,9.776111111111106,2.429430202124745,48,4.891414305497031,14.660807916725181, ab ,Dose_2, ab ,2.4440277777777766,0.01
17betaestradiol,Dose_3,18.83722222222222,2.4294302021247445,48,13.952525416608147,23.721919027836293,  bc,Dose_3,  bc,4.709305555555555,0.001
17betaestradiol,Dose_5,23.119666666666674,2.4294302021247445,48,18.2349698610526,28.004363472280748,   c,Dose_5,   c,5.779916666666669,1e-5
17betaestradiol,Dose_4,24.998333333333335,2.429430202124744,48,20.11363652771926,29.883030138947408,   c,Dose_4,   c,6.249583333333334,1e-4
17betaestradiol,Control,26.785555555555568,2.4294302021247445,48,21.900858749941495,31.67025236116964,   c,Control,   c,6.696388888888892,0
24-DMP,Dose_3,2.8208888888888883,0.7432584078956245,47,1.3256458375549771,4.3161319402228, a,Dose_3, a,0.7052222222222221,0.01
24-DMP,Dose_2,2.896555555555555,0.7432584078956245,47,1.4013125042216439,4.391798606889466, a,Dose_2, a,0.7241388888888888,0.1
24-DMP,Dose_1,3.5345555555555577,0.7432584078956245,47,2.0393125042216464,5.029798606889469, a,Dose_1, a,0.8836388888888894,1
24-DMP,Dose_4,4.608374999999999,0.7883445905953694,47,3.022430248319589,6.194319751680409, a,Dose_4, a,1.1520937499999997,0.001
24-DMP,Control,5.158333333333332,0.7432584078956245,47,3.663090281999421,6.653576384667243, a,Control, a,1.289583333333333,0
24-DMP,Dose_5,5.641777777777778,0.7432584078956245,47,4.146534726443866,7.137020829111689, a,Dose_5, a,1.4104444444444444,1e-4
24-DNP,Dose_2,6.068333333333335,0.9541190014588,45,4.146639019099556,7.990027647567114, a,Dose_2, a,1.5170833333333338,1
24-DNP,Dose_1,6.181888888888891,0.9541190014588001,45,4.260194574655112,8.10358320312267, a,Dose_1, a,1.5454722222222228,10
24-DNP,Control,6.776625000000001,1.0119960239856827,45,4.738360378556495,8.814889621443507, a,Control, a,1.6941562500000003,0
24-DNP,Dose_5,6.839222222222224,0.9541190014588001,45,4.917527907988445,8.760916536456003, a,Dose_5, a,1.709805555555556,0.001
24-DNP,Dose_3,7.1381111111111135,0.9541190014587999,45,5.216416796877335,9.059805425344893, a,Dose_3, a,1.7845277777777784,0.1
24-DNP,Dose_4,7.81957142857143,1.0818692567233963,45,5.640574892278835,9.998567964864025, a,Dose_4, a,1.9548928571428574,0.01
34-DCA,Dose_1,11.341666666666665,2.7482778212954915,48,5.815883755562153,16.867449577771175, a,Dose_1, a,2.8354166666666663,1
34-DCA,Dose_5,13.257111111111112,2.748277821295491,48,7.7313282000066,18.782894022215622, a,Dose_5, a,3.314277777777778,1e-4
34-DCA,Dose_4,15.177999999999999,2.7482778212954906,48,9.652217088895489,20.70378291110451, a,Dose_4, a,3.7944999999999998,0.001
34-DCA,Dose_2,15.620555555555553,2.7482778212954915,48,10.09477264445104,21.146338466660065, a,Dose_2, a,3.9051388888888883,0.1
34-DCA,Control,17.156666666666666,2.7482778212954915,48,11.630883755562154,22.68244957777118, a,Control, a,4.289166666666667,0
34-DCA,Dose_3,19.954777777777778,2.748277821295491,48,14.428994866673268,25.48056068888229, a,Dose_3, a,4.9886944444444445,0.01
4-TPP,Control,5.3312222222222285,1.4973428457674351,45,2.3154189222455464,8.34702552219891, a  ,Control, a  ,1.3328055555555571,0
4-TPP,Dose_5,7.023888888888892,1.4973428457674351,45,4.008085588912209,10.039692188865574, ab ,Dose_5, ab ,1.755972222222223,1e-4
4-TPP,Dose_4,8.994111111111115,1.4973428457674351,45,5.978307811134433,12.009914411087797, ab ,Dose_4, ab ,2.248527777777779,0.001
4-TPP,Dose_2,10.147111111111114,1.4973428457674351,45,7.131307811134432,13.162914411087796, ab ,Dose_2, ab ,2.5367777777777785,0.1
4-TPP,Dose_3,12.516000000000005,1.6978271988438756,45,9.096400485074481,15.93559951492553,  bc,Dose_3,  bc,3.1290000000000013,0.01
4-TPP,Dose_1,17.18787500000001,1.5881719200049742,45,13.98913255379259,20.386617446207428,   c,Dose_1,   c,4.296968750000002,1
4C3MP,Dose_2,5.733777777777776,0.9626671919349822,48,3.7982056616487836,7.6693498939067695, a ,Dose_2, a ,1.433444444444444,0.1
4C3MP,Dose_5,6.443888888888886,0.9626671919349821,48,4.508316772759894,8.379461005017879, a ,Dose_5, a ,1.6109722222222216,1e-4
4C3MP,Dose_4,6.991666666666664,0.9626671919349818,48,5.056094550537671,8.927238782795655, a ,Dose_4, a ,1.747916666666666,0.001
4C3MP,Control,7.218444444444442,0.9626671919349821,48,5.28287232831545,9.154016560573435, a ,Control, a ,1.8046111111111105,0
4C3MP,Dose_3,9.42133333333333,0.962667191934982,48,7.485761217204337,11.356905449462321, ab,Dose_3, ab,2.3553333333333324,0.01
4C3MP,Dose_1,11.73444444444444,0.9626671919349822,48,9.798872328315447,13.670016560573433,  b,Dose_1,  b,2.93361111111111,1
4TOP,Dose_1,4.766499999999996,2.1077876990488815,46,0.5237434171279931,9.009256582871998, a ,Dose_1, a ,1.191624999999999,0.1
4TOP,Dose_2,12.563777777777778,1.987241300398738,46,8.563668510214235,16.56388704534132, ab,Dose_2, ab,3.1409444444444445,0.01
4TOP,Dose_3,14.026875000000002,2.1077876990488806,46,9.784118417128001,18.269631582872,  b,Dose_3,  b,3.5067187500000006,0.001
4TOP,Control,16.094222222222225,1.9872413003987377,46,12.094112954658684,20.094331489785766,  b,Control,  b,4.023555555555556,0
4TOP,Dose_4,16.546555555555557,1.9872413003987377,46,12.546446287992016,20.546664823119098,  b,Dose_4,  b,4.136638888888889,1e-4
4TOP,Dose_5,17.340333333333334,1.9872413003987375,46,13.340224065769792,21.340442600896875,  b,Dose_5,  b,4.335083333333333,1e-5
Aniline,Dose_4,5.824625000000003,1.1833793298229924,42,3.436468826990669,8.212781173009336, a ,Dose_4, a ,1.4561562500000007,0.01
Aniline,Dose_5,9.093444444444449,1.1157007317784395,42,6.841869211821232,11.345019677067667, a ,Dose_5, a ,2.2733611111111123,0.001
Aniline,Control,9.18166666666667,1.11570073177844,42,6.930091434043451,11.43324189928989, a ,Control, a ,2.2954166666666675,0
Aniline,Dose_3,9.643500000000005,1.1833793298229922,42,7.255343826990671,12.031656173009338, ab,Dose_3, ab,2.410875000000001,0.1
Aniline,Dose_2,10.668777777777782,1.1157007317784398,42,8.417202545154563,12.920353010401001, ab,Dose_2, ab,2.6671944444444455,1
Aniline,Dose_1,15.329800000000008,1.496869607281711,42,12.308994834039757,18.35060516596026,  b,Dose_1,  b,3.832450000000002,10
BPA,Dose_4,13.175444444444453,3.4001953046211764,48,6.338893582262403,20.011995306626503, a ,Dose_4, a ,3.2938611111111133,0.001
BPA,Dose_5,21.000000000000004,3.4001953046211773,48,14.163449137817953,27.836550862182055, ab,Dose_5, ab,5.250000000000001,1e-4
BPA,Dose_2,21.250777777777788,3.4001953046211777,48,14.414226915595735,28.087328639959843, ab,Dose_2, ab,5.312694444444447,0.1
BPA,Control,23.179666666666662,3.4001953046211773,48,16.34311580448461,30.016217528848713, ab,Control, ab,5.794916666666666,0
BPA,Dose_3,23.458777777777783,3.4001953046211773,48,16.622226915595732,30.295328639959834, ab,Dose_3, ab,5.864694444444446,0.01
BPA,Dose_1,34.820333333333345,3.4001953046211777,48,27.983782471151294,41.656884195515396,  b,Dose_1,  b,8.705083333333336,1
BPAF,Dose_3,3.051625,0.6014411712944777,47,1.8416814290818155,4.261568570918184, a,Dose_3, a,0.76290625,0.01
BPAF,Control,3.135555555555555,0.5670441742761403,47,1.9948098170898019,4.276301294021308, a,Control, a,0.7838888888888887,0
BPAF,Dose_5,3.633222222222222,0.5670441742761402,47,2.492476483756469,4.773967960687974, a,Dose_5, a,0.9083055555555555,1e-4
BPAF,Dose_2,3.9272222222222224,0.5670441742761403,47,2.786476483756469,5.067967960687976, a,Dose_2, a,0.9818055555555556,0.1
BPAF,Dose_4,4.022333333333333,0.5670441742761402,47,2.88158759486758,5.1630790717990855, a,Dose_4, a,1.0055833333333333,0.001
BPAF,Dose_1,4.081444444444444,0.56704417427614,47,2.9406987059786918,5.222190182910197, a,Dose_1, a,1.020361111111111,1
Clofibric-acid,Dose_1,-0.505999999999999,0.7738984974429376,44,-2.0656899376572455,1.0536899376572473, a ,Dose_1, a ,-0.12649999999999975,10
Clofibric-acid,Dose_2,2.9624444444444444,0.7738984974429376,44,1.402754506787198,4.522134382101691,  b,Dose_2,  b,0.7406111111111111,1
Clofibric-acid,Control,4.246571428571427,0.8775184132459581,44,2.47804927253818,6.015093584604673,  b,Control,  b,1.0616428571428567,0
Clofibric-acid,Dose_3,5.06625,0.8208433132379717,44,3.4119490028012067,6.720550997198794,  b,Dose_3,  b,1.2665625,0.1
Clofibric-acid,Dose_5,5.212888888888887,0.7738984974429376,44,3.6531989512316407,6.772578826546134,  b,Dose_5,  b,1.3032222222222218,0.001
Clofibric-acid,Dose_4,5.488625,0.8208433132379719,44,3.834324002801206,7.142925997198794,  b,Dose_4,  b,1.37215625,0.01
DES,Dose_3,7.489555555555558,2.551060059759069,48,2.3603055306170244,12.618805580494092, a,Dose_3, a,1.8723888888888895,0.001
DES,Dose_5,8.172666666666666,2.551060059759069,48,3.0434166417281325,13.3019166916052, a,Dose_5, a,2.0431666666666666,1e-5
DES,Dose_2,8.348111111111114,2.551060059759069,48,3.2188610861725806,13.477361136049648, a,Dose_2, a,2.0870277777777786,0.01
DES,Dose_4,8.348777777777778,2.551060059759068,48,3.2195277528392463,13.47802780271631, a,Dose_4, a,2.0871944444444446,1e-4
DES,Control,10.597444444444445,2.551060059759069,48,5.468194419505911,15.726694469382979, a,Control, a,2.6493611111111113,0
DES,Dose_1,11.002555555555558,2.5510600597590694,48,5.873305530617023,16.131805580494092, a,Dose_1, a,2.7506388888888895,0.1
DMSO,Dose_5,4.239222222222223,1.5585019648642082,48,1.1056440018405862,7.372800442603859, a  ,Dose_5, a  ,1.0598055555555557,0.001
DMSO,Dose_1,6.781888888888895,1.5585019648642087,48,3.648310668507258,9.915467109270534, ab ,Dose_1, ab ,1.6954722222222238,10
DMSO,Control,7.30133333333333,1.5585019648642082,48,4.167755112951694,10.434911553714967, ab ,Control, ab ,1.8253333333333326,0
DMSO,Dose_4,10.06388888888889,1.5585019648642078,48,6.930310668507254,13.197467109270526, abc,Dose_4, abc,2.5159722222222225,0.01
DMSO,Dose_2,11.259111111111112,1.5585019648642082,48,8.125532890729476,14.392689331492749,  bc,Dose_2,  bc,2.814777777777778,1
DMSO,Dose_3,14.574222222222222,1.5585019648642082,48,11.440644001840585,17.707800442603858,   c,Dose_3,   c,3.6435555555555554,0.1
EE2,Dose_4,3.9870000000000014,0.8680449989901837,47,2.2407187077909354,5.7332812922090675, a,Dose_4, a,0.9967500000000004,1e-6
EE2,Dose_3,4.676125,0.9207007577415429,47,2.8239139846296437,6.528336015370356, a,Dose_3, a,1.16903125,1e-5
EE2,Dose_2,4.700555555555557,0.8680449989901837,47,2.9542742633464907,6.446836847764622, a,Dose_2, a,1.1751388888888892,1e-4
EE2,Dose_1,5.1254444444444465,0.8680449989901834,47,3.379163152235381,6.871725736653512, a,Dose_1, a,1.2813611111111116,0.001
