Chemical,Dose,estimate,SE.x,df.x,t.ratio,p.value,adj.p.value,Group_1,contrast_1,Group,emmean,SE.y,df.y,lower.CL,upper.CL,.group,mean_flu,percent15,sd,legacy_group,keep,percent_difference,percent_difference_mean_flu
1-Decanol,Dose_1,1.4163333333333334,2.4677877032168203,6,0.5739283535156242,0.838474665303178,0.8663846538010997,A,C,C,2.6530000000000005,1.744989419473389,6,-3.0598314628593677,8.365831462859369,a,4.022,1.6790000000000003,2.8652966251332512, a,TRUE,53.38610378188214,35.21465274324548
1-Decanol,Dose_1,1.4163333333333334,2.4677877032168203,6,0.5739283535156242,0.838474665303178,0.8663846538010997,A,C,A,4.069333333333334,1.7449894194733884,6,-1.6434981295260318,9.7821647961927,a,4.022,1.6790000000000003,2.8652966251332512, a,TRUE,34.80504587155963,35.21465274324548
1-Decanol,Dose_1,2.690666666666666,2.4677877032168203,6,1.0903152905573352,0.5535848730198494,0.8663846538010997,B,C,C,2.6530000000000005,1.744989419473389,6,-3.0598314628593677,8.365831462859369,a,4.022,1.6790000000000003,2.8652966251332512, a,TRUE,101.41977635381325,66.89872368639149
1-Decanol,Dose_1,2.690666666666666,2.4677877032168203,6,1.0903152905573352,0.5535848730198494,0.8663846538010997,B,C,B,5.343666666666667,1.7449894194733884,6,-0.36916479619269893,11.056498129526032,a,4.022,1.6790000000000003,2.8652966251332512, a,TRUE,50.352442143347254,66.89872368639149
1-Decanol,Dose_1,1.2743333333333327,2.46778770321682,6,0.516386937041711,0.8663846538010997,0.8663846538010997,B,A,A,4.069333333333334,1.7449894194733884,6,-1.6434981295260318,9.7821647961927,a,4.022,1.6790000000000003,2.8652966251332512, a,TRUE,31.31553079947573,31.684070943146008
1-Decanol,Dose_1,1.2743333333333327,2.46778770321682,6,0.516386937041711,0.8663846538010997,0.8663846538010997,B,A,B,5.343666666666667,1.7449894194733884,6,-0.36916479619269893,11.056498129526032,a,4.022,1.6790000000000003,2.8652966251332512, a,TRUE,23.847545380824638,31.684070943146008
1-Decanol,Dose_2,1.6043333333333338,2.341149992821666,5,0.6852757568940359,0.781870804955365,0.781870804955365,C,A,A,5.7446666666666655,1.655443035699037,5,-0.07944047739238513,11.568773810725716,a,7.380125,5.2168,2.967278764770365, a,TRUE,27.927352907044227,21.738565855366055
1-Decanol,Dose_2,1.6043333333333338,2.341149992821666,5,0.6852757568940359,0.781870804955365,0.781870804955365,C,A,C,7.348999999999999,1.6554430356990373,5,1.5248928559409478,13.17310714405905,a,7.380125,5.2168,2.967278764770365, a,TRUE,21.830634553453994,21.738565855366055
1-Decanol,Dose_2,4.135333333333334,2.617485264736196,5,1.5798879134282788,0.335448277327727,0.781870804955365,B,A,A,5.7446666666666655,1.655443035699037,5,-0.07944047739238513,11.568773810725716,a,7.380125,5.2168,2.967278764770365, a,TRUE,71.98560984101199,56.03337793510727
1-Decanol,Dose_2,4.135333333333334,2.617485264736196,5,1.5798879134282788,0.335448277327727,0.781870804955365,B,A,B,9.879999999999999,2.02749536785332,5,2.746954644878559,17.013045355121438,a,7.380125,5.2168,2.967278764770365, a,TRUE,41.855600539811086,56.03337793510727
1-Decanol,Dose_2,2.5310000000000006,2.6174852647361955,5,0.9669586431292054,0.6264280314613067,0.781870804955365,B,C,C,7.348999999999999,1.6554430356990373,5,1.5248928559409478,13.17310714405905,a,7.380125,5.2168,2.967278764770365, a,TRUE,34.44005987209145,34.294812079741206
1-Decanol,Dose_2,2.5310000000000006,2.6174852647361955,5,0.9669586431292054,0.6264280314613067,0.781870804955365,B,C,B,9.879999999999999,2.02749536785332,5,2.746954644878559,17.013045355121438,a,7.380125,5.2168,2.967278764770365, a,TRUE,25.6174089068826,34.294812079741206
1-Decanol,Dose_3,5.231666666666667,2.7843797101635337,6,1.8789343448991727,0.22462638391994882,0.33693957587992324,B,A,A,0.05799999999999924,1.9688537744548684,6,-6.387729505838258,6.503729505838256,a,4.553,1.6748,4.668956655399576, a,TRUE,9020.114942528855,114.90592283476097
1-Decanol,Dose_3,5.231666666666667,2.7843797101635337,6,1.8789343448991727,0.22462638391994882,0.33693957587992324,B,A,B,5.289666666666666,1.9688537744548684,6,-1.1560628391715904,11.735396172504924,a,4.553,1.6748,4.668956655399576, a,TRUE,98.90352259121559,114.90592283476097
1-Decanol,Dose_3,8.253333333333336,2.7843797101635346,6,2.964155105428704,0.05687033498534799,0.17061100495604398,C,A,A,0.05799999999999924,1.9688537744548684,6,-6.387729505838258,6.503729505838256,a,4.553,1.6748,4.668956655399576, a,TRUE,14229.885057471454,181.27242111428367
1-Decanol,Dose_3,8.253333333333336,2.7843797101635346,6,2.964155105428704,0.05687033498534799,0.17061100495604398,C,A,C,8.311333333333335,1.968853774454869,6,1.865603827495077,14.757062839171594,a,4.553,1.6748,4.668956655399576, a,TRUE,99.30215769631829,181.27242111428367
1-Decanol,Dose_3,3.0216666666666683,2.784379710163534,6,1.0852207605295319,0.5563581739344794,0.5563581739344794,C,B,B,5.289666666666666,1.9688537744548684,6,-1.1560628391715904,11.735396172504924,a,4.553,1.6748,4.668956655399576, a,TRUE,57.123952359947104,66.36649827952269
1-Decanol,Dose_3,3.0216666666666683,2.784379710163534,6,1.0852207605295319,0.5563581739344794,0.5563581739344794,C,B,C,8.311333333333335,1.968853774454869,6,1.865603827495077,14.757062839171594,a,4.553,1.6748,4.668956655399576, a,TRUE,36.35597978663673,66.36649827952269
1-Decanol,Dose_4,4.873333333333335,1.924296985625891,6,2.5325266160764937,0.09793655123876976,0.14690482685815465,B,C,C,4.554333333333333,1.3606834475529,6,0.09966150356485226,9.009005163101815, a ,8.4655555555555555,5.8664000000000005,3.675731053515447, a ,TRUE,107.00431823172075,57.566609791311215
1-Decanol,Dose_4,4.873333333333335,1.924296985625891,6,2.5325266160764937,0.09793655123876976,0.14690482685815465,B,C,B,9.427666666666667,1.3606834475528997,6,4.972994836898187,13.882338496435146,a,8.4655555555555555,5.8664000000000005,3.675731053515447, ab,TRUE,51.69182901389529,57.566609791311215
