Chemical,Dose,emmean,SE,df,lower.CL,upper.CL,.group,Group,cont_group,adj_factor,Dose(mg/L)
EE2,Control,6.750000000000002,0.8758328456789619,45,4.9859820974248485,8.514017902575155, a,Control, a,1.6875000000000004,0
Fadrozole,Control,5.845222222222225,1.3189314514465258,45,3.1887579161622437,8.501686528282207, a ,Control, a ,1.4613055555555563,0
Fadrozole,Dose_1,7.452333333333338,1.318931451446525,45,4.795869027273358,10.108797639393318, ab,Dose_1, ab,1.8630833333333345,1
Fadrozole,Dose_4,8.103444444444449,1.3189314514465256,45,5.446980138384468,10.75990875050443, ab,Dose_4, ab,2.0258611111111122,0.001
Fadrozole,Dose_3,8.691043478260875,1.4023130661128016,45,5.8666399795311905,11.51544697699056, ab,Dose_3, ab,2.1727608695652187,0.01
Fadrozole,Dose_2,10.749777777777785,1.3189314514465256,45,8.093313471717805,13.406242083837766, ab,Dose_2, ab,2.6874444444444463,0.1
Fadrozole,Dose_5,12.478555555555559,1.3189314514465256,45,9.822091249495578,15.13501986161554,  b,Dose_5,  b,3.1196388888888897,1e-4
Fenitrothione,Dose_1,0.4192222222222217,1.098184736601026,45,-1.7926353773831247,2.6310798218275684, a ,Dose_1, a ,0.10480555555555543,1
Fenitrothione,Dose_2,1.5283333333333327,1.0981847366010262,45,-0.6835242662720142,3.7401909329386793, ab,Dose_2, ab,0.38208333333333316,0.1
Fenitrothione,Control,2.084222222222224,1.098184736601026,45,-0.12763537738312225,4.29607982182757, ab,Control, ab,0.521055555555556,0
Fenitrothione,Dose_5,3.429816425120774,1.1676109501007694,45,1.0781272536284292,5.781505596613119, ab,Dose_5, ab,0.8574541062801935,1e-4
Fenitrothione,Dose_4,4.6403333333333325,1.098184736601026,45,2.428475733727986,6.852190932938679, ab,Dose_4, ab,1.1600833333333331,0.001
Fenitrothione,Dose_3,5.423,1.098184736601026,45,3.2111424003946536,7.634857599605347,  b,Dose_3,  b,1.35575,0.01
Fluoxetine,Dose_1,-2.495777777777777,0.6824558313912807,46,-3.8694901172421856,-1.1220654383133686, a ,Dose_1, a ,-0.6239444444444443,0.1
Fluoxetine,Control,1.2387777777777813,0.6824558313912806,46,-0.1349345616866271,2.6124901172421895,  b,Control,  b,0.3096944444444453,0
Fluoxetine,Dose_2,1.4155555555555537,0.6824558313912807,46,0.04184321609114505,2.7892678950199623,  b,Dose_2,  b,0.3538888888888884,0.01
Fluoxetine,Dose_4,2.7621111111111105,0.6824558313912805,46,1.3883987716467023,4.1358234505755185,  b,Dose_4,  b,0.6905277777777776,1e-4
Fluoxetine,Dose_3,3.0011111111111095,0.6824558313912806,46,1.627398771646701,4.3748234505755175,  b,Dose_3,  b,0.7502777777777774,0.001
Fluoxetine,Dose_5,3.3280000000000003,0.6824558313912807,46,1.9542876605355917,4.701712339464409,  b,Dose_5,  b,0.8320000000000001,1e-5
Flutamide,Control,4.972999999999998,1.0651096228523476,45,2.8277590990834844,7.118240900916511, a ,Control, a ,1.2432499999999995,0
Flutamide,Dose_4,5.440074879227053,1.1324448585483462,45,3.159213851904138,7.720935906549968, a ,Dose_4, a ,1.3600187198067633,0.001
Flutamide,Dose_1,6.224111111111108,1.0651096228523478,45,4.0788702101945935,8.369352012027623, a ,Dose_1, a ,1.556027777777777,1
Flutamide,Dose_3,8.553666666666667,1.0651096228523478,45,6.408425765750152,10.69890756758318, ab,Dose_3, ab,2.1384166666666666,0.01
