Chemical,Dose,estimate,std.error,statistic,adj.p.value
SDS,Dose_4,0.32413394853827426,0.43872012418478384,0.738817142570266,0.999999766539433
SDS,Dose_3,0.20882648168702433,0.4697259534763905,0.44457088253591764,0.999999766539433
SDS,Dose_2,0.20848942141626112,0.43872012418478384,0.4752219237803821,0.999999766539433
SDS,Dose_1,-0.30173343400946306,0.43872012418478384,-0.6877583620540197,0.999999766539433
TEG,Dose_5,1.3129910451183462,0.6891694022374631,1.905178960144746,0.8294666962702504
TEG,Dose_4,1.3499329215080338,0.6676899083894915,2.02179620291724,0.7469403018443811
TEG,Dose_3,-1.1141296192540704,0.6891394090091936,-1.6166970059888233,0.9481877043200847
TEG,Dose_2,0.9814513829152841,0.689169402237463,1.4241075992766017,0.999999766539433
TEG,Dose_1,-0.21611474276940162,0.6676899083894916,-0.3236753170205664,0.999999766539433
TGSH,Dose_5,0.5803504301179393,0.4539195927008184,1.2785313510369938,0.999999766539433
TGSH,Dose_4,0.7575582923340636,0.4400301399504865,1.7216054618879204,0.9426509655700344
TGSH,Dose_3,0.5180518246900602,0.4539195927008183,1.141285445749666,0.999999766539433
TGSH,Dose_2,0.22251879255321877,0.44003013995048657,0.5056898888295633,0.999999766539433
TGSH,Dose_1,-0.3739501850424117,0.4538613891753467,-0.8239303760160532,0.999999766539433
Trenbolone,Dose_5,1.7395820842711396,0.5004955780310022,3.4757191883988727,0.08220451395789888
Trenbolone,Dose_4,1.618730040968699,0.5004955780310022,3.2342544310519963,0.09832327819651761
Trenbolone,Dose_3,1.3756144540484945,0.5004955780310022,2.7485047109912424,0.30486222046172773
Trenbolone,Dose_2,0.9251770871173899,0.5004955780310023,1.8485220004482865,0.8686902479316293
Trenbolone,Dose_1,0.5314505476001673,0.5165583295023686,1.0288296930806349,0.999999766539433
Vinclozolin,Dose_5,-0.5592474927480806,0.6146987426961149,-0.9097911772117494,0.999999766539433
Vinclozolin,Dose_4,-0.4049732557970518,0.6146987426961148,-0.6588158193081846,0.999999766539433
Vinclozolin,Dose_3,0.06981457397731261,0.614698742696115,0.11357526724570906,0.999999766539433
Vinclozolin,Dose_2,0.055900385910488445,0.6146987426961152,0.09093948307963852,0.999999766539433
Vinclozolin,Dose_1,-1.2964016858369527,0.6146987426961152,-2.1090033146169076,0.6517014592915439
