"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"BPA","Pool-ID-1_S1 A01 expression values.csv","1000",1014167,18079,14383,4131
"BPA","Pool-ID-1_S1 A02 expression values.csv","1000",2085991,19802,16977,4163
"BPA","Pool-ID-1_S1 A03 expression values.csv","1000",1078207,18171,14600,4060
"BPA","Pool-ID-1_S1 A04 expression values.csv","100",1279139,18694,15300,4076
"BPA","Pool-ID-1_S1 A05 expression values.csv","100",2015711,19467,16655,4047
"BPA","Pool-ID-1_S1 A06 expression values.csv","100",351514,14678,9782,3753
"BPA","Pool-ID-1_S1 A07 expression values.csv","10",1154474,18433,14887,3972
"BPA","Pool-ID-1_S1 A08 expression values.csv","10",1975451,19551,16728,4213
"BPA","Pool-ID-1_S1 A09 expression values.csv","10",2232063,19757,17043,4129
"BPA","Pool-ID-1_S1 A10 expression values.csv","1",443176,15432,10894,3894
"BPA","Pool-ID-1_S1 A11 expression values.csv","1",195960,12269,7240,3506
"BPA","Pool-ID-1_S1 A12 expression values.csv","1",786528,17246,13271,3978
"BPA","Pool-ID-1_S1 B01 expression values.csv","0.1",1804934,19353,16369,4097
"BPA","Pool-ID-1_S1 B02 expression values.csv","0.1",1246849,18345,15023,4056
"BPA","Pool-ID-1_S1 B03 expression values.csv","0.1",687249,16789,12696,3963
"BPA","Pool-ID-1_S1 B04 expression values.csv","0",2002733,19575,16740,4096
"BPA","Pool-ID-1_S1 B05 expression values.csv","0",918782,17580,13788,3932
"BPA","Pool-ID-1_S1 B06 expression values.csv","0",2369578,19944,17267,4120
"BPAF","Pool-ID-2_S2 B07 expression values.csv","1000",2068380,17456,15438,3903
"BPAF","Pool-ID-2_S2 B08 expression values.csv","1000",341062,11128,8401,3165
"BPAF","Pool-ID-2_S2 B09 expression values.csv","1000",1241513,16037,13738,3814
"BPAF","Pool-ID-2_S2 B10 expression values.csv","100",88278,5973,3825,2085
"BPAF","Pool-ID-2_S2 B11 expression values.csv","100",443078,12084,9429,3275
"BPAF","Pool-ID-2_S2 B12 expression values.csv","100",1184336,15921,13543,3718
"BPAF","Pool-ID-2_S2 C01 expression values.csv","10",957386,15169,12544,3594
"BPAF","Pool-ID-2_S2 C02 expression values.csv","10",1008475,15401,12918,3716
"BPAF","Pool-ID-2_S2 C03 expression values.csv","10",492710,12932,10071,3492
"BPAF","Pool-ID-2_S2 C04 expression values.csv","1",795136,14514,12031,3643
"BPAF","Pool-ID-2_S2 C05 expression values.csv","1",211064,9595,6707,2919
"BPAF","Pool-ID-2_S2 C06 expression values.csv","1",577455,13353,10656,3561
"BPAF","Pool-ID-2_S2 C07 expression values.csv","0.1",1740037,17214,15089,4033
"BPAF","Pool-ID-2_S2 C08 expression values.csv","0.1",1551350,16959,14574,3965
"BPAF","Pool-ID-2_S2 C09 expression values.csv","0.1",486225,12667,9922,3504
"BPAF","Pool-ID-2_S2 C10 expression values.csv","0",721934,14258,11577,3663
"BPAF","Pool-ID-2_S2 C11 expression values.csv","0",8563,1360,624,590
"BPAF","Pool-ID-2_S2 C12 expression values.csv","0",147551,7842,5382,2624
"DES","Pool-ID-3_S3 D01 expression values.csv","100",620,168,48,83
"DES","Pool-ID-3_S3 D02 expression values.csv","100",1422914,18281,15180,3791
"DES","Pool-ID-3_S3 D03 expression values.csv","100",955995,17232,13880,3943
"DES","Pool-ID-3_S3 D04 expression values.csv","10",294654,13121,8580,3357
"DES","Pool-ID-3_S3 D05 expression values.csv","10",1872589,19093,16401,3984
"DES","Pool-ID-3_S3 D06 expression values.csv","10",539573,15489,11489,3663
"DES","Pool-ID-3_S3 D07 expression values.csv","1",1199692,18063,14828,3797
"DES","Pool-ID-3_S3 D08 expression values.csv","1",614438,15997,12133,3840
"DES","Pool-ID-3_S3 D09 expression values.csv","1",118477,9345,5197,2966
"DES","Pool-ID-3_S3 D10 expression values.csv","0.1",371228,14214,9810,3654
"DES","Pool-ID-3_S3 D11 expression values.csv","0.1",678160,16324,12597,3911
"DES","Pool-ID-3_S3 D12 expression values.csv","0.1",52776,6512,2767,2279
"DES","Pool-ID-3_S3 E01 expression values.csv","0.01",981242,17303,13857,3827
"DES","Pool-ID-3_S3 E02 expression values.csv","0.01",529408,15394,11359,3724
"DES","Pool-ID-3_S3 E03 expression values.csv","0.01",809953,17024,13462,4076
"DES","Pool-ID-3_S3 E04 expression values.csv","0",2381816,19926,17372,4037
"DES","Pool-ID-3_S3 E05 expression values.csv","0",336606,13874,9441,3627
"DES","Pool-ID-3_S3 E06 expression values.csv","0",1231514,18045,14962,3953
"EE2","Pool-ID-4_S4 E07 expression values.csv","1",559519,14833,11252,3617
"EE2","Pool-ID-4_S4 E08 expression values.csv","1",1068092,16743,13794,3599
"EE2","Pool-ID-4_S4 E09 expression values.csv","1",1661875,18078,15597,3902
"EE2","Pool-ID-4_S4 E10 expression values.csv","0.1",28379,3866,1676,1470
"EE2","Pool-ID-4_S4 E11 expression values.csv","0.1",1273383,17231,14503,3725
"EE2","Pool-ID-4_S4 E12 expression values.csv","0.1",183769,10362,6599,3044
"EE2","Pool-ID-4_S4 F01 expression values.csv","0.01",1527186,18278,15612,3963
"EE2","Pool-ID-4_S4 F02 expression values.csv","0.01",1018740,16847,13697,3730
"EE2","Pool-ID-4_S4 F03 expression values.csv","0.01",1492695,17898,15147,3787
"EE2","Pool-ID-4_S4 F04 expression values.csv","0.001",130095,9024,5305,2794
"EE2","Pool-ID-4_S4 F05 expression values.csv","0.001",1131686,17261,14239,3842
"EE2","Pool-ID-4_S4 F06 expression values.csv","0.001",183003,10559,6640,3128
"EE2","Pool-ID-4_S4 F07 expression values.csv","0.0001",136350,8972,5432,2780
"EE2","Pool-ID-4_S4 F08 expression values.csv","0.0001",398084,13385,9653,3409
"EE2","Pool-ID-4_S4 F09 expression values.csv","0.0001",942777,16527,13517,3839
"EE2","Pool-ID-4_S4 F10 expression values.csv","0",682691,15187,11961,3648
"EE2","Pool-ID-4_S4 F11 expression values.csv","0",365261,12911,9268,3385
"EE2","Pool-ID-4_S4 F12 expression values.csv","0",808591,15901,12660,3686
"TGSH","Pool-ID-5_S5 G01 expression values.csv","1000",672684,14466,11548,3598
"TGSH","Pool-ID-5_S5 G02 expression values.csv","1000",553396,13839,10749,3506
"TGSH","Pool-ID-5_S5 G03 expression values.csv","1000",98341,6876,4328,2384
"TGSH","Pool-ID-5_S5 G04 expression values.csv","100",260232,10631,7562,3058
"TGSH","Pool-ID-5_S5 G05 expression values.csv","100",1140355,16175,13690,3837
"TGSH","Pool-ID-5_S5 G06 expression values.csv","100",763994,15017,12110,3842
"TGSH","Pool-ID-5_S5 G07 expression values.csv","10",490571,12917,9981,3363
"TGSH","Pool-ID-5_S5 G08 expression values.csv","10",1250693,16608,13991,4147
"TGSH","Pool-ID-5_S5 G09 expression values.csv","10",668933,14592,11586,3917
"TGSH","Pool-ID-5_S5 G10 expression values.csv","1",1666361,17280,14881,3899
"TGSH","Pool-ID-5_S5 G11 expression values.csv","1",205485,9913,6795,3093
"TGSH","Pool-ID-5_S5 G12 expression values.csv","1",76033,6507,3797,2372
"TGSH","Pool-ID-5_S5 H01 expression values.csv","0.1",408306,12805,9578,3636
"TGSH","Pool-ID-5_S5 H02 expression values.csv","0.1",606785,14068,11120,3855
"TGSH","Pool-ID-5_S5 H03 expression values.csv","0.1",532629,13633,10673,3834
"TGSH","Pool-ID-5_S5 H04 expression values.csv","0",647347,14409,11235,3738
"TGSH","Pool-ID-5_S5 H05 expression values.csv","0",409709,12609,9594,3733
"TGSH","Pool-ID-5_S5 H06 expression values.csv","0",689555,15234,11730,3774
