	DOSE_1000.DOSE_0	DOSE_10000.DOSE_0	DOSE_100000.DOSE_0	DOSE_1000000.DOSE_0	DOSE_10000000.DOSE_0	AveExpr	F	P.Value	adj.P.Val
564830	-0.295889669241853	-4.69563133124169	-0.809920863201126	0.185724285827593	-1.15488738427183	6.35665350830184	17.1499683725402	7.72739246958014e-06	0.0891867209614838
561067	3.00625014896809	2.31928514905609	3.86712067504562	1.96359688572564	-0.377431763514373	3.56893823610855	15.4317683394407	1.50505292921282e-05	0.0891867209614838
437015	1.22009471975719	-1.67451964466103	0.758230061162964	0.53229231281972	0.508449449859141	6.23601919515723	14.3811940989712	2.33101401149052e-05	0.0891867209614838
793584	-1.27980828789041	2.45279779225067	1.2513427580696	1.18962085409652	2.40103168805027	4.07726238619399	14.0376450720689	2.70426685753438e-05	0.0891867209614838
795160	1.09883512875956	-2.51706791902469	1.59960008554781	0.490069989170331	1.3823999214403	5.64883045742187	12.7024802976711	4.95475163233236e-05	0.130726167067457
445069	-0.899067597006254	-3.07843470370667	0.0559400403081458	0.78110528202812	0.526513772832358	5.43223384019758	11.9960475454475	6.9633877710578e-05	0.149580523002206
798974	0.736316652559009	1.90767763835718	0.592185703764889	-0.729943883334894	1.43367225253062	6.12654785577691	11.6727931212561	8.17795430970043e-05	0.149580523002206
100147988	0.429952717757912	2.88855823189165	-0.111144855680512	3.04853485206859	3.80494674709592	2.5134910283981	11.4678907048358	9.07098380850248e-05	0.149580523002206
564522	1.13058935856464	-2.42177222672882	1.37144450858288	1.0370491387471	0.692600049791577	5.51288036897001	10.7206563726274	0.000133967902930418	0.196367175050898
100002026	0.309518606684076	2.77053875908508	-0.119301578278251	-0.103074759162902	-0.0568091441127674	7.47864444850551	9.86893205243083	0.000214197974714399	0.259268257437768
110440223	3.44566068846259	0.367810757151297	3.2353138258501	1.05610821090195	0.521342773041915	3.85935162283164	9.85265202421687	0.000216187904170364	0.259268257437768
393547	-3.9595524259713	-2.43673188585676	-0.355860798853421	0.243992209060527	-2.12139092757606	3.78793091840555	9.27782062603305	0.000301804049053717	0.311883697808284
100008592	-0.895999654562976	-1.67145170221775	1.21108066299057	0.609659828247021	1.35242191277532	5.09018071441179	9.15084686879873	0.000325513797030619	0.311883697808284
101886961	1.7732018322226	4.13018915251353	2.27097398775413	-0.246188654300894	0.0300323769311099	3.21969286254336	9.04048751722754	0.000347834335273269	0.311883697808284
447871	3.13104865389525	3.90818946157618	3.34716138394634	3.95925104469139	2.31186239391257	4.6695769030269	8.97339834584325	0.00036224344601013	0.311883697808284
570606	-0.509700367003056	-1.54514856794955	0.991013635024288	-1.19700292482961	0.497354282051447	8.07914719418684	8.90222011741848	0.000378270100434547	0.311883697808284
100537878	-3.16683011449273	-1.64400957437819	-0.178668515821746	0.959606005170284	-1.73613275654297	3.47246008578226	8.76224002857545	0.000412172114616206	0.319845560942176
445403	0.312751837383107	-3.07019481081582	0.609493047930346	0.11449563027861	0.287380971745939	6.09695976122487	8.42920529828773	0.000507476342292236	0.371923772639954
493588	-2.70113793885715	-4.51118087532439	-0.78197568711287	0.18645696163435	-0.207702226062187	5.96471391845231	8.3417983213412	0.00053644021927936	0.372458914354385
565558	3.25654613910095	1.42445242429873	0.134510342374891	3.7942145845022	0.0300323769311102	2.80496322431754	8.11016581663035	0.00062262310004596	0.410682196790315
100332225	3.64082996846207	0.650476392669614	2.37515015755874	1.21791715329203	1.33232924213395	3.67509709709808	7.99138266899072	0.000672790960380899	0.412505115330401
561797	0.17255887997501	-2.66180821946069	-0.110225513980512	0.427686805692525	0.690571336530587	6.50669197020465	7.90073102453686	0.000714144083481853	0.412505115330401
110439496	-0.50583225626129	0.243012252224131	-1.29258502775511	2.82211815329861	-1.15140779514349	2.56566163958464	7.86683642456534	0.000730334475619309	0.412505115330401
100003238	-0.0315465883485748	-2.90999498239664	0.431447804906538	-0.100562618358148	0.103099425258869	5.80984599356232	7.73235429789004	0.000798769958111038	0.412505115330401
368234	0.617223512530588	-1.73611826913693	-0.0739090761245773	0.322922766746816	0.00602634732835838	6.47052766700757	7.71915630899884	0.000805866096487371	0.412505115330401
101886366	-0.048061024567672	-2.27482707316306	-0.105367899260695	0.215071602801604	0.388332885152436	7.05841408017444	7.66318697079532	0.000836757406405502	0.412505115330401
393834	-0.514683395941728	-1.24200547381811	0.532595575580473	1.43485824296234	0.49075546254246	5.97899957856387	7.64992279705134	0.000844272143262646	0.412505115330401
768197	-1.11799934550033	0.404821194614211	0.171520779837805	0.972261955236624	1.77680382004235	2.75253654350586	7.46461758621107	0.000957602849765245	0.425472942864567
100331800	-3.34413601121508	-0.519018605897695	0.637864389890657	-1.87930880240315	-1.02242070981665	4.89189871714468	7.45429974076669	0.000964398857682992	0.425472942864567
492777	2.72165489499474	2.72627409346789	0.923634030924399	-1.14102137905825	2.36127393512228	4.98924504137501	7.37636717758254	0.00101751827254528	0.425472942864567
494045	-2.15098550552972	-1.93046183061802	-1.91810704733902	1.21327636121457	0.0182138643371053	3.92524080837713	7.32776842640062	0.0010523061946886	0.425472942864567
100536289	-0.681708698146359	-2.20908599909528	-0.684253172270092	0.661681020659165	0.830564122386699	5.17972938233965	7.30365178826216	0.00107006439363242	0.425472942864567
569382	-3.07032790876107	-0.394363495767425	-2.83744945057037	-1.633185946525	0.908802170504903	3.16587626754166	7.30143188262133	0.00107171587639344	0.425472942864567
571246	0.0351445273787689	-2.03881776475733	-0.45841824757872	0.48009738776988	1.34719896328763	4.72247491318899	7.26846757923082	0.00109657974965095	0.425472942864567
566780	-2.43989666190857	-0.388755288220306	0.128264821514362	-0.0669697256532951	-3.08547220079077	3.50503698166168	7.20395209551218	0.00114714125052778	0.432373925056071
562614	0.014850834073032	-2.06457149794847	-0.037108816200349	0.327076059471885	-0.111967407993987	6.53450100509709	7.1212161381693	0.00121586098856739	0.445545504477249
368511	-0.218371269278538	-0.118541880132332	0.46174221861771	-0.414274759243617	-2.3705233178142	7.15468240437872	7.07067663008583	0.00126011049020803	0.449280475319576
259196	0.429952717757912	2.88855823189165	2.47158609418264	3.85440533304947	6.11598023873971	3.46343018214607	7.01759242982294	0.001308547464492	0.454272582936275
557841	2.62708230771811	4.23460327485391	3.98955797221622	4.08361796031702	3.86993452641173	4.90660072714787	6.77497903898192	0.00155828104929763	0.521882261094604
373871	-0.0272934137948546	-2.44226633598856	-0.692586106451472	-0.0879037145201576	-0.0298775638396069	6.3948291566194	6.71001044785387	0.00163395634405236	0.521882261094604
553436	-3.1624657206394	0.760245601087267	0.00253411693117833	1.34313824027359	-0.146805861968482	4.22854258055384	6.68780117152516	0.00166076592047679	0.521882261094604
566046	-0.841786510840861	-3.6289036989477	-0.146511547874921	-0.359668021909422	-0.699655546957517	5.47227248194093	6.64748537108985	0.00171070492850498	0.521882261094604
503769	0.0766074728245032	-1.387843781214	0.0914715090431324	0.0804979026249644	0.922409889537867	7.36706383131204	6.6259928069377	0.00173801563947072	0.521882261094604
553510	0.174817137738034	1.01698828385325	-1.10844994563661	-1.26667405534136	1.2856434126209	4.76148198537934	6.62393002588059	0.00174066248394198	0.521882261094604
100320270	0.0421586658993984	-2.33328517898604	-0.0178784262427767	-0.538952263923744	-0.599906650485415	6.01220334837083	6.55078442569707	0.00183751145579858	0.53867669166433
572203	1.71371006395385	-0.748322678264888	1.22621548745556	2.61741520450505	2.96370880486717	4.83323349609931	6.42595620154593	0.00201709765447948	0.54864885074553
100332111	0.539220467999822	-1.45198050598012	0.436385246108812	0.773307773101482	1.15213129981261	6.72102939612422	6.4257613795241	0.00201739292530346	0.54864885074553
100006044	1.05360026567648	-1.30563879131264	0.657715187837466	0.492418311424312	-0.330777023482968	6.27857696731634	6.41477322675765	0.00203412533137036	0.54864885074553
100334796	0.703904215008818	2.70691561891869	2.89373529465411	3.15793381826069	2.68480780374919	5.59933891157468	6.41231749144714	0.00203788611935498	0.54864885074553
100001080	-2.18729696271411	1.6256451505949	0.960526107976439	-0.750155000478039	0.996909578643388	3.56153757235162	6.38145640194415	0.00208581949176322	0.549368006522188
554176	-1.87633502800029	0.0539496525597381	0.260116668126943	0.511621204764498	0.594905478083315	5.42595235357335	6.31243602740337	0.00219767309348764	0.549368006522188
114453	-0.242405120028404	-2.12798705889503	0.690149796807394	0.84325424753354	0.576469385165848	4.87402360474055	6.27388375883841	0.00226307286487374	0.549368006522188
436597	-0.703061993420938	-2.94053703255298	-0.857296983384887	-1.2356959895608	-1.12919581732759	5.88799226579625	6.26169000011968	0.00228421098856088	0.549368006522188
492768	-0.489597646514667	-0.811346759657429	-0.418754679505421	-2.7402989863788	-0.0483130839278703	5.87413172532586	6.2451487975517	0.00231324070333591	0.549368006522188
79379	-0.850481366902401	2.18626135702367	-1.73885233223903	-0.61913406413751	-0.0290519283139465	4.70831011457038	6.23252618042232	0.00233567205408778	0.549368006522188
101886149	3.09473719671087	2.48109409144617	-0.232001548808748	-0.246188654300894	-0.498288456642609	2.65988351809074	6.19387439801172	0.00240589245978197	0.549368006522188
103908633	1.73224958296075	1.95277325787245	4.65375265674109	3.69771237877054	0.558353210504829	2.93582326068412	6.18711262339406	0.00241841885954804	0.549368006522188
796934	1.60801366596047	-1.34195024849703	0.811373115652698	0.400608182653053	1.74235135854124	5.44211529659285	6.17731873983118	0.00243669236782496	0.549368006522188
393629	1.24444940934734	-0.744812455767498	1.20321278829121	2.09088709750686	1.69166341280104	4.97682300211934	6.16653218004937	0.00245699760345733	0.549368006522188
60640	2.11141742421073	1.95277325787245	2.14196628005104	2.28958811694898	5.19238401954006	3.64635876288677	6.13004245106574	0.00252710918284338	0.550264155756256
100007222	-0.763548233085574	-0.381215615783792	0.553657138828414	0.313150036426054	-2.99408627268894	4.61775810331475	6.10255836861279	0.00258140087815129	0.550264155756256
100006078	1.73224958296075	2.19842845592786	2.98629568858684	4.47953998639263	0.965817350950312	3.42539242391929	6.1001894177941	0.00258614142335415	0.550264155756256
566140	0.396682964497267	-0.288207751227326	-0.255070995685564	-0.737579347347427	-2.03411039326908	6.41432750808013	6.06320014993012	0.00266144317437068	0.555165586164647
553811	-6.31586057974112	-1.56713349241291	0.305135737353303	0.390910976253957	-3.82852155464393	5.74658489150976	6.03316112488335	0.00272440886801231	0.555165586164647
777634	-1.91073882812884	-0.934737492451917	-6.19176091853155	-1.30459277809579	-0.24743403666844	5.15242180008079	6.0156561997233	0.00276187153595343	0.555165586164647
415231	-2.39664070358512	1.33596537655596	0.126359327800044	0.0200344104295662	0.921078480966951	3.66440931624677	6.00842701205241	0.00277751127098747	0.555165586164647
562262	3.13104865389525	0.896131590725015	0.921142324070352	0.987291251746136	3.97787522180147	3.54557292039632	5.96657111522189	0.00287004003540119	0.565098032044962
368476	0.293411939809065	-1.11852237573024	0.511791810969959	0.371701606285596	0.639459366936884	7.71988566639822	5.94416750966237	0.00292098449699064	0.566670992416184
110437713	0.745279046325063	0.598436658697185	1.57675336942528	2.89307748961141	1.06231955668197	5.57507920472997	5.92338818879365	0.00296914391608863	0.567665891899148
550460	-0.0696662637451988	-2.56701810137034	-0.0226731675629859	-0.833529482069175	0.0669420051626259	7.08375619162377	5.89895139279974	0.00302692373181796	0.570445398144894
436795	0.677618993901383	1.40722500310137	0.651111084241869	-0.52281216112916	-0.178259069544178	6.94516116248494	5.84182384255736	0.00316698660801015	0.571868629129971
799094	-0.668154088551433	-3.11241489259269	-0.216615524698378	-0.141173586164114	-0.944570838318534	6.11135807543423	5.8345851296841	0.00318524754568193	0.571868629129971
567995	-0.26420846668958	-3.08847032363288	-0.17164360932784	0.219742352141314	0.0140924107713696	6.91447455564606	5.8341446684147	0.00318636249390227	0.571868629129971
103910107	-1.82753979515537	-0.914512997836696	-0.369920694326453	0.279898272461612	-0.599053679145122	6.68752252051904	5.82568007726477	0.00320787435988613	0.571868629129971
555634	-0.0105871035780289	-2.23748900875938	-0.160406841355029	0.0665589517619765	-0.029419713665396	6.93800913933323	5.7950985435978	0.00328696278789463	0.578154841305413
553986	-0.197114525386811	-2.12078694914495	0.0565863435900535	-3.26310719417086	-0.00550528103120307	4.51690951910967	5.7514438117125	0.00340367804713377	0.588870218887593
100005130	-0.194870321547469	-1.0309883137832	-0.313474458030896	-0.709202751216193	-2.42540836115083	3.0414539502434	5.73923020189576	0.00343715940375566	0.588870218887593
321686	-0.788794239560954	-2.8572948222576	-0.197920256494318	-1.15107904658875	0.0249048795043603	6.64900494421624	5.69751299040208	0.00355433600494645	0.593169590631319
352927	-0.0338697732868578	1.60396678145806	0.166756023591905	0.673076761230416	0.323047050881447	9.58225746944257	5.69014840928489	0.00357548369189367	0.593169590631319
567424	-0.474719702639462	1.03745811604618	0.920130458090376	0.59823783089294	0.985855593841705	6.88786422222224	5.64231457603214	0.00371632455383973	0.593169590631319
559491	0.78066067781647	-1.70846213968066	0.246837526754354	1.24116211863125	0.0300323769311115	4.59629023717104	5.63992963115713	0.00372350784027632	0.593169590631319
560226	-0.43870474656369	-2.51786279250643	0.00393362480022574	-0.184663457462735	0.150634068635513	7.33028938747889	5.62265882549954	0.00377599333058873	0.593169590631319
558926	-0.0429405668675145	-2.64322826088875	0.529618707286909	-1.79312186474802	-2.98100664110894	4.27757149391599	5.60738935369014	0.00382308846505965	0.593169590631319
