plate_id	embryo_id	is_VC	time_end	value
0006_17_25-05-17_PE2006	1_1	1	2	201.797
0006_17_25-05-17_PE2006	1_1	1	4	222.045
0006_17_25-05-17_PE2006	1_1	1	6	139.428
0006_17_25-05-17_PE2006	1_1	1	8	97.5045
0006_17_25-05-17_PE2006	1_1	1	10	225.913
0006_17_25-05-17_PE2006	1_1	1	12	280.753
0006_17_25-05-17_PE2006	1_1	1	14	294.72
0006_17_25-05-17_PE2006	1_1	1	16	298.685
0006_17_25-05-17_PE2006	1_1	1	18	308.271
0006_17_25-05-17_PE2006	1_1	1	20	268.72
0006_17_25-05-17_PE2006	1_1	1	22	108.214
0006_17_25-05-17_PE2006	1_1	1	24	110.355
0006_17_25-05-17_PE2006	1_1	1	26	94.7225
0006_17_25-05-17_PE2006	1_1	1	28	154.588
0006_17_25-05-17_PE2006	1_1	1	30	93.9211
0006_17_25-05-17_PE2006	1_1	1	32	306.197
0006_17_25-05-17_PE2006	1_1	1	34	264.397
0006_17_25-05-17_PE2006	1_1	1	36	366.104
0006_17_25-05-17_PE2006	1_1	1	38	307.934
0006_17_25-05-17_PE2006	1_1	1	40	271.525
0006_17_25-05-17_PE2006	1_2	1	2	140.625
0006_17_25-05-17_PE2006	1_2	1	4	87.7186
0006_17_25-05-17_PE2006	1_2	1	6	138.848
0006_17_25-05-17_PE2006	1_2	1	8	124.449
0006_17_25-05-17_PE2006	1_2	1	10	146.719
0006_17_25-05-17_PE2006	1_2	1	12	228.039
0006_17_25-05-17_PE2006	1_2	1	14	291.318
0006_17_25-05-17_PE2006	1_2	1	16	298.519
0006_17_25-05-17_PE2006	1_2	1	18	263.942
0006_17_25-05-17_PE2006	1_2	1	20	237.045
0006_17_25-05-17_PE2006	1_2	1	22	64.773
0006_17_25-05-17_PE2006	1_2	1	24	82.0486
0006_17_25-05-17_PE2006	1_2	1	26	44.4128
0006_17_25-05-17_PE2006	1_2	1	28	24.1882
0006_17_25-05-17_PE2006	1_2	1	30	46.5147
0006_17_25-05-17_PE2006	1_2	1	32	252.411
0006_17_25-05-17_PE2006	1_2	1	34	286.569
0006_17_25-05-17_PE2006	1_2	1	36	229.258
0006_17_25-05-17_PE2006	1_2	1	38	237.707
0006_17_25-05-17_PE2006	1_2	1	40	263.157
0006_17_25-05-17_PE2006	1_3	0	2	29.588
0006_17_25-05-17_PE2006	1_3	0	4	60.3791
0006_17_25-05-17_PE2006	1_3	0	6	206.118
0006_17_25-05-17_PE2006	1_3	0	8	232.843
0006_17_25-05-17_PE2006	1_3	0	10	253.534
0006_17_25-05-17_PE2006	1_3	0	12	228.079
0006_17_25-05-17_PE2006	1_3	0	14	165.75
0006_17_25-05-17_PE2006	1_3	0	16	205.834
0006_17_25-05-17_PE2006	1_3	0	18	175.851
0006_17_25-05-17_PE2006	1_3	0	20	152.45
0006_17_25-05-17_PE2006	1_3	0	22	54.8383
0006_17_25-05-17_PE2006	1_3	0	24	29.0273
0006_17_25-05-17_PE2006	1_3	0	26	11.8027
0006_17_25-05-17_PE2006	1_3	0	28	0.883498
0006_17_25-05-17_PE2006	1_3	0	30	27.2722
0006_17_25-05-17_PE2006	1_3	0	32	209.488
0006_17_25-05-17_PE2006	1_3	0	34	184.695
0006_17_25-05-17_PE2006	1_3	0	36	206.49
0006_17_25-05-17_PE2006	1_3	0	38	160.905
0006_17_25-05-17_PE2006	1_3	0	40	126.676
0006_17_25-05-17_PE2006	1_4	0	2	73.7774
0006_17_25-05-17_PE2006	1_4	0	4	80.4793
0006_17_25-05-17_PE2006	1_4	0	6	164.583
0006_17_25-05-17_PE2006	1_4	0	8	136.214
