	DBC_10-4_A	DBC_10-4_B	DBC_10-4_C	DBC_10-3_A	DBC_10-3_B	DBC_10-3_C	DBC_10-2_A	DBC_10-2_B	DBC_10-2_C	DBC_10-1_A	DBC_10-1_B	DBC_10-1_C	DBC_3uM_A	DBC_3uM_B	DBC_3uM_C
ENSDARG00000003181	5.38664245788327	6.17002989739287	5.55005589346036	6.64634464288256	6.74442359464536	6.55635675337129	6.60836521481632	6.28029411760188	6.38161121470118	6.15420493790773	6.49249351798442	6.66272879842508	6.12896140814162	6.17002989739287	6.03436016238092
ENSDARG00000005394	6.49059372643083	6.75541832998596	6.25582914990261	5.51116450771091	5.94784775015129	5.59275427397543	6.31062966975476	6.14224796421553	6.38161121470118	6.47138428757736	6.17002989739287	6.05174883285629	6.14292056028012	6.3476334474955	5.61177411080857
ENSDARG00000005595	5.93076098550639	6.19265492996582	5.83334643572161	6.26842752575421	5.97502597600985	6.57654480154904	6.17002989739287	6.14224796421553	6.39623226770997	6.14224796421553	6.40338900083285	6.64215077360627	6.69615459143053	6.45173099501042	6.75541832998596
ENSDARG00000006368	5.54504881277464	4.54388815552859	4.23648974713571	4.30605563739973	4.50725873094861	4.19599422836739	4.3720771408156	4.00302133945763	4.217440029897	4.13211892019042	4.66991066087719	4.44654012091571	3.78452590560738	3.96272701523181	4.32004179637018
ENSDARG00000007366	7.41491236772773	7.56109131129508	7.74124023191814	7.32447921214014	7.61830328799039	7.76898695339437	7.37775246484995	7.27174386207287	7.47130762458234	7.28164690157274	6.92376414313047	7.64924375740973	6.9712499762584	6.46695485514649	7.13172143977429
ENSDARG00000008880	9.58918220900927	9.88327564593014	9.59929767110995	10.0365392055035	10.611584488718	10.483336606729	10.3021306882003	10.5612819796238	10.1362713408598	10.0683774571534	10.5769999100814	10.1876344392442	9.88244020790694	10.3005165660758	9.81202113089713
ENSDARG00000010317	4.611439077251	4.05969240581089	4.51604472245231	4.67656220318869	4.42384509851527	4.82479383982129	4.22686375318003	4.28615965460206	4.78576846727595	4.4029570555677	4.45063349055999	4.14458548784384	5.26922002731909	5.00980826062479	5.21330887021771
ENSDARG00000010384	4.27618012575154	4.8021460327813	4.13211892019042	4.30605563739973	4.50725873094861	4.46560649120085	4.3720771408156	3.92147956358696	4.51195135280803	4.62869872850094	3.81719707776987	4.63451764854751	3.54849469289217	3.52599281742164	3.81056136619981
ENSDARG00000011042	6.63852695263352	6.7422617597313	6.47888045459785	5.88635024117672	6.02930402510637	6.15972159418816	6.05174883285629	6.20852372309429	6.32707775783992	6.02704943549152	6.02704943549152	6.2733248080573	6.2001439497754	6.43308850145753	6.14095694255774
ENSDARG00000012060	7.67320491120195	7.53993758613451	6.89113224930264	7.10977861559789	7.24388418802902	7.08143592230376	7.52447810862627	7.1417978126178	7.11384048848156	7.22167509296834	6.86862354826374	6.81006105790424	7.14689961915249	6.47944957170982	6.28029411760188
