	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
100329491	7.345274821	7.765710649	7.247987393	7.382815102	7.562876748	7.647031283	7.262586639	7.410044693	7.324211629	7.7504406	7.345405972	7.565047834	7.592926151	7.478091232	7.288204639	7.42101165	7.17079497	7.200215792
100009658	8.377896105	8.655629749	8.712181234	8.834022171	8.304258168	8.53569081	8.418859877	8.204189466	8.060257291	7.806761938	8.657863344	8.124553004	8.107108207	8.148903851	8.181260781	7.115782706	7.964124071	7.877559238
393969	5.862683113	6.259994008	6.359132419	6.271557442	6.120998495	6.312273284	6.196376974	6.506045039	6.498902347	5.821548812	6.101269103	6.380438626	5.95113574	6.1709583	6.454903046	5.954215667	6.402987356	6.254798046
393212	7.466258608	7.89051695	7.569397611	7.724654891	7.894439034	7.960607289	7.765386963	7.82295707	7.794550727	7.566945229	7.802821264	7.80097259	7.708357155	7.793323332	7.827280774	7.146666918	7.947453598	7.514944636
101882104	5.618748862	5.480297234	5.535675669	5.436086908	5.361910147	5.453691293	5.186799963	5.521852913	5.533604797	5.314006633	5.155302177	5.288883478	5.232842832	5.510290379	5.15913114	5.297401609	4.924875447	5.254318086
336335	9.768013735	9.674621436	9.969968033	9.886950035	9.776356106	9.852107855	10.065754794	10.071110654	9.952737889	9.497829819	10.036353578	9.92120621	9.549123718	9.973292775	10.008832483	9.590458398	10.22515022	10.090352755
565937	7.132408787	7.062138492	7.0717541	7.096818314	7.218034406	6.926223714	7.400826074	7.351378839	7.2400283	7.282615571	6.953780337	7.426814738	7.369930957	7.092672309	7.243352364	7.429408657	7.269203519	7.323025801
557730	8.13407969	8.393533241	8.373439568	8.378314954	8.172262227	8.335963733	8.291120754	8.471055427	8.327147806	7.752935622	8.143844946	8.109568362	7.807985601	8.131089293	8.087942211	7.248253297	8.313078546	7.959459016
565740	6.82618016	6.65777744	6.981230366	7.041671219	6.864178961	7.069303952	6.929746819	7.173873688	7.126713363	6.619105717	7.058280933	6.935478372	6.733983488	6.883018026	7.113125944	6.375189735	6.926684041	6.856699909
558020	8.680346749	8.895640646	8.920297043	9.024382034	8.416958151	8.568619022	8.731642342	8.449136374	8.52713579	8.315514264	8.510476592	8.413302925	8.248995506	8.51859704	8.380820954	8.156928898	8.215187375	8.437697203
402840	8.784498789	8.92660451	8.809862159	8.754467511	8.52477291	8.621045462	8.731642342	8.473952967	8.573082702	8.410233697	8.71710839	8.764221981	8.519084843	8.511729345	8.69471375	8.442005512	8.502396626	8.563120721
553410	9.766943484	10.081111684	10.017847727	10.138644518	10.141953215	10.296549254	10.061184819	10.466908365	10.216497271	9.551844239	10.278477518	10.085504391	9.793447752	10.064812471	10.185588901	9.321663187	10.416243472	9.87510484
100006088	5.683706757	5.93009772	5.740223075	5.666666568	5.746490258	5.701830522	5.654163208	5.441239166	5.433193597	5.650113108	5.754344643	5.288883478	5.964234274	5.564390709	5.428545546	5.533822909	5.077532577	5.03598116
566781	7.455669859	7.400571521	7.5722196	7.185594658	7.196229044	7.385417526	7.394381313	7.300055631	7.358838857	7.473217397	7.141373503	7.24068395	7.138192355	7.181898977	6.991825796	6.942790523	6.724495783	7.196925153
560778	8.384889348	8.329203622	8.395913572	8.082949537	8.384785965	8.069522731	8.521492147	8.07083411	8.316617002	8.699961699	8.176577159	8.318023533	8.406035893	8.328465355	8.280794226	8.284293966	7.312453598	8.131340962
352938	4.014563862	4.457871461	4.347322304	4.695893639	3.492245216	4.233270086	4.073762449	4.151068067	3.243146804	2.724278815	3.797830189	3.784671604	3.355772171	3.682134591	2.812318407	1.209115498	3.168385127	3.118614624
368211	9.155507113	9.19293995	9.354931632	9.435685931	9.109258097	9.451421182	9.244663587	9.487058535	9.329777832	8.527080603	9.28217172	9.206636546	8.674602508	9.007796673	9.174888644	8.338802713	9.530919628	9.011031443
449771	10.849139616	10.776294387	10.654698381	10.445674715	10.514366746	10.44083129	10.088390016	10.254589221	10.37827033	10.608831399	10.54716697	10.404450257	10.550946808	10.507057038	10.350807433	10.339248452	10.023742917	10.161714549
403080	7.171757979	7.202604595	7.466980534	7.403152632	6.999383462	7.297008325	7.59036848	7.250223229	7.340474482	6.832302445	7.332834142	7.288777036	6.85495517	7.43808134	7.395956352	6.927063313	7.23963259	7.422174191
447910	6.992907393	6.819778209	6.902693037	6.919922002	6.836253333	6.962355087	6.718977931	6.908561805	6.962298284	6.613624963	7.00855839	6.661839759	6.515591007	6.69210583	6.608991874	6.415198374	6.908006982	6.493443534
568235	6.805480819	6.741050522	6.946851588	6.924619312	7.018148081	6.798799802	7.057611238	6.759794944	6.94112557	7.226270962	6.564010514	7.206664717	6.969814207	6.929107643	7.145988999	7.143267808	6.929773511	6.852523316
100535437	4.637553614	4.889582931	5.107989088	4.651247053	4.049391294	4.124090624	3.973562231	3.96588225	4.064823617	3.924196045	4.135569486	4.165668313	3.882796605	3.9973858	3.107518433	3.270233068	3.288773566	3.589271399
100034578	5.580273208	5.643102362	5.827843273	5.732438088	5.596410765	5.673048796	5.28761625	5.124652686	5.248553191	5.418283933	5.337507177	5.072414635	5.010964378	5.105692069	4.655670405	4.114162199	4.887228577	5.065149844
437025	6.623514733	6.408897884	6.746565365	6.78177493	6.578362347	6.730602759	6.789438059	6.899969382	6.783520081	6.546178542	6.893419576	6.780119464	6.437906046	6.804270421	6.811022658	6.420824386	7.033936791	6.818668018
100037377	5.637608613	5.501681312	5.808826824	5.865421727	5.629329908	5.775887556	5.643333067	6.042660222	5.627479852	4.720432361	5.791570923	5.477069856	5.188883287	5.257912944	5.407015772	4.414069886	5.771650445	5.189568355
559479	5.043219376	4.856768449	4.473438506	5.112949281	4.294848635	4.792762997	4.226695392	4.340787115	4.48831546	4.296731376	4.655106167	3.680365137	4.24668471	4.202364335	3.709798438	3.412563861	3.469473256	3.974647649
100334203	5.646946832	5.604090878	5.464553709	5.753712063	5.428886664	5.442365421	5.807555623	5.720356045	5.415757321	5.01464268	5.367401541	5.445594372	4.864958999	5.476828814	5.234405458	4.391325916	5.378195874	5.135591294
100334697	4.458215356	3.936412953	4.056253671	3.968167193	3.456003123	3.910560619	4.073762449	3.361145787	3.496367359	4.212223166	3.095275475	3.784671604	4.064066779	3.933042012	4.234663206	3.905287297	3.288773566	4.034863778
449990	6.071276069	5.873808853	5.980098101	6.013870695	5.847870602	5.837708711	5.954980476	6.331730572	5.951702464	5.079691515	5.924869135	5.935523699	5.232842832	5.510290379	5.61848869	5.30958318	6.253191816	5.487660551
