	dose_3.dose_0	dose_30.dose_0	dose_300.dose_0	dose_30000.dose_0	AveExpr	F	P.Value	adj.P.Val
100006023	-1.72104591175	-1.66072688675	-1.56498886508333	-1.97450877125	4.25867473688889	23.6107107711614	4.94556789599999e-07	0.00276453649578329
558461	-1.56543241625	-1.76889921025	-1.63942469825	-2.06922888891667	4.77341470416667	22.8986303020417	6.22864136522741e-07	0.00276453649578329
798920	-1.39790319866667	-1.3321514085	-1.28845362233333	-1.59788722	4.20514158666667	22.3984934893425	7.34988433831077e-07	0.00276453649578329
566996	-1.08220089425	-1.36033091225	-0.236927671916665	-0.789382290916665	3.95272251077778	20.6574273400703	1.33994121154399e-06	0.00305097559535569
565130	-0.492955477666666	-0.967019906500001	-1.528631971	-1.41632936033333	3.7468859545	20.3646605646904	1.48817972856951e-06	0.00305097559535569
561967	-1.16796293441666	-1.91449091075	-1.36200674841666	-1.84374043508333	7.72348597161111	19.7349794359254	1.87264284715158e-06	0.00305097559535569
572074	-0.739329334166666	-0.504919912000002	-1.14807437616667	-1.52973015966667	4.22669310877778	18.894372630281	2.56845362773114e-06	0.00305097559535569
555536	-0.373706659666667	-0.434423326500003	-0.595029707666669	-0.974104205333334	4.9827116595	18.7938333733611	2.66932592549421e-06	0.00305097559535569
100534737	-0.656837036333331	-1.2769394595	-0.933835292666665	-1.3808933265	5.8784169885	18.5928254279096	2.88442951830839e-06	0.00305097559535569
561959	-0.195584729916668	-0.178479757250003	-0.575429776250001	-0.826127427249999	5.44033633533333	18.5751968213137	2.90419179042607e-06	0.00305097559535569
445293	-0.373009548416665	-0.80473495575	-1.32111525241667	-0.919699405249999	3.90772801077778	17.9969731028409	3.64353715741613e-06	0.00305097559535569
569104	-1.48176917725	-1.85439418625	-1.27477361025	-1.84656334808333	3.97714404783333	17.8686003642814	3.83461938927322e-06	0.00305097559535569
568448	-0.722030565166667	-0.893578665500002	-0.9656838515	-1.300198094	7.21825115933333	17.8041998582002	3.93464148462639e-06	0.00305097559535569
30483	-1.388603511	-1.8983300305	-1.30639265933333	-2.23504008583333	2.95789601472222	17.6698561605363	4.15273330380863e-06	0.00305097559535569
570792	-0.618553694333331	-1.030563372	-1.044109928	-1.089596898	5.16040501194445	17.565639745732	4.33115135518939e-06	0.00305097559535569
100537435	-0.261030326	-0.494142541500001	-1.037777423	-0.938626307666666	4.55717409911111	17.2247370327387	4.97680570010856e-06	0.00305097559535569
100384902	-0.845892583416664	-1.09434211925	-1.10264827308333	-1.71135610291666	4.49083163322222	17.0449113006214	5.35984691702925e-06	0.00305097559535569
100001920	-0.821611121749999	-1.18416320375	-1.01900674708333	-1.27773147758333	4.23571474011111	17.0317978547568	5.38903182135288e-06	0.00305097559535569
445143	-0.738425216583332	-0.651383920750001	-1.59033007625	-1.50451192675	4.24204219633333	16.9509656509354	5.57286423643519e-06	0.00305097559535569
101884886	-0.420735668083332	-0.821623704749999	-0.635511313083332	-0.987229558083331	4.38359238711111	16.9314374679201	5.61831118661815e-06	0.00305097559535569
100136839	-0.338258711833332	-0.4543068105	-0.740354376833332	-0.858322004833331	6.52918441494444	16.9060563162272	5.67799428416071e-06	0.00305097559535569
100148657	-0.519875279833334	-0.527812981500002	-0.810969313833334	-1.1263938485	4.72817716522222	16.7225725016894	6.13094235497349e-06	0.00314461606970549
100329340	-1.68424364566667	-1.154128918	-1.617756281	-1.51583042333333	3.49955802566667	16.3527427967427	7.17071753393069e-06	0.00316192655342989
799109	-0.493180114416666	-0.75197018675	-0.944753603083332	-0.995589323249998	5.81915017344445	16.3391553273149	7.21247393275091e-06	0.00316192655342989
553310	-0.580207965749998	-0.86504041775	-0.824072221083332	-1.14184732441666	5.12179439116667	16.3354129874408	7.22402198801125e-06	0.00316192655342989
794389	-0.685668921416666	-0.654021086250001	-0.876974543416666	-1.03574307191667	4.74916601405556	16.2016967833126	7.65039437140706e-06	0.00316192655342989
792854	-1.05306609608333	-1.00960496475	-1.13285507141667	-1.36320573208333	4.64089673705556	16.1917487926376	7.68321201314552e-06	0.00316192655342989
767674	-0.669855491583331	-0.72031681425	-0.696228453249998	-1.16608754125	6.04239241411111	16.1430975087368	7.84597159660022e-06	0.00316192655342989
100333903	-0.408188198999998	-0.664758195000002	-0.769282748666666	-0.936603800333331	6.18996360861111	15.929093549915	8.6087211247103e-06	0.00328968030990761
30256	-0.455297605499998	-0.786387791000002	-0.654531492166667	-0.992020946999999	5.282251857	15.7672051687552	9.24035167503673e-06	0.00328968030990761
30067	-0.403689129749998	-0.57786968425	-0.881669603749998	-1.17808568608333	5.01768377177778	15.6446331527121	9.75276113834607e-06	0.00328968030990761
559736	-0.669083341249999	-1.03474709025	-0.988013688916666	-1.23486377908333	4.30156008827778	15.6323848450746	9.8056707921051e-06	0.00328968030990761
565211	-0.89191235158333	-1.46609510925	-1.06289888458333	-1.75198692558333	6.09159482311111	15.6246162560598	9.83939393786464e-06	0.00328968030990761
100535437	-0.772578455166665	-0.806240238	-0.746448556833332	-1.29893002633333	4.04586307872222	15.6079472069121	9.91218810145859e-06	0.00328968030990761
562916	-0.885163991416665	-1.43784834825	-1.01469751408333	-1.52303262675	7.06581162766667	15.3028661115879	1.13556564108085e-05	0.00336478145157297
767696	-0.291268174833331	-0.544465095500001	-1.0311829625	-0.944840735166665	5.39403770916667	15.2865570455743	1.14391314151087e-05	0.00336478145157297
