	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
553625	2.588372147	2.679161359	2.872166236	2.621353946	2.259692625	2.156375898	2.825102662	2.113385537	2.237286042	2.145816141	2.657632877	2.402149689	2.274705948	2.431305534	2.644210748	2.380823143	2.366928725	2.759177661
553626	3.940788389	3.782742915	3.999386965	3.801244638	3.956289177	3.848400006	4.082593428	3.984554064	4.060842208	3.943129271	3.888985251	3.834625333	3.871547877	3.797492747	4.040750313	4.107979967	4.076216242	4.107824628
553627	3.85143949	3.842167909	4.222532017	3.927353017	3.817919492	3.751562454	4.208219857	4.051520291	4.091129826	4.043609982	3.888985251	4.081487333	3.878429582	3.934241886	4.06822967	4.09057412	4.011138902	4.104343423
553629	3.483700875	3.436710252	3.334733861	3.420652108	3.155298255	3.09396277	3.339547271	2.900748639	3.022734793	3.046557674	3.198490107	3.019247287	2.893063886	2.933633321	2.662355688	2.158303354	2.537384507	2.89432529
553630	5.231506119	5.457486296	5.261681141	5.731278645	5.521140187	5.643291002	5.642920187	5.755134767	5.7164231	5.080089653	5.764607826	5.625200467	5.328470574	5.402189763	5.814978792	5.101158767	5.99116447	5.501132754
553631	2.569006059	2.479761744	2.477385561	2.550753593	2.472652638	2.300266413	2.576661065	2.306385829	2.522337648	2.342731888	2.414126593	2.455386994	2.23235942	2.38432748	2.247381559	2.392233924	2.463160463	2.600195895
553633	3.039048705	3.511830097	3.260293549	3.380506356	3.194021847	3.307214459	3.520736758	3.307628391	3.449886364	3.206827239	3.509059651	3.491456494	2.972394606	3.55921294	3.454089456	2.903621296	3.625203478	3.421923937
553634	3.773213012	4.325294875	4.233186247	4.235624909	3.448562417	3.910885535	3.68168854	3.268423609	3.595294204	3.070572513	4.24906549	2.997874903	3.398190396	3.499845672	3.52521735	3.076260716	3.06920493	3.460556433
553636	3.452336037	3.363270254	3.710096207	3.546934775	3.425501627	3.535893342	3.520736758	3.382979671	3.599131324	3.825746455	3.500161911	3.608888314	3.619703556	3.477637179	3.621106054	3.82187829	3.621416595	3.737209394
553637	3.835319561	3.707129952	3.855099309	4.064589465	3.592163706	3.637935951	3.566960248	3.294678146	3.614378556	3.733492706	3.552743365	3.531671912	3.130633332	3.477637179	3.306143435	3.675458746	3.246849018	3.560482624
553639	6.050475806	5.993239273	5.953734952	5.883862553	5.790269559	5.884510277	5.855702811	5.696034617	5.801312804	5.751940304	5.835294142	5.67990584	5.898156447	5.778823558	5.75071117	5.776011204	5.648262271	5.792581641
553641	3.348261263	3.298068454	3.460960709	3.522547095	3.126988033	3.164050724	3.583919245	3.370691266	3.38469013	3.277309568	3.500161911	3.526705865	3.06579145	3.385217955	3.459287968	3.480766319	3.31876573	3.550284124
553642	1.681432144	1.631201706	1.726278233	1.593907412	1.382694045	1.781495848	1.682398339	1.427688125	1.52624479	1.416162382	1.767639262	1.5948924	1.72216121	1.163538108	1.385092457	1.447242469	1.432988696	1.767338213
553643	2.205026323	2.3801758	2.230354289	2.166075498	2.259692625	2.312662785	2.114593814	1.667574028	2.156262269	2.329523884	2.404621667	2.01933216	1.397495201	1.972671456	2.108700868	2.223634266	1.784099047	2.024714011
553644	2.046028218	1.074211861	2.285992023	1.945341834	0.516331986	0.866035722	1.299965974	0.399109851	1.261545692	1.141735447	1.319017619	1.019501892	0.726514799	0.747115872	0.864460627	1.209942609	0.277506417	0.617614899
553646	3.694974054	3.862811563	4.13434126	3.977557431	3.849450527	3.705300642	4.062567454	3.539376626	3.995381213	3.773057712	3.764471702	3.822519136	3.508765862	3.934241886	3.807928953	3.548625341	3.332728671	3.768339185
553647	3.302089997	3.2361232	3.314809888	3.137192623	3.411486117	3.28850876	3.479039486	3.158349675	3.362286472	3.787619256	3.388875129	3.546468307	3.435998421	3.41473997	3.265175159	3.533246471	3.469612292	3.305478809
553648	3.667922233	3.60789895	3.764970764	3.7496466	3.71516947	3.551667489	3.768313426	3.533876601	3.755158542	3.666791422	3.808383339	3.797997651	3.548140192	3.880241069	3.770778196	3.588851792	3.858644303	3.930458877
553649	3.814913011	3.76968417	3.926860197	3.959502773	3.688296377	3.877897009	3.970992973	3.968335059	3.845151228	3.574637306	3.922672219	3.826565833	3.699588624	3.751956647	3.883350845	3.670781247	3.96705876	3.942206502
553650	3.087490424	2.988117566	3.167060739	2.966898631	2.843579436	2.926621933	3.109045513	3.200617644	3.158947397	2.711920204	3.304507475	2.916683807	2.649316179	2.973855856	2.969747726	2.725633693	3.355704066	3.047195569
