"gene","genecount"
"ENSDARG00000020741",44
"ENSDARG00000104660",17
"ENSDARG00000096594",0
"ENSDARG00000077652",15
"ENSDARG00000079452",0
"ENSDARG00000089943",0
"ENSDARG00000096536",0
"ENSDARG00000077533",46
"ENSDARG00000030563",0
"ENSDARG00000026387",0
"ENSDARG00000070495",5
"ENSDARG00000084766",0
"ENSDARG00000034785",10
"ENSDARG00000070512",18
"ENSDARG00000070504",5
"ENSDARG00000062057",0
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",0
"ENSDARG00000037679",12
"ENSDARG00000076833",45
"ENSDARG00000012297",21
"ENSDARG00000087107",0
"ENSDARG00000099342",0
"ENSDARG00000008487",399
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",36
"ENSDARG00000074379",0
"ENSDARG00000062854",36
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",0
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",5
"ENSDARG00000062585",3
"ENSDARG00000074213",0
"ENSDARG00000062606",46
"ENSDARG00000077198",0
"ENSDARG00000007678",190
"ENSDARG00000089930",47
"ENSDARG00000078057",63
"ENSDARG00000070448",107
"ENSDARG00000070449",25
"ENSDARG00000042988",157
"ENSDARG00000096506",0
"ENSDARG00000070452",2
"ENSDARG00000070454",1
"ENSDARG00000096515",0
"ENSDARG00000038114",0
"ENSDARG00000008637",59
"ENSDARG00000091609",1
"ENSDARG00000002634",0
"ENSDARG00000062467",0
"ENSDARG00000032808",0
"ENSDARG00000078318",4
"ENSDARG00000018997",50
"ENSDARG00000099771",15
"ENSDARG00000045620",28
"ENSDARG00000045618",30
"ENSDARG00000057248",30
"ENSDARG00000017985",5
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",0
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",199
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",9
"ENSDARG00000089805",29
"ENSDARG00000117726",0
"ENSDARG00000117541",4
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",0
"ENSDARG00000079626",20
"ENSDARG00000057114",17
"ENSDARG00000009026",174
"ENSDARG00000085400",0
"ENSDARG00000014273",108
"ENSDARG00000104795",0
"ENSDARG00000056806",7
"ENSDARG00000056797",82
"ENSDARG00000062341",0
"ENSDARG00000107022",0
"ENSDARG00000056742",67
"ENSDARG00000037576",0
"ENSDARG00000070431",26
"ENSDARG00000022690",6
"ENSDARG00000056677",0
"ENSDARG00000012903",9
"ENSDARG00000003398",13
"ENSDARG00000074867",5
"ENSDARG00000109597",1
"ENSDARG00000111274",0
"ENSDARG00000110922",17
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",0
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",15
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",181
"ENSDARG00000007534",0
"ENSDARG00000077804",19
"ENSDARG00000013881",26
"ENSDARG00000079317",32
"ENSDARG00000117428",23
"ENSDARG00000106258",0
"ENSDARG00000078854",13
"ENSDARG00000108223",0
"ENSDARG00000007356",3
"ENSDARG00000078599",0
"ENSDARG00000115704",13
"ENSDARG00000109375",0
"ENSDARG00000017119",51
"ENSDARG00000070412",18
"ENSDARG00000034105",33
"ENSDARG00000062198",122
"ENSDARG00000034817",18
"ENSDARG00000056504",8
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",1138
"ENSDARG00000092708",0
"ENSDARG00000017905",37
"ENSDARG00000030514",27
"ENSDARG00000056400",0
"ENSDARG00000042937",0
"ENSDARG00000092600",0
"ENSDARG00000027355",154
"ENSDARG00000092022",0
"ENSDARG00000056381",5
"ENSDARG00000056376",9
"ENSDARG00000056369",12
"ENSDARG00000011023",0
"ENSDARG00000003046",58
"ENSDARG00000095697",0
"ENSDARG00000016065",8
"ENSDARG00000062132",9
"ENSDARG00000117687",0
"ENSDARG00000117295",0
"ENSDARG00000094943",0
"ENSDARG00000115616",0
"ENSDARG00000037545",1
"ENSDARG00000062122",32
"ENSDARG00000095111",0
"ENSDARG00000008287",8
"ENSDARG00000015495",15
"ENSDARG00000062081",37
"ENSDARG00000018178",11
"ENSDARG00000093886",0
"ENSDARG00000056163",6
"ENSDARG00000079488",4
"ENSDARG00000062055",41
"ENSDARG00000074275",120
"ENSDARG00000075330",0
"ENSDARG00000006392",53
"ENSDARG00000073902",47
"ENSDARG00000019945",188
"ENSDARG00000086957",3
"ENSDARG00000056151",52
"ENSDARG00000061985",47
"ENSDARG00000061981",0
"ENSDARG00000003631",84
"ENSDARG00000056133",33
"ENSDARG00000070321",0
