	F10	F11	F12	F7	F8	F9	F4	F5	F6	F1	F2	F3	E10	E11	E12	E7	E8	E9
100000009	2	3	15	1	6	19	0	11	6	36	15	19	0	49	0	18	4	32
100000026	5	0	18	0	3	25	0	19	0	29	1	8	0	4	0	0	27	15
100000044	18	12	0	1	0	5	0	11	0	3	0	6	0	8	4	6	10	10
100000073	77	29	40	18	51	45	19	73	18	70	57	90	0	78	16	51	38	97
100000079	58	47	66	9	60	147	12	159	27	147	68	262	1	173	34	72	108	157
100000083	27	15	31	15	13	45	9	29	13	43	31	37	5	65	8	44	35	57
100000085	67	8	24	4	15	62	15	96	12	138	49	118	0	123	20	57	73	87
100000094	15	7	13	4	0	26	4	41	0	28	22	31	0	20	5	22	13	23
100000095	10	0	4	0	3	3	0	2	0	3	3	13	0	13	0	8	2	24
100000097	4	1	15	0	9	0	10	5	0	2	3	4	0	2	0	6	5	2
100000101	7	6	8	4	0	32	0	33	0	20	33	14	0	35	0	10	23	17
100000104	6	3	0	0	0	9	0	3	0	3	6	4	0	3	2	2	20	16
100000119	6	0	20	0	19	23	1	24	8	30	8	7	0	26	1	21	12	14
100000122	31	15	36	11	29	62	14	41	6	42	23	106	0	75	2	52	39	38
100000125	148	67	158	17	70	149	15	147	58	162	168	211	7	177	17	114	102	308
100000126	0	0	3	0	5	4	0	6	0	15	1	0	0	8	0	0	2	28
100000131	11	12	9	0	13	8	4	31	0	34	3	26	0	44	4	8	19	50
100000133	3	22	9	0	8	40	1	11	1	23	12	13	0	23	7	12	18	17
100000135	15	8	19	0	26	19	0	58	7	35	24	21	0	53	12	29	27	67
100000148	3	3	0	0	8	3	3	11	0	16	12	16	0	5	5	0	16	11
100000151	65	17	90	16	8	91	4	85	11	105	113	95	0	100	7	80	60	96
100000156	3	1	11	0	22	26	0	17	24	12	6	14	0	20	0	3	9	20
100000160	129	82	107	11	34	141	26	152	27	176	124	135	7	146	39	131	149	262
100000165	99	76	139	32	64	176	18	262	39	232	163	219	21	162	20	136	144	348
100000175	77	74	70	31	23	213	26	175	31	107	107	160	0	202	47	161	119	424
100000190	93	32	83	17	36	58	16	106	38	134	98	161	0	133	73	91	93	143
100000199	3	0	3	0	0	0	0	6	0	4	0	10	0	17	0	13	9	12
100000219	2	0	3	0	2	35	0	15	0	19	3	15	0	17	0	3	4	33
100000223	50	40	119	4	63	169	15	146	31	171	121	146	10	141	37	105	131	149
100000230	324	260	397	44	158	402	86	557	354	1076	489	689	8	476	92	291	580	403
100000242	20	43	72	7	27	42	10	67	6	102	82	84	0	121	6	36	100	62
100000252	157	145	274	43	52	164	2	337	76	383	128	274	4	262	85	233	227	655
100000256	139	73	159	45	24	255	10	160	31	86	104	98	0	247	23	190	163	343
100000277	15	28	53	9	21	38	1	69	7	93	57	65	0	106	17	33	80	92
100000285	3	0	6	0	0	0	0	0	0	9	6	8	0	0	0	1	7	12
100000303	47	17	36	16	41	135	10	77	39	105	54	224	3	78	23	50	193	207
100000322	1	4	13	0	2	19	8	16	5	32	17	40	0	16	0	0	7	20
100000325	3	15	9	4	2	8	0	22	0	21	8	2	0	46	0	4	25	9
100000326	0	8	25	0	1	15	0	0	3	31	17	2	0	14	14	12	32	57
100000332	2	0	0	0	0	2	0	6	3	0	0	2	0	7	0	0	0	16
100000333	0	10	8	0	3	6	0	3	0	9	6	4	0	3	11	8	14	5
100000341	133	67	138	54	60	250	11	272	30	343	159	359	3	246	17	186	219	323
100000342	247	86	94	31	77	271	26	133	34	113	139	212	2	196	26	235	301	373
100000352	0	0	0	3	0	0	1	0	0	3	0	4	0	7	11	0	0	24
100000353	36	37	63	2	20	47	16	70	10	80	231	121	2	67	19	155	97	139
100000374	17	61	51	11	9	47	5	24	12	28	30	26	3	31	12	37	18	26
100000381	12	4	6	0	0	1	0	7	0	16	9	12	0	5	0	10	11	18
100000389	3	0	2	0	0	9	0	8	2	3	10	3	0	0	4	0	11	6
100000398	27	9	24	3	8	31	0	19	0	41	21	53	0	37	0	19	40	27
100000399	4	3	5	9	0	15	0	24	14	31	37	16	0	6	4	13	3	5
100000415	24	8	39	1	12	57	4	23	0	69	40	12	0	62	0	61	14	42
100000433	4	17	0	0	8	37	0	3	11	13	7	11	0	13	9	13	28	13
100000463	2	0	3	0	0	7	0	13	7	11	0	29	0	4	7	7	3	2
100000471	85	65	128	13	65	221	22	207	33	300	191	165	4	229	18	155	208	246
100000478	9	9	31	0	12	6	1	9	10	24	9	19	0	12	1	13	24	31
